Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.08158815	0.014272052	0.12012133	0.025426563	16000	-5.5879354e-09	0.0052314783	-0.005125408	-0.0021672642	1.3564423	0.007651317	0.05225	127.0	38.4679753780365	0.48365408	0.29617345	1.1965183	0.1007922	0.0	0.0
1	500.0	0.0896374	0.035558548	0.1667133	-0.020195318	32000	0.0	0.011230568	-0.005931018	-0.004091584	1.3564423	0.00620771	0.0665625	127.0	72.8863377571106	0.76686406	0.5256269	2.0990145	0.07621004	0.0	0.0
2	500.0	0.148246	0.055737417	0.30032653	-0.011936307	48000	2.6077032e-08	0.017429423	-0.008532422	-0.005664995	1.3564423	0.007470889	0.09925	127.0	105.88395118713379	1.0855333	0.7274651	3.321201	0.23586325	0.0	0.0
3	500.0	0.26358968	0.07862486	0.43742856	-0.02508598	64000	2.9802322e-08	0.07108099	-0.008598242	-0.03645867	1.3564423	0.0074632345	0.086187504	127.0	143.7518846988678	2.052977	1.4125481	6.1248946	0.4251437	0.0	0.0
4	500.0	0.5282178	0.15431331	1.0049669	0.06283459	80000	-3.7252903e-09	0.15601552	-0.011049147	-0.09100627	1.3564423	0.008872679	0.102437496	127.0	187.13537573814392	3.469197	1.8237735	8.420131	0.7640509	0.0	0.0
5	500.0	0.93045026	0.33065343	1.7387489	0.1226151	96000	-3.3527613e-08	1.7775604	-0.007409372	-1.0952208	1.3564423	0.005935622	0.0714375	127.0	226.99446773529053	8.348069	4.7138577	22.398575	1.9630529	0.0	0.0
6	500.0	2.2183793	0.80987704	3.934797	0.08795758	112000	0.0	1.9934762	-0.007103921	-1.1659822	1.3564423	0.0052759293	0.064375	127.0	280.6690788269043	13.091136	5.677502	24.991938	2.5350251	0.0	0.0
7	500.0	3.1524673	1.3631887	5.814955	-0.4521714	128000	-2.9802322e-08	1.195795	-0.009599317	-0.44613925	1.3564423	0.0072709247	0.0906875	127.0	323.58355236053467	15.117722	4.656793	27.30146	6.7778435	0.0	0.0
8	500.0	4.2592297	1.5691931	6.977489	-0.8059039	144000	-1.4901161e-08	1.775039	-0.009178558	-0.34712288	1.3564423	0.00618765	0.077375	127.0	378.84631609916687	19.800095	6.784981	33.69656	9.904328	0.0	0.0
9	500.0	4.697674	1.7143273	7.2101274	-0.8113457	160000	7.450581e-09	1.521704	-0.00903643	-0.31578285	1.3564423	0.006903155	0.060687497	127.0	432.5718011856079	20.779121	5.219941	34.041042	11.746376	0.0	0.0
10	500.0	5.4616065	1.6573578	8.251107	0.1713526	176000	1.8626451e-08	1.9593012	-0.00811602	-0.3449393	1.3564423	0.0054878443	0.06625	127.0	470.7171084880829	24.932327	5.7121725	35.6366	13.854291	0.0	0.0
11	500.0	6.069536	1.7784697	8.911065	0.046129216	192000	-1.4901161e-08	3.0195599	-0.007490638	-0.32794127	1.3564423	0.0058496753	0.062062502	127.0	506.1308915615082	27.34761	8.142703	55.66812	16.850206	0.0	0.0
12	500.0	6.9748983	1.7292318	9.63408	0.6341153	208000	-1.4901161e-08	7.783595	-0.006675217	-0.7110003	1.3564423	0.00651471	0.063	127.0	544.5579447746277	29.745012	12.414885	73.39649	15.588121	0.0	0.0
13	500.0	7.054044	1.5981319	9.108791	-0.36713287	224000	-7.450581e-09	5.3376207	-0.008580025	-0.267737	1.3564423	0.0065925084	0.071125	127.0	596.7259705066681	29.438461	8.771448	67.55647	17.483286	0.0	0.0
14	500.0	7.16824	1.5363933	8.8162775	0.394295	240000	0.0	7.6634245	-0.007030963	-0.263572	1.3564423	0.007982835	0.074625	127.0	653.3752267360687	31.066338	13.508476	95.86807	14.621364	0.0	0.0
15	500.0	7.4378047	1.3670785	8.575642	1.2917501	256000	-1.8626451e-09	6.66951	-0.007558928	-3.0934062	1.3564423	0.0062914267	0.0540625	127.0	706.2952013015747	23.26585	7.5229025	36.944046	9.159235	0.0	0.0
16	500.0	5.792733	0.87247765	6.8108587	1.6051731	272000	2.2351742e-08	2.633667	-0.006670908	-0.27790862	1.3564423	0.006100863	0.0531875	127.0	765.7423014640808	27.92682	6.529573	39.83668	12.620185	0.0	0.0
17	500.0	6.2773404	0.90621877	7.150239	1.2705976	288000	-1.4901161e-08	9.541663	-0.0070561343	-0.71429235	1.3564423	0.0068016485	0.063187495	127.0	807.8729004859924	31.454002	13.539356	98.98529	18.94861	0.0	0.0
18	500.0	7.0689864	1.2032303	7.984076	0.39543644	304000	1.1175871e-08	9.158019	-0.008136865	-0.2097551	1.3564423	0.0064117373	0.05575	127.0	845.4282276630402	29.798893	14.005939	97.04498	13.360816	0.0	0.0
19	500.0	6.8740406	1.0706861	7.7225204	1.3282291	320000	-2.9802322e-08	25.019503	-0.007411479	-4.066963	1.3564423	0.0073185167	0.0735625	127.0	885.8070278167725	40.704895	22.224209	111.78807	16.958612	0.0	0.0
20	500.0	8.748348	1.3247054	9.49586	1.815309	336000	-1.8626451e-08	3.9477985	-0.0067957942	-1.6850369	1.3564423	0.0055788658	0.04975	127.0	926.8598067760468	31.389345	6.1438813	45.883095	21.049194	0.0	0.0
21	500.0	7.4800572	1.3676956	8.583525	0.79432714	352000	7.450581e-09	3.567528	-0.007419147	-0.8185071	1.3564423	0.00625632	0.0471875	127.0	971.508308172226	28.796679	7.089249	40.769012	12.117789	0.0	0.0
22	500.0	6.788399	1.1446227	8.090545	1.5121152	368000	7.450581e-09	15.114058	-0.006689567	-1.505372	1.3564423	0.009463858	0.066874996	127.0	1029.1195106506348	36.008812	17.398384	110.43375	16.98958	0.0	0.0
23	500.0	7.7718153	1.3678327	8.933157	1.5543362	384000	1.6763806e-08	1.8947787	-0.009298815	-0.41907537	1.3564423	0.0077874577	0.069375	127.0	1074.0334031581879	31.896996	5.8176737	43.06212	21.682327	0.0	0.0
24	500.0	7.601145	1.3610127	8.989927	1.0896789	400000	-7.450581e-09	8.269228	-0.0060647866	-0.47068503	1.3564423	0.0057731457	0.0478125	127.0	1112.1787948608398	36.296097	13.874417	109.88503	26.521528	0.0	0.0
25	500.0	7.8528237	1.5107005	9.51593	1.2363502	416000	7.450581e-09	7.038396	-0.0068263044	-0.31419092	1.3564423	0.007995735	0.070875004	127.0	1148.2930572032928	34.25097	11.743776	93.27424	17.57617	0.0	0.0
26	500.0	7.8617887	1.470551	9.115211	-0.18356024	432000	2.2351742e-08	10.20833	-0.0072102123	-0.47663808	1.3564423	0.0059467787	0.0546875	127.0	1186.1173117160797	37.2674	14.122729	92.582085	22.690638	0.0	0.0
27	500.0	8.160013	1.5791122	9.750916	1.3776488	448000	-1.4901161e-08	15.811899	-0.0066897976	-0.6554005	1.3564423	0.00491173	0.0534375	127.0	1228.2259323596954	36.263054	19.329111	107.06381	18.721817	0.0	0.0
28	500.0	8.19226	1.4730852	9.659705	1.9205455	464000	-7.450581e-09	7.5938177	-0.0066443817	-0.36045367	1.3564423	0.00856887	0.061812498	127.0	1267.9966390132904	35.236088	13.568178	103.02753	18.31938	0.0	0.0
29	500.0	7.7913675	1.6772683	9.846369	1.9958158	480000	7.450581e-09	5.261773	-0.007706293	-0.6267836	1.3564423	0.006275365	0.0598125	127.0	1305.3565409183502	33.17103	11.366961	87.2475	20.940042	0.0	0.0
30	500.0	7.75531	1.7075871	10.272136	1.5205346	496000	7.450581e-09	22.549866	-0.0069002053	-3.7864006	1.3564423	0.0064616175	0.069375	127.0	1342.0383591651917	42.064037	21.14133	101.24973	10.651529	0.0	0.0
31	500.0	8.731684	2.218629	11.641558	1.4221082	512000	1.3038516e-08	37.433193	-0.007527074	-6.0875025	1.3564423	0.007297418	0.066	127.0	1381.8593502044678	49.58839	25.911043	106.08112	26.340508	0.0	0.0
32	500.0	10.353901	3.1115558	13.046966	-9.160013	528000	-3.7252903e-09	20.88889	-0.0071389987	-2.4589639	1.3564423	0.007902211	0.063125	127.0	1424.6704595088959	43.245247	22.177092	123.61241	23.319847	0.0	0.0
33	500.0	10.317684	2.4917872	13.3443775	-9.093304	544000	2.2351742e-08	41.94597	-0.0082940385	-6.489467	1.3564423	0.007582728	0.080375	127.0	1465.5052211284637	56.022995	28.545778	120.42502	24.162363	0.0	0.0
34	500.0	11.946012	2.49036	14.877912	2.1682482	560000	-2.9802322e-08	22.099873	-0.008096794	-3.6345956	1.3564423	0.006421711	0.069437504	127.0	1503.3259468078613	43.63183	21.155918	109.96003	25.26412	0.0	0.0
35	500.0	10.483533	2.503402	15.283663	1.8968545	576000	-1.9557774e-08	8.620912	-0.0084705	-3.7568917	1.3564423	0.0065629547	0.068	127.0	1540.248918056488	37.506363	11.474593	91.643074	6.294083	0.0	0.0
36	500.0	9.484742	2.4316432	14.691411	1.8899692	592000	1.4901161e-08	6.2656097	-0.008904092	-0.70863867	1.3564423	0.0072185677	0.077125	127.0	1577.0437219142914	36.08464	11.976066	99.54359	24.040577	0.0	0.0
37	500.0	9.122381	2.0414212	13.532877	1.5587999	608000	1.1175871e-08	1.0334802	-0.010165606	-0.34026033	1.3564423	0.0062519265	0.0824375	127.0	1616.1988344192505	36.288338	3.4906175	43.426296	28.844954	0.0	0.0
38	500.0	8.830149	1.8351427	12.340149	2.6496627	624000	-1.4901161e-08	0.82547885	-0.010886764	-0.11285414	1.3564423	0.008731605	0.09087501	127.0	1654.6868188381195	36.941044	3.875136	43.718945	27.09881	0.0	0.0
