Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07405241	0.025067428	0.13352534	-0.011901986	16000	3.3527613e-08	0.0023915418	-0.007212875	-0.0018730734	1.3564423	0.0078436835	0.0693125	127.0	43.55229878425598	0.18635902	0.07708538	0.35253182	0.07573483	0.0	0.0
1	500.0	0.04045602	0.0068519935	0.06524914	0.015243451	32000	-1.4901161e-08	0.00064029923	-0.007298669	-0.00031897845	1.3564423	0.005708832	0.0609375	127.0	82.42544746398926	0.20356272	0.10154716	0.51417214	0.06370828	0.0	0.0
2	500.0	0.041474562	0.017177671	0.0819349	-0.00052157417	48000	-3.7252903e-09	0.0006926767	-0.010813527	-0.00024721414	1.3564423	0.009425806	0.122999996	127.0	141.41929030418396	0.29398352	0.13589646	0.5930612	0.09133335	0.0	0.0
3	500.0	0.06513042	0.021710055	0.13007553	0.0016305745	64000	2.9802322e-08	0.0012647626	-0.011716768	-0.0004987806	1.3564423	0.009451635	0.114	127.0	190.2511966228485	0.42069796	0.16570814	1.1035978	0.15340994	0.0	0.0
4	500.0	0.09631894	0.021554507	0.15495898	0.031527735	80000	2.9802322e-08	0.0025546923	-0.011291421	-0.0012853184	1.3564423	0.0073005096	0.109437495	127.0	239.93959093093872	0.5801956	0.28424343	1.3936151	0.2146642	0.0	0.0
5	500.0	0.13862728	0.036277503	0.2672668	0.017737173	96000	2.9802322e-08	0.003691909	-0.017137561	-0.0018545745	1.3564423	0.010840938	0.144875	127.0	290.2716956138611	0.8946574	0.32952055	1.8479716	0.28679958	0.0	0.0
6	500.0	0.24274024	0.052959014	0.41362745	0.085666716	112000	0.0	0.013572773	-0.009260196	-0.0090461895	1.3564423	0.0060643367	0.09075	127.0	328.48685002326965	1.4212167	0.48791727	2.3987887	0.569844	0.0	0.0
7	500.0	0.36228904	0.10384543	0.6782208	0.03428664	128000	-2.6077032e-08	0.010178275	-0.014788985	-0.0050714742	1.3564423	0.00817622	0.128375	127.0	367.94748306274414	1.8780305	0.44547126	2.7299485	0.97551596	0.0	0.0
8	500.0	0.48154774	0.14263424	0.827025	0.09445917	144000	-3.3527613e-08	0.013144618	-0.013861711	-0.0065102954	1.3564423	0.010358054	0.122062504	127.0	410.0312113761902	2.3937027	0.47258094	3.5466354	1.3507147	0.0	0.0
9	500.0	0.6866975	0.19112659	1.097472	0.15940467	160000	-4.4703484e-08	0.02898037	-0.010908948	-0.0078094173	1.3564423	0.006649	0.11125	127.0	447.73900175094604	3.1853738	0.5902436	4.636528	2.1770134	0.0	0.0
10	500.0	0.79945624	0.18803416	1.2026057	0.3183802	176000	-7.450581e-09	0.03645763	-0.009083321	-0.013572458	1.3564423	0.0094396295	0.099374995	127.0	489.95635533332825	3.6787767	0.62863916	5.6272974	2.542321	0.0	0.0
11	500.0	0.8912157	0.19328529	1.2066033	0.3752767	192000	-1.4901161e-08	0.04511612	-0.008496033	-0.01403968	1.3564423	0.0057988293	0.076875	127.0	556.1126129627228	4.2739563	0.844868	5.6720037	2.5087554	0.0	0.0
12	500.0	1.0111825	0.20499012	1.5646889	0.44381952	208000	-1.4901161e-08	0.044888437	-0.0068690516	-0.012003401	1.3564423	0.006452079	0.057	127.0	603.0002498626709	4.6484737	0.90424633	6.27325	2.5453014	0.0	0.0
13	500.0	1.053947	0.22241613	1.3610638	0.37895218	224000	-5.5879354e-09	0.01750826	-0.010443222	-0.002101555	1.3564423	0.0072681643	0.07987501	127.0	643.9877305030823	4.7789593	0.6318857	6.063075	3.0088127	0.0	0.0
14	500.0	1.1487572	0.2175613	1.4543215	0.4195999	240000	8.195639e-08	0.023825865	-0.00766747	-0.0049478807	1.3564423	0.00668779	0.059249997	127.0	685.1739549636841	5.464406	0.62469095	7.0679035	4.4857793	0.0	0.0
15	500.0	1.2333854	0.20152076	1.5223767	0.576356	256000	0.0	0.02636482	-0.007499966	-0.004879924	1.3564423	0.0061712824	0.062625006	127.0	723.3882069587708	5.6968565	0.80633056	7.3913627	4.5041103	0.0	0.0
16	500.0	1.2828484	0.2178819	1.5699797	0.5998707	272000	-8.381903e-09	0.016430976	-0.00892471	-0.0017012529	1.3564423	0.008167852	0.0720625	127.0	758.0556268692017	5.6476955	0.61774045	7.167589	4.3565636	0.0	0.0
17	500.0	1.2952564	0.22797768	1.6165478	0.5256748	288000	-1.1175871e-08	0.018238787	-0.0066812015	-0.0025613727	1.3564423	0.0049170125	0.052	127.0	798.3336796760559	6.001937	0.7007459	7.42835	4.4793496	0.0	0.0
18	500.0	1.3683834	0.23168793	1.7671499	0.5856872	304000	-3.7252903e-09	0.020916853	-0.007927426	-0.003226955	1.3564423	0.0054958444	0.064312495	127.0	840.2938466072083	5.9568834	0.7327459	7.282843	4.1815505	0.0	0.0
19	500.0	1.359915	0.20801707	1.6909508	0.6664631	320000	-1.1175871e-08	0.025921261	-0.0068221074	-0.004458492	1.3564423	0.0072023133	0.05875	127.0	878.8453850746155	5.968715	0.8971427	8.162407	4.743349	0.0	0.0
20	500.0	1.3770128	0.2162103	1.670671	0.58268535	336000	0.0	0.015629161	-0.007158445	-0.0027869137	1.3564423	0.0058001117	0.060875	127.0	918.3910813331604	6.308216	0.7155266	7.900789	4.6515293	0.0	0.0
