Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.13759387	0.016327636	0.1806437	0.07866247	16000	8.940697e-08	0.006621087	-0.0065466776	-0.0048443433	1.3564423	0.0076422766	0.0560625	127.0	44.96771788597107	0.34554556	0.18662688	0.819577	0.08634529	0.0	0.0
1	500.0	0.07838673	0.01127118	0.11207282	0.04424618	32000	-3.3527613e-08	0.0064866478	-0.004949602	-0.002164759	1.3564423	0.0049613034	0.0491875	127.0	81.70206427574158	0.5770202	0.378485	1.5205815	0.13839695	0.0	0.0
2	500.0	0.10218613	0.034227457	0.19771439	0.008662467	48000	-5.5879354e-09	0.0023332196	-0.008192397	-0.0005632327	1.3564423	0.0074577406	0.0893125	127.0	116.73021388053894	0.5961321	0.256905	1.2457378	0.21588425	0.0	0.0
3	500.0	0.11994407	0.03304119	0.2089241	0.028482072	64000	-1.4901161e-08	0.01771422	-0.006800919	-0.007806045	1.3564423	0.007175644	0.072	127.0	156.60268235206604	0.9291157	0.7270163	4.0179133	0.26857597	0.0	0.0
4	500.0	0.23206924	0.066279784	0.4441486	0.0023403764	80000	-4.4703484e-08	0.025978843	-0.011783682	-0.012040425	1.3564423	0.00988473	0.121625	127.0	193.37433981895447	1.5399997	0.9773425	4.4064274	0.19987196	0.0	0.0
5	500.0	0.39527473	0.11988009	0.73393923	0.08369188	96000	-1.4901161e-08	0.12147685	-0.009563637	-0.068839684	1.3564423	0.0068199155	0.099374995	127.0	229.89100694656372	2.6662455	1.7939389	9.391193	0.55408025	0.0	0.0
6	500.0	0.78463244	0.26169485	1.4417385	-0.116151586	112000	1.4901161e-08	0.20324564	-0.010077758	-0.111853674	1.3564423	0.006024306	0.098625004	127.0	269.14193391799927	4.52962	2.2666714	8.895084	0.89625454	0.0	0.0
7	500.0	1.1626834	0.51699895	2.5492585	-0.1294988	128000	5.5879354e-08	0.74577826	-0.009726264	-0.4604271	1.3564423	0.008005803	0.11	127.0	306.81471395492554	7.2634773	4.4112573	16.206223	1.8572421	0.0	0.0
8	500.0	2.3668046	0.8791495	4.143169	-0.1403509	144000	-1.4901161e-08	1.6266198	-0.0083788205	-0.8557378	1.3564423	0.0063952073	0.08125	127.0	346.4403853416443	13.323124	5.698628	25.850422	4.0376725	0.0	0.0
9	500.0	3.1518838	1.3482406	6.357882	-0.7436556	160000	0.0	1.3765458	-0.012244565	-0.562371	1.3564423	0.008841431	0.1170625	127.0	388.41175508499146	15.544074	5.295256	25.723917	4.046289	0.0	0.0
10	500.0	4.4113507	1.6443436	7.3400874	-0.5208204	176000	-1.8626451e-08	1.9153013	-0.010079203	-0.42071742	1.3564423	0.0064411014	0.09425	127.0	424.60894560813904	19.574295	4.618378	32.065434	11.369298	0.0	0.0
11	500.0	5.011834	1.4852316	7.40178	0.12801732	192000	-7.450581e-09	1.6597328	-0.009168467	-0.2585681	1.3564423	0.0053238077	0.073437504	127.0	461.20676612854004	22.028177	4.805481	30.830246	11.695713	0.0	0.0
12	500.0	5.6324267	1.445106	7.8735886	0.8994136	208000	1.4901161e-08	6.3618298	-0.0058564353	-0.92899114	1.3564423	0.006745218	0.0513125	127.0	499.56221413612366	28.343744	10.55159	65.05202	17.44115	0.0	0.0
13	500.0	6.565457	1.6189272	8.81341	1.1572065	224000	9.313226e-09	6.677497	-0.0065740338	-0.2658675	1.3564423	0.006927585	0.053875	127.0	537.9535710811615	28.632088	10.228995	57.97725	17.256077	0.0	0.0
14	500.0	6.8864336	1.5282403	9.111416	1.1330652	240000	0.0	5.5959773	-0.005937854	-0.17022811	1.3564423	0.007227426	0.054875	127.0	576.881231546402	29.589935	11.283512	81.234985	17.707338	0.0	0.0
15	500.0	6.9111133	1.4484552	8.973681	1.3056505	256000	1.4901161e-08	3.39832	-0.008212216	-0.58787537	1.3564423	0.0066657285	0.0608125	127.0	613.6681187152863	27.954731	7.3535485	42.803818	14.358551	0.0	0.0
16	500.0	6.676223	1.1424122	8.089145	1.8538889	272000	0.0	10.346907	-0.0062366324	-0.94251716	1.3564423	0.0063457256	0.050125	127.0	655.2983484268188	33.1559	14.053518	78.3969	17.004824	0.0	0.0
17	500.0	7.2503896	1.4720749	9.281942	1.8506049	288000	3.7252903e-09	3.0433547	-0.007877669	-0.21489748	1.3564423	0.0072857747	0.062062502	127.0	696.27818775177	30.278126	6.9925685	48.21861	19.475689	0.0	0.0
18	500.0	7.223383	1.3022727	8.982978	2.2549794	304000	-7.450581e-09	4.0920725	-0.008440949	-0.5724003	1.3564423	0.007522759	0.063375	127.0	734.2850201129913	32.13214	8.597042	58.461567	15.555088	0.0	0.0
19	500.0	7.8512993	1.3506826	9.222096	0.4263162	320000	-1.4901161e-08	7.6223707	-0.008371817	-0.5599768	1.3564423	0.006776715	0.0651875	127.0	771.5689477920532	35.20725	12.8306675	89.042755	21.873894	0.0	0.0
20	500.0	8.266707	1.8340743	10.229392	0.5472469	336000	-2.9802322e-08	8.060551	-0.006711458	-0.27424276	1.3564423	0.0067778677	0.0559375	127.0	810.581613779068	36.278687	12.486466	81.8436	20.720604	0.0	0.0
21	500.0	8.440504	1.6672876	10.579629	2.059142	352000	-1.4901161e-08	2.4899552	-0.0075412476	-0.6079706	1.3564423	0.006346233	0.0529375	127.0	849.9403975009918	32.933647	5.9296227	41.796787	19.977858	0.0	0.0
22	500.0	8.049624	1.5060383	10.014611	1.9970862	368000	-3.7252903e-09	1.3799127	-0.0077264393	-0.10478794	1.3564423	0.0069352686	0.046375	127.0	887.3113157749176	34.165943	4.5103188	41.85666	22.325027	0.0	0.0
23	500.0	8.045248	1.6130832	9.6877365	1.9848348	384000	0.0	8.266615	-0.0074539883	-0.7372	1.3564423	0.003959152	0.0436875	127.0	929.1697099208832	36.37751	13.250702	99.71108	23.115976	0.0	0.0
24	500.0	8.459305	1.6196618	10.222627	1.9628373	400000	1.4901161e-08	9.480644	-0.0068324255	-0.5180618	1.3564423	0.006660733	0.0541875	127.0	966.9604675769806	35.852226	14.09218	96.994606	19.14346	0.0	0.0
25	500.0	8.293833	1.5355082	9.866603	2.0846143	416000	-7.450581e-09	2.409297	-0.009033997	-0.17767578	1.3564423	0.007224095	0.0721875	127.0	1006.7858548164368	34.67823	6.5123625	55.14046	18.604242	0.0	0.0
26	500.0	8.18935	1.5896621	9.948426	-1.7032914	432000	3.7252903e-09	5.250143	-0.007578709	-0.12227818	1.3564423	0.004830602	0.048375	127.0	1046.9605395793915	36.277184	10.866279	85.4975	21.122177	0.0	0.0
27	500.0	8.324388	1.4647679	9.668769	2.2938457	448000	2.2351742e-08	9.598666	-0.00751426	-0.8731384	1.3564423	0.0069938796	0.0594375	127.0	1089.9530024528503	34.196377	14.514241	85.61438	14.588803	0.0	0.0
28	500.0	7.995469	1.3879387	9.563372	1.3472204	464000	1.6763806e-08	6.4304976	-0.0060909875	-0.7031646	1.3564423	0.006642023	0.0515	127.0	1126.4985885620117	36.624554	10.946023	84.56274	21.441706	0.0	0.0
29	500.0	8.230681	1.3813874	9.983376	2.7295396	480000	-1.4901161e-08	2.2749984	-0.008636711	-0.54334396	1.3564423	0.004914716	0.07225	127.0	1166.820788860321	35.75336	7.0945807	48.856514	21.556955	0.0	0.0
