Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.08574164	0.0140486015	0.12407788	0.028331473	16000	-9.313226e-09	0.0053395773	-0.00505241	-0.002188711	1.3564423	0.007953351	0.054625	127.0	50.15819215774536	0.49150676	0.30054682	1.2204406	0.10276721	0.0	0.0
1	500.0	0.092475325	0.034309506	0.16687763	-0.014966691	32000	2.9802322e-08	0.011502342	-0.005940333	-0.004202065	1.3564423	0.00622998	0.0663125	127.0	86.74544334411621	0.77995837	0.5303156	2.1437354	0.07873647	0.0	0.0
2	500.0	0.15057461	0.055472776	0.30495122	-0.005550092	48000	1.1175871e-08	0.017726533	-0.008375609	-0.0056637544	1.3564423	0.007197136	0.0939375	127.0	119.49649739265442	1.0946232	0.73062223	3.3619716	0.24526614	0.0	0.0
3	500.0	0.26322144	0.0789288	0.43806732	-0.028917536	64000	1.4901161e-08	0.07089118	-0.008507809	-0.036097124	1.3564423	0.007428769	0.085250005	127.0	157.2192897796631	2.0453258	1.4122913	6.179739	0.42231965	0.0	0.0
4	500.0	0.52321315	0.15132351	0.99213433	0.061009012	80000	0.0	0.15616167	-0.011003986	-0.091385916	1.3564423	0.008973498	0.102874994	127.0	191.6592197418213	3.459641	1.8323997	8.555016	0.7498771	0.0	0.0
5	500.0	0.9222269	0.3262573	1.7052618	0.12063109	96000	0.0	1.7756035	-0.0074495277	-1.0895184	1.3564423	0.006074992	0.0698125	127.0	225.54337191581726	8.322449	4.704516	22.629969	1.9991432	0.0	0.0
6	500.0	2.197183	0.795121	3.834786	0.047294453	112000	1.8626451e-09	2.007577	-0.0072706514	-1.1648169	1.3564423	0.0053432034	0.0679375	127.0	283.2487909793854	13.022438	5.6791406	25.05969	2.5135083	0.0	0.0
7	500.0	3.1354158	1.3543441	5.787556	-0.5842093	128000	2.2351742e-08	1.1703426	-0.009842729	-0.42442083	1.3564423	0.0069703953	0.094937496	127.0	328.8824324607849	15.029423	4.6145573	27.324503	6.8132677	0.0	0.0
8	500.0	4.2282944	1.5633477	7.0471864	-0.7800954	144000	0.0	1.8853301	-0.008877136	-0.46759266	1.3564423	0.0058359085	0.077374995	127.0	365.24392771720886	20.068996	6.835711	34.9506	10.1877575	0.0	0.0
9	500.0	4.767196	1.7297524	7.1219983	-0.7766388	160000	7.450581e-09	1.7485485	-0.00819164	-0.35868323	1.3564423	0.007091554	0.054625	127.0	399.53932905197144	20.965584	5.7127995	35.07254	10.287024	0.0	0.0
10	500.0	5.522804	1.6884105	8.570985	0.15107295	176000	1.4901161e-08	2.7234304	-0.0069257477	-0.34201017	1.3564423	0.0049034245	0.056625	127.0	435.4691262245178	24.961681	7.4917955	49.38169	13.708461	0.0	0.0
11	500.0	6.0487003	1.8278322	8.952663	-0.13767126	192000	-7.450581e-09	3.2255554	-0.00779033	-0.35615748	1.3564423	0.0055588344	0.062062502	127.0	479.4570736885071	27.305994	8.060711	55.684383	15.123095	0.0	0.0
12	500.0	6.986071	1.743557	9.859961	0.74943006	208000	2.2351742e-08	7.0992255	-0.007666807	-0.73891294	1.3564423	0.006463811	0.060250003	127.0	521.7144887447357	28.884045	11.319392	67.704834	15.294701	0.0	0.0
13	500.0	6.8580976	1.5016626	8.757424	0.24552844	224000	-9.313226e-09	2.5658417	-0.007884935	-0.13163975	1.3564423	0.005943519	0.0625	127.0	561.9889507293701	28.181206	5.7954187	39.63656	15.972994	0.0	0.0
14	500.0	6.900921	1.4030364	8.4113	0.92754394	240000	5.5879354e-09	7.2521257	-0.0068160146	-0.33164093	1.3564423	0.0070137437	0.0605625	127.0	597.6270418167114	31.033974	12.540392	85.84022	14.248282	0.0	0.0
15	500.0	7.306589	1.1841558	8.248527	1.8042251	256000	-7.450581e-09	5.965501	-0.0073168287	-2.3993702	1.3564423	0.0066849324	0.0519375	127.0	631.2492473125458	23.898304	7.682125	36.904602	9.6410055	0.0	0.0
16	500.0	5.872431	0.84177214	6.6196804	1.6021745	272000	-1.8626451e-08	3.3780446	-0.006200568	-0.7413968	1.3564423	0.0042378856	0.042	127.0	668.3643250465393	30.08691	7.1146507	41.76678	18.395723	0.0	0.0
17	500.0	6.685949	1.0248752	7.4128146	1.0014507	288000	0.0	2.434659	-0.007714388	-0.033797882	1.3564423	0.007491531	0.063062504	127.0	706.2086832523346	29.822474	6.3714447	43.278816	16.791258	0.0	0.0
18	500.0	6.820321	1.1135328	7.57282	0.36912492	304000	-7.450581e-09	7.568544	-0.0073441076	-0.11066179	1.3564423	0.0069629457	0.057125002	127.0	742.1401162147522	30.534037	12.287907	82.614555	14.820727	0.0	0.0
19	500.0	6.934676	0.98800915	7.524728	1.3079237	320000	-1.4901161e-08	9.053201	-0.007443578	-1.5458572	1.3564423	0.005235606	0.0530625	127.0	780.6342253684998	36.937786	11.01596	78.35966	19.310787	0.0	0.0
20	500.0	8.13375	1.332322	8.859346	1.2710024	336000	1.1175871e-08	6.5770707	-0.006356646	-0.4611868	1.3564423	0.004507967	0.036125	127.0	820.1595327854156	32.55968	11.826875	83.865364	17.15359	0.0	0.0
21	500.0	7.5451202	1.1669626	8.192839	1.113422	352000	0.0	5.95234	-0.0066377115	-0.045451384	1.3564423	0.0050044246	0.0406875	127.0	858.4727072715759	33.07158	10.231212	74.38169	15.863627	0.0	0.0
22	500.0	7.5298114	1.2859044	8.268727	0.95358485	368000	2.2351742e-08	11.165074	-0.007916825	-0.7149664	1.3564423	0.008581853	0.0766875	127.0	897.4490280151367	36.9838	15.056318	103.127945	16.466818	0.0	0.0
23	500.0	8.256024	1.5082592	9.138712	0.78772664	384000	2.7939677e-08	2.523397	-0.008427854	-0.64402765	1.3564423	0.008467779	0.0560625	127.0	933.4953472614288	32.42817	6.409737	42.487526	19.8907	0.0	0.0
24	500.0	7.670547	1.3367825	8.710457	1.0576334	400000	-2.9802322e-08	6.2052145	-0.005942113	-0.57601106	1.3564423	0.0063782535	0.051375	127.0	969.1015570163727	37.371666	11.644325	97.9407	24.123459	0.0	0.0
25	500.0	8.335083	1.3982946	9.352667	1.3047111	416000	-1.4901161e-08	5.2951956	-0.006913463	-0.1540917	1.3564423	0.0069609536	0.060875	127.0	1007.3209199905396	35.05861	9.078419	66.8307	21.670668	0.0	0.0
26	500.0	8.083809	1.4393083	9.343968	1.6708113	432000	2.9802322e-08	10.632138	-0.0070820083	-0.5513375	1.3564423	0.006861504	0.054375	127.0	1046.7802708148956	37.56803	14.911608	100.4279	17.166769	0.0	0.0
27	500.0	8.373523	1.4833663	9.745075	1.5363029	448000	7.450581e-09	10.673775	-0.0075192815	-1.6693958	1.3564423	0.006122932	0.0576875	127.0	1086.28444314003	34.666817	15.426928	87.26086	14.7852125	0.0	0.0
28	500.0	7.801871	1.8645564	10.14146	0.95836556	464000	-7.450581e-09	9.400726	-0.006742286	-0.76903516	1.3564423	0.004073638	0.050125	127.0	1124.5764627456665	35.604057	13.202071	83.04069	14.674799	0.0	0.0
29	500.0	8.071759	2.0280159	10.321707	-7.9609885	480000	-1.4901161e-08	18.189484	-0.007260992	-2.393844	1.3564423	0.006002091	0.0661875	127.0	1161.2565066814423	40.714733	21.45775	115.425156	23.793371	0.0	0.0
30	500.0	9.208804	2.1000574	11.722798	2.9468458	496000	-1.1175871e-08	15.615814	-0.006529834	-1.6532229	1.3564423	0.0060041086	0.048125	127.0	1196.8604397773743	40.01148	18.942608	111.67187	23.131033	0.0	0.0
