Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0459153	0.024816114	0.10151578	-0.037497997	16000	-3.7252903e-08	0.0030043842	-0.0054998957	-0.001828298	1.3564423	0.007210887	0.0534375	127.0	38.71469044685364	0.3314462	0.17953803	0.7619802	0.080723405	0.0	0.0
1	500.0	0.06113865	0.024006488	0.11796501	-0.005247837	32000	-1.3038516e-08	0.001986433	-0.008839671	-0.0006876057	1.3564423	0.007107952	0.08925	127.0	72.97863364219666	0.43044838	0.22407347	0.8339264	0.09927763	0.0	0.0
2	500.0	0.09450652	0.024618967	0.15671769	0.0046140812	48000	3.7252903e-09	0.0049014045	-0.012620871	-0.0019576997	1.3564423	0.007525974	0.11337499	127.0	113.68998456001282	0.7303308	0.32618383	1.4240649	0.28005347	0.0	0.0
3	500.0	0.16391584	0.034340024	0.23984079	-0.005758291	64000	-2.2351742e-08	0.018956346	-0.009433913	-0.009611279	1.3564423	0.007073787	0.085250005	127.0	146.29699897766113	1.2303476	0.6592838	2.9621508	0.22783022	0.0	0.0
4	500.0	0.26171607	0.078084365	0.5418282	0.10050248	80000	2.9802322e-08	0.033446338	-0.008747698	-0.016782075	1.3564423	0.008101685	0.087124996	127.0	183.5731394290924	1.5767827	0.81990594	3.4465075	0.27117997	0.0	0.0
5	500.0	0.4186546	0.1691683	0.968472	0.09230092	96000	-3.3527613e-08	0.4132831	-0.0059383544	-0.18468356	1.3564423	0.005208691	0.0676875	127.0	220.2551519870758	3.1952074	2.45703	13.153444	0.8298098	0.0	0.0
6	500.0	0.9690379	0.55998904	2.4712613	-0.07200274	112000	-2.7939677e-08	0.95045483	-0.00662794	-0.40634733	1.3564423	0.0060482123	0.0725625	127.0	254.07836508750916	6.096408	3.6408124	14.586818	0.728929	0.0	0.0
7	500.0	1.8263035	0.9623074	3.9425056	-0.3813799	128000	-7.450581e-09	1.4923868	-0.008117476	-0.6446687	1.3564423	0.0066520516	0.08125	127.0	294.82932305336	9.553167	4.4163265	19.460379	3.274402	0.0	0.0
8	500.0	2.8781474	1.5321891	5.4522285	0.0722385	144000	-1.4901161e-08	2.9754286	-0.008237296	-0.9074061	1.3564423	0.005454409	0.083000004	127.0	336.5824282169342	14.428973	6.0045357	30.6472	5.6330504	0.0	0.0
9	500.0	4.0066943	1.882467	6.839712	0.1724361	160000	1.4901161e-08	1.6329856	-0.010927772	-0.31353894	1.3564423	0.009655144	0.08862501	127.0	378.59108114242554	16.295645	4.753933	24.688122	3.6498833	0.0	0.0
