Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.043609604	0.025259016	0.11380329	-0.05745937	16000	-7.450581e-09	0.0037675758	-0.005673781	-0.0025379504	1.3564423	0.0072862976	0.05225	127.0	62.95711421966553	0.38738874	0.16672248	0.81572586	0.10913596	0.0	0.0
1	500.0	0.06547916	0.030755378	0.15413278	-0.023518352	32000	-3.7252903e-09	0.0023392686	-0.010335384	-0.0008661625	1.3564423	0.0074280403	0.0953125	127.0	127.9173231124878	0.5124476	0.2256195	0.9974226	0.18911614	0.0	0.0
2	500.0	0.113066465	0.030997949	0.1816904	0.008045308	48000	6.7055225e-08	0.0074273967	-0.013046127	-0.003398454	1.3564423	0.007448139	0.111125	127.0	166.89495825767517	0.92662346	0.34641477	1.6138316	0.36990118	0.0	0.0
3	500.0	0.19968374	0.034182724	0.29582676	0.051320747	64000	2.2351742e-08	0.02331221	-0.008935105	-0.009714881	1.3564423	0.0063269367	0.081750005	127.0	208.60205483436584	1.3944356	0.6367254	3.4028506	0.46107316	0.0	0.0
4	500.0	0.3035958	0.055705845	0.5273902	0.14865184	80000	-1.8626451e-09	0.05457129	-0.008891158	-0.027522128	1.3564423	0.0073605767	0.092125	127.0	252.64657616615295	1.9972482	0.8138973	4.2358384	0.6183041	0.0	0.0
5	500.0	0.49867687	0.14678876	0.9789495	0.15209594	96000	3.7252903e-08	0.6351263	-0.0067955577	-0.3020085	1.3564423	0.004561496	0.063187495	127.0	295.48662853240967	4.152412	2.800537	16.105307	1.1686277	0.0	0.0
6	500.0	1.0893567	0.5675681	2.5510466	-0.16061637	112000	0.0	1.2411503	-0.0073567093	-0.62406826	1.3564423	0.0065175043	0.0826875	127.0	339.9642572402954	7.3406734	4.084471	15.054055	1.2783067	0.0	0.0
7	500.0	2.1868503	1.0562189	4.2202387	-0.14092016	128000	3.7252903e-08	1.3408893	-0.00762237	-0.7469647	1.3564423	0.007023286	0.086312495	127.0	387.7509546279907	11.535905	3.158382	18.024742	4.079158	0.0	0.0
8	500.0	3.343826	1.6222787	5.813084	-0.19452643	144000	-5.5879354e-09	2.031806	-0.008163837	-0.55883443	1.3564423	0.005145627	0.0875625	127.0	428.4963893890381	15.762411	4.94994	26.602747	8.618754	0.0	0.0
9	500.0	4.2887583	1.7909486	6.831851	0.24516675	160000	2.2351742e-08	1.7917583	-0.008502817	-0.19545336	1.3564423	0.009380837	0.083625	127.0	471.2171859741211	17.35888	5.5647416	30.054178	3.7910717	0.0	0.0
10	500.0	5.0386543	1.8440783	7.3255916	0.5944033	176000	2.0489097e-08	2.9631445	-0.007223488	-0.4185931	1.3564423	0.005990967	0.0748125	127.0	519.2213425636292	22.132984	6.962847	39.65318	10.085972	0.0	0.0
11	500.0	5.6299176	1.5634966	7.456386	0.8834724	192000	-2.2351742e-08	4.5187674	-0.007651531	-0.3541128	1.3564423	0.0069515877	0.077437505	127.0	561.9960541725159	25.451254	9.058367	46.14457	13.70965	0.0	0.0
12	500.0	6.2755313	1.5545616	7.614825	0.8850231	208000	2.7939677e-09	5.3480854	-0.0067248037	-0.21423832	1.3564423	0.006709948	0.065312505	127.0	605.9167432785034	28.162388	10.176694	46.88993	14.814088	0.0	0.0
