Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.098608576	0.015642673	0.1455879	0.051133167	16000	1.6763806e-08	0.004443067	-0.0065947766	-0.0019414272	1.3564423	0.008269818	0.0555625	127.0	52.46177291870117	0.60896134	0.2780319	1.4377735	0.24010071	0.0	0.0
1	500.0	0.12394176	0.032460753	0.196117	-0.00039157458	32000	-1.4901161e-08	0.012722123	-0.0069450345	-0.0047103567	1.3564423	0.00622455	0.071125	127.0	110.35648846626282	0.9978887	0.4908809	2.253787	0.36696285	0.0	0.0
2	500.0	0.1994658	0.041941196	0.29285726	0.0006648563	48000	0.0	0.040526636	-0.009756347	-0.023032544	1.3564423	0.006013356	0.085374996	127.0	170.69825220108032	1.8083684	0.7053089	3.3667274	0.76722306	0.0	0.0
3	500.0	0.38699442	0.06973497	0.6061031	0.17616037	64000	5.9604645e-08	0.71150625	-0.0068673226	-0.35264835	1.3564423	0.0061771823	0.0633125	127.0	232.37675142288208	4.787828	3.0268788	15.102854	0.7581972	0.0	0.0
4	500.0	1.0621922	0.17471588	1.5303965	0.32780886	80000	1.4901161e-08	2.4091024	-0.00828713	-1.2564995	1.3564423	0.007643914	0.0675	127.0	292.06980180740356	9.673622	4.9091153	19.543736	0.9752594	0.0	0.0
5	500.0	2.2056751	0.5054217	3.4208288	0.23869348	96000	-3.7252903e-09	3.963021	-0.008063871	-2.4215412	1.3564423	0.0033995202	0.054437503	127.0	359.3133511543274	15.774815	5.493501	25.418655	5.250083	0.0	0.0
6	500.0	3.7727056	1.1092697	6.0681996	0.3826936	112000	-7.450581e-09	3.8586345	-0.0077995607	-1.7919949	1.3564423	0.005142969	0.069437504	127.0	424.43347215652466	21.637255	5.5928636	33.854866	7.949287	0.0	0.0
7	500.0	5.154439	1.428417	7.080529	0.29236752	128000	7.450581e-09	2.0659876	-0.010927045	-0.34051907	1.3564423	0.00740105	0.097937495	127.0	469.55657601356506	22.851067	5.2925873	34.936268	7.878859	0.0	0.0
8	500.0	6.068046	1.6303759	7.918085	-0.012756437	144000	2.2351742e-08	2.890979	-0.008320408	-0.30541474	1.3564423	0.0057605766	0.062250003	127.0	516.2349374294281	26.777485	6.1014566	36.096592	11.560053	0.0	0.0
9	500.0	6.4585786	1.3827575	7.9415793	1.4559803	160000	1.4901161e-08	2.5090652	-0.009695381	-0.06912705	1.3564423	0.0071839886	0.079500005	127.0	561.8443236351013	28.098545	6.5129414	37.656998	15.593988	0.0	0.0
10	500.0	6.772502	1.3644365	8.058115	1.4317315	176000	-3.7252903e-09	2.38997	-0.008340078	-0.256047	1.3564423	0.0067634187	0.057875	127.0	607.9479901790619	31.208622	5.475779	40.553234	17.019508	0.0	0.0
11	500.0	7.174392	1.0830541	8.117865	2.3944142	192000	1.3969839e-08	1.887025	-0.009157972	-0.0652674	1.3564423	0.008853209	0.075375006	127.0	655.0765204429626	31.95388	5.1168523	41.292267	17.041222	0.0	0.0
12	500.0	7.372005	1.0672637	8.255545	1.9386896	208000	-3.7252903e-08	1.9296279	-0.007862327	-0.09707546	1.3564423	0.0047907047	0.0575625	127.0	693.346045255661	32.221313	5.0303335	40.55809	22.389223	0.0	0.0
13	500.0	7.3173137	0.8482919	7.961625	2.8073618	224000	3.7252903e-09	2.4682474	-0.0077905646	-0.15310684	1.3564423	0.0065706987	0.057125	127.0	738.9449563026428	34.46734	6.0155525	44.29664	14.273421	0.0	0.0
14	500.0	7.678852	0.9436857	8.3938265	2.8413382	240000	-2.2351742e-08	2.3428879	-0.0075292666	-0.21794872	1.3564423	0.005753515	0.0483125	127.0	788.4436964988708	36.81995	6.1232038	44.58708	13.910183	0.0	0.0
15	500.0	8.105604	0.81928504	8.666008	3.5597641	256000	-3.7252903e-09	1.8278892	-0.008779686	-0.10020116	1.3564423	0.007891325	0.063125	127.0	831.9474353790283	35.04066	5.460417	44.961277	20.006014	0.0	0.0
16	500.0	7.84764	0.74980104	8.329854	3.5443857	272000	0.0	2.590449	-0.008210048	-0.4622595	1.3564423	0.0064919135	0.051	127.0	878.430783033371	39.368492	5.600243	46.76593	26.494297	0.0	0.0
17	500.0	8.493685	0.73597294	8.92676	3.9917595	288000	-9.313226e-09	2.1787705	-0.007872201	-0.03234363	1.3564423	0.0056999996	0.052249998	127.0	925.497300863266	39.045128	5.123525	48.238075	27.534225	0.0	0.0
18	500.0	8.57307	0.8013678	9.060845	3.7988596	304000	-2.2351742e-08	1.4279736	-0.008040597	-0.11174926	1.3564423	0.0063200793	0.0568125	127.0	967.5669131278992	40.5425	4.6044106	47.80279	31.951544	0.0	0.0
19	500.0	8.897338	0.8723405	9.414765	3.8871183	320000	1.3038516e-08	2.0103056	-0.009859428	-0.39585525	1.3564423	0.005906032	0.0660625	127.0	1008.0060148239136	43.472652	4.5215244	51.815773	34.650757	0.0	0.0
20	500.0	9.419791	0.8921547	10.012249	3.9561388	336000	1.4901161e-08	0.94086397	-0.009129355	-0.022620227	1.3564423	0.004367051	0.057187498	127.0	1053.7037358283997	42.97924	3.442726	48.88438	32.990578	0.0	0.0
21	500.0	9.388942	0.82291573	9.989319	4.3713865	352000	-2.9802322e-08	1.2145641	-0.0086550005	-0.086315066	1.3564423	0.007394604	0.055749997	127.0	1101.1300756931305	44.024143	4.2652874	50.70544	37.026905	0.0	0.0
22	500.0	9.607774	0.8797387	10.356762	4.6255803	368000	3.1664968e-08	1.0069067	-0.008601608	-0.055338144	1.3564423	0.008106954	0.0699375	127.0	1147.9593844413757	44.514847	3.6961017	50.77458	35.326263	0.0	0.0
23	500.0	9.668371	0.9095006	10.585342	4.7370634	384000	-6.519258e-09	0.910595	-0.008793248	-0.07669183	1.3564423	0.00645402	0.061499998	127.0	1188.136732339859	45.057533	3.8767292	51.490334	35.480152	0.0	0.0
24	500.0	9.819108	0.98178446	10.836896	4.964489	400000	-1.8626451e-09	0.8236555	-0.008298397	-0.05748052	1.3564423	0.006924899	0.057937503	127.0	1230.695963859558	46.439972	3.272296	51.942966	37.647594	0.0	0.0
25	500.0	10.080879	0.9992387	11.103047	5.102662	416000	-9.313226e-09	1.3091242	-0.009541288	-0.23769435	1.3564423	0.007929218	0.0678125	127.0	1277.4117951393127	44.18068	4.9404845	51.390438	35.28089	0.0	0.0
26	500.0	9.664888	0.93042296	10.884863	5.0870686	432000	0.0	1.2519548	-0.008362672	-0.14018485	1.3564423	0.00641839	0.0635	127.0	1315.0173287391663	45.988556	4.0329976	51.873703	36.16558	0.0	0.0
27	500.0	9.89108	0.84730774	10.770133	5.2533007	448000	-1.3038516e-08	1.0104473	-0.008769048	-0.18720825	1.3564423	0.007079187	0.065125	127.0	1356.4683918952942	46.813423	4.4791346	52.040417	29.920782	0.0	0.0
28	500.0	10.064639	1.0492301	11.2898445	4.9186854	464000	-7.450581e-09	1.0232756	-0.010483252	-0.096204594	1.3564423	0.007960016	0.0715625	127.0	1395.1307289600372	47.664383	5.01956	52.498165	31.678354	0.0	0.0
29	500.0	10.362708	0.9782178	11.350297	5.241207	480000	-2.8871e-08	0.5294993	-0.008300069	-0.117245734	1.3564423	0.008322272	0.063062504	127.0	1439.181406736374	49.12687	2.9081535	52.21359	36.905777	0.0	0.0
30	500.0	10.704664	0.98226327	11.690323	5.315039	496000	-1.1175871e-08	0.4432168	-0.009418791	-0.06855052	1.3564423	0.0058533456	0.062437497	127.0	1481.4567158222198	50.09255	2.091616	53.600197	45.227676	0.0	0.0
31	500.0	10.816281	1.0311717	11.968764	5.363851	512000	1.8626451e-09	0.5327304	-0.009419882	-0.0410692	1.3564423	0.0073455963	0.0703125	127.0	1522.076298713684	49.572784	2.75036	53.667683	43.119453	0.0	0.0
32	500.0	10.888508	1.0158359	11.807362	5.404128	528000	2.142042e-08	0.34626585	-0.009331202	-0.048983004	1.3564423	0.007375532	0.07075	127.0	1560.0796976089478	50.64685	2.0158198	54.022118	44.47688	0.0	0.0
33	500.0	10.997403	1.0461731	12.071538	5.463003	544000	-4.4703484e-08	0.60220325	-0.009022949	-0.030588962	1.3564423	0.007384591	0.069375	127.0	1601.3567991256714	50.522305	3.3044164	54.69677	37.892876	0.0	0.0
34	500.0	11.026795	1.02481	11.882112	5.6300745	560000	2.2351742e-08	0.8058413	-0.0071680816	-0.029618045	1.3564423	0.0061091185	0.064125	127.0	1645.8870265483856	51.32505	3.5057006	58.91182	40.59692	0.0	0.0
35	500.0	11.130926	1.0108695	12.061652	5.555503	576000	3.3527613e-08	1.0126555	-0.008037224	-0.23141322	1.3564423	0.0050111925	0.0633125	127.0	1686.9423604011536	48.57023	4.3753033	53.71	36.034466	0.0	0.0
36	500.0	10.657566	1.0509415	11.603721	5.1334605	592000	-3.3527613e-08	0.8256209	-0.008641398	-0.15939513	1.3564423	0.007981986	0.0621875	127.0	1734.9551877975464	49.7408	2.969444	54.50612	41.038155	0.0	0.0
37	500.0	10.722049	1.0447086	11.876187	5.5650315	608000	1.1175871e-08	0.6201227	-0.008319505	-0.061971694	1.3564423	0.0071852263	0.069000006	127.0	1779.9121465682983	49.81006	2.869463	54.340466	42.236664	0.0	0.0
