Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0446349	0.012764077	0.08114447	0.00045773946	16000	-7.450581e-09	0.01777088	-0.0057961624	-0.010043182	1.3564423	0.007844258	0.051937502	127.0	70.60215091705322	0.75587225	0.42831695	1.9023212	0.22627002	0.0	0.0
1	500.0	0.13018495	0.053577136	0.24825346	-0.06734454	32000	2.0489097e-08	0.031133918	-0.007187379	-0.012352406	1.3564423	0.0062080305	0.066937506	127.0	130.1910800933838	1.311918	0.75706923	2.7675781	0.31846845	0.0	0.0
2	500.0	0.26993692	0.077791475	0.45310366	0.0038239826	48000	3.7252903e-09	0.20772001	-0.007486962	-0.083590165	1.3564423	0.0058785575	0.0715	127.0	191.0098419189453	2.8100333	1.782845	7.9903216	0.73031765	0.0	0.0
3	500.0	0.632693	0.13062164	1.0201803	0.112192154	64000	1.4901161e-08	1.4251057	-0.006632685	-0.61655235	1.3564423	0.0062078116	0.0644375	127.0	243.61096501350403	6.593216	4.404766	16.695362	0.9367567	0.0	0.0
4	500.0	1.5079929	0.28463876	2.221627	0.5356761	80000	-3.7252903e-09	2.3439603	-0.008288658	-1.0619398	1.3564423	0.00722351	0.06856251	127.0	285.0775933265686	10.791056	4.651173	24.43981	1.6628802	0.0	0.0
5	500.0	2.5429692	0.58443147	3.8135808	0.6167302	96000	-1.3504177e-08	4.8830853	-0.0072340984	-2.975809	1.3564423	0.0038435995	0.0555	127.0	324.0412187576294	18.28869	4.979845	28.17747	7.6394124	0.0	0.0
6	500.0	4.3258457	1.1505326	6.1779394	0.7016769	112000	-1.1175871e-08	2.9541507	-0.007681951	-0.942947	1.3564423	0.004509911	0.0676875	127.0	365.3744955062866	21.814838	4.957601	30.485308	10.80777	0.0	0.0
7	500.0	5.268217	1.4463627	7.0989137	0.6435506	128000	4.656613e-09	1.697908	-0.010134138	-0.30752927	1.3564423	0.0078392625	0.090749994	127.0	411.856507062912	23.938683	3.9289927	31.67248	16.74343	0.0	0.0
8	500.0	6.19901	1.5046496	7.774903	0.79247403	144000	7.450581e-09	2.3134527	-0.008697726	-0.23000114	1.3564423	0.00563189	0.064125	127.0	452.4949576854706	25.67116	5.4009666	34.74919	14.660568	0.0	0.0
9	500.0	6.171887	1.2116852	7.3750253	1.2103425	160000	2.2351742e-08	1.7875191	-0.008184636	-0.18916872	1.3564423	0.0068722703	0.073125005	127.0	497.74343037605286	28.288147	4.0281916	36.665302	19.219149	0.0	0.0
10	500.0	6.6118007	1.0809288	7.563539	1.7792192	176000	2.9802322e-08	2.2898455	-0.0077659236	-0.1398179	1.3564423	0.0054399986	0.054750003	127.0	542.114474773407	30.121944	5.907643	42.258175	14.347485	0.0	0.0
11	500.0	6.878582	0.82917863	7.564357	2.25133	192000	2.4214387e-08	1.9854116	-0.007494477	-0.16553749	1.3564423	0.0066274134	0.05975	127.0	582.4120581150055	28.806377	5.2428384	37.381355	16.822842	0.0	0.0
12	500.0	6.560315	0.68878204	7.1578083	2.505498	208000	-1.3038516e-08	2.346806	-0.008339122	-0.25501958	1.3564423	0.005802743	0.0686875	127.0	630.3832683563232	32.18849	5.753402	44.717762	19.056196	0.0	0.0
13	500.0	7.03971	0.6326914	7.4893622	3.1152482	224000	2.6077032e-08	2.5517628	-0.0070707835	-0.42691478	1.3564423	0.0059166923	0.05675	127.0	671.8749878406525	35.025597	5.4826865	44.498787	20.955477	0.0	0.0
14	500.0	7.623584	0.8271982	8.206743	2.7924466	240000	3.7252903e-09	1.5423479	-0.0072196033	-0.057195056	1.3564423	0.0058633774	0.0515	127.0	719.755292892456	34.98014	4.23638	45.848305	26.85158	0.0	0.0
15	500.0	7.710455	0.64274955	8.137452	3.735703	256000	-1.1175871e-08	1.5875952	-0.008384375	-0.020103691	1.3564423	0.0069890665	0.070375	127.0	763.9810321331024	35.224937	4.4183474	46.5305	25.712523	0.0	0.0
16	500.0	7.758186	0.68515503	8.191625	3.2930338	272000	9.313226e-09	1.8033504	-0.0076596993	-0.10539904	1.3564423	0.0055842204	0.059062503	127.0	802.6444175243378	37.062893	4.41249	47.969067	29.604076	0.0	0.0
17	500.0	8.038922	0.60605747	8.405548	3.3492904	288000	-1.4901161e-08	1.9106088	-0.00816183	-0.03426966	1.3564423	0.006015457	0.0678125	127.0	848.586911201477	36.19069	5.983542	48.05717	22.857113	0.0	0.0
