Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.045456544	0.026379837	0.103001975	-0.037497997	16000	0.0	0.0034365298	-0.0051079825	-0.0021206303	1.3564423	0.006927075	0.0548125	127.0	38.80594801902771	0.318304	0.1886708	0.84473205	0.080723405	0.0	0.0
1	500.0	0.05945603	0.023665044	0.12034336	-0.006275391	32000	-1.4901161e-08	0.0031201974	-0.008119602	-0.0014088666	1.3564423	0.0057915226	0.067875005	127.0	79.10009002685547	0.4869418	0.28749496	1.3250648	0.09686366	0.0	0.0
2	500.0	0.111245856	0.038622033	0.22302966	-0.00011619739	48000	-1.4901161e-08	0.006913866	-0.011242905	-0.002216348	1.3564423	0.008288716	0.123749994	127.0	116.43592190742493	0.79718053	0.46001965	2.8372195	0.3330258	0.0	0.0
3	500.0	0.18125887	0.054740004	0.32661775	-0.003691312	64000	0.0	0.03728143	-0.007998043	-0.016033215	1.3564423	0.006995243	0.0881875	127.0	149.04507851600647	1.3126279	0.9391789	5.076734	0.26823437	0.0	0.0
4	500.0	0.3248751	0.14450963	0.7969666	0.05180504	80000	1.4901161e-08	0.07776061	-0.008695506	-0.048274785	1.3564423	0.007887498	0.1075625	127.0	187.2233021259308	1.9341527	1.5016465	7.264351	0.5269562	0.0	0.0
5	500.0	0.70969456	0.46802735	2.0739985	-0.0945227	96000	1.1920929e-07	1.0256577	-0.0067435345	-0.4498119	1.3564423	0.005734428	0.0709375	127.0	217.84001326560974	5.2720222	4.419183	16.867403	0.5820891	0.0	0.0
6	500.0	1.6496949	0.98055977	3.6734128	-0.2489514	112000	1.4901161e-08	3.202182	-0.007372845	-1.2819806	1.3564423	0.005789415	0.0695	127.0	258.2372844219208	10.490776	7.6857867	27.218498	1.1647767	0.0	0.0
7	500.0	2.2809086	1.8206532	6.161658	-0.9732317	128000	-2.6077032e-08	2.9675322	-0.008448584	-1.427578	1.3564423	0.008216156	0.0903125	127.0	300.7742578983307	12.85984	9.099616	31.545256	0.42443267	0.0	0.0
8	500.0	4.8630986	2.1187654	7.824478	-1.061248	144000	-1.1175871e-08	3.6059518	-0.009709135	-0.62614834	1.3564423	0.004793914	0.0825625	127.0	341.5405807495117	17.61462	9.047618	37.685795	0.88839024	0.0	0.0
9	500.0	4.3976154	2.2020245	8.138579	-0.64830023	160000	2.9802322e-08	3.5451937	-0.009291673	-0.93453574	1.3564423	0.0075791255	0.078875005	127.0	374.2409384250641	20.530895	11.428559	40.65729	0.83602804	0.0	0.0
10	500.0	5.097044	2.799504	9.091696	-1.0161223	176000	4.656613e-09	5.506529	-0.0064546634	-1.1358927	1.3564423	0.007288153	0.057125002	127.0	413.25612330436707	24.598507	14.302942	56.748573	1.0340703	0.0	0.0
11	500.0	6.961375	2.797258	9.707216	-2.1993709	192000	0.0	3.7519462	-0.008599903	-0.35974744	1.3564423	0.006295194	0.0615625	127.0	451.0801811218262	26.40301	10.643876	45.845016	0.6267944	0.0	0.0
12	500.0	6.9354324	2.273885	9.074722	-1.3887153	208000	0.0	8.51371	-0.0084150005	-0.33473232	1.3564423	0.0073345248	0.0785	127.0	487.4965841770172	29.158451	13.249374	83.01023	0.36739513	0.0	0.0
13	500.0	7.06402	2.0609477	8.863021	0.17378688	224000	-3.7252903e-09	15.115171	-0.006804074	-0.8665575	1.3564423	0.006107958	0.060875002	127.0	527.4599103927612	32.016216	18.54697	96.48378	1.073344	0.0	0.0
14	500.0	7.6120644	2.0213084	9.323789	-0.20008144	240000	3.7252903e-09	7.15216	-0.007941587	-0.5902324	1.3564423	0.0056920573	0.061499998	127.0	569.8624973297119	34.777294	11.358254	69.71642	7.929222	0.0	0.0
15	500.0	8.120053	2.17577	9.825585	0.09972006	256000	7.450581e-09	4.573762	-0.009475222	-0.78857106	1.3564423	0.0068249595	0.065125	127.0	603.1439428329468	30.081009	9.34079	44.12831	4.8398337	0.0	0.0
16	500.0	7.287795	2.1004484	8.947174	0.13129008	272000	-7.450581e-09	11.237487	-0.0070535475	-1.287432	1.3564423	0.008059922	0.0630625	127.0	640.6832954883575	36.548313	16.02975	95.71994	1.0490669	0.0	0.0
17	500.0	8.654365	1.7603202	9.826263	-0.33552787	288000	2.2351742e-08	7.7152824	-0.00802845	-0.4795382	1.3564423	0.006581338	0.076000005	127.0	681.5950734615326	40.766148	12.623876	98.82693	27.894407	0.0	0.0
18	500.0	9.291581	1.6602067	10.377363	-0.020036813	304000	1.4901161e-08	7.7209196	-0.008526908	-1.0361698	1.3564423	0.0067108767	0.064812504	127.0	715.2516596317291	41.428894	12.112112	77.0078	20.06969	0.0	0.0
19	500.0	9.609278	1.9482769	11.051716	1.3779199	320000	-3.1664968e-08	6.396426	-0.008497668	-0.67246896	1.3564423	0.005236149	0.0649375	127.0	753.8529875278473	39.113625	10.239523	73.51187	23.598969	0.0	0.0
20	500.0	9.112815	1.4928113	10.21865	1.7016253	336000	1.4901161e-08	20.728626	-0.007646095	-3.3206935	1.3564423	0.008008679	0.070125006	127.0	793.4763712882996	48.919617	19.849667	111.576256	24.409088	0.0	0.0
21	500.0	10.519567	2.134799	11.956302	-0.3223744	352000	1.4901161e-08	5.144015	-0.008122825	-2.0661287	1.3564423	0.005078474	0.057625	127.0	834.2111132144928	38.594727	7.8553267	52.222897	19.775238	0.0	0.0
22	500.0	8.912449	2.2137947	10.752583	-1.7114475	368000	-2.9802322e-08	3.002601	-0.010076348	-0.26545286	1.3564423	0.007173011	0.061375	127.0	869.541455745697	41.027603	8.231076	60.612923	22.31804	0.0	0.0
23	500.0	9.605178	1.7630594	11.012567	2.1472151	384000	-3.7252903e-09	10.81874	-0.008613367	-1.0911828	1.3564423	0.009357079	0.0824375	127.0	905.315514087677	46.058228	15.070751	101.75935	22.563076	0.0	0.0
24	500.0	10.437621	2.0220659	12.029792	1.6983122	400000	7.450581e-09	7.093865	-0.009831039	-0.38902497	1.3564423	0.009200937	0.084625006	127.0	941.617401599884	45.549904	12.302474	94.24095	16.481956	0.0	0.0
25	500.0	10.1991	2.129496	12.131191	1.7244935	416000	-7.450581e-09	7.3488975	-0.008906107	-0.3804887	1.3564423	0.007875718	0.0864375	127.0	977.320333480835	46.145832	13.225035	105.731834	30.395597	0.0	0.0
26	500.0	10.816684	1.8998955	12.579969	1.73101	432000	-2.4214387e-08	9.440864	-0.009030061	-0.8887085	1.3564423	0.007594051	0.096125	127.0	1013.1054859161377	47.180454	14.002986	116.63969	29.711447	0.0	0.0
27	500.0	10.710112	1.7353055	12.256162	3.2241142	448000	-2.7939677e-09	3.4649148	-0.010478776	-0.3530144	1.3564423	0.00973905	0.0919375	127.0	1048.6826610565186	47.20878	7.216944	67.749374	34.738102	0.0	0.0
28	500.0	10.918977	1.645728	12.025789	3.3737743	464000	-1.4901161e-08	12.166273	-0.008484742	-1.4300902	1.3564423	0.0060696667	0.073312506	127.0	1083.5380222797394	53.848606	15.023522	109.220474	36.82104	0.0	0.0
29	500.0	11.749828	2.1058617	13.139824	2.9123185	480000	-2.9802322e-08	8.100411	-0.009339669	-0.29757768	1.3564423	0.011079041	0.1001875	127.0	1125.4513638019562	49.82604	12.511042	96.31097	34.7487	0.0	0.0
30	500.0	11.591215	1.9179525	12.942668	3.0708957	496000	7.450581e-09	11.3728695	-0.009598331	-0.91776097	1.3564423	0.009195784	0.091125	127.0	1162.6017172336578	53.64882	15.331743	110.312584	32.895992	0.0	0.0
31	500.0	11.933014	2.1680787	13.769138	1.1052122	512000	-7.450581e-09	6.1868916	-0.010817164	-0.31280333	1.3564423	0.0093586035	0.09612501	127.0	1199.5796420574188	52.05567	9.430239	80.54056	38.05066	0.0	0.0
32	500.0	11.976535	2.142339	13.855531	1.9563054	528000	3.7252903e-09	8.289068	-0.008516713	-0.32457796	1.3564423	0.011301046	0.1041875	127.0	1237.4611420631409	52.25161	15.036185	123.2549	36.43064	0.0	0.0
33	500.0	11.314613	2.6835394	14.096478	0.6408549	544000	-2.2351742e-08	16.600536	-0.010015955	-1.5897591	1.3564423	0.008431701	0.0933125	127.0	1276.1859922409058	55.743336	19.131598	114.415726	7.656219	0.0	0.0
34	500.0	13.282377	2.492768	15.149758	0.68222505	560000	3.7252903e-08	8.701948	-0.009799565	-1.5265322	1.3564423	0.008143681	0.0801875	127.0	1316.2411897182465	53.44462	12.836086	107.49357	36.41877	0.0	0.0
35	500.0	11.985928	3.1070046	14.8972	-7.0554514	576000	3.3527613e-08	18.38101	-0.0086713815	-1.6488507	1.3564423	0.00880343	0.087	127.0	1353.6851918697357	57.249237	20.907005	134.38074	39.139084	0.0	0.0
36	500.0	13.172801	2.5165317	15.367859	3.3084085	592000	0.0	13.781862	-0.009582425	-0.2909379	1.3564423	0.007811308	0.087625	127.0	1386.7029163837433	56.883995	16.43712	113.78305	40.391247	0.0	0.0
37	500.0	13.050889	2.4063263	15.295346	3.558088	608000	2.7939677e-08	26.297127	-0.008257615	-3.3189976	1.3564423	0.009400565	0.0785625	127.0	1421.5962963104248	63.83722	22.971577	119.654205	43.368343	0.0	0.0
38	500.0	14.044193	3.0257025	16.7713	2.0648644	624000	1.4901161e-08	22.11699	-0.008670378	-1.077534	1.3564423	0.008511086	0.07975	127.0	1459.3133251667023	61.512596	24.302145	126.61032	34.655926	0.0	0.0
39	500.0	13.50206	3.3160145	17.202183	0.62194496	640000	-3.7252903e-09	17.250603	-0.009448089	-1.1582086	1.3564423	0.0081731295	0.086375	127.0	1493.940983057022	58.448227	19.70138	123.87504	33.229076	0.0	0.0
40	500.0	13.742251	3.013848	16.99707	0.42843646	656000	7.450581e-09	30.628506	-0.009479026	-3.4141843	1.3564423	0.008918498	0.081125006	127.0	1530.2061278820038	68.94194	26.603928	131.3042	40.000076	0.0	0.0
41	500.0	15.115806	3.1764805	18.372253	1.2529994	672000	7.450581e-09	26.131416	-0.010057996	-1.2847338	1.3564423	0.008319123	0.09406251	127.0	1569.2586760520935	62.31935	25.93878	125.4362	32.3081	0.0	0.0
42	500.0	14.412521	3.3794503	18.498072	1.5097411	688000	-1.4901161e-08	23.723543	-0.00949629	-1.4021595	1.3564423	0.008576088	0.076749995	127.0	1604.2375695705414	64.74889	23.863705	128.30331	42.759296	0.0	0.0
43	500.0	15.09279	3.4620569	18.957664	3.3663445	704000	-7.450581e-09	44.153797	-0.009535012	-5.939077	1.3564423	0.009421456	0.079375	127.0	1643.1242094039917	72.83089	33.12307	142.2477	34.668266	0.0	0.0
44	500.0	16.41034	4.072553	20.617249	1.3621585	720000	2.2351742e-08	30.596985	-0.008532998	-4.0602245	1.3564423	0.007636239	0.076312505	127.0	1687.8627161979675	66.409775	25.458584	129.07904	42.200848	0.0	0.0
45	500.0	15.309985	3.6046467	20.352669	3.8869174	736000	2.2351742e-08	31.1592	-0.00936703	-3.7713234	1.3564423	0.007632095	0.080375	127.0	1728.5426270961761	65.87589	26.290958	134.48836	42.01561	0.0	0.0
46	500.0	14.713254	3.4683313	20.491669	4.4993744	752000	1.8626451e-09	40.447	-0.009192314	-7.078223	1.3564423	0.009134131	0.0779375	127.0	1770.5288071632385	72.30679	31.917473	134.53983	34.730896	0.0	0.0
47	500.0	16.56009	4.64364	22.146585	-0.19860323	768000	-2.2351742e-08	32.791847	-0.008987974	-4.3686104	1.3564423	0.0066583077	0.075125	127.0	1809.2522881031036	67.14391	29.169844	134.86424	37.775288	0.0	0.0
48	500.0	16.364637	4.0821147	22.598661	2.9010406	784000	3.7252903e-09	31.587383	-0.011145999	-1.8798473	1.3564423	0.0092633525	0.0941875	127.0	1844.1456515789032	68.38991	28.656187	139.51413	41.6959	0.0	0.0
49	500.0	15.40441	3.9088953	22.664825	3.3611324	800000	-7.450581e-09	28.187984	-0.009718716	-1.6514025	1.3564423	0.010445788	0.0971875	127.0	1884.811918258667	65.89313	26.763746	136.9732	19.835047	0.0	0.0
50	500.0	15.010582	4.3727927	22.84848	0.7020251	816000	-1.4901161e-08	38.499447	-0.009328483	-5.7436643	1.3564423	0.007652739	0.0781875	127.0	1922.265690088272	71.67981	34.36558	140.21674	1.7362182	0.0	0.0
51	500.0	16.850607	4.8237257	24.085484	-1.1396247	832000	-2.7008355e-08	42.227142	-0.009893036	-6.2842975	1.3564423	0.0067540724	0.0783125	127.0	1958.17582654953	70.88932	30.061678	133.83032	39.06041	0.0	0.0
52	500.0	16.521465	3.9073112	23.962954	2.0886257	848000	7.450581e-09	43.124435	-0.010361027	-5.036433	1.3564423	0.008108837	0.083187506	127.0	1996.3556609153748	68.191025	31.110544	135.61943	33.06821	0.0	0.0
53	500.0	16.11053	3.8985858	22.443989	2.7401364	864000	0.0	35.381737	-0.010061074	-4.0627203	1.3564423	0.009021965	0.0835	127.0	2035.7539582252502	69.96096	30.90173	138.94633	39.164726	0.0	0.0
54	500.0	15.61248	4.5428934	23.980846	2.7620766	880000	1.1175871e-08	42.834614	-0.009124414	-5.121853	1.3564423	0.009848804	0.077125	127.0	2076.1316690444946	68.4601	37.847927	139.13974	2.6602151	0.0	0.0
55	500.0	15.986686	5.65254	25.193693	-3.412033	896000	0.0	36.923737	-0.009428494	-3.9068165	1.3564423	0.009013232	0.0785	127.0	2109.7948343753815	66.80318	33.55837	134.40152	1.1596167	0.0	0.0
56	500.0	15.823313	5.1080904	25.628395	-0.29618415	912000	-1.4901161e-08	42.907837	-0.009564785	-3.7699394	1.3564423	0.0077416506	0.0768125	127.0	2151.1186633110046	73.84412	33.805958	132.91823	9.386057	0.0	0.0
57	500.0	16.897657	5.5822453	26.021994	0.36126208	928000	-1.4901161e-08	34.224823	-0.009862221	-5.3196964	1.3564423	0.008369741	0.091437496	127.0	2187.800121307373	64.54409	33.554005	144.45105	0.6234028	0.0	0.0
58	500.0	16.352886	5.0835304	26.403389	-0.038923144	944000	9.313226e-09	39.95925	-0.008354933	-3.5836978	1.3564423	0.00637831	0.0680625	127.0	2220.048198223114	72.835396	32.874977	138.88217	40.28955	0.0	0.0
59	500.0	16.341303	4.6817374	26.688372	0.5427249	960000	0.0	37.584473	-0.009067926	-2.9071307	1.3564423	0.008641106	0.0814375	127.0	2258.123119354248	69.94873	31.736168	136.83728	40.564827	0.0	0.0
60	500.0	14.931084	4.6061835	26.503742	0.45529935	976000	-7.450581e-09	24.993855	-0.010428362	-6.552678	1.3564423	0.008470036	0.0859375	127.0	2294.6716763973236	57.834602	25.976377	136.26715	2.5870233	0.0	0.0
61	500.0	14.477349	4.821748	27.07075	-2.8106406	992000	2.2351742e-08	44.00466	-0.009620901	-8.822542	1.3564423	0.0080892965	0.0870625	127.0	2334.315810918808	74.10677	32.300632	136.59315	21.090775	0.0	0.0
62	500.0	17.54075	5.2477665	28.903889	-0.105063766	1008000	1.3969839e-08	43.55143	-0.011021309	-5.481509	1.3564423	0.006923154	0.0890625	127.0	2374.6505193710327	80.90909	34.795807	135.87273	36.158886	0.0	0.0
63	500.0	18.484833	5.815212	29.815712	-1.0992086	1024000	-3.7252903e-09	38.476944	-0.011238154	-7.816251	1.3564423	0.010925952	0.0974375	127.0	2412.4115216732025	73.64559	32.083527	142.1154	35.73567	0.0	0.0
64	500.0	16.594164	5.301237	30.73638	-0.7010746	1040000	-7.450581e-09	40.075882	-0.011704914	-10.091166	1.3564423	0.009833889	0.1011875	127.0	2447.191820383072	65.00618	29.095528	134.58229	36.613937	0.0	0.0
65	500.0	16.572474	5.646219	30.133562	-1.9047048	1056000	-3.7252903e-09	52.1501	-0.009850346	-12.757795	1.3564423	0.008247308	0.0714375	127.0	2485.481600046158	86.34273	34.06768	134.70334	38.665943	0.0	0.0
66	500.0	17.92313	5.5131035	31.944073	3.4954495	1072000	1.4901161e-08	34.351654	-0.011354118	-12.410772	1.3564423	0.00954536	0.099625	127.0	2522.9763629436493	64.47941	30.585499	134.02257	35.643814	0.0	0.0
