Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.038964577	0.012918854	0.07588848	-0.0041180365	16000	1.3038516e-08	0.019086793	-0.005814246	-0.011072231	1.3564423	0.0077467	0.0518125	127.0	57.2623245716095	0.76831985	0.43446377	1.9201676	0.22986886	0.0	0.0
1	500.0	0.13017406	0.053572543	0.24624282	-0.067670934	32000	0.0	0.03231486	-0.0072324807	-0.012843962	1.3564423	0.0061331466	0.06525	127.0	97.07483339309692	1.327821	0.7665142	2.7950876	0.3265298	0.0	0.0
2	500.0	0.26928136	0.078384906	0.4483833	-0.0025950205	48000	-7.450581e-09	0.21785226	-0.007397403	-0.0879851	1.3564423	0.005890665	0.071125	127.0	144.23240518569946	2.8450603	1.8256322	8.149234	0.7350963	0.0	0.0
3	500.0	0.6371134	0.13018021	1.026821	0.12062923	64000	8.195639e-08	1.4687994	-0.0065488326	-0.6284822	1.3564423	0.0062115286	0.064624995	127.0	190.43849635124207	6.659006	4.47428	17.011198	0.93101746	0.0	0.0
4	500.0	1.5121468	0.27846158	2.2166438	0.54390246	80000	1.1175871e-08	2.3576624	-0.008324453	-1.073213	1.3564423	0.007163278	0.0688125	127.0	234.4802794456482	10.857842	4.6313944	24.394835	1.7229635	0.0	0.0
5	500.0	2.5483096	0.56728774	3.8471634	0.69369596	96000	-3.4458935e-08	4.979446	-0.0069202664	-3.0045426	1.3564423	0.0038864303	0.0524375	127.0	282.32465720176697	18.366364	5.065675	28.456758	7.474323	0.0	0.0
6	500.0	4.322217	1.1156752	6.2280593	0.7561197	112000	-5.2154064e-08	3.00592	-0.007795451	-0.9355602	1.3564423	0.0043940954	0.0698125	127.0	320.1662132740021	21.679613	5.3417907	32.873795	9.897104	0.0	0.0
7	500.0	5.2258644	1.4397007	7.325311	0.5848228	128000	-1.8626451e-08	1.9580768	-0.009432952	-0.32719812	1.3564423	0.0071334112	0.081125006	127.0	365.2357451915741	23.768978	4.7053432	35.30919	16.819874	0.0	0.0
8	500.0	6.1673527	1.499458	7.8402367	0.7811262	144000	3.7252903e-09	2.0476482	-0.008477919	-0.1489948	1.3564423	0.004734335	0.060500003	127.0	408.26814246177673	25.820572	4.7450895	32.938942	15.388007	0.0	0.0
9	500.0	6.1931143	1.2349721	7.456294	1.5289142	160000	-7.450581e-09	1.9401941	-0.008879703	-0.15155749	1.3564423	0.008606011	0.0803125	127.0	452.3303737640381	27.975933	4.1506596	36.515144	19.557194	0.0	0.0
10	500.0	6.584286	1.0834284	7.5703588	1.8278509	176000	-1.3038516e-08	2.445064	-0.008311644	-0.20436311	1.3564423	0.0062287264	0.0598125	127.0	497.6678035259247	28.85604	5.620547	38.862972	15.766267	0.0	0.0
11	500.0	6.5754275	0.68665844	7.181108	2.435236	192000	-3.7252903e-09	2.1122568	-0.007343719	-0.107134074	1.3564423	0.005642196	0.0634375	127.0	540.8431568145752	30.788744	4.857901	40.131947	20.71039	0.0	0.0
12	500.0	6.8838735	0.71528435	7.425527	2.163295	208000	-2.6077032e-08	2.0523522	-0.008452083	-0.13356718	1.3564423	0.006950224	0.066750005	127.0	583.3725137710571	32.944496	5.216416	42.11771	21.785599	0.0	0.0
13	500.0	7.197941	0.6819528	7.702096	2.5955894	224000	-7.450581e-09	1.9648447	-0.00784061	-0.04836221	1.3564423	0.007317539	0.066625	127.0	631.4736218452454	32.988617	5.1825337	43.197315	22.687422	0.0	0.0
14	500.0	7.294471	0.75650126	7.9089894	2.393647	240000	-2.2351742e-08	1.6673341	-0.008077728	-0.18500684	1.3564423	0.0053577335	0.059249997	127.0	675.393640756607	35.195454	3.3991191	41.923676	27.45023	0.0	0.0
