Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.040180225	0.024704592	0.094933145	-0.04235948	16000	0.0	0.0020834967	-0.0056017563	-0.0014542474	1.3564423	0.00748604	0.0601875	127.0	62.64038157463074	0.2853355	0.11808325	0.63165545	0.09527636	0.0	0.0
1	500.0	0.052372955	0.020139102	0.10664767	-0.0037881061	32000	0.0	0.00093043054	-0.010852354	-0.00034887312	1.3564423	0.007501862	0.105124995	127.0	123.5136706829071	0.3496154	0.15133253	0.7543539	0.1692179	0.0	0.0
2	500.0	0.0804532	0.02058892	0.1289904	0.012160004	48000	7.450581e-09	0.0031125662	-0.014405841	-0.0014879315	1.3564423	0.008051558	0.121999994	127.0	181.7697296142578	0.6366104	0.22864184	1.1509507	0.23997673	0.0	0.0
3	500.0	0.14084104	0.024053525	0.2153893	0.036146313	64000	-7.450581e-09	0.010912313	-0.009811295	-0.0061807847	1.3564423	0.0071064346	0.0921875	127.0	244.1209237575531	1.0050563	0.42121312	2.139779	0.37952596	0.0	0.0
4	500.0	0.21688718	0.046447445	0.40824	0.10713603	80000	1.8626451e-08	0.014136851	-0.010905446	-0.007907515	1.3564423	0.008625631	0.108687505	127.0	300.4838364124298	1.2936255	0.4329126	2.0939915	0.49365604	0.0	0.0
5	500.0	0.35345027	0.12446612	0.73191357	0.093794145	96000	-1.4901161e-08	0.3374177	-0.0061053443	-0.1650307	1.3564423	0.004686746	0.0635	127.0	356.5033402442932	2.8435535	2.2077217	12.951941	0.9922072	0.0	0.0
6	500.0	0.8695554	0.4799762	2.1711578	-0.19012794	112000	-1.8626451e-09	0.7109988	-0.007600959	-0.35405287	1.3564423	0.0073422007	0.0941875	127.0	413.15985774993896	5.5499544	3.367726	12.687938	0.85351956	0.0	0.0
7	500.0	1.8170779	0.896516	3.601745	-0.035905454	128000	-4.8428774e-08	1.7502424	-0.006932739	-1.0378125	1.3564423	0.005979591	0.073125	127.0	461.2291524410248	10.791779	3.566104	19.494667	3.221725	0.0	0.0
8	500.0	3.063539	1.5063794	5.6315207	0.1528061	144000	0.0	1.697787	-0.009466691	-0.68613183	1.3564423	0.0072049564	0.0914375	127.0	508.9939067363739	14.802086	4.331324	23.308409	6.291753	0.0	0.0
9	500.0	4.1351886	1.8589886	6.8956637	0.3677338	160000	3.7252903e-09	1.6183596	-0.01009151	-0.44034228	1.3564423	0.009912728	0.101187505	127.0	553.6011090278625	18.463417	4.22573	25.646631	7.1444716	0.0	0.0
10	500.0	5.2599025	1.9198897	7.4259315	0.34583634	176000	3.7252903e-09	2.4313226	-0.008085651	-0.34908774	1.3564423	0.0051920647	0.0708125	127.0	603.5839040279388	22.900002	5.538409	33.768257	9.53947	0.0	0.0
11	500.0	5.728841	1.7325976	7.5217223	0.50357336	192000	2.2351742e-08	1.9185762	-0.0102028595	-0.18075693	1.3564423	0.0074338503	0.078062505	127.0	655.2884700298309	24.728643	5.401673	34.236614	13.731727	0.0	0.0
12	500.0	6.26028	1.7995998	7.830352	0.26660025	208000	3.7252903e-09	2.5618708	-0.0090254545	-0.2934807	1.3564423	0.006778558	0.077250004	127.0	702.578932762146	28.17183	5.7217374	40.32342	16.236225	0.0	0.0
13	500.0	6.812151	1.8127053	8.247228	0.7433794	224000	7.450581e-09	1.8846803	-0.009228732	-0.087398015	1.3564423	0.0076879216	0.071875006	127.0	745.756320476532	29.032238	5.1541023	38.34381	15.926843	0.0	0.0
14	500.0	7.006654	1.6366149	8.13374	1.2782851	240000	1.4901161e-08	2.0290465	-0.0078139445	-0.054337878	1.3564423	0.005280423	0.0545625	127.0	788.692113161087	30.060318	6.1331472	42.42815	10.113535	0.0	0.0
15	500.0	7.2203994	1.6846893	8.346094	1.5973678	256000	0.0	1.6530254	-0.009532928	-0.1044911	1.3564423	0.0076861293	0.066874996	127.0	836.5556647777557	30.41431	4.4255924	36.66138	21.501253	0.0	0.0
16	500.0	7.22004	1.3707675	8.044767	1.8792561	272000	1.8626451e-08	1.9546945	-0.0077847773	-0.18851854	1.3564423	0.006165298	0.0519375	127.0	880.7028203010559	32.81973	5.200267	43.82789	19.31627	0.0	0.0
17	500.0	7.5619802	1.3950499	8.422409	1.7176251	288000	-1.8626451e-08	2.6717944	-0.0078522265	-0.1075343	1.3564423	0.007159075	0.061249997	127.0	925.6223344802856	32.985886	7.2665915	46.91261	17.41692	0.0	0.0
18	500.0	7.5287642	1.4023631	8.509918	0.29304278	304000	1.4901161e-08	2.4217577	-0.008569692	-0.19074312	1.3564423	0.0047555016	0.06075	127.0	969.5904388427734	34.922264	5.959906	46.099514	22.991114	0.0	0.0
19	500.0	7.9485426	1.3427086	8.738573	2.0712407	320000	-1.1175871e-08	2.0411196	-0.008982619	-0.05812551	1.3564423	0.004999079	0.0655625	127.0	1018.0464794635773	35.81744	5.338876	45.6492	17.735777	0.0	0.0
20	500.0	8.115656	1.371241	8.929058	2.0474293	336000	-1.3038516e-08	1.9035963	-0.008161701	-0.03198906	1.3564423	0.00606318	0.0574375	127.0	1062.8775851726532	36.306473	5.7429476	45.34628	21.14707	0.0	0.0
21	500.0	8.199101	1.4038149	9.048447	2.1463132	352000	-1.1175871e-08	2.2685776	-0.0071127038	-0.063262865	1.3564423	0.004459208	0.0529375	127.0	1109.5018875598907	35.230213	6.044813	45.93703	21.079287	0.0	0.0
22	500.0	8.080589	1.3770474	8.880192	2.840272	368000	-3.7252903e-09	3.0366745	-0.008830277	-0.34695518	1.3564423	0.0078768935	0.0586875	127.0	1152.5343601703644	36.660538	7.246003	48.694813	23.203701	0.0	0.0
23	500.0	8.285162	1.3888246	9.290101	2.7226813	384000	1.1175871e-08	2.852477	-0.009256691	-0.18414707	1.3564423	0.0065041706	0.06325	127.0	1198.0330231189728	35.937622	7.0191646	51.32391	21.44822	0.0	0.0
24	500.0	8.12578	1.2404633	8.9136505	3.4994388	400000	0.0	2.6461844	-0.009053588	-0.1091658	1.3564423	0.0069826986	0.069437504	127.0	1244.9347338676453	35.587814	7.4194307	46.483738	18.068857	0.0	0.0
25	500.0	8.167178	1.2236822	8.913127	3.4821486	416000	2.2351742e-08	2.9880102	-0.0085809985	-0.7939079	1.3564423	0.006549486	0.060312502	127.0	1286.6433227062225	40.06977	7.026588	51.27935	21.836998	0.0	0.0
26	500.0	8.863404	1.624873	9.987861	1.2834657	432000	-3.7252903e-09	2.1505945	-0.008696791	-0.16405918	1.3564423	0.0068495097	0.0610625	127.0	1329.7392392158508	40.600075	5.8957024	49.97598	25.991526	0.0	0.0
27	500.0	9.247909	1.4271798	10.096705	3.8718877	448000	-1.1175871e-08	2.518445	-0.008712663	-0.11296343	1.3564423	0.007467171	0.0644375	127.0	1380.845415353775	40.685173	7.5390177	51.35321	22.298428	0.0	0.0
28	500.0	9.158823	1.585289	10.284646	1.3210094	464000	2.9802322e-08	2.8010373	-0.008497732	-0.25789183	1.3564423	0.0067219986	0.058437496	127.0	1426.655285358429	42.719776	7.4502873	52.926884	22.897247	0.0	0.0
29	500.0	9.707814	1.6133733	10.816395	3.8022652	480000	-1.4901161e-08	2.801254	-0.009206843	-0.5364914	1.3564423	0.0077920514	0.0680625	127.0	1472.2306544780731	39.64309	7.2594347	50.12523	23.506445	0.0	0.0
30	500.0	9.000556	1.5222347	10.226372	3.3952546	496000	-1.4901161e-08	2.551395	-0.008147408	-0.338389	1.3564423	0.0055676163	0.0569375	127.0	1519.4399528503418	41.657284	8.240066	55.072865	20.299818	0.0	0.0
31	500.0	9.532937	1.5850168	10.619394	3.6697698	512000	3.7252903e-09	1.9109181	-0.009570551	-0.13772278	1.3564423	0.0058200713	0.073874995	127.0	1563.6532146930695	42.07022	6.908373	50.072845	23.01772	0.0	0.0
32	500.0	9.685506	1.5264841	10.643342	3.6135695	528000	1.8626451e-08	2.8449802	-0.0076550315	-0.31389713	1.3564423	0.0063628815	0.059062503	127.0	1615.2303516864777	40.51426	7.273759	52.192856	23.720688	0.0	0.0
33	500.0	9.230972	1.319235	10.192529	4.253807	544000	-1.4901161e-08	1.8768805	-0.010180425	-0.25556022	1.3564423	0.0070597874	0.0678125	127.0	1663.0278141498566	40.316402	6.7394433	54.7125	23.17186	0.0	0.0
34	500.0	9.180154	1.3729881	10.394967	3.959057	560000	1.4901161e-08	2.1222541	-0.007727764	-0.53651536	1.3564423	0.005320885	0.053000003	127.0	1712.9371013641357	44.085342	5.710519	52.516174	25.231636	0.0	0.0
35	500.0	9.83484	1.4443995	10.877626	3.8906713	576000	0.0	1.7273561	-0.00944458	-0.22128695	1.3564423	0.004795287	0.0551875	127.0	1759.2217664718628	43.647125	6.7127385	52.70499	24.409819	0.0	0.0
36	500.0	9.750387	1.5656961	11.407988	4.0371947	592000	0.0	2.8381853	-0.008982651	-0.6577633	1.3564423	0.0047632884	0.066375	127.0	1802.9077911376953	41.375496	8.276624	51.983356	20.68237	0.0	0.0
37	500.0	9.563776	1.477791	11.295766	3.9993706	608000	-2.2351742e-08	1.5265955	-0.009232184	-0.2746777	1.3564423	0.006011433	0.06650001	127.0	1850.8059351444244	44.065422	6.105327	52.001606	25.287941	0.0	0.0
38	500.0	9.915767	1.5777247	11.777278	3.8463945	624000	0.0	1.1801238	-0.008971416	-0.17692877	1.3564423	0.0051508853	0.070250005	127.0	1898.3438682556152	44.45917	4.714266	51.576797	34.508972	0.0	0.0
39	500.0	9.926552	1.7505549	11.793828	3.435323	640000	-2.6077032e-08	1.8596264	-0.0077278195	-0.3689831	1.3564423	0.0068692593	0.052875	127.0	1943.2298316955566	45.37607	6.0942454	54.111034	28.615753	0.0	0.0
