Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.039485008	0.02589958	0.100320116	-0.038673636	16000	-6.519258e-09	0.0018725416	-0.0063278577	-0.0013349273	1.3564423	0.0071538785	0.0615625	127.0	59.43803358078003	0.2561134	0.1221077	0.5999763	0.09334017	0.0	0.0
1	500.0	0.04786072	0.017317105	0.09238336	-0.0009200964	32000	0.0	0.0006610581	-0.010125963	-0.00021832436	1.3564423	0.007616625	0.105124995	127.0	116.74881529808044	0.28279737	0.13415277	0.72523993	0.09638885	0.0	0.0
2	500.0	0.0651987	0.01791722	0.124114074	0.0108076595	48000	-2.9802322e-08	0.0023068888	-0.01265075	-0.0012713405	1.3564423	0.0075157993	0.115687504	127.0	181.08369207382202	0.5182167	0.23996216	1.112765	0.21047585	0.0	0.0
3	500.0	0.12035719	0.027374145	0.21532314	0.025655694	64000	7.450581e-09	0.012255507	-0.0074008023	-0.0053867125	1.3564423	0.007802153	0.101500005	127.0	234.2617380619049	0.8260221	0.5429412	3.4754674	0.25079536	0.0	0.0
4	500.0	0.22972363	0.0992763	0.5950582	0.036581956	80000	3.7252903e-09	0.07776285	-0.0068252273	-0.035903554	1.3564423	0.0074004754	0.0888125	127.0	275.69022393226624	1.577141	1.3278078	5.665774	0.42572787	0.0	0.0
5	500.0	0.48934802	0.32822818	1.5763474	-0.20791231	96000	4.656613e-08	0.46327788	-0.006684644	-0.1883913	1.3564423	0.006790974	0.07956249	127.0	322.1130576133728	3.295414	3.0708387	13.389625	0.49692607	0.0	0.0
6	500.0	1.2071512	0.68324417	2.8955674	-0.1492068	112000	-2.6077032e-08	1.8233483	-0.006829326	-0.92119604	1.3564423	0.0049436726	0.061875	127.0	367.4046938419342	8.357866	5.4890914	21.536196	1.0991033	0.0	0.0
7	500.0	1.7431257	1.2792213	4.8689904	-0.48980942	128000	4.656613e-08	2.0413933	-0.009302123	-1.1845869	1.3564423	0.008998932	0.101687506	127.0	414.6661579608917	9.833294	7.539353	23.516998	0.80735743	0.0	0.0
8	500.0	3.9346888	2.1028218	7.1756196	-0.64641136	144000	-7.450581e-09	2.6288404	-0.008754617	-0.51439387	1.3564423	0.0046970444	0.0861875	127.0	460.5344018936157	17.186842	8.116165	29.221102	0.88705665	0.0	0.0
9	500.0	4.214117	2.4174418	7.506826	-0.41033468	160000	-2.2351742e-08	1.838459	-0.008629992	-0.39061666	1.3564423	0.006738455	0.06475	127.0	503.5876975059509	14.086935	7.6613665	29.894182	0.86719465	0.0	0.0
10	500.0	3.792027	2.1181283	6.927637	-0.46782073	176000	1.8626451e-09	1.9407445	-0.008108391	-0.30775392	1.3564423	0.0074272216	0.0773125	127.0	546.1600830554962	16.267435	9.104928	31.578335	1.0724701	0.0	0.0
11	500.0	5.1149464	2.0488338	7.466231	-0.47132137	192000	1.4901161e-08	1.9687071	-0.009001881	-0.30640852	1.3564423	0.007567914	0.077625	127.0	596.354939699173	19.530655	6.5475397	31.65351	0.9924791	0.0	0.0
12	500.0	5.1019483	1.4785345	6.8077607	0.23354752	208000	-7.450581e-09	2.2864704	-0.009365586	-0.19034557	1.3564423	0.008330395	0.0893125	127.0	645.9181172847748	22.334175	6.4899297	34.248215	0.6726414	0.0	0.0
13	500.0	5.1882463	1.6065629	6.7968526	-0.2182908	224000	0.0	2.1460502	-0.007693994	-0.4186961	1.3564423	0.0051446315	0.051	127.0	687.9053626060486	23.567692	8.471674	34.675266	0.46001524	0.0	0.0
14	500.0	5.699539	1.390869	7.5634823	-0.21557344	240000	1.4901161e-08	3.0965755	-0.007590327	-0.6422523	1.3564423	0.006346231	0.062562495	127.0	732.1009435653687	27.167496	6.6640677	36.93154	2.7516575	0.0	0.0
15	500.0	6.215529	1.1161952	7.814411	-0.33973688	256000	1.1175871e-08	2.0376396	-0.009610898	-0.22670722	1.3564423	0.007710465	0.074750006	127.0	775.9685759544373	25.819061	5.586437	36.880898	14.873092	0.0	0.0
16	500.0	6.059402	1.3839079	8.085214	0.40600017	272000	1.8626451e-09	4.11233	-0.0059940163	-0.6130171	1.3564423	0.004903934	0.0375	127.0	820.668454170227	27.452147	10.084222	56.426495	1.2235737	0.0	0.0
17	500.0	6.2674446	1.3458797	8.572354	-0.16335005	288000	-3.7252903e-09	1.827306	-0.008453835	-0.45209193	1.3564423	0.0061224606	0.065937504	127.0	866.4688231945038	30.006626	4.6653733	37.709064	13.267561	0.0	0.0
18	500.0	7.0975256	1.1745266	8.984439	0.23775148	304000	0.0	1.8155398	-0.0086006755	-0.25938594	1.3564423	0.006565774	0.076562494	127.0	909.1562042236328	32.030704	3.9375324	46.506588	26.432627	0.0	0.0
