Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.09710884	0.015652249	0.14417349	0.0497816	16000	-2.4214387e-08	0.0045359945	-0.0064745536	-0.0019868105	1.3564423	0.008170079	0.055	127.0	65.17856359481812	0.6130192	0.2799969	1.4474906	0.24078812	0.0	0.0
1	500.0	0.12413704	0.032718938	0.197231	-0.0013419781	32000	-2.6077032e-08	0.012689812	-0.006931968	-0.0046726353	1.3564423	0.006220918	0.0703125	127.0	109.43938040733337	0.9970775	0.4897091	2.2470047	0.3661305	0.0	0.0
2	500.0	0.1984538	0.041905038	0.2904541	0.0007107314	48000	4.0978193e-08	0.03943689	-0.009761196	-0.02224186	1.3564423	0.006066984	0.084625	127.0	150.39864039421082	1.7909071	0.69912153	3.3419802	0.7611024	0.0	0.0
3	500.0	0.38299045	0.06842422	0.59729224	0.17588504	64000	7.450581e-09	0.6914831	-0.006878645	-0.34323418	1.3564423	0.006118281	0.0629375	127.0	191.6454737186432	4.7305555	2.9826453	14.905609	0.75090814	0.0	0.0
4	500.0	1.0488449	0.1741456	1.5061653	0.32180777	80000	-7.450581e-09	2.3651748	-0.008475827	-1.2342783	1.3564423	0.0075385496	0.068125	127.0	236.95570015907288	9.555235	4.9099083	19.518375	0.9605738	0.0	0.0
5	500.0	2.1883042	0.5069296	3.33057	0.20192775	96000	0.0	3.9484322	-0.007792481	-2.4222302	1.3564423	0.0036462098	0.053999998	127.0	280.8285322189331	15.760012	5.4836655	25.554638	5.221908	0.0	0.0
6	500.0	3.7665575	1.1005163	5.7442713	0.24097416	112000	-7.450581e-09	4.2354093	-0.007811633	-2.215289	1.3564423	0.0047401814	0.062	127.0	321.2078320980072	22.31557	5.7260284	33.808987	8.506229	0.0	0.0
7	500.0	5.2876534	1.5163603	7.443547	0.26659516	128000	-9.313226e-09	1.5719324	-0.010326536	-0.123954214	1.3564423	0.00775298	0.0929375	127.0	366.3902175426483	22.14434	4.2922487	31.081219	10.285702	0.0	0.0
8	500.0	5.971386	1.6029599	7.796571	0.25347957	144000	7.450581e-09	2.675302	-0.008507058	-0.28935766	1.3564423	0.0058995085	0.0614375	127.0	402.14371728897095	26.615788	5.526954	34.36006	12.078346	0.0	0.0
9	500.0	6.402055	1.37568	7.8177085	1.2831415	160000	-3.7252903e-09	2.1725943	-0.009524642	-0.09123625	1.3564423	0.006217459	0.0829375	127.0	445.58623933792114	28.138174	5.7176056	36.802036	16.175655	0.0	0.0
10	500.0	6.800047	1.3656715	8.065537	1.1646485	176000	-1.8626451e-08	2.28093	-0.009021676	-0.2012674	1.3564423	0.0071914876	0.064125	127.0	481.19080543518066	30.711756	5.414376	39.621292	14.228514	0.0	0.0
11	500.0	7.0459356	1.0640175	7.9548664	2.2943373	192000	-9.313226e-09	2.4906259	-0.008749594	-0.079615355	1.3564423	0.0075240857	0.07075	127.0	524.0408937931061	31.062412	6.1021156	40.728218	15.759769	0.0	0.0
12	500.0	7.190726	0.9803199	7.9627805	2.21161	208000	1.3038516e-08	1.6900554	-0.008001571	-0.070204034	1.3564423	0.0061874455	0.06175	127.0	563.1200404167175	32.64126	4.355308	41.305397	23.10255	0.0	0.0
13	500.0	7.3601317	0.82149374	7.94814	2.890267	224000	1.8626451e-09	2.5013704	-0.0075673936	-0.12063412	1.3564423	0.0057402216	0.054250002	127.0	607.4141082763672	34.513523	5.726118	42.980843	14.548587	0.0	0.0
14	500.0	7.6606975	0.89755344	8.248686	2.920523	240000	3.7252903e-09	1.9604666	-0.0069240667	-0.19668832	1.3564423	0.0046930406	0.0399375	127.0	646.9009592533112	36.534027	4.763597	45.184456	28.065617	0.0	0.0
15	500.0	8.044964	0.73388	8.507621	3.6081452	256000	1.8626451e-08	2.1159585	-0.008617113	-0.33104175	1.3564423	0.007812694	0.068625	127.0	687.8181250095367	33.449608	5.468461	45.08708	21.15214	0.0	0.0
16	500.0	7.5010495	0.6508872	7.961887	3.4480338	272000	7.450581e-09	2.587227	-0.00736899	-0.17900413	1.3564423	0.0061262855	0.052874997	127.0	734.8312079906464	36.560852	6.3021274	47.722637	20.36232	0.0	0.0
17	500.0	7.8770523	0.60653484	8.303718	3.7192538	288000	-1.1175871e-08	2.6375077	-0.008394015	-0.3495214	1.3564423	0.0054781265	0.0645625	127.0	772.6553070545197	38.680004	5.5719757	48.364765	26.38905	0.0	0.0
18	500.0	8.295472	0.73974985	8.892666	3.490699	304000	-3.7252903e-09	1.7932001	-0.0079655815	-0.48462105	1.3564423	0.005263164	0.0616875	127.0	815.4483127593994	41.20781	4.311882	47.609875	32.390945	0.0	0.0
19	500.0	8.937128	0.8863238	9.614056	3.7825632	320000	1.1175871e-08	1.5558107	-0.008050343	-0.4093998	1.3564423	0.0048969495	0.050875	127.0	854.6794245243073	43.080605	4.518785	49.68283	33.947166	0.0	0.0
20	500.0	9.222446	0.9800746	10.412815	3.9300938	336000	0.0	1.0622258	-0.007784415	-0.17235884	1.3564423	0.00475367	0.054312497	127.0	896.8626532554626	42.42576	3.6466696	48.825665	36.593086	0.0	0.0
21	500.0	9.253679	0.9048926	10.490614	4.898374	352000	-1.4901161e-08	1.1221209	-0.008142212	-0.2410405	1.3564423	0.0067814114	0.063	127.0	940.5551879405975	41.851723	4.5769486	50.273933	32.57136	0.0	0.0
22	500.0	9.203965	1.0308498	10.900102	5.052661	368000	1.4901161e-08	1.1782596	-0.008977089	-0.09776378	1.3564423	0.008153368	0.070187494	127.0	980.3959238529205	42.8448	4.284692	49.85389	32.73884	0.0	0.0
23	500.0	9.335789	0.981257	10.865171	5.36393	384000	-2.2351742e-08	1.199801	-0.009539043	-0.082767814	1.3564423	0.008493554	0.075937495	127.0	1018.598849773407	42.384075	4.910504	50.287113	32.008232	0.0	0.0
24	500.0	9.229051	0.9335741	10.573436	5.223903	400000	0.0	0.9629346	-0.008228951	-0.11890003	1.3564423	0.007532388	0.061125003	127.0	1061.8690938949585	44.46257	3.861672	49.653652	33.924572	0.0	0.0
25	500.0	9.686588	0.92915046	10.739617	5.454129	416000	-7.450581e-09	1.4986295	-0.008911697	-0.26703912	1.3564423	0.007227338	0.066	127.0	1100.701417684555	42.711754	5.701565	49.53454	32.87036	0.0	0.0
26	500.0	9.205223	0.91874224	10.603476	5.2470856	432000	0.0	1.5272927	-0.00922346	-0.36947924	1.3564423	0.0060106367	0.074062504	127.0	1139.8159430027008	45.09439	5.162248	51.17716	33.37319	0.0	0.0
