Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.04445534	0.024817681	0.09906406	-0.039089013	16000	0.0	0.0020366614	-0.0057049347	-0.0014103831	1.3564423	0.007222917	0.0563125	127.0	55.462252140045166	0.2832415	0.117748976	0.62575394	0.09481035	0.0	0.0
1	500.0	0.05401511	0.019001963	0.105563484	0.0008536987	32000	7.450581e-09	0.00094223407	-0.010369724	-0.00037218333	1.3564423	0.007100183	0.099625	127.0	105.01576542854309	0.34631318	0.14919496	0.7380737	0.16735579	0.0	0.0
2	500.0	0.08144748	0.021218492	0.1341141	0.008569985	48000	-7.4505806e-08	0.0034564836	-0.014510749	-0.001720919	1.3564423	0.008451436	0.1269375	127.0	155.81983065605164	0.64650154	0.24582927	1.2233918	0.23486856	0.0	0.0
3	500.0	0.14803	0.026934056	0.23273277	0.029693585	64000	-5.9604645e-08	0.014508765	-0.009089772	-0.0071825767	1.3564423	0.0069277436	0.090812504	127.0	214.72126245498657	1.0493071	0.507107	2.433619	0.38791886	0.0	0.0
4	500.0	0.23457992	0.055681355	0.4628348	0.10164867	80000	7.450581e-09	0.02198143	-0.01082194	-0.01198875	1.3564423	0.00835048	0.1044375	127.0	276.4701135158539	1.4516523	0.49084386	2.3692071	0.51890224	0.0	0.0
5	500.0	0.39628986	0.14019862	0.82907945	0.12953146	96000	7.450581e-09	0.35017258	-0.0062759705	-0.20097218	1.3564423	0.0047126347	0.0585	127.0	327.2371199131012	3.1309366	2.157517	11.859533	1.1605281	0.0	0.0
6	500.0	0.9040159	0.52470857	2.275455	-0.24747047	112000	0.0	0.89116186	-0.0070356764	-0.42673978	1.3564423	0.0070554214	0.088062495	127.0	384.9717972278595	5.8120556	3.8057556	15.236987	0.64091253	0.0	0.0
7	500.0	1.8881071	0.98931104	3.9122283	-0.05377715	128000	-3.1664968e-08	1.7448995	-0.007234227	-1.0399233	1.3564423	0.0063702427	0.080312505	127.0	441.5164155960083	10.940631	3.7369335	19.664967	3.971778	0.0	0.0
8	500.0	3.2059507	1.6485205	5.749869	-0.05562768	144000	3.7252903e-09	1.5119941	-0.008590236	-0.47641903	1.3564423	0.005978388	0.09125	127.0	484.2235186100006	14.621334	4.4623194	21.97103	7.108143	0.0	0.0
9	500.0	4.1939144	1.8975705	6.8364673	0.22224031	160000	7.450581e-09	1.4939228	-0.0100294165	-0.33304095	1.3564423	0.009640006	0.096875004	127.0	530.0610570907593	18.206078	3.4458938	25.31668	11.47609	0.0	0.0
10	500.0	5.175367	1.8353126	7.2829933	0.4201695	176000	-7.450581e-09	2.033605	-0.008496722	-0.4105889	1.3564423	0.0048569315	0.0688125	127.0	577.4161329269409	23.285828	4.4716387	32.809338	13.550176	0.0	0.0
11	500.0	5.8053613	1.743152	7.5849357	0.5525484	192000	-2.9802322e-08	1.8066213	-0.008443974	-0.0919036	1.3564423	0.005936946	0.065625	127.0	621.0739715099335	23.66856	4.6608696	34.872738	15.072988	0.0	0.0
12	500.0	5.967919	1.5743208	7.314335	0.5770002	208000	-5.5879354e-09	2.8509552	-0.0076916204	-0.19257925	1.3564423	0.005808511	0.066874996	127.0	661.9403822422028	26.57249	5.812631	38.381065	13.77407	0.0	0.0
