Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.099119	0.015715642	0.14669904	0.051365912	16000	-3.7252903e-09	0.0040545426	-0.006166056	-0.0015436155	1.3564423	0.007721609	0.0519375	127.0	45.084391355514526	0.5087734	0.28961676	1.2397921	0.15623051	0.0	0.0
1	500.0	0.10603491	0.025604954	0.16145793	0.005941421	32000	-2.9802322e-08	0.01237097	-0.006173701	-0.004575399	1.3564423	0.0059873248	0.06325	127.0	90.73659658432007	0.85615945	0.5293782	2.191617	0.24817295	0.0	0.0
2	500.0	0.16998425	0.04056256	0.26972356	-0.020554962	48000	-2.6077032e-08	0.021439426	-0.009472402	-0.011413481	1.3564423	0.005532432	0.085250005	127.0	132.13200306892395	1.3497932	0.63657105	3.2510238	0.47473234	0.0	0.0
3	500.0	0.30068764	0.07674329	0.5462865	0.06899761	64000	0.0	0.38163844	-0.007289842	-0.17701821	1.3564423	0.0068363473	0.076000005	127.0	169.28908586502075	3.356627	2.6572971	13.935482	0.40459704	0.0	0.0
4	500.0	0.84528154	0.1903088	1.3801799	0.31289303	80000	0.0	1.3274143	-0.008237187	-0.6311961	1.3564423	0.008547189	0.0798125	127.0	212.47766089439392	6.9058576	4.443683	16.256224	0.6216421	0.0	0.0
5	500.0	1.6693238	0.5577137	2.9048884	0.09254852	96000	6.3329935e-08	2.7615604	-0.008070636	-1.5706266	1.3564423	0.00453372	0.0635	127.0	254.00392985343933	12.190191	5.481812	22.367949	3.1475246	0.0	0.0
6	500.0	3.1313722	1.123959	5.3597593	-0.114259504	112000	3.9115548e-08	6.225808	-0.007933243	-2.9071562	1.3564423	0.0038941943	0.062437505	127.0	295.4732220172882	20.499292	8.133695	50.428726	4.785443	0.0	0.0
7	500.0	4.8080463	1.7364465	7.557735	0.05045831	128000	0.0	3.7786188	-0.00880518	-0.30820897	1.3564423	0.009248931	0.098	127.0	335.18642687797546	20.226002	8.477336	46.190056	6.0056	0.0	0.0
8	500.0	5.9433255	1.9973108	8.508846	-0.5038419	144000	0.0	9.130853	-0.0075887507	-0.500127	1.3564423	0.0061264136	0.065125	127.0	378.8138017654419	23.464481	12.976017	63.079338	12.453211	0.0	0.0
9	500.0	6.008532	1.646099	8.0945835	0.85259527	160000	-1.4901161e-08	8.251618	-0.0059715044	-0.27161595	1.3564423	0.0067316983	0.06075	127.0	417.97843956947327	22.698063	12.425637	81.82276	13.191288	0.0	0.0
10	500.0	5.7433214	1.432401	7.4916663	1.177489	176000	1.4901161e-08	20.847479	-0.007828401	-1.8302209	1.3564423	0.008534436	0.079687506	127.0	460.7442696094513	30.433462	19.641193	89.97212	10.6119585	0.0	0.0
11	500.0	7.169052	1.3615178	8.518723	1.9726053	192000	-1.4901161e-08	20.767654	-0.0069977744	-0.39054632	1.3564423	0.0066349423	0.06918751	127.0	504.6186513900757	29.473442	21.820087	93.15294	8.8577585	0.0	0.0
12	500.0	7.096444	1.490076	8.800788	1.7144524	208000	-1.8626451e-08	8.035819	-0.007475988	-2.6319804	1.3564423	0.0062193177	0.063	127.0	543.4191851615906	23.156044	10.135978	70.50875	11.117902	0.0	0.0
13	500.0	5.789061	0.84639853	7.0466332	2.701135	224000	-1.3038516e-08	10.764222	-0.0069254898	-0.4137348	1.3564423	0.0075074444	0.06225	127.0	590.6850428581238	27.708473	14.833359	96.3483	16.902615	0.0	0.0
14	500.0	6.212656	0.85807985	7.4088893	1.7559732	240000	1.4901161e-08	9.826354	-0.007104464	-0.26741123	1.3564423	0.007365749	0.05975	127.0	632.0256261825562	28.71484	15.117328	104.755226	17.412477	0.0	0.0
15	500.0	6.601998	0.8940228	7.68709	1.9580417	256000	9.313226e-09	5.7687883	-0.007997474	-0.92068166	1.3564423	0.009360359	0.0765	127.0	674.6870477199554	24.786602	10.026192	75.597824	13.283383	0.0	0.0
16	500.0	5.8373203	0.79464716	6.7909193	1.2987984	272000	-3.7252903e-09	18.986008	-0.0067629092	-1.4051692	1.3564423	0.005513597	0.0545625	127.0	719.9662792682648	32.385376	20.39416	112.91341	15.629581	0.0	0.0
17	500.0	6.9645214	0.81258017	7.7491217	1.3350738	288000	-1.3038516e-08	11.111188	-0.0074371262	-0.27754387	1.3564423	0.0055372035	0.055687502	127.0	763.2667129039764	32.000446	16.369677	103.15875	17.999826	0.0	0.0
18	500.0	6.7016234	1.4057894	8.295417	0.35520074	304000	-2.2351742e-08	2.6211686	-0.0080219805	-0.87696785	1.3564423	0.006600348	0.0685	127.0	803.1660952568054	25.679787	5.742651	39.71333	15.887359	0.0	0.0
19	500.0	6.2715254	0.99268115	7.2949834	1.8570652	320000	4.0978193e-08	29.652588	-0.0067327265	-4.3576784	1.3564423	0.008672163	0.059	127.0	847.4859113693237	38.50891	24.75138	104.41666	16.735954	0.0	0.0
20	500.0	7.746568	1.5910724	9.163842	0.28225723	336000	-7.450581e-09	23.85252	-0.0072921882	-0.587273	1.3564423	0.007851771	0.07781249	127.0	891.3390815258026	32.368774	24.840773	120.363815	15.107785	0.0	0.0
21	500.0	7.424488	1.412113	9.075808	1.1239392	352000	3.9115548e-08	26.452724	-0.007829907	-1.5913318	1.3564423	0.006867238	0.0745625	127.0	932.7395548820496	38.063187	23.16837	103.52886	18.835863	0.0	0.0
22	500.0	8.462734	1.3808143	9.753443	3.1671424	368000	1.4901161e-08	15.750856	-0.007535209	-2.4063215	1.3564423	0.008156153	0.0703125	127.0	972.5116696357727	30.6549	18.582075	99.48026	17.201456	0.0	0.0
