Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.09680193	0.015767267	0.1450969	0.048874192	16000	3.3527613e-08	0.010205867	-0.0057406044	-0.0034434574	1.3564423	0.007752004	0.0516875	127.0	38.282259702682495	0.6826079	0.47039622	2.092575	0.1485882	0.0	0.0
1	500.0	0.13369364	0.037333358	0.21406299	-0.01043749	32000	-1.8626451e-08	0.037306506	-0.0050625214	-0.012311109	1.3564423	0.0058945604	0.0540625	127.0	68.18003630638123	1.2308633	0.90664697	3.426569	0.27202857	0.0	0.0
2	500.0	0.21559767	0.07041003	0.3850616	-0.06845074	48000	1.3038516e-08	0.029405415	-0.008409575	-0.012841379	1.3564423	0.0059196767	0.081375	127.0	102.60559439659119	1.5724825	0.86129797	3.9939523	0.37589225	0.0	0.0
3	500.0	0.3321671	0.09591372	0.60117936	0.045911785	64000	0.0	0.36198956	-0.0070869434	-0.15494476	1.3564423	0.0064828526	0.070187494	127.0	141.17262768745422	3.4279032	2.7936754	13.14114	0.3571815	0.0	0.0
4	500.0	0.834792	0.18701693	1.366682	0.29297692	80000	0.0	1.726517	-0.007138472	-0.783533	1.3564423	0.008578772	0.076000005	127.0	176.88216590881348	7.1111336	5.6409545	20.06999	0.4692854	0.0	0.0
5	500.0	1.6981335	0.58255875	3.1071444	-0.1379033	96000	-1.6763806e-08	3.4943018	-0.008160475	-1.7854027	1.3564423	0.0042148605	0.067	127.0	213.0450804233551	12.315857	7.557562	30.887377	2.2894552	0.0	0.0
6	500.0	3.3042276	1.2914422	5.8445044	-0.7436274	112000	0.0	12.519943	-0.0064985654	-4.9644976	1.3564423	0.003920884	0.061624996	127.0	249.9676058292389	23.4787	13.499053	84.09454	3.2007031	0.0	0.0
7	500.0	5.316371	2.0473895	8.539117	-1.3397609	128000	9.313226e-09	2.3771327	-0.011552077	-0.11829273	1.3564423	0.007125766	0.092875004	127.0	282.04910111427307	21.035515	7.2040815	35.18074	5.467658	0.0	0.0
8	500.0	6.319893	2.0270567	8.900674	-1.0447413	144000	-2.9802322e-08	2.877252	-0.0086308345	-0.39453477	1.3564423	0.006686325	0.0655625	127.0	318.0021960735321	25.446133	5.3419867	35.85661	11.61309	0.0	0.0
9	500.0	6.3647623	1.6358342	8.337314	0.18703455	160000	0.0	6.549833	-0.00937948	-0.38968813	1.3564423	0.010026058	0.0976875	127.0	350.51353764533997	28.565142	9.619414	61.135956	14.874098	0.0	0.0
10	500.0	7.093501	1.6090584	8.645957	0.23211709	176000	7.450581e-09	5.0048614	-0.0075915363	-0.5237488	1.3564423	0.0053758537	0.045812503	127.0	391.6105363368988	29.809467	8.288502	49.396595	15.691824	0.0	0.0
11	500.0	7.0082836	1.0870008	8.13868	1.6758407	192000	0.0	11.495759	-0.0070511494	-0.44445896	1.3564423	0.006488484	0.0704375	127.0	427.5238847732544	32.991554	14.6749115	86.77913	12.804036	0.0	0.0
12	500.0	7.700594	1.1143169	8.535865	1.9771261	208000	-7.450581e-09	5.3857536	-0.0074540246	-0.6802692	1.3564423	0.005761343	0.0526875	127.0	459.96623945236206	30.506418	8.685215	54.371414	14.361927	0.0	0.0
13	500.0	7.033461	0.7259588	7.5912704	2.5092065	224000	-2.2351742e-08	21.831915	-0.0073426813	-3.18551	1.3564423	0.008052671	0.0748125	127.0	495.2151517868042	39.95311	17.55431	83.60505	21.301073	0.0	0.0
14	500.0	8.528897	1.2661097	9.372089	1.3983209	240000	2.6077032e-08	4.7186813	-0.0091735255	-0.12630652	1.3564423	0.0063710646	0.0655625	127.0	530.0422389507294	37.752556	8.70531	56.93588	22.63121	0.0	0.0
15	500.0	8.562453	0.96929896	9.157354	2.6803184	256000	2.6077032e-08	4.121908	-0.008705387	-0.3515257	1.3564423	0.0065202806	0.066375	127.0	567.901486158371	35.460197	7.7075305	49.62194	20.536472	0.0	0.0
16	500.0	8.055907	0.84100914	8.566401	2.9293377	272000	2.9802322e-08	4.712793	-0.008120233	-0.3832288	1.3564423	0.007184227	0.0665	127.0	606.1920809745789	39.658768	8.838826	54.98111	20.463903	0.0	0.0
17	500.0	8.604683	0.7982349	9.019889	3.3193424	288000	-1.9557774e-08	25.514992	-0.0075460565	-4.634534	1.3564423	0.0069076354	0.07175	127.0	637.9490797519684	50.11169	20.732534	105.96014	21.999847	0.0	0.0
18	500.0	10.389033	1.126293	10.909095	2.6812177	304000	7.450581e-09	11.114286	-0.008750664	-0.21572746	1.3564423	0.0062839747	0.07275	127.0	675.544623374939	45.023125	14.888993	105.147804	27.048573	0.0	0.0
19	498.09375	10.146429	1.3489732	10.763235	1.661904	320000	-1.4901161e-08	20.942293	-0.00876084	-0.57304096	1.3564423	0.0072878846	0.0731875	127.0	709.1577336788177	49.207115	19.43221	111.156494	28.25286	0.0	0.0
20	495.75	10.770614	1.3048491	11.401725	2.206256	336000	1.1175871e-08	23.948849	-0.008291838	-0.41091543	1.3564423	0.0064247334	0.0744375	127.0	745.4874894618988	51.50731	22.09003	112.38405	28.484055	0.0	0.0
21	500.0	11.264017	1.2370989	11.834114	1.7950536	352000	-1.1175871e-08	16.442368	-0.007735766	-2.3582082	1.3564423	0.008391794	0.0775625	127.0	779.5795340538025	43.627182	17.85912	108.775795	24.784143	0.0	0.0
22	496.59375	9.977599	1.2159992	10.865468	1.3276973	368000	3.7252903e-09	14.723973	-0.008095399	-0.20210922	1.3564423	0.009187271	0.076875	127.0	818.0762913227081	46.20016	18.01543	129.39716	27.200401	0.0	0.0
23	500.0	10.047352	1.0315967	10.96108	3.1398284	384000	7.450581e-09	5.5378866	-0.0096022915	-1.0291755	1.3564423	0.009416223	0.0815625	127.0	852.7830789089203	43.940872	11.00785	67.90525	23.892565	0.0	0.0
24	500.0	9.728768	1.6367747	11.044865	0.20328201	400000	-9.313226e-09	9.6327915	-0.00846037	-1.0424858	1.3564423	0.007374189	0.0904375	127.0	889.4581127166748	48.17559	15.02552	97.56496	20.164577	0.0	0.0
25	500.0	10.047053	1.9874392	11.691091	2.0670657	416000	-9.313226e-09	14.873108	-0.010134567	-1.0668563	1.3564423	0.010036386	0.0961875	127.0	923.1224813461304	49.404263	19.782068	106.66078	25.70013	0.0	0.0
26	500.0	11.140461	1.6148357	12.232411	3.1199226	432000	2.9802322e-08	23.596697	-0.0076863533	-0.89456445	1.3564423	0.0077228327	0.07700001	127.0	961.2487556934357	52.287216	24.022945	119.82414	23.64935	0.0	0.0
27	500.0	11.30245	1.6504924	12.627868	3.5075219	448000	-5.2154064e-08	12.882804	-0.008199395	-0.4463041	1.3564423	0.00791204	0.0764375	127.0	995.1851706504822	49.198864	17.795834	111.86965	28.84445	0.0	0.0
28	497.28125	10.759099	1.8652921	12.676187	0.85206056	464000	2.2351742e-08	6.2777023	-0.009298464	-0.93989253	1.3564423	0.008892214	0.0806875	127.0	1033.3301866054535	47.4266	10.981435	70.36332	20.06635	0.0	0.0
29	500.0	10.345114	1.7629731	12.313951	2.524389	480000	7.450581e-09	14.5522585	-0.009441783	-1.3232397	1.3564423	0.008608261	0.105	127.0	1069.80988240242	50.662487	16.537077	101.032	25.323088	0.0	0.0
