Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.046294346	0.026486022	0.1061319	-0.03355295	16000	3.7252903e-09	0.0018175284	-0.0055365744	-0.0012148584	1.3564423	0.0063921977	0.0574375	127.0	67.49456787109375	0.23135486	0.115096666	0.6066806	0.07536694	0.0	0.0
1	500.0	0.046839643	0.012940414	0.08478981	0.0081411665	32000	-1.1175871e-08	0.00081370457	-0.008670116	-0.00037648517	1.3564423	0.006158038	0.078812495	127.0	126.65970301628113	0.28646776	0.14932007	0.6563454	0.11364234	0.0	0.0
2	500.0	0.07029286	0.02235809	0.1494108	0.0172496	48000	-2.2351742e-08	0.0027224855	-0.012793276	-0.0013310083	1.3564423	0.008317644	0.1260625	127.0	183.78488039970398	0.54158694	0.27784663	1.5087174	0.22736804	0.0	0.0
3	500.0	0.124436215	0.039359067	0.27247798	0.011668629	64000	-1.4901161e-08	0.013454639	-0.009686701	-0.005838026	1.3564423	0.008029062	0.11256249	127.0	238.8059048652649	0.87399673	0.5611287	3.2434905	0.25897673	0.0	0.0
4	500.0	0.26514202	0.10961046	0.6754656	0.07247058	80000	-1.4901161e-08	0.06919709	-0.008072688	-0.03314433	1.3564423	0.0072340155	0.107187495	127.0	294.88061356544495	1.5587051	1.2721194	7.0341873	0.48362434	0.0	0.0
5	500.0	0.50937206	0.32360122	1.6169903	-0.052908428	96000	7.450581e-09	0.4336632	-0.0076890737	-0.23776537	1.3564423	0.00664716	0.0851875	127.0	339.33119654655457	3.6917508	2.9521706	11.763168	0.5929709	0.0	0.0
6	500.0	1.3607725	0.75965446	2.9842978	-0.3019507	112000	1.3038516e-08	2.0238125	-0.0068144286	-1.155826	1.3564423	0.0044576586	0.06175	127.0	387.87627959251404	9.628926	4.925635	25.350512	0.62405604	0.0	0.0
7	500.0	2.27228	1.4032259	5.105177	-0.3149716	128000	2.2351742e-08	7.6746607	-0.006548088	-1.9293753	1.3564423	0.008152552	0.0869375	127.0	438.5419545173645	13.083721	12.436095	74.44797	0.5543544	0.0	0.0
8	500.0	4.1836343	2.1535363	7.578031	-0.72326386	144000	0.0	3.0879846	-0.009133926	-0.53414196	1.3564423	0.0048993155	0.0838125	127.0	482.6513307094574	15.968914	8.792582	48.419025	0.64785516	0.0	0.0
9	500.0	4.4750686	2.011901	7.522672	-0.77573085	160000	0.0	4.0439544	-0.0076238182	-0.35302234	1.3564423	0.0080426205	0.066	127.0	526.9285383224487	16.875587	9.806025	57.54493	0.98288524	0.0	0.0
10	500.0	4.4796286	2.072929	7.39608	-0.74222416	176000	5.5879354e-09	1.5092986	-0.008922034	-0.35954964	1.3564423	0.0067541134	0.0713125	127.0	567.9955761432648	18.8298	7.249223	33.252464	0.5524038	0.0	0.0
11	500.0	5.427956	1.6469605	7.9431186	-0.3295368	192000	0.0	1.8342538	-0.009585005	-0.6144974	1.3564423	0.0067423107	0.075625	127.0	616.9518594741821	19.86762	5.2650185	32.61677	11.389291	0.0	0.0
12	500.0	5.111384	1.287581	6.9753532	0.72533756	208000	2.0489097e-08	9.190319	-0.0070276605	-0.8604002	1.3564423	0.007863058	0.087312505	127.0	663.135627746582	25.314747	12.758621	73.46115	14.91419	0.0	0.0
13	500.0	6.0736704	1.434892	8.147587	0.43672022	224000	3.7252903e-09	11.674286	-0.008098522	-1.6612278	1.3564423	0.0077036875	0.082875	127.0	713.3601016998291	31.094915	14.85511	75.11971	14.9024935	0.0	0.0
14	500.0	6.9557724	1.8881757	9.547348	-0.07867157	240000	-3.7252903e-09	4.2629943	-0.0078101465	-0.2237654	1.3564423	0.008088351	0.0820625	127.0	764.8705163002014	29.345661	9.912522	71.40393	19.398312	0.0	0.0
15	500.0	6.9786777	1.9958426	9.868898	0.46940905	256000	-3.7252903e-09	7.6367655	-0.007881976	-0.3936153	1.3564423	0.008086888	0.093187496	127.0	809.8078622817993	31.874561	13.436822	87.53831	19.014322	0.0	0.0
16	500.0	7.3677645	2.2344794	10.524912	-0.9736996	272000	0.0	8.205486	-0.008050537	-0.2827299	1.3564423	0.0066665728	0.0726875	127.0	851.5456788539886	31.40895	14.475843	84.27629	0.5780693	0.0	0.0
17	500.0	7.8127804	2.0156236	10.554828	0.56208	288000	7.450581e-09	5.3252077	-0.008808743	-0.59595007	1.3564423	0.0071317316	0.07268751	127.0	902.0950577259064	30.911106	10.090119	76.82826	14.507425	0.0	0.0
18	500.0	7.702935	1.752816	9.885176	1.0621101	304000	1.1175871e-08	14.803398	-0.0069281086	-0.5556504	1.3564423	0.005560686	0.054875	127.0	952.9024674892426	35.451485	17.65441	96.917496	18.422398	0.0	0.0
19	500.0	8.428279	1.8843075	10.666513	0.8856449	320000	2.9802322e-08	15.125565	-0.0071720956	-1.0187054	1.3564423	0.009261317	0.0695	127.0	1004.0482959747314	33.769768	17.563515	104.57468	15.641966	0.0	0.0
20	500.0	7.9545956	1.7309461	10.115011	1.5940264	336000	2.2351742e-08	15.686797	-0.007831058	-0.25329468	1.3564423	0.0069365967	0.0726875	127.0	1048.9852414131165	35.356537	18.426208	100.11125	16.011753	0.0	0.0
21	500.0	8.108869	1.833354	9.934506	1.735901	352000	-7.450581e-09	19.106895	-0.00809054	-1.363302	1.3564423	0.006313876	0.0766875	127.0	1101.0830001831055	38.432762	20.433023	102.976036	18.458672	0.0	0.0
22	500.0	8.918796	1.9966315	11.540464	0.7489514	368000	-4.656613e-08	36.397827	-0.008481381	-5.527942	1.3564423	0.009791443	0.089125	127.0	1145.4922485351562	45.58255	28.461657	107.70139	14.9924555	0.0	0.0
23	500.0	10.239787	3.046526	14.092977	-3.5929012	384000	-1.4901161e-08	17.62885	-0.009361586	-5.0200505	1.3564423	0.0063325567	0.081250004	127.0	1189.1168496608734	35.75212	16.800982	109.76668	16.50655	0.0	0.0
24	500.0	8.630312	2.1583042	12.873026	1.6672318	400000	3.1664968e-08	4.758841	-0.010148831	-2.6715798	1.3564423	0.00869371	0.0733125	127.0	1235.9075012207031	32.09134	5.381943	39.455265	19.800219	0.0	0.0
