Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.044632077	0.024764724	0.09931569	-0.038968455	16000	-7.450581e-09	0.0017210834	-0.005727918	-0.0011650964	1.3564423	0.00699923	0.055749997	127.0	53.90332531929016	0.25121534	0.114648424	0.5823299	0.07584052	0.0	0.0
1	500.0	0.04991369	0.016030913	0.091672525	0.0014699157	32000	3.7252903e-09	0.0007433973	-0.00940864	-0.00029779034	1.3564423	0.0065367236	0.087437496	127.0	93.50177097320557	0.29800707	0.12718466	0.55145854	0.09981487	0.0	0.0
2	500.0	0.06829981	0.017350396	0.1087149	-0.00270224	48000	1.4901161e-08	0.0027761539	-0.013267601	-0.00130833	1.3564423	0.007949717	0.1215625	127.0	138.09785056114197	0.5395206	0.22644892	0.98128945	0.18967707	0.0	0.0
3	500.0	0.1269783	0.025239915	0.191906	0.002832029	64000	-2.9802322e-08	0.0078618545	-0.010648697	-0.003998611	1.3564423	0.00704684	0.096250005	127.0	173.10720229148865	0.8760867	0.4112648	1.8538076	0.2188156	0.0	0.0
4	500.0	0.19475102	0.055636987	0.40898752	0.09184531	80000	9.313226e-09	0.009678944	-0.01053668	-0.0044659297	1.3564423	0.008485116	0.102937505	127.0	213.07881712913513	1.0564611	0.43419647	1.9491612	0.36714345	0.0	0.0
5	500.0	0.2902242	0.10717241	0.5958379	0.09206485	96000	1.8626451e-08	0.28945425	-0.006260463	-0.14271642	1.3564423	0.0056706704	0.06362499	127.0	249.07520365715027	2.6167588	1.9034764	10.427558	0.7564694	0.0	0.0
6	500.0	0.7021407	0.38421738	1.795448	-0.080913246	112000	7.450581e-09	0.71922714	-0.0060823415	-0.38259202	1.3564423	0.0061847833	0.0684375	127.0	288.1026613712311	4.897399	3.1386042	11.249382	0.48820147	0.0	0.0
7	500.0	1.4992632	0.8381269	3.469842	-0.22720686	128000	-1.8626451e-08	1.0349824	-0.007744855	-0.59267604	1.3564423	0.007440176	0.0899375	127.0	326.86451506614685	8.2606125	3.3699646	15.0071335	2.7898574	0.0	0.0
8	500.0	2.5553153	1.4269185	5.2484736	-0.12270911	144000	0.0	1.4282136	-0.008328553	-0.5212379	1.3564423	0.0062502758	0.08075	127.0	372.4145510196686	12.157325	4.169463	20.761442	5.1710763	0.0	0.0
9	500.0	3.5296264	1.6963437	6.308875	0.030898504	160000	1.4901161e-08	1.3807201	-0.009067786	-0.23498747	1.3564423	0.008914653	0.088437505	127.0	414.0281183719635	14.904759	4.724422	25.489483	6.4933357	0.0	0.0
10	500.0	4.4705963	1.7841296	6.851964	0.23340294	176000	-3.7252903e-09	2.5766873	-0.008108164	-0.47176594	1.3564423	0.0045996234	0.068375	127.0	455.1223545074463	20.237774	6.0890417	37.29626	11.626213	0.0	0.0
11	500.0	5.0699697	1.7237961	7.0254946	0.26736584	192000	2.6077032e-08	2.4486482	-0.008974168	-0.487342	1.3564423	0.006707535	0.072437495	127.0	498.30877232551575	22.715956	7.290057	36.658894	6.8480906	0.0	0.0
12	500.0	5.904035	1.9521627	7.9983907	-0.3702675	208000	-1.1175871e-08	4.200634	-0.007441434	-0.47259703	1.3564423	0.0069160964	0.061062504	127.0	538.4462397098541	26.720333	9.0971155	55.120525	13.078715	0.0	0.0
13	500.0	6.504223	2.1665292	8.711318	0.45523342	224000	-1.1175871e-08	5.3737917	-0.006697077	-0.39555946	1.3564423	0.006987977	0.053312503	127.0	582.5220885276794	25.227514	10.620496	60.244297	11.876414	0.0	0.0
14	500.0	6.400452	2.029837	8.792056	0.8967147	240000	-7.450581e-09	3.3150377	-0.008408389	-0.3970011	1.3564423	0.0060654255	0.055625	127.0	627.4727256298065	24.632412	8.852089	42.62057	7.851388	0.0	0.0
15	500.0	6.153596	2.031574	8.887302	-1.5989485	256000	3.7252903e-09	2.6017923	-0.00889056	-0.38243136	1.3564423	0.007881041	0.0745625	127.0	673.2104423046112	25.220148	7.8062315	37.610565	14.948947	0.0	0.0
16	500.0	6.2925234	1.8014221	8.590478	-1.6940709	272000	1.3038516e-08	2.2205062	-0.007652012	-0.25393212	1.3564423	0.0038707175	0.051375	127.0	714.178808927536	26.718761	7.21038	38.26147	15.507229	0.0	0.0
17	500.0	6.4242325	1.6021098	8.693316	0.12796177	288000	-7.450581e-09	1.952617	-0.0077484883	-0.1326636	1.3564423	0.0059298417	0.055875	127.0	754.9906704425812	27.60189	6.890559	38.89097	13.10983	0.0	0.0
18	500.0	6.3679705	1.7572389	9.084492	-0.79592276	304000	-2.2351742e-08	2.0851932	-0.007874391	-0.32503334	1.3564423	0.0077751037	0.062249996	127.0	796.4890360832214	27.932304	7.9297514	40.704525	15.884959	0.0	0.0
19	500.0	6.7658453	1.7358762	9.734076	0.5718702	320000	-7.450581e-09	3.134776	-0.008203462	-0.43595868	1.3564423	0.006329052	0.05925	127.0	836.227588891983	31.389742	8.066823	47.045837	17.038918	0.0	0.0
20	500.0	7.5645947	1.8506192	9.789316	0.4273676	336000	-1.9557774e-08	1.7799969	-0.008226661	-0.13818595	1.3564423	0.005279028	0.04925	127.0	876.0535564422607	32.763588	6.413607	41.71646	16.459646	0.0	0.0
21	500.0	7.710696	1.7218024	9.808856	1.5981655	352000	0.0	1.762857	-0.0072930166	-0.26067054	1.3564423	0.0051572723	0.05025	127.0	914.5193552970886	31.886272	7.13346	41.141968	15.664823	0.0	0.0
22	500.0	7.7709923	1.7109121	9.930533	1.6933529	368000	-1.4901161e-08	2.145669	-0.010192915	-0.331187	1.3564423	0.009094017	0.077374995	127.0	958.7231140136719	33.08344	7.320595	42.285126	17.138023	0.0	0.0
23	500.0	7.730781	1.8383194	10.177311	1.2332352	384000	-7.450581e-09	1.9200867	-0.009591598	-0.23489422	1.3564423	0.007240612	0.0641875	127.0	1002.2855598926544	34.33394	6.7622585	47.1359	17.36287	0.0	0.0
24	500.0	8.106137	1.8272209	10.055357	2.5496893	400000	1.4901161e-08	1.4920686	-0.008010788	-0.45695788	1.3564423	0.006016439	0.066687495	127.0	1042.7824738025665	37.717094	5.7099843	48.005447	13.369569	0.0	0.0
