Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.044121224	0.02649653	0.10402744	-0.03539223	16000	7.450581e-09	0.0018181022	-0.0055475705	-0.0012284658	1.3564423	0.0066808816	0.0578125	127.0	56.401010513305664	0.23379472	0.115363844	0.6067123	0.07584052	0.0	0.0
1	500.0	0.047168557	0.013869415	0.086814635	0.0052005947	32000	1.8626451e-08	0.00087312004	-0.008800777	-0.0004078062	1.3564423	0.006216515	0.079624996	127.0	97.79122972488403	0.29397124	0.1572222	0.6964448	0.11684653	0.0	0.0
2	500.0	0.07277463	0.02373751	0.171619	0.016333167	48000	-2.2351742e-08	0.0025628433	-0.013639814	-0.0012933968	1.3564423	0.008304434	0.1281875	127.0	136.91561007499695	0.55219924	0.27270594	1.3660464	0.234237	0.0	0.0
3	500.0	0.13211054	0.042910144	0.28370038	0.015954878	64000	-5.2154064e-08	0.017179307	-0.008143445	-0.007594609	1.3564423	0.008118316	0.101624995	127.0	179.53865218162537	0.9058685	0.6215705	3.2996447	0.2613835	0.0	0.0
4	500.0	0.2631776	0.10861506	0.68597627	0.06211221	80000	1.1175871e-08	0.04652259	-0.009176059	-0.02327517	1.3564423	0.006826273	0.1023125	127.0	217.4608633518219	1.5024744	1.0716034	5.433569	0.526129	0.0	0.0
5	500.0	0.50672793	0.31118047	1.6663413	-0.029308315	96000	-1.4901161e-08	0.43662262	-0.007778772	-0.22583994	1.3564423	0.006357675	0.0915625	127.0	255.93815422058105	3.649292	2.946002	11.679564	0.57924515	0.0	0.0
6	500.0	1.3764935	0.75149477	2.8885574	-0.2432642	112000	-1.4901161e-08	1.769927	-0.006736437	-0.9964293	1.3564423	0.0041541783	0.0566875	127.0	291.465678691864	9.416569	4.639361	19.83299	0.6872019	0.0	0.0
7	500.0	2.282804	1.321767	5.0653896	-0.28610164	128000	3.7252903e-09	1.6926397	-0.008583829	-0.76603055	1.3564423	0.008139022	0.083187506	127.0	330.2752730846405	11.798109	5.867608	25.432827	0.5981224	0.0	0.0
8	500.0	3.7393966	1.5960411	6.3861427	-0.64170754	144000	7.450581e-09	5.503208	-0.0072537567	-1.0007297	1.3564423	0.0058819796	0.073375	127.0	374.0045118331909	18.22871	9.88399	54.935093	4.5037484	0.0	0.0
9	500.0	4.7671175	1.9054834	7.560188	-0.48549163	160000	1.4901161e-08	7.6220703	-0.006520734	-1.1105709	1.3564423	0.00699359	0.066375	127.0	412.2542517185211	21.843164	12.538415	58.1499	6.010919	0.0	0.0
10	500.0	5.5240693	2.108055	8.635468	-0.36184308	176000	-7.450581e-09	8.0049	-0.0070537254	-1.211575	1.3564423	0.005538567	0.060999997	127.0	453.6180188655853	24.681677	11.875101	61.282696	8.275739	0.0	0.0
11	500.0	6.611295	2.046558	9.214135	-0.3958268	192000	2.9802322e-08	3.7052536	-0.009300384	-2.2338457	1.3564423	0.007828934	0.067999996	127.0	495.72400403022766	20.023552	4.9061646	33.458313	10.734464	0.0	0.0
12	500.0	5.3906164	1.436921	7.5271935	0.81644565	208000	2.9802322e-08	4.549307	-0.008018886	-0.20958082	1.3564423	0.0066151666	0.088	127.0	537.3539936542511	23.204857	9.524644	68.399155	14.572575	0.0	0.0
13	500.0	5.7821493	1.3054633	7.715685	1.420859	224000	-1.1175871e-08	5.055537	-0.0077264803	-0.21946341	1.3564423	0.006704148	0.070875004	127.0	580.2033615112305	25.992834	9.78378	69.31422	15.77231	0.0	0.0
14	500.0	5.9592314	1.2536309	7.8236666	1.5982051	240000	-9.313226e-10	3.0519712	-0.0073410105	-0.084055796	1.3564423	0.00791943	0.07350001	127.0	619.6871137619019	26.002544	8.3251295	56.150326	12.875411	0.0	0.0
15	500.0	6.148441	1.3586044	8.229203	1.4301555	256000	0.0	2.6009855	-0.0087709855	-0.1734679	1.3564423	0.0064904764	0.072312504	127.0	661.6557569503784	26.859938	6.424006	50.47858	18.37173	0.0	0.0
16	500.0	6.236507	1.504969	8.329712	1.618086	272000	0.0	2.3359654	-0.008149428	-0.5658622	1.3564423	0.005835753	0.056125	127.0	700.6963346004486	26.602451	9.045321	37.959007	0.34781563	0.0	0.0
17	500.0	6.37978	1.8107811	8.430129	0.5915788	288000	-1.8626451e-08	1.7797323	-0.008008141	-0.2096078	1.3564423	0.0062318067	0.0715625	127.0	745.9694867134094	28.984152	8.244095	48.289658	0.5195064	0.0	0.0
18	500.0	7.155455	1.6074595	9.119222	0.7980249	304000	-1.4901161e-08	7.9422636	-0.008163349	-0.6098032	1.3564423	0.00596417	0.0765	127.0	791.8736107349396	34.250935	13.53333	82.67354	21.014997	0.0	0.0
19	500.0	7.870629	1.6884282	10.040681	0.030606335	320000	-3.7252903e-08	3.450207	-0.0075809117	-0.2765091	1.3564423	0.005795058	0.059750002	127.0	839.240522146225	34.213734	7.1957126	60.373447	22.617542	0.0	0.0
20	500.0	7.980782	1.7608472	10.115553	1.2650698	336000	1.1175871e-08	6.2060566	-0.0077000954	-0.33162752	1.3564423	0.008010693	0.07	127.0	881.6462681293488	33.772118	11.030431	81.81677	20.331755	0.0	0.0
21	500.0	7.6650047	1.7601498	9.456942	1.4768516	352000	-1.4901161e-08	6.779098	-0.007277446	-0.37928224	1.3564423	0.0072430787	0.093375	127.0	921.7825803756714	34.106026	13.889432	82.93605	8.807544	0.0	0.0
22	500.0	8.316256	1.7638887	10.456523	0.22173826	368000	7.450581e-09	8.488462	-0.008324657	-0.5772847	1.3564423	0.008089256	0.086187504	127.0	965.5771729946136	36.10482	13.896979	100.73866	22.940142	0.0	0.0
23	500.0	8.391072	1.6503532	10.009333	0.93355155	384000	-1.4901161e-08	3.6978736	-0.0068478836	-0.30514365	1.3564423	0.006930569	0.059875	127.0	1006.5787460803986	34.40426	8.30383	65.546165	19.563602	0.0	0.0
24	500.0	8.018542	1.524344	9.581276	2.1945753	400000	1.6763806e-08	3.087075	-0.0078388965	-0.25990552	1.3564423	0.0070502926	0.0703125	127.0	1044.2157754898071	33.88186	9.016574	69.80584	18.704512	0.0	0.0
25	500.0	8.053319	1.6806086	10.189965	1.3005154	416000	-7.450581e-09	1.3002833	-0.010852093	-0.14401087	1.3564423	0.006680121	0.083812505	127.0	1081.4563682079315	34.620262	6.703987	44.149773	18.930878	0.0	0.0
26	500.0	7.941511	1.9370161	9.98142	-1.7986003	432000	7.450581e-09	6.967554	-0.008323876	-0.66738147	1.3564423	0.0068900455	0.074625	127.0	1126.8696155548096	37.34195	13.2140045	92.08821	0.39270183	0.0	0.0
27	500.0	8.876898	1.8396126	10.582548	0.48033202	448000	2.9802322e-08	3.888172	-0.009076378	-0.33931437	1.3564423	0.006526693	0.078625	127.0	1167.798509836197	37.15979	9.680154	62.039585	24.027798	0.0	0.0
28	500.0	8.623812	2.148752	10.913155	1.0772289	464000	1.4901161e-08	4.732384	-0.009611023	-0.46543592	1.3564423	0.007759068	0.0731875	127.0	1210.7621920108795	37.8287	10.59732	72.269455	22.89989	0.0	0.0
