Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0936499	0.015802069	0.14143136	0.046607196	16000	1.4901161e-08	0.00417808	-0.0061981166	-0.0017094183	1.3564423	0.007926578	0.0525625	127.0	47.615790605545044	0.51815295	0.29537204	1.2663195	0.15962066	0.0	0.0
1	500.0	0.107497446	0.027324712	0.1674647	0.0010212008	32000	2.2351742e-08	0.012570939	-0.006373992	-0.0048270584	1.3564423	0.006088946	0.0675	127.0	102.38170790672302	0.86941427	0.53686124	2.209245	0.25131807	0.0	0.0
2	500.0	0.17720222	0.042837787	0.28339288	-0.029413091	48000	2.142042e-08	0.021064539	-0.010129329	-0.011171423	1.3564423	0.0058864015	0.09056249	127.0	150.42918157577515	1.3710663	0.6373093	3.228394	0.50004935	0.0	0.0
3	500.0	0.3125609	0.08283181	0.58054477	0.070070654	64000	0.0	0.41383177	-0.0076208767	-0.1955783	1.3564423	0.0069725374	0.078499995	127.0	202.9574863910675	3.4979343	2.7584434	14.289059	0.4244671	0.0	0.0
4	500.0	0.90063804	0.20864026	1.48189	0.3783349	80000	-4.4703484e-08	1.3827741	-0.008740115	-0.6380677	1.3564423	0.009051032	0.088625	127.0	250.9984118938446	7.0789824	4.5527587	16.50693	0.7118153	0.0	0.0
5	500.0	1.7501358	0.60974085	3.1222758	0.14242552	96000	3.7252903e-09	2.5516922	-0.008634161	-1.4947648	1.3564423	0.004391641	0.066375	127.0	302.49184823036194	12.409395	5.398104	23.721085	3.160188	0.0	0.0
6	500.0	3.2044492	1.1397996	5.5133376	-0.100484625	112000	-2.2351742e-08	5.6028833	-0.007044917	-2.7591345	1.3564423	0.0039275386	0.0543125	127.0	360.08930373191833	20.662859	7.570423	39.836914	5.372143	0.0	0.0
7	500.0	4.8751698	1.724725	7.5077767	0.17497678	128000	1.4901161e-08	3.7041407	-0.008113534	-0.25534484	1.3564423	0.008707751	0.0919375	127.0	404.08084321022034	20.307287	8.187979	46.366943	6.1692977	0.0	0.0
8	500.0	5.9224463	1.9037832	8.205018	-0.40301573	144000	7.450581e-09	6.8195596	-0.0070471736	-0.59215206	1.3564423	0.0064296476	0.073	127.0	445.7867350578308	21.574554	11.265371	63.41468	12.850695	0.0	0.0
9	500.0	5.5859237	1.4355681	7.376386	0.83747834	160000	0.0	12.577511	-0.0069007725	-0.5138193	1.3564423	0.00898978	0.0849375	127.0	486.29941749572754	24.867165	15.356274	74.76933	11.704393	0.0	0.0
10	500.0	6.0101748	1.3023999	7.5185556	1.5697386	176000	-1.4901161e-08	12.758047	-0.0070306505	-0.56881106	1.3564423	0.008590517	0.0801875	127.0	530.6408987045288	28.14613	15.961095	82.3001	10.814945	0.0	0.0
11	500.0	6.55525	0.92978054	7.4833217	2.7547212	192000	-7.450581e-09	7.7023654	-0.007053206	-0.31024894	1.3564423	0.007776754	0.0691875	127.0	567.798722743988	25.74141	12.719845	75.463425	11.380322	0.0	0.0
12	500.0	6.184494	0.9647588	7.079702	2.1061108	208000	7.450581e-09	6.8505073	-0.0069139604	-0.21860704	1.3564423	0.0077101667	0.068125	127.0	607.0023910999298	25.969923	11.945871	72.36662	14.657401	0.0	0.0
13	500.0	5.977909	0.7006672	6.605382	2.323957	224000	-1.4901161e-08	8.570367	-0.005526508	-0.2941701	1.3564423	0.006701516	0.0553125	127.0	647.1835422515869	27.686283	12.009629	66.499825	16.413984	0.0	0.0
14	500.0	6.237512	1.0418	7.191898	1.4403679	240000	0.0	8.649105	-0.0068735117	-0.3282563	1.3564423	0.006249226	0.0545625	127.0	688.1439826488495	29.037123	14.122646	98.281876	17.28146	0.0	0.0
15	500.0	6.541859	0.84216547	7.3081803	2.0822225	256000	-3.7252903e-08	3.533494	-0.008789536	-1.2033758	1.3564423	0.0072491905	0.064624995	127.0	724.9449121952057	23.582397	6.575463	38.12958	14.093849	0.0	0.0
16	500.0	5.5264535	0.58624136	6.1223755	2.3364563	272000	-1.1175871e-08	6.01601	-0.0070000235	-0.8667026	1.3564423	0.0076822154	0.059687503	127.0	767.6195847988129	29.891045	10.417281	75.11072	16.307692	0.0	0.0
17	500.0	6.400545	0.6232125	7.0012364	2.0893726	288000	-7.450581e-09	22.983221	-0.0070964163	-4.453623	1.3564423	0.005777796	0.0564375	127.0	806.6407260894775	39.533173	20.89163	105.40385	18.265148	0.0	0.0
18	500.0	7.9886794	1.0871217	8.933239	2.03935	304000	3.5390258e-08	14.835088	-0.007896193	-0.7765629	1.3564423	0.0074851685	0.07075	127.0	850.1297373771667	32.109	18.318384	97.06341	19.260515	0.0	0.0
19	500.0	7.582841	1.2167233	8.800015	1.326805	320000	7.450581e-09	19.279915	-0.006998287	-2.1433663	1.3564423	0.007382417	0.0705625	127.0	887.9588010311127	40.573925	20.096746	94.20486	18.458612	0.0	0.0
20	500.0	8.613684	1.8435098	10.030853	0.12195289	336000	2.9802322e-08	11.986249	-0.007807039	-3.7108302	1.3564423	0.0064175134	0.0605625	127.0	929.2102992534637	30.061106	14.661785	99.369415	17.707336	0.0	0.0
21	500.0	7.1183624	1.2388308	8.798708	3.0110056	352000	-1.1175871e-08	8.863873	-0.007968002	-0.42265266	1.3564423	0.0064688344	0.059687503	127.0	973.5352952480316	31.836727	14.490256	98.70513	18.581507	0.0	0.0
22	500.0	7.4789925	1.0517653	9.176648	3.4159234	368000	-1.1175871e-08	19.478035	-0.007738662	-1.7981749	1.3564423	0.008523705	0.073249996	127.0	1013.4738988876343	39.276947	21.02812	104.982956	17.101427	0.0	0.0
23	500.0	8.10062	1.3709756	9.858308	3.3661451	384000	-1.4901161e-08	8.43071	-0.007861739	-1.0218376	1.3564423	0.007616872	0.0678125	127.0	1057.070127248764	32.509552	14.0206585	101.22944	20.509876	0.0	0.0
24	500.0	7.463499	1.3160127	9.655118	2.4996042	400000	2.2351742e-08	19.2495	-0.007661732	-1.1352727	1.3564423	0.007344961	0.074625	127.0	1098.6678371429443	35.55577	21.821896	111.31752	18.491571	0.0	0.0
25	500.0	8.037786	1.2909961	10.058897	3.4141486	416000	2.6077032e-08	5.4908686	-0.009654628	-0.4177944	1.3564423	0.007668831	0.07375	127.0	1145.602365732193	33.720066	9.603826	70.40018	19.683855	0.0	0.0
26	500.0	7.7415285	1.386087	10.156125	3.1218648	432000	-1.4901161e-08	19.270782	-0.0076416396	-1.1297419	1.3564423	0.007989348	0.073937505	127.0	1188.1126806735992	35.814438	23.315428	114.38335	15.557964	0.0	0.0
27	500.0	8.106784	1.6005831	10.940279	2.9222033	448000	-1.4901161e-08	12.707919	-0.0074910065	-1.6957803	1.3564423	0.0076718917	0.07175001	127.0	1225.6784739494324	32.11952	16.908913	93.449005	16.54291	0.0	0.0
28	500.0	7.876835	1.3028396	10.801631	3.3563948	464000	1.8626451e-08	16.07726	-0.007870563	-0.853059	1.3564423	0.0074816574	0.08825	127.0	1269.48348736763	34.187164	20.34595	109.13191	16.159365	0.0	0.0
29	500.0	7.77149	1.3284931	11.302157	3.2382312	480000	-7.450581e-09	30.489347	-0.008130711	-2.633049	1.3564423	0.007600867	0.078812495	127.0	1312.9938821792603	38.751472	28.468714	116.08585	19.709946	0.0	0.0
30	500.0	7.7498393	1.3876433	11.860244	3.0581234	496000	-1.4901161e-08	14.896191	-0.0066587827	-1.2645502	1.3564423	0.00662164	0.07625	127.0	1352.1305725574493	33.351357	19.460945	110.03299	16.990984	0.0	0.0
31	500.0	7.69109	1.5754427	12.450324	1.8888077	512000	1.4901161e-08	8.583823	-0.0075986376	-2.2136633	1.3564423	0.0047644475	0.0559375	127.0	1393.0436222553253	31.14547	13.925022	93.942154	16.741535	0.0	0.0
32	500.0	6.778289	1.6337062	12.7381115	1.6187603	528000	-2.2351742e-08	36.20617	-0.0075945854	-8.656681	1.3564423	0.007977774	0.075312495	127.0	1433.0868752002716	39.57322	30.835293	130.87738	13.325779	0.0	0.0
33	500.0	7.8929477	2.274605	14.169179	-0.23909979	544000	7.450581e-09	8.486933	-0.007892845	-1.973757	1.3564423	0.005154618	0.055687502	127.0	1474.1188943386078	31.817352	12.546533	94.611534	18.387823	0.0	0.0
34	500.0	6.9694395	2.4330647	14.0348625	-0.0020366013	560000	-1.4901161e-08	24.007456	-0.008922748	-2.3767304	1.3564423	0.008118505	0.07637501	127.0	1517.1350736618042	39.252815	23.58415	107.23843	17.88643	0.0	0.0
35	500.0	9.151593	2.544587	14.745932	1.3184025	576000	1.4901161e-08	27.869839	-0.00966981	-3.0704918	1.3564423	0.00885503	0.071125	127.0	1555.419160604477	43.74665	28.63619	111.07089	19.964516	0.0	0.0
36	500.0	9.06361	2.5943844	15.786512	0.32037765	592000	-1.1175871e-08	32.797684	-0.008640304	-3.3150468	1.3564423	0.007094775	0.073375	127.0	1599.0393085479736	46.280357	29.407598	120.00428	27.050167	0.0	0.0
37	500.0	10.144617	2.5417027	16.33517	-7.2434707	608000	-2.7939677e-08	30.739395	-0.009008864	-3.8260856	1.3564423	0.0058064437	0.06918751	127.0	1639.7482516765594	44.965942	27.363916	123.71124	20.843489	0.0	0.0
38	500.0	10.713599	3.0542443	16.723719	-4.0849137	624000	-2.2351742e-08	48.106663	-0.009918903	-11.789407	1.3564423	0.00855432	0.0731875	127.0	1679.146495103836	62.16313	35.935562	121.372444	25.071133	0.0	0.0
39	500.0	11.048612	3.2453666	18.958656	-0.89938617	640000	-2.6077032e-08	36.33351	-0.01066398	-4.5248346	1.3564423	0.0067186737	0.0878125	127.0	1719.7699842453003	47.989433	30.421495	120.944954	25.956356	0.0	0.0
40	500.0	10.257168	2.9460626	18.859138	-4.4621496	656000	1.1175871e-08	17.414923	-0.009892886	-2.1921237	1.3564423	0.007952802	0.087375	127.0	1764.7379477024078	42.1138	21.363586	120.83787	23.44645	0.0	0.0
41	500.0	9.84993	3.5672066	19.238474	-0.8018957	672000	0.0	20.221266	-0.00899934	-1.7221668	1.3564423	0.009213888	0.071125	127.0	1804.978265762329	44.155373	23.661922	113.523735	18.176842	0.0	0.0
42	500.0	9.665264	3.3808906	18.264936	-8.039008	688000	1.8626451e-09	33.05954	-0.0079241805	-3.9738517	1.3564423	0.006035327	0.0670625	127.0	1849.1515264511108	49.9936	31.51776	123.6391	23.261368	0.0	0.0
43	500.0	10.441481	3.293391	19.639738	-0.53398216	704000	3.7252903e-09	19.053091	-0.008011126	-2.4090242	1.3564423	0.00708709	0.0626875	127.0	1890.4189629554749	42.51293	23.225502	132.88992	27.974531	0.0	0.0
