Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.097610384	0.015725449	0.14526993	0.05001229	16000	-1.1175871e-08	0.0040960354	-0.0061803046	-0.0015813382	1.3564423	0.0077484227	0.0511875	127.0	40.87419509887695	0.5122427	0.29187962	1.2521538	0.15742451	0.0	0.0
1	500.0	0.106118806	0.026350457	0.16323464	0.0033480376	32000	0.0	0.011982795	-0.006223601	-0.004449738	1.3564423	0.0060132453	0.065375	127.0	96.28298544883728	0.8475604	0.5251151	2.179252	0.24535795	0.0	0.0
2	500.0	0.16986734	0.040928014	0.270056	-0.022828285	48000	-3.7252903e-09	0.019193258	-0.009805441	-0.010107107	1.3564423	0.005641424	0.0871875	127.0	141.2462341785431	1.3202678	0.6092221	3.1014385	0.47899863	0.0	0.0
3	500.0	0.2967392	0.07546144	0.53892165	0.07400428	64000	3.7252903e-08	0.3584972	-0.0074355276	-0.16821893	1.3564423	0.0068541	0.0768125	127.0	191.62265300750732	3.2947311	2.5781374	13.463059	0.40959746	0.0	0.0
4	500.0	0.83070403	0.18860301	1.3519362	0.31946445	80000	2.2351742e-08	1.3363727	-0.007966187	-0.611154	1.3564423	0.008312037	0.08049999	127.0	229.53833055496216	6.7966065	4.5178523	16.463165	0.6368909	0.0	0.0
5	500.0	1.6826065	0.5668605	2.973358	0.10534412	96000	-2.2351742e-08	2.4732504	-0.0083599	-1.45292	1.3564423	0.0044390983	0.066125005	127.0	264.5739109516144	12.024091	5.315325	22.096815	3.0891082	0.0	0.0
6	500.0	3.0949066	1.101172	5.3326797	-0.116852134	112000	-2.9802322e-08	6.5795593	-0.008535601	-3.1355095	1.3564423	0.0037470602	0.0653125	127.0	301.8208568096161	20.623657	8.074282	47.934208	5.1776037	0.0	0.0
7	500.0	4.8331175	1.7520363	7.5397277	0.06488468	128000	-3.7252903e-09	3.9261441	-0.00868153	-0.21049818	1.3564423	0.0085414965	0.1045625	127.0	343.4338026046753	19.747578	8.660768	53.17735	6.538503	0.0	0.0
8	500.0	5.7870555	1.8846781	8.127654	0.06345453	144000	3.7252903e-09	5.3624682	-0.0066971723	-0.54428905	1.3564423	0.007397248	0.0636875	127.0	383.6667249202728	20.939539	9.622802	60.13535	11.02797	0.0	0.0
9	500.0	5.448787	1.3995475	7.0998044	0.9524669	160000	1.8626451e-09	14.740477	-0.0063378625	-1.0372767	1.3564423	0.008887984	0.0813125	127.0	419.169962644577	26.528358	15.913687	74.410774	10.955952	0.0	0.0
10	500.0	6.35321	1.6679899	8.122741	0.81458354	176000	-2.2351742e-08	24.551819	-0.006900514	-1.5694153	1.3564423	0.006429858	0.063	127.0	455.12894463539124	32.651665	21.336092	83.56258	9.457618	0.0	0.0
11	500.0	7.6264234	1.4236634	8.856272	1.9226813	192000	-5.2154064e-08	7.4413195	-0.0073863463	-3.5564427	1.3564423	0.0071034147	0.0609375	127.0	493.96539330482483	22.742046	8.185217	47.761112	7.850102	0.0	0.0
12	500.0	5.933285	1.1740735	7.2463307	1.9575154	208000	-2.2351742e-08	11.939854	-0.0072216084	-0.39503574	1.3564423	0.007705708	0.067875	127.0	535.3073544502258	24.937782	16.045122	86.67433	10.319416	0.0	0.0
13	500.0	5.8466797	0.7751399	6.7190967	3.1202874	224000	2.9802322e-08	20.660973	-0.0061979266	-1.2331718	1.3564423	0.00797956	0.059875	127.0	594.5838298797607	30.860783	20.722294	98.81217	13.019502	0.0	0.0
14	500.0	6.7464685	0.91701645	7.7012286	3.1259367	240000	1.8626451e-08	13.69503	-0.006351483	-0.3588915	1.3564423	0.0049895663	0.05075	127.0	644.4442160129547	29.996094	17.684652	101.66028	15.449911	0.0	0.0
15	500.0	6.7785535	0.8600368	7.782973	3.270893	256000	-5.2154064e-08	6.3354053	-0.0070283683	-2.6571746	1.3564423	0.0073338663	0.058	127.0	680.3919503688812	21.654606	8.035785	56.97882	12.340102	0.0	0.0
16	500.0	5.350408	0.7873801	6.850635	2.4266179	272000	-2.9802322e-08	12.072839	-0.0068455194	-0.6497751	1.3564423	0.007065845	0.0650625	127.0	719.0476195812225	27.573566	15.387648	95.872246	16.245058	0.0	0.0
17	500.0	6.0235095	0.5686426	7.035462	3.9914315	288000	2.2351742e-08	19.971878	-0.0067244372	-0.85069305	1.3564423	0.008849548	0.06525	127.0	753.9250543117523	31.596443	20.660004	102.58423	12.209776	0.0	0.0
18	500.0	6.665451	0.6803543	7.86186	4.2923574	304000	1.4901161e-08	14.172032	-0.0067132586	-0.50895023	1.3564423	0.007395798	0.062437497	127.0	792.8482835292816	28.182219	17.99132	96.50211	14.991746	0.0	0.0
