Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.043480147	0.013007287	0.079762	-0.0018310994	16000	3.7252903e-09	0.01682714	-0.0054780114	-0.008320015	1.3564423	0.0076193223	0.0504375	127.0	41.53720164299011	0.68740004	0.47461066	1.7711076	0.14672956	0.0	0.0
1	500.0	0.11958768	0.04965031	0.22918844	-0.06295182	32000	-1.4901161e-08	0.033598773	-0.0068863747	-0.012313567	1.3564423	0.006213594	0.065125	127.0	76.1489052772522	1.2213056	0.82858783	3.033598	0.1986488	0.0	0.0
2	500.0	0.24793857	0.07077211	0.41760844	0.007702604	48000	7.450581e-09	0.16857827	-0.0068648113	-0.056779273	1.3564423	0.0058315475	0.0700625	127.0	116.02518200874329	2.3386998	1.7708275	7.7171435	0.41256487	0.0	0.0
3	500.0	0.5455445	0.12925282	0.89927554	0.046547078	64000	0.0	1.1113856	-0.006616656	-0.51297647	1.3564423	0.0064123757	0.06375	127.0	152.41368627548218	5.6930313	4.15481	15.903033	0.54968303	0.0	0.0
4	500.0	1.3617647	0.33731723	2.2285483	0.27384955	80000	1.4901161e-08	1.5120431	-0.008142266	-0.6803982	1.3564423	0.0073707425	0.071625	127.0	189.68413090705872	8.623507	4.5531893	19.397842	1.0267686	0.0	0.0
5	500.0	2.179211	0.70342547	3.7807977	0.17952117	96000	3.7252903e-08	4.8565803	-0.0069148303	-2.2069921	1.3564423	0.004577078	0.062562495	127.0	226.78574895858765	15.42245	6.7642345	33.737335	4.6922555	0.0	0.0
6	500.0	3.8237386	1.2361087	6.0428514	0.25884268	112000	0.0	3.2318492	-0.007941404	-0.7294123	1.3564423	0.0060814526	0.078125	127.0	266.79505038261414	18.940346	6.890628	46.072296	8.090114	0.0	0.0
7	500.0	4.710782	1.4608269	6.8371763	0.49014312	128000	1.8626451e-09	1.464288	-0.0095974915	-0.10295777	1.3564423	0.008659262	0.09093751	127.0	304.9702754020691	19.5337	4.0528655	30.83251	13.311134	0.0	0.0
8	500.0	5.151071	1.2941386	6.8699884	0.9383547	144000	7.450581e-09	8.807607	-0.007331373	-0.6932969	1.3564423	0.00804919	0.0795625	127.0	347.35459756851196	25.118122	13.465643	80.62022	12.65974	0.0	0.0
9	500.0	5.859419	1.1748581	7.2396398	1.6783302	160000	3.7252903e-09	2.9249196	-0.008643202	-0.09080158	1.3564423	0.009270621	0.089375004	127.0	399.40457558631897	25.302387	6.331539	43.521664	15.022922	0.0	0.0
10	500.0	6.108606	1.1472945	7.3604555	1.7827182	176000	3.7252903e-08	9.179757	-0.007839098	-0.8385078	1.3564423	0.008430777	0.0776875	127.0	447.91511631011963	30.66711	13.5444355	79.490524	12.49932	0.0	0.0
11	500.0	7.078638	1.3113958	8.39064	1.629344	192000	-2.9802322e-08	8.278513	-0.0062692007	-0.32864404	1.3564423	0.0060492996	0.059562504	127.0	486.01256275177	28.942846	13.796042	99.66753	20.28318	0.0	0.0
12	500.0	6.68678	1.0919331	8.062768	1.2343998	208000	-1.1175871e-08	12.324611	-0.0072390167	-0.57542455	1.3564423	0.0069736573	0.0800625	127.0	524.4886765480042	32.738976	16.62708	87.44755	14.553461	0.0	0.0
13	500.0	7.526953	1.1693438	8.619827	1.3473678	224000	1.1175871e-08	2.4689133	-0.007905132	-0.2743557	1.3564423	0.005689127	0.0540625	127.0	563.4248244762421	30.601746	6.169256	47.557674	21.114416	0.0	0.0
14	500.0	7.0754285	1.0199767	8.077787	2.2166386	240000	3.7252903e-09	14.688229	-0.0071395794	-1.6684685	1.3564423	0.0060991896	0.05825	127.0	601.724556684494	37.62095	17.545118	104.532364	19.987541	0.0	0.0
15	500.0	8.010713	1.5106909	9.38364	0.7925571	256000	0.0	16.750408	-0.007193884	-0.6313056	1.3564423	0.0080499165	0.0740625	127.0	639.8885068893433	33.691536	19.643183	92.2625	16.154274	0.0	0.0
16	500.0	7.8628764	1.1848277	8.983859	1.1634037	272000	0.0	20.725304	-0.0076802233	-0.9797297	1.3564423	0.0073953914	0.0675	127.0	681.590283870697	38.334465	22.291277	105.45811	18.787542	0.0	0.0
17	500.0	8.524374	1.6946582	9.932647	1.244549	288000	2.2351742e-08	21.602182	-0.006359269	-0.63903165	1.3564423	0.0051171053	0.055875	127.0	717.4979257583618	39.703773	22.578629	107.1708	17.01305	0.0	0.0
18	500.0	8.974447	1.4645791	10.253077	2.77712	304000	2.9802322e-08	20.234982	-0.0057021603	-1.7565808	1.3564423	0.006198293	0.053125	127.0	754.7446756362915	34.329266	22.16495	133.33095	18.13443	0.0	0.0
19	500.0	8.037531	1.1131397	9.48085	2.7785857	320000	7.450581e-09	16.291357	-0.006584513	-0.77465767	1.3564423	0.005634652	0.0580625	127.0	796.4468729496002	39.75563	20.445217	106.63898	15.974838	0.0	0.0
20	500.0	8.433216	1.3021814	10.1004505	1.8185296	336000	-1.4901161e-08	6.5467825	-0.009173889	-1.6546884	1.3564423	0.00705456	0.087312505	127.0	839.08686876297	32.66469	10.152343	68.993996	19.589178	0.0	0.0
21	500.0	7.6426826	1.2552556	9.447638	1.7022375	352000	1.8626451e-08	15.644396	-0.00693981	-0.49650478	1.3564423	0.007729156	0.074625	127.0	893.181001663208	37.22447	19.94855	101.50992	15.359684	0.0	0.0
22	500.0	8.495703	1.044288	10.073565	3.7912343	368000	-1.6763806e-08	11.623592	-0.006887663	-0.18301825	1.3564423	0.008796044	0.071812496	127.0	956.7274394035339	37.155014	16.637592	110.575485	22.68607	0.0	0.0
23	500.0	8.137205	1.5464723	10.044716	-0.339213	384000	-1.4901161e-08	7.3249283	-0.009281708	-0.28901297	1.3564423	0.008112918	0.077375	127.0	1012.8579454421997	35.889713	13.228894	85.4569	17.644236	0.0	0.0
24	500.0	8.534582	1.2403075	10.122901	2.6379244	400000	-2.2351742e-08	6.518469	-0.0074244477	-0.36098966	1.3564423	0.0076396405	0.0741875	127.0	1060.280484676361	36.120132	11.760085	87.127884	18.609493	0.0	0.0
25	500.0	8.215846	1.1409723	9.653025	3.1810884	416000	-1.1175871e-08	18.134995	-0.007017527	-0.8673879	1.3564423	0.0059811343	0.0655	127.0	1098.9596099853516	41.254642	20.697453	118.68018	24.426077	0.0	0.0
26	500.0	9.016227	1.2438146	10.365312	2.9555068	432000	-1.4901161e-08	8.759586	-0.0076364344	-1.0253458	1.3564423	0.00737244	0.0681875	127.0	1139.292742729187	35.70636	13.603101	104.938385	20.315744	0.0	0.0
27	500.0	8.1941	1.088394	9.539676	3.4041307	448000	-2.142042e-08	1.6000304	-0.009714453	-0.24587083	1.3564423	0.007758664	0.07	127.0	1178.469356060028	34.809593	5.0494595	47.60758	25.959017	0.0	0.0
28	500.0	7.9398456	0.9868463	9.284168	3.1768777	464000	-1.3038516e-08	11.641617	-0.0073162457	-0.809584	1.3564423	0.007332188	0.0664375	127.0	1215.9929349422455	39.819202	15.426382	104.96857	27.350172	0.0	0.0
29	500.0	8.717877	1.22584	9.823007	2.7629085	480000	-2.9802322e-08	4.865825	-0.0073716557	-0.28199846	1.3564423	0.007897428	0.069625005	127.0	1253.806164741516	36.315308	10.824947	94.102516	24.272242	0.0	0.0
30	500.0	8.29177	1.0915909	9.537505	3.0430803	496000	2.9802322e-08	4.763063	-0.007715119	-0.061173834	1.3564423	0.0060892412	0.0800625	127.0	1292.1578588485718	37.450897	10.456893	91.00545	25.355635	0.0	0.0
31	500.0	8.393937	1.1979825	9.677149	2.8303974	512000	1.4901161e-08	10.1030855	-0.007670223	-0.23062113	1.3564423	0.0064488454	0.08706249	127.0	1341.0447878837585	39.601547	14.874202	102.97355	28.414392	0.0	0.0
32	500.0	8.695526	1.3295786	10.061358	2.7956195	528000	-7.450581e-09	1.2673364	-0.009513577	-0.2209985	1.3564423	0.005465264	0.061125	127.0	1393.8495516777039	36.709747	4.034935	42.740574	26.64718	0.0	0.0
33	500.0	8.31616	1.1785835	9.604221	3.1304185	544000	0.0	14.263306	-0.0071864	-1.259963	1.3564423	0.007953093	0.073750004	127.0	1464.4806699752808	42.32037	17.554945	104.89865	26.563139	0.0	0.0
34	500.0	9.426605	1.3439229	10.674902	3.1935887	560000	3.7252903e-09	18.515726	-0.0068122074	-0.7556785	1.3564423	0.007492806	0.072500005	127.0	1514.205176115036	44.567123	20.977558	116.252754	27.825489	0.0	0.0
35	500.0	9.84176	1.5940272	11.620409	3.228642	576000	2.6077032e-08	19.943226	-0.007726219	-1.3768078	1.3564423	0.0059608896	0.0665625	127.0	1556.9662382602692	47.740974	21.38023	124.451515	26.51943	0.0	0.0
36	500.0	10.6206	1.7413619	12.289806	2.743482	592000	2.2351742e-08	8.245136	-0.008551858	-1.5581135	1.3564423	0.006118562	0.066625	127.0	1598.4240746498108	40.494736	12.3186655	100.88881	26.650568	0.0	0.0
37	500.0	9.496571	1.5230731	11.582177	3.2046783	608000	-1.6763806e-08	18.654167	-0.0069237743	-1.1722305	1.3564423	0.008056589	0.0661875	127.0	1639.7512784004211	46.984756	20.83123	116.97085	31.171513	0.0	0.0
38	500.0	10.259293	1.5489128	12.462241	3.8874118	624000	0.0	11.03637	-0.007054654	-0.40927225	1.3564423	0.006563555	0.0751875	127.0	1678.382646560669	43.518654	15.781085	93.79998	28.187302	0.0	0.0
39	500.0	10.05817	1.8123623	12.773677	3.0088015	640000	3.7252903e-09	12.002787	-0.0079562655	-0.19241387	1.3564423	0.00882462	0.08125	127.0	1714.5486149787903	43.721397	18.100441	120.09641	27.580444	0.0	0.0
40	500.0	10.248522	1.7533075	12.742484	3.8963907	656000	1.4901161e-08	17.729294	-0.008434408	-0.38699013	1.3564423	0.009264713	0.08193751	127.0	1756.5976119041443	45.623867	20.572859	102.74517	26.253765	0.0	0.0
41	500.0	10.308775	1.7423121	12.679184	2.618415	672000	1.4901161e-08	18.334188	-0.006553307	-1.0378234	1.3564423	0.006874959	0.0715625	127.0	1797.756673336029	46.582726	21.109716	107.06733	27.468552	0.0	0.0
42	500.0	10.644154	1.8841513	12.976156	1.7378849	688000	-1.4901161e-08	10.82543	-0.01011283	-1.3823702	1.3564423	0.0077793626	0.0750625	127.0	1840.3626871109009	42.69474	14.425756	99.87442	32.36781	0.0	0.0
43	500.0	9.804946	1.736927	12.555206	3.9398916	704000	-5.5879354e-09	22.813833	-0.008149658	-2.404884	1.3564423	0.006823602	0.0594375	127.0	1879.8839151859283	49.128746	23.155037	118.26882	30.130882	0.0	0.0
44	500.0	11.1154785	1.8830765	14.073776	3.7599022	720000	-4.4703484e-08	28.67641	-0.00788964	-2.7976422	1.3564423	0.008702341	0.0831875	127.0	1918.7174081802368	52.0916	27.44714	121.66943	26.66915	0.0	0.0
45	500.0	12.06528	2.35276	16.151611	3.4482284	736000	-2.6077032e-08	18.047672	-0.009017129	-4.646528	1.3564423	0.009466663	0.076749995	127.0	1968.239899635315	42.68521	17.091059	99.5715	27.991558	0.0	0.0
46	500.0	10.194605	2.1542292	14.826472	3.0644374	752000	0.0	21.458946	-0.008199536	-1.7958305	1.3564423	0.008907241	0.06275	127.0	2028.929095506668	46.326374	24.005388	126.30468	27.43091	0.0	0.0
47	500.0	10.700031	2.2028708	15.137666	1.4382285	768000	-7.450581e-09	19.254803	-0.009178538	-1.4435685	1.3564423	0.008439247	0.080312505	127.0	2071.5158672332764	43.710625	22.953175	116.98838	25.60886	0.0	0.0
48	500.0	10.550212	2.451875	15.658648	1.2579798	784000	-7.450581e-09	21.805513	-0.008126968	-1.2287452	1.3564423	0.0078404285	0.073687494	127.0	2108.019045352936	43.536575	23.3652	114.76753	27.128456	0.0	0.0
49	500.0	11.3148775	2.5598438	15.830012	3.156678	800000	-7.450581e-09	21.988718	-0.007287845	-1.6425815	1.3564423	0.0079147555	0.073375	127.0	2151.4779617786407	45.399113	21.914772	103.89246	24.287357	0.0	0.0
50	500.0	10.128758	2.364212	14.963545	0.9741863	816000	7.450581e-09	12.239269	-0.007694632	-0.53613454	1.3564423	0.008329612	0.075375	127.0	2194.441871404648	40.8142	17.242462	111.47948	28.28259	0.0	0.0
51	500.0	10.506748	2.3931303	15.270154	2.0895116	832000	-1.4901161e-08	9.162978	-0.009109629	-3.2874372	1.3564423	0.008023731	0.0684375	127.0	2238.5937552452087	37.57658	11.9412775	97.06896	25.383984	0.0	0.0
52	500.0	9.33125	1.9734535	14.082095	2.7517095	848000	2.9802322e-08	10.921749	-0.006227864	-0.67634904	1.3564423	0.00594741	0.0585	127.0	2277.2893328666687	37.123177	15.205692	104.253746	25.841635	0.0	0.0
53	500.0	8.972592	1.6926738	13.407783	3.588743	864000	-2.2351742e-08	16.572422	-0.008774506	-1.3945775	1.3564423	0.0097347405	0.0983125	127.0	2326.2330400943756	41.744476	20.04763	113.58909	27.584711	0.0	0.0
54	500.0	9.562581	2.0916011	13.931579	2.52205	880000	1.4901161e-08	24.749706	-0.0077656414	-2.5009437	1.3564423	0.008988133	0.0690625	127.0	2386.031336545944	45.560074	25.422544	110.63892	28.233902	0.0	0.0
55	500.0	9.885189	2.2093928	15.371144	2.4035056	896000	0.0	9.450199	-0.010061375	-1.3852805	1.3564423	0.008003624	0.086375	127.0	2430.617015361786	39.547012	15.170991	110.204094	27.973825	0.0	0.0
56	500.0	9.833932	2.1521947	15.689097	2.7812362	912000	7.450581e-09	22.612461	-0.007343868	-0.99556786	1.3564423	0.006283448	0.0731875	127.0	2470.256292104721	43.82327	23.647255	117.32503	29.43968	0.0	0.0
57	500.0	10.022036	2.326493	15.780379	2.6563804	928000	-3.7252903e-09	8.318397	-0.008674394	-2.4347067	1.3564423	0.008466573	0.074625	127.0	2513.126888036728	36.975845	12.25282	101.41202	26.475246	0.0	0.0
58	500.0	9.038252	1.971568	14.775984	3.047464	944000	-4.4703484e-08	17.098543	-0.007871844	-1.6808437	1.3564423	0.008212529	0.0863125	127.0	2557.2891585826874	42.634254	21.80725	116.068344	28.714174	0.0	0.0
59	500.0	9.780743	2.2795842	15.791124	2.5388763	960000	-1.4901161e-08	11.7253685	-0.009613117	-1.1387838	1.3564423	0.0072090984	0.08475	127.0	2623.3056848049164	39.60607	19.221296	114.122025	22.740986	0.0	0.0
60	500.0	10.014688	2.61012	16.787916	2.4395685	976000	7.450581e-09	29.886978	-0.007948933	-2.5288863	1.3564423	0.007360154	0.0815625	127.0	2685.231457710266	49.85414	28.274183	111.5738	24.925364	0.0	0.0
