Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10139164	0.01829519	0.14503308	0.036101483	16000	-1.0430813e-07	0.005288533	-0.009170258	-0.0048878477	1.3564423	0.0065493733	0.0799375	127.0	33.197927474975586	0.10024316	0.0691451	0.30471095	0.014587963	0.0	0.0
1	500.0	0.042020943	0.014575815	0.08890616	0.002167929	32000	-1.8626451e-08	0.001921393	-0.0061432393	-0.0007663261	1.3564423	0.005060546	0.0533125	127.0	63.40415334701538	0.26793644	0.22475198	0.92927253	0.030495953	0.0	0.0
2	500.0	0.061562054	0.0100958515	0.10588221	0.03119083	48000	-3.7252903e-09	0.0018723151	-0.0077022305	-0.0007045473	1.3564423	0.0063899653	0.078125	127.0	100.51067757606506	0.38566023	0.22903676	0.99748385	0.07783521	0.0	0.0
3	500.0	0.089794524	0.019317232	0.16246805	0.016323518	64000	2.9802322e-08	0.030994255	-0.0049359538	-0.013440565	1.3564423	0.006312843	0.052187502	127.0	145.3252568244934	0.81928873	0.85867447	4.503592	0.06270643	0.0	0.0
4	500.0	0.23734318	0.089179486	0.47140843	-0.037129603	80000	-1.4901161e-08	0.18527976	-0.006041603	-0.08897872	1.3564423	0.007480181	0.078	127.0	199.76962208747864	1.9767582	1.8612323	7.9915233	0.13355547	0.0	0.0
5	500.0	0.6023756	0.27668917	1.3046709	-0.22620712	96000	3.1664968e-08	0.7013263	-0.005986198	-0.38457614	1.3564423	0.0052422453	0.0730625	127.0	243.87921571731567	4.377454	3.4326017	14.287512	0.45266423	0.0	0.0
6	500.0	1.4327258	0.71102023	3.0113266	-0.52750164	112000	-4.1909516e-08	1.5086577	-0.0055576693	-0.68985665	1.3564423	0.0043773465	0.0666875	127.0	289.02210116386414	8.672682	4.5739417	17.558943	1.5689851	0.0	0.0
7	500.0	2.2252111	1.2332076	4.866814	-0.9476948	128000	2.9802322e-08	1.3667682	-0.008281691	-0.3210492	1.3564423	0.0070643267	0.080249995	127.0	317.57017707824707	8.952121	5.607467	19.87356	1.9050913	0.0	0.0
8	500.0	3.047812	1.458843	5.6276193	-1.2060155	144000	-1.1175871e-08	3.301135	-0.0068470924	-0.82547134	1.3564423	0.007258508	0.0750625	127.0	353.9561185836792	13.422397	7.9033036	39.139023	2.2791827	0.0	0.0
9	500.0	3.803541	1.7023362	6.2389154	-0.9268003	160000	1.4901161e-08	5.0308385	-0.008403234	-1.8062435	1.3564423	0.0067101577	0.08125	127.0	383.842120885849	20.523476	8.497361	40.09039	3.4545708	0.0	0.0
