Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.03970685	0.022633031	0.092973776	-0.024725389	16000	1.8626451e-08	0.0010674092	-0.008930524	-0.0006422655	1.3564423	0.0070040757	0.080375	127.0	39.233428716659546	0.13999768	0.1298397	0.44871983	0.012100257	0.0	0.0
1	500.0	0.042876944	0.010648408	0.07135606	-0.00208297	32000	-1.1175871e-08	0.0031756856	-0.007309876	-0.0017496527	1.3564423	0.006125684	0.0720625	127.0	76.93276953697205	0.33237815	0.32080004	1.3467278	0.028344534	0.0	0.0
2	500.0	0.08286386	0.027384944	0.16889925	0.021543639	48000	4.0978193e-08	0.012510586	-0.006746603	-0.0077573233	1.3564423	0.0061493143	0.0773125	127.0	110.12644958496094	0.62982416	0.60183126	2.281139	0.077253036	0.0	0.0
3	500.0	0.19633545	0.10863175	0.4837618	-0.056366954	64000	-2.9802322e-08	0.12676239	-0.005440169	-0.059028286	1.3564423	0.008000745	0.0876875	127.0	146.26524209976196	1.6397214	1.7752048	8.7189045	0.08604862	0.0	0.0
4	500.0	0.50454867	0.29835048	1.3195512	-0.19336466	80000	-1.4901161e-08	0.32716063	-0.0070281695	-0.16742976	1.3564423	0.0077843475	0.09181251	127.0	187.2126648426056	3.1302772	2.633341	12.870364	0.13430256	0.0	0.0
5	500.0	0.87940073	0.513715	1.9863749	-0.26053008	96000	-4.4703484e-08	1.1263474	-0.0069318665	-0.56432253	1.3564423	0.0074998615	0.089562505	127.0	222.34287929534912	6.0475082	4.179654	16.914196	0.73892975	0.0	0.0
6	500.0	1.8608764	0.86723614	3.532923	-0.51354605	112000	7.450581e-09	4.454652	-0.0055827796	-2.1977496	1.3564423	0.0049081724	0.058875002	127.0	258.7754797935486	13.551162	8.068272	31.885708	2.8301241	0.0	0.0
7	500.0	3.182681	1.484553	6.126265	-1.0030305	128000	7.450581e-09	3.0669904	-0.0064337896	-1.3537996	1.3564423	0.005918408	0.0660625	127.0	295.2250232696533	14.061691	8.245938	28.266718	1.8554379	0.0	0.0
8	500.0	4.107733	2.03888	7.929351	-1.8732717	144000	4.0978193e-08	3.5524354	-0.008471722	-1.0244358	1.3564423	0.0064354716	0.0719375	127.0	330.3972544670105	19.935863	8.441707	36.22486	2.9845328	0.0	0.0
9	500.0	4.9206696	2.494824	9.15769	-1.6178291	160000	-2.9802322e-08	3.9976077	-0.008214762	-0.23053786	1.3564423	0.0071304175	0.068875	127.0	363.8323698043823	18.419327	8.296701	49.866055	7.9564214	0.0	0.0
10	500.0	6.103087	2.4119368	9.270534	-0.6097931	176000	-1.1175871e-08	4.8056803	-0.0086954385	-0.6098446	1.3564423	0.0061866795	0.0755625	127.0	400.7194447517395	22.426813	8.490836	53.24631	7.2803454	0.0	0.0
