Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0019019698	0.03046101	0.09520757	-0.058983296	16000	0.0	0.0007473775	-0.00784524	-0.0006356466	1.3564423	0.006717829	0.078250006	127.0	35.20606994628906	0.04677529	0.037173193	0.16912971	0.00776363	0.0	0.0
1	500.0	0.012592866	0.006379968	0.03336454	-0.012344785	32000	-1.7695129e-08	0.00010206485	-0.010104427	-5.1323237e-05	1.3564423	0.00687223	0.092125	127.0	67.28555631637573	0.082158685	0.051334728	0.21722259	0.013534904	0.0	0.0
2	500.0	0.020678947	0.0072664046	0.043835685	-0.004609965	48000	-2.6077032e-08	0.0007135564	-0.0084869675	-0.00040797767	1.3564423	0.007613565	0.093812495	127.0	101.63139414787292	0.16727468	0.14188072	0.613071	0.02561379	0.0	0.0
3	500.0	0.049671754	0.023459539	0.116635635	-0.006334558	64000	-1.4901161e-08	0.0044091507	-0.00915022	-0.002401567	1.3564423	0.010046609	0.106750004	127.0	131.9840338230133	0.394606	0.3250636	1.2360004	0.015682463	0.0	0.0
4	500.0	0.13294318	0.055308726	0.2878816	-0.026054842	80000	-7.450581e-09	0.012897853	-0.009630434	-0.0068239653	1.3564423	0.007602605	0.099125	127.0	171.5232539176941	0.7894558	0.5060433	2.6741726	0.15946583	0.0	0.0
5	500.0	0.23171493	0.11095122	0.5827243	-0.102737755	96000	-3.7252903e-09	0.04228776	-0.0076998184	-0.02255841	1.3564423	0.0063477354	0.0904375	127.0	240.9988157749176	1.4304011	0.8334455	3.8237708	0.3754287	0.0	0.0
6	500.0	0.41476145	0.192211	0.8679962	-0.19661507	112000	-2.2351742e-08	0.043598086	-0.009047345	-0.017017204	1.3564423	0.006518932	0.093187496	127.0	285.8412895202637	2.1748006	1.0002304	4.866224	0.7043569	0.0	0.0
7	500.0	0.61547536	0.26251155	1.2745379	-0.12948295	128000	7.450581e-09	0.2511991	-0.004256374	-0.10886769	1.3564423	0.0067292545	0.076375	127.0	322.93849515914917	3.0372646	2.4409056	12.023152	0.61445427	0.0	0.0
8	500.0	0.98290527	0.6654643	2.836841	-0.45065683	144000	-3.7252903e-09	0.16218641	-0.010026498	-0.053509757	1.3564423	0.007263409	0.092125	127.0	358.54841589927673	3.4747682	2.8679235	12.4962225	0.5493795	0.0	0.0
9	500.0	1.2613909	0.7609859	3.1132207	-0.66450775	160000	0.0	1.1054265	-0.006509414	-0.31958467	1.3564423	0.007168929	0.0790625	127.0	390.3137445449829	5.2004843	5.4242816	22.970589	0.6798304	0.0	0.0
