Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.037721094	0.022038447	0.090928845	-0.025776815	16000	1.1175871e-08	0.0009951678	-0.009213886	-0.0005932082	1.3564423	0.00734567	0.083124995	127.0	55.40660619735718	0.14020357	0.12968542	0.44659147	0.012109549	0.0	0.0
1	500.0	0.043021843	0.011259005	0.071922906	-0.0020741075	32000	-6.3329935e-08	0.003503391	-0.0071751587	-0.0019547702	1.3564423	0.006187657	0.071687505	127.0	109.2914412021637	0.3458233	0.3358366	1.4108921	0.028314153	0.0	0.0
2	500.0	0.08690105	0.029485831	0.17807531	0.022957604	48000	2.6077032e-08	0.016460646	-0.006446763	-0.010392254	1.3564423	0.0060761687	0.074875	127.0	147.3368821144104	0.6894307	0.67227376	2.4729273	0.08112386	0.0	0.0
3	500.0	0.21567748	0.11970708	0.5303507	-0.063011885	64000	4.4703484e-08	0.14828867	-0.005489991	-0.06764086	1.3564423	0.007985206	0.0915625	127.0	182.59538793563843	1.7579722	1.9174521	9.567586	0.08572891	0.0	0.0
4	500.0	0.5497281	0.327869	1.4339004	-0.23823643	80000	2.2351742e-08	0.3508553	-0.007224093	-0.17526722	1.3564423	0.007841701	0.095125005	127.0	218.123455286026	3.3317945	2.706695	12.942444	0.14828673	0.0	0.0
5	500.0	0.9546579	0.55497617	2.234438	-0.28530082	96000	4.0978193e-08	1.3905369	-0.0069559384	-0.64762074	1.3564423	0.0074815555	0.088062495	127.0	255.91118907928467	6.7316513	4.4291654	18.846306	0.9491762	0.0	0.0
6	500.0	2.0298805	0.91884947	3.8367991	-0.46445835	112000	4.0978193e-08	4.308685	-0.0057604155	-2.0797372	1.3564423	0.0047663227	0.059625	127.0	295.62595677375793	14.196011	7.7744513	29.174686	3.1163175	0.0	0.0
7	500.0	3.3331075	1.4780866	6.428134	-0.8845114	128000	0.0	3.2361853	-0.00623498	-1.3863671	1.3564423	0.0059999763	0.0649375	127.0	336.3395528793335	15.269196	7.955461	31.37045	2.560357	0.0	0.0
8	500.0	4.34151	2.0327172	7.8339486	-1.6569455	144000	0.0	3.999907	-0.0083043175	-1.0134631	1.3564423	0.007262838	0.072437495	127.0	370.33453130722046	20.889618	8.33945	38.61645	3.6076648	0.0	0.0
9	500.0	5.1783977	2.3964593	8.720853	-1.2778976	160000	3.7252903e-09	3.090654	-0.008172359	-0.19488347	1.3564423	0.0072120037	0.0644375	127.0	406.43217635154724	18.481207	6.847976	37.40184	8.341547	0.0	0.0
10	500.0	5.962224	2.2588055	8.786077	-0.48228177	176000	3.7252903e-09	6.7369156	-0.0058523994	-0.551049	1.3564423	0.004740878	0.054312505	127.0	440.7065041065216	23.824863	9.642587	55.461277	7.62726	0.0	0.0
11	500.0	6.285256	1.9889356	8.301189	-0.41799507	192000	3.7252903e-09	10.266047	-0.007289076	-0.7472412	1.3564423	0.0060693854	0.057375	127.0	477.0849039554596	22.9124	12.632177	72.84864	9.015012	0.0	0.0
12	500.0	5.9668045	1.3905398	7.4101067	0.59890807	208000	-3.7252903e-08	6.672288	-0.006496176	-0.8099571	1.3564423	0.0054816995	0.0611875	127.0	518.8312537670135	21.920673	10.634704	46.055218	5.2062984	0.0	0.0
13	500.0	5.3618083	0.9361469	6.480855	1.8347554	224000	-1.1175871e-08	4.1761436	-0.0065666223	-0.20111153	1.3564423	0.006316176	0.046125002	127.0	563.6206886768341	23.151285	6.669297	37.352345	12.859344	0.0	0.0
14	500.0	5.4636636	0.85347	6.5643725	1.1338993	240000	0.0	6.393031	-0.006754214	-1.4098523	1.3564423	0.0063504293	0.0491875	127.0	631.6002070903778	24.055706	10.077765	46.82022	12.139218	0.0	0.0
15	500.0	5.3674626	0.8049816	7.2095523	1.8675753	256000	-1.4901161e-08	7.6081142	-0.0066739786	-1.2051533	1.3564423	0.008601353	0.0655	127.0	683.4803683757782	25.113567	11.060521	56.59415	13.139405	0.0	0.0
16	500.0	5.5775127	1.2381226	8.323395	0.7385607	272000	-1.8626451e-09	6.728914	-0.006876191	-1.9839149	1.3564423	0.006651718	0.0584375	127.0	731.5334892272949	31.197514	10.409604	53.79229	12.716313	0.0	0.0
17	500.0	6.984322	2.0012796	9.750895	-0.57936656	288000	-8.381903e-09	6.5810084	-0.008262252	-2.4115741	1.3564423	0.006937489	0.06575	127.0	770.5834105014801	38.28972	10.57583	56.807175	18.03764	0.0	0.0
18	500.0	8.427025	2.1464577	10.921292	-2.199749	304000	5.5879354e-09	8.434135	-0.0071161836	-1.7013086	1.3564423	0.0068512782	0.049875	127.0	811.5665845870972	33.744026	12.255909	69.191734	15.113555	0.0	0.0
19	500.0	7.8642216	1.9232512	10.5311775	0.32657132	320000	1.3038516e-08	14.029591	-0.0074665383	-1.5694307	1.3564423	0.0076326365	0.0565	127.0	850.1954257488251	39.711246	17.525562	113.85297	19.875494	0.0	0.0
20	500.0	8.582231	1.9446756	11.380109	1.9164635	336000	0.0	4.757701	-0.007908747	-1.0007012	1.3564423	0.005892409	0.057812497	127.0	891.2354338169098	37.169167	9.963746	50.553425	19.007782	0.0	0.0
21	500.0	8.681956	1.8115908	11.138371	2.282305	352000	3.7252903e-09	5.1131105	-0.006712877	-1.5440836	1.3564423	0.004681038	0.0483125	127.0	929.8510653972626	37.52417	9.896703	50.823204	20.69832	0.0	0.0
22	500.0	8.678805	2.3035603	11.913594	0.1590054	368000	-7.450581e-09	15.8426075	-0.0073636356	-2.1057796	1.3564423	0.009564517	0.075125	127.0	967.4182820320129	44.231514	17.579342	114.413506	20.702848	0.0	0.0
23	500.0	8.889252	2.7068949	12.980075	0.51598924	384000	-1.8626451e-08	5.176859	-0.00994603	-1.1557442	1.3564423	0.007756322	0.081562504	127.0	1006.9504635334015	37.987602	10.7545395	74.26539	20.55671	0.0	0.0
24	500.0	8.786409	2.458962	12.469397	-0.09173499	400000	7.450581e-09	12.912761	-0.008224217	-2.9960017	1.3564423	0.0057844617	0.0730625	127.0	1043.4712643623352	40.074127	16.655989	102.79944	17.065195	0.0	0.0
25	500.0	9.205838	2.6607652	13.853896	1.7397277	416000	2.4214387e-08	15.716188	-0.00799026	-3.0574625	1.3564423	0.008053446	0.0703125	127.0	1085.5886101722717	42.8742	19.130064	107.09247	18.697678	0.0	0.0
26	500.0	10.348529	2.9284108	14.639632	1.9784026	432000	2.9802322e-08	6.9226756	-0.008738237	-1.6458886	1.3564423	0.008223518	0.089625	127.0	1122.8563342094421	40.404243	13.347998	96.67231	20.565424	0.0	0.0
27	500.0	10.151063	2.865505	15.00814	3.1151538	448000	-1.071021e-08	4.702113	-0.010320469	-2.039616	1.3564423	0.006910116	0.0804375	127.0	1158.50084233284	37.966263	12.436247	62.26463	19.45183	0.0	0.0
28	500.0	10.74357	2.908544	15.235427	3.273909	464000	7.450581e-09	7.687177	-0.0091521535	-0.7888551	1.3564423	0.008801453	0.088062495	127.0	1202.230375289917	46.100796	14.344046	94.94961	21.779367	0.0	0.0
29	500.0	11.087041	3.1247633	15.625564	3.8352888	480000	-2.9802322e-08	5.444284	-0.008878163	-1.7338907	1.3564423	0.0057856347	0.075875	127.0	1252.23863863945	42.167603	12.461342	71.5355	20.196169	0.0	0.0
30	500.0	10.71782	3.1978083	15.55075	3.588525	496000	1.4901161e-08	9.750175	-0.0070658075	-1.3193779	1.3564423	0.0066255657	0.06825	127.0	1304.8009781837463	46.386997	16.882145	104.175644	20.387794	0.0	0.0
31	500.0	10.916528	3.3325057	16.288897	3.8807251	512000	-9.313226e-09	4.934163	-0.009234945	-2.4466238	1.3564423	0.0069956947	0.0759375	127.0	1359.839007139206	40.488834	10.923623	55.82447	21.199125	0.0	0.0
32	500.0	11.05058	3.139033	15.473706	3.4706523	528000	-3.7252903e-09	8.501461	-0.006945922	-0.67167073	1.3564423	0.008571807	0.068187505	127.0	1423.8576617240906	47.72853	15.1981535	115.94333	28.400015	0.0	0.0
33	500.0	11.434884	3.0528476	15.663838	4.239995	544000	7.450581e-09	14.387316	-0.0075768596	-1.3104044	1.3564423	0.008299623	0.0794375	127.0	1502.2513937950134	51.97673	18.691048	129.12694	25.607494	0.0	0.0
34	500.0	12.255861	3.3467875	16.616688	3.3529825	560000	7.450581e-09	3.294705	-0.009833908	-1.0446851	1.3564423	0.0064145215	0.0749375	127.0	1575.836767911911	48.356358	8.583799	71.818695	24.621386	0.0	0.0
35	500.0	11.998858	2.9809573	15.725543	4.572081	576000	0.0	8.289027	-0.008081809	-1.2811918	1.3564423	0.008529591	0.070187494	127.0	1641.0990023612976	52.174965	13.053071	85.30668	26.311823	0.0	0.0
36	500.0	11.780024	3.1474912	16.268845	4.502988	592000	-1.4901161e-08	6.964632	-0.008293953	-1.9349469	1.3564423	0.008469798	0.0705625	127.0	1695.5903768539429	50.083607	10.254644	87.52831	32.395737	0.0	0.0
37	500.0	11.576	3.0274973	15.89584	1.5486794	608000	-3.7252903e-09	5.147254	-0.009586735	-1.0737699	1.3564423	0.007129994	0.0668125	127.0	1733.7423849105835	53.164238	11.330587	88.001015	28.944586	0.0	0.0
38	500.0	12.193193	3.2669394	16.784325	4.191242	624000	-1.4901161e-08	17.806456	-0.008735949	-3.9150093	1.3564423	0.0063480604	0.06649999	127.0	1774.1621043682098	56.30717	20.333715	110.94495	27.198267	0.0	0.0
39	500.0	13.297841	3.5637465	18.382065	2.9735975	640000	1.1175871e-08	13.877261	-0.01027307	-2.6208763	1.3564423	0.006973166	0.0805625	127.0	1810.7724213600159	60.626686	15.822036	101.010315	34.09629	0.0	0.0
40	500.0	13.052271	4.284072	19.740292	0.21263233	656000	5.5879354e-09	17.012117	-0.009151449	-2.5408344	1.3564423	0.008058563	0.0839375	127.0	1850.432356595993	58.48165	21.081623	105.60439	26.742622	0.0	0.0
41	500.0	13.405777	4.932681	20.93955	2.177645	672000	1.3969839e-08	18.352497	-0.0094939545	-3.4302793	1.3564423	0.0073742927	0.0833125	127.0	1889.9441249370575	61.276886	21.614994	109.50872	28.249508	0.0	0.0
42	500.0	13.666409	5.2661495	21.944885	-3.8969116	688000	2.2351742e-08	26.873262	-0.010129986	-4.714055	1.3564423	0.0083218	0.087249994	127.0	1927.703681230545	62.62154	28.007378	119.88884	22.718573	0.0	0.0
