Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10157062	0.018337505	0.14532945	0.03678897	16000	-4.9360096e-08	0.0053277453	-0.009224022	-0.0049266014	1.3564423	0.006378953	0.0785	127.0	36.806355237960815	0.099403925	0.068514325	0.30188292	0.014508108	0.0	0.0
1	500.0	0.04159519	0.014393155	0.08765775	0.0015623476	32000	3.3527613e-08	0.0018836607	-0.0061028246	-0.0007489676	1.3564423	0.005038974	0.053062502	127.0	69.87221622467041	0.26524132	0.22234349	0.92124575	0.029952215	0.0	0.0
2	500.0	0.0606967	0.009828499	0.103295766	0.030184465	48000	4.4703484e-08	0.001827754	-0.007722582	-0.00069361227	1.3564423	0.0063661747	0.0776875	127.0	107.94341349601746	0.3815236	0.2265313	0.98064464	0.075635426	0.0	0.0
3	500.0	0.08853419	0.01879046	0.1607359	0.015320633	64000	-2.9802322e-08	0.030039476	-0.004923511	-0.013045068	1.3564423	0.006335971	0.052375	127.0	144.92482471466064	0.80767727	0.8456782	4.436764	0.062210303	0.0	0.0
4	500.0	0.23460653	0.088310935	0.4697193	-0.036821794	80000	-1.4901161e-08	0.18043415	-0.006074112	-0.085516125	1.3564423	0.007508478	0.078875	127.0	184.33450508117676	1.9489679	1.8348422	7.8475356	0.13058591	0.0	0.0
5	500.0	0.59652156	0.27459088	1.2892731	-0.21120112	96000	1.6763806e-08	0.6975522	-0.005967791	-0.38238958	1.3564423	0.0051479526	0.0700625	127.0	222.0638608932495	4.3531003	3.3946853	13.859855	0.44451672	0.0	0.0
6	500.0	1.4209912	0.7081681	3.0031672	-0.50092983	112000	2.0489097e-08	1.511462	-0.005489845	-0.69457984	1.3564423	0.0043801973	0.065875	127.0	257.9144506454468	8.621426	4.5456986	17.807976	1.5705206	0.0	0.0
7	500.0	2.2314613	1.2347183	4.682331	-0.9036885	128000	2.2351742e-08	1.4215549	-0.007991521	-0.33083388	1.3564423	0.0071275495	0.0810625	127.0	293.027871131897	9.009193	5.636858	18.848413	1.9563918	0.0	0.0
8	500.0	3.074878	1.4819804	5.787587	-1.2238085	144000	-1.4901161e-08	3.0905118	-0.0065657673	-0.68519115	1.3564423	0.0075358227	0.0759375	127.0	331.0113887786865	13.536097	7.664751	39.378296	2.3477643	0.0	0.0
9	500.0	3.8745039	1.6967776	6.46804	-0.8365842	160000	1.8626451e-08	5.07323	-0.0078336485	-1.7369992	1.3564423	0.0067206966	0.081	127.0	373.11810851097107	20.591953	8.780573	39.738514	3.6175826	0.0	0.0
