Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0020085264	0.03039331	0.09095763	-0.057999425	16000	0.0	0.0007582493	-0.0076390146	-0.0006429505	1.3564423	0.006528713	0.073750004	127.0	46.05365824699402	0.05177035	0.038616534	0.16745064	0.0077188434	0.0	0.0
1	500.0	0.013516094	0.006723888	0.03542064	-0.012567788	32000	-2.4214387e-08	0.000100961886	-0.009246832	-4.9942075e-05	1.3564423	0.006291965	0.0851875	127.0	89.59481573104858	0.07634484	0.051406607	0.20827204	0.013998624	0.0	0.0
2	500.0	0.01928626	0.0068362444	0.042597264	-0.003372617	48000	-7.450581e-09	0.0006974103	-0.008552363	-0.00041651528	1.3564423	0.007835032	0.0958125	127.0	124.73552393913269	0.15617123	0.141765	0.60925996	0.019133164	0.0	0.0
3	500.0	0.049951036	0.023514647	0.119603366	-0.013278069	64000	4.4703484e-08	0.0055787675	-0.008147184	-0.0030298913	1.3564423	0.009896623	0.100375	127.0	157.17493104934692	0.41945964	0.36839777	1.6952122	0.014626856	0.0	0.0
4	500.0	0.13318777	0.05533065	0.29516435	-0.033827424	80000	3.7252903e-08	0.016315144	-0.009235417	-0.008950777	1.3564423	0.0074089766	0.0979375	127.0	202.58415150642395	0.8420534	0.53895235	2.412288	0.10103274	0.0	0.0
5	500.0	0.2464914	0.118197635	0.6660809	-0.11826544	96000	-4.8428774e-08	0.04546642	-0.008834123	-0.024894996	1.3564423	0.008468768	0.11875	127.0	248.44738674163818	1.4449123	0.9413658	5.21781	0.3676494	0.0	0.0
6	500.0	0.54820025	0.2678689	1.1912439	-0.18196179	112000	2.2351742e-08	0.51891243	-0.005464281	-0.2729614	1.3564423	0.004174858	0.0556875	127.0	295.59117007255554	4.197902	2.4934483	13.63035	1.1406976	0.0	0.0
7	500.0	1.105697	0.57153845	2.654463	-0.26182538	128000	-2.0489097e-08	0.34571606	-0.0075952867	-0.1425964	1.3564423	0.008365522	0.103	127.0	351.99313044548035	5.2634306	2.134467	10.611297	1.9640051	0.0	0.0
8	500.0	1.6721078	0.8433748	3.4012213	-0.14873901	144000	-2.6077032e-08	1.9358631	-0.006127368	-0.8793394	1.3564423	0.0055231396	0.0580625	127.0	403.59037947654724	9.656706	5.101287	20.262573	1.7685068	0.0	0.0
9	500.0	2.7537541	1.5180775	5.4088607	-0.745038	160000	0.0	1.6866322	-0.0075184014	-0.48067075	1.3564423	0.007593557	0.0755	127.0	465.595006942749	12.123961	4.836248	23.511608	3.8611507	0.0	0.0
10	500.0	3.7898645	1.9632864	6.6537347	-0.4544041	176000	7.450581e-09	2.272434	-0.0075665913	-0.32210922	1.3564423	0.004161048	0.059562497	127.0	511.05990982055664	14.860217	6.4656444	28.332926	3.038852	0.0	0.0
11	500.0	4.4001036	1.9476951	7.1628976	-0.09897809	192000	0.0	2.998118	-0.009182709	-0.8813996	1.3564423	0.0064885477	0.076124996	127.0	548.5774958133698	20.437492	6.150138	32.4987	10.634477	0.0	0.0
12	500.0	5.310361	2.1748345	8.234627	-0.017834846	208000	-1.1175871e-08	2.5791848	-0.008716251	-0.34797132	1.3564423	0.007375034	0.073	127.0	584.0667448043823	22.285213	6.7583356	36.38685	11.872736	0.0	0.0
13	500.0	5.7297606	2.356246	8.451951	-0.31246647	224000	-5.5879354e-09	1.6458912	-0.008440782	-0.0799996	1.3564423	0.0076914877	0.06375	127.0	624.7623317241669	21.95184	5.860147	32.54453	9.284011	0.0	0.0
14	500.0	5.8435526	2.2338247	8.539499	-0.23273778	240000	-7.450581e-09	5.891222	-0.006890337	-0.39471108	1.3564423	0.006270612	0.05625	127.0	661.9120764732361	23.214962	10.74121	67.96865	7.63945	0.0	0.0
15	500.0	6.072395	2.3747854	9.013109	-0.70617247	256000	1.8626451e-08	2.4778085	-0.008244561	-0.27615047	1.3564423	0.0070878705	0.0605625	127.0	700.3104581832886	22.797968	7.547367	36.95789	3.1087236	0.0	0.0
16	500.0	6.1677647	2.1296558	8.606473	-0.8023936	272000	1.8626451e-08	3.3657765	-0.008492433	-0.35104907	1.3564423	0.006487429	0.067375004	127.0	737.480991601944	26.733871	8.394661	43.86065	13.070767	0.0	0.0
17	500.0	6.6144695	2.0906973	9.180868	-0.57572705	288000	6.0535967e-09	3.304873	-0.0077464418	-0.58169097	1.3564423	0.0069384924	0.066125	127.0	776.4891605377197	28.388302	8.818626	42.479942	7.230807	0.0	0.0
18	500.0	6.5457764	2.273553	9.868122	-0.869652	304000	-1.1175871e-08	6.4222193	-0.007711876	-0.8043549	1.3564423	0.0070393914	0.064375	127.0	813.5235557556152	28.161678	12.832232	78.94335	13.282074	0.0	0.0
19	500.0	7.09045	2.0522397	10.201428	-0.15396214	320000	1.8626451e-08	3.0620873	-0.007700355	-0.41697103	1.3564423	0.00667098	0.065625	127.0	850.8921320438385	30.030739	8.580433	59.453007	16.268476	0.0	0.0
20	500.0	6.7854886	1.9317968	10.072662	0.37732005	336000	-1.8626451e-08	4.5998383	-0.00782934	-0.7693378	1.3564423	0.005420954	0.059625	127.0	888.6780989170074	31.246674	11.042868	77.951294	15.585503	0.0	0.0
21	500.0	7.4344597	2.3124404	11.185004	0.41814926	352000	7.450581e-09	2.1102512	-0.007975825	-0.42510295	1.3564423	0.005305419	0.0621875	127.0	924.6898648738861	32.403336	8.611916	46.705555	14.748535	0.0	0.0
22	500.0	7.932834	2.3050425	11.661919	1.3708733	368000	7.450581e-09	4.4574895	-0.0076731597	-0.55292726	1.3564423	0.007889034	0.0756875	127.0	983.0067164897919	34.663788	10.80424	74.833336	14.5234785	0.0	0.0
23	500.0	8.282016	2.4099817	11.62539	1.4041297	384000	-7.450581e-09	18.297152	-0.007220909	-4.20868	1.3564423	0.007880781	0.063	127.0	1051.516253709793	42.022293	19.525	101.238945	17.861757	0.0	0.0
24	500.0	8.880634	2.6986692	13.396059	2.271076	400000	1.4901161e-08	12.551624	-0.0074166944	-1.6434327	1.3564423	0.006358019	0.067	127.0	1113.2612099647522	38.593296	18.200806	113.92153	18.987724	0.0	0.0
25	500.0	9.402695	2.7216396	13.685696	2.1409585	416000	3.7252903e-09	2.6331046	-0.008680511	-1.3377061	1.3564423	0.006395219	0.0641875	127.0	1172.0758678913116	34.318092	7.858682	48.159702	20.047874	0.0	0.0
26	500.0	8.578772	2.512119	12.878765	2.002256	432000	1.1175871e-08	12.230909	-0.0074432315	-1.4748049	1.3564423	0.009033724	0.09025	127.0	1228.70112991333	39.19474	18.704002	114.24709	21.174149	0.0	0.0
27	500.0	9.145819	2.778376	14.75587	1.9509709	448000	0.0	1.9751263	-0.009435758	-1.017563	1.3564423	0.0065819295	0.074562505	127.0	1283.3130321502686	35.286217	6.5763516	48.7059	20.345604	0.0	0.0
28	500.0	9.063576	2.552103	12.932556	2.651642	464000	7.450581e-09	5.041969	-0.009876821	-0.33603778	1.3564423	0.006274732	0.08375	127.0	1319.6606633663177	39.615273	11.598804	89.2856	20.57392	0.0	0.0
29	500.0	9.616388	2.6531827	13.435602	2.6398706	480000	-1.4901161e-08	9.527783	-0.007827416	-1.0369215	1.3564423	0.005511733	0.073312506	127.0	1355.1585652828217	39.434532	13.532085	95.14934	24.623901	0.0	0.0
30	500.0	8.887847	2.6699567	13.158535	2.8815994	496000	1.4901161e-08	22.175724	-0.007517118	-3.4628031	1.3564423	0.0068583065	0.0725625	127.0	1391.9578831195831	44.575706	24.297579	116.29728	22.056843	0.0	0.0
31	500.0	10.010768	3.4546459	15.190581	2.9715014	512000	1.8626451e-08	21.075367	-0.0072562513	-3.1739676	1.3564423	0.008396963	0.0735625	127.0	1429.5499408245087	46.432552	24.810846	111.22267	23.812042	0.0	0.0
32	500.0	11.112723	3.9454324	17.403963	2.341221	528000	1.4901161e-08	28.995193	-0.009369027	-4.0038238	1.3564423	0.007987168	0.0789375	127.0	1466.2120559215546	51.462746	26.283894	122.38286	9.344067	0.0	0.0
33	500.0	11.708622	4.152564	17.594618	1.8983139	544000	2.9802322e-08	22.468052	-0.008057438	-4.961661	1.3564423	0.0073279757	0.074375	127.0	1506.3637895584106	46.024887	24.37722	110.04718	25.093325	0.0	0.0
34	500.0	10.956863	4.4910617	18.880205	2.0654078	560000	-1.4901161e-08	28.521301	-0.0077167945	-5.6445436	1.3564423	0.0057035564	0.069875	127.0	1545.902171611786	54.927746	29.687977	108.11716	24.939146	0.0	0.0
35	500.0	12.917008	5.3922753	21.526485	1.4257065	576000	-7.450581e-09	33.355347	-0.008188978	-6.533394	1.3564423	0.006419012	0.070499994	127.0	1582.9120965003967	63.58078	32.88072	113.11553	28.063324	0.0	0.0
36	500.0	12.599188	5.5953617	23.805086	-0.2336173	592000	1.1175871e-08	32.02233	-0.00818908	-5.0955553	1.3564423	0.0069442666	0.066625	127.0	1630.0046949386597	55.37342	31.914455	114.37151	13.991379	0.0	0.0
37	500.0	13.08847	6.404771	24.866161	-1.0847481	608000	-1.4901161e-08	27.927809	-0.009365	-8.090026	1.3564423	0.006439127	0.0721875	127.0	1686.67355966568	48.08078	23.675766	108.161934	26.732449	0.0	0.0
38	500.0	11.9819975	4.678502	24.426752	0.12962735	624000	2.2351742e-08	23.397348	-0.008295372	-5.0250826	1.3564423	0.0077401632	0.0720625	127.0	1737.7674412727356	47.842022	23.68381	118.19815	23.076529	0.0	0.0
39	500.0	11.204449	4.533134	23.45541	1.5806644	640000	3.7252903e-08	26.859001	-0.008765763	-4.2012234	1.3564423	0.0062784017	0.0811875	127.0	1772.3932094573975	52.270653	26.825651	110.94336	26.925388	0.0	0.0
