Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.04320021	0.02641425	0.100763276	-0.039346118	16000	7.450581e-09	0.0034786838	-0.0052058594	-0.002167948	1.3564423	0.0070425477	0.0531875	127.0	56.143893241882324	0.32108358	0.1880325	0.8300318	0.08117376	0.0	0.0
1	500.0	0.058244117	0.024504129	0.12038696	-0.009621235	32000	-2.6077032e-08	0.0031829698	-0.007865719	-0.0014395886	1.3564423	0.0060322215	0.068187505	127.0	89.27196335792542	0.48875052	0.29086187	1.3671649	0.100641206	0.0	0.0
2	500.0	0.10687329	0.03785945	0.22224587	0.00029051304	48000	-1.1175871e-08	0.007032235	-0.011302451	-0.0024700705	1.3564423	0.007919142	0.11925	127.0	122.98271489143372	0.81303895	0.44203416	2.7473302	0.33152443	0.0	0.0
3	500.0	0.19191808	0.05695934	0.3571081	0.01529091	64000	-2.9802322e-08	0.042257067	-0.008204999	-0.016809406	1.3564423	0.0076795304	0.0931875	127.0	164.51347517967224	1.3855592	0.977382	5.495477	0.24755605	0.0	0.0
4	500.0	0.3495266	0.14575635	0.8026059	0.083029374	80000	2.9802322e-08	0.16087475	-0.007360914	-0.09624527	1.3564423	0.00732815	0.093875	127.0	202.45611119270325	2.2947075	1.9606857	9.212175	0.579473	0.0	0.0
5	500.0	0.7756251	0.5426576	2.329454	-0.12138525	96000	7.450581e-09	1.2259703	-0.0062574255	-0.55605733	1.3564423	0.0060646934	0.067875	127.0	233.1960096359253	5.6102657	5.0861373	17.818743	0.49186617	0.0	0.0
6	500.0	1.8498838	1.2162668	4.616335	-0.44597545	112000	4.8428774e-08	2.9074056	-0.0079922965	-1.0384293	1.3564423	0.0051923343	0.074	127.0	272.5438287258148	10.89765	7.663477	26.197908	0.5571445	0.0	0.0
7	500.0	2.8521981	1.8778112	6.5804505	-0.6022613	128000	3.5390258e-08	3.0917745	-0.009052366	-1.5126557	1.3564423	0.008021722	0.095750004	127.0	306.5776128768921	15.593604	8.266578	33.580692	0.8603545	0.0	0.0
8	500.0	5.1827774	2.1419628	8.09315	-0.92552423	144000	-3.7252903e-09	4.1510744	-0.008671129	-0.5426109	1.3564423	0.005880341	0.07575001	127.0	341.1254358291626	19.230013	9.2404	39.92575	0.93135893	0.0	0.0
9	500.0	5.0021133	2.0505686	7.7002788	-0.7988348	160000	-7.450581e-09	3.1732833	-0.009441132	-0.52366495	1.3564423	0.008375721	0.079500005	127.0	380.48322057724	21.340937	9.116461	35.848118	1.1776044	0.0	0.0
10	500.0	5.5362716	2.365418	8.3315115	-0.19894463	176000	-2.6077032e-08	3.6426735	-0.0076076686	-0.94436514	1.3564423	0.007511755	0.0654375	127.0	412.7609119415283	25.646248	11.402204	45.46343	1.1622429	0.0	0.0
