Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.10196465	0.01942716	0.16006288	0.0020347107	16000	3.1664968e-08	0.0049664453	-0.00814379	-0.0045295265	1.3564423	0.0059399083	0.06775	127.0	45.54429578781128	0.12632029	0.07298768	0.3112203	0.02768399	0.0	0.0
1	500.0	0.045816187	0.013572408	0.09223059	-0.022395434	32000	3.3527613e-08	0.0016657371	-0.0067208433	-0.0006129084	1.3564423	0.0053037945	0.057625	127.0	90.92393112182617	0.2962975	0.20093398	0.89947844	0.04195514	0.0	0.0
2	500.0	0.06617707	0.008364671	0.10058494	0.0067826286	48000	-2.6077032e-08	0.0027457168	-0.008073147	-0.0012188859	1.3564423	0.0061886646	0.077437505	127.0	135.92280673980713	0.48139924	0.23388933	0.9805998	0.115972	0.0	0.0
3	500.0	0.1058286	0.01815435	0.16801536	0.0077734627	64000	0.0	0.039439365	-0.0055625453	-0.016861651	1.3564423	0.0066954265	0.061187502	127.0	188.73050093650818	1.0609759	0.8611862	4.475199	0.13004406	0.0	0.0
4	500.0	0.2733633	0.08077747	0.48771536	0.019275254	80000	1.4901161e-08	0.33990675	-0.006102115	-0.16205394	1.3564423	0.00688395	0.06925	127.0	240.18332505226135	2.831253	2.14414	8.315958	0.22164805	0.0	0.0
5	500.0	0.7471654	0.29832405	1.465894	-0.1312484	96000	5.5879354e-08	0.9338069	-0.005692277	-0.50505865	1.3564423	0.0042887237	0.054812502	127.0	288.92765760421753	5.684665	3.2746964	13.80765	1.0029646	0.0	0.0
6	500.0	1.5844636	0.72646505	2.9862468	-0.21469092	112000	-3.1664968e-08	1.9816651	-0.004625074	-1.1497769	1.3564423	0.0037964508	0.045999996	127.0	334.21132707595825	10.784078	4.1018496	19.323347	3.833165	0.0	0.0
7	500.0	2.581065	1.1910771	4.569985	-0.75506765	128000	3.7252903e-09	1.8522893	-0.007868495	-0.5566284	1.3564423	0.0077352165	0.085374996	127.0	370.2596094608307	12.208712	5.6017046	27.242884	4.043098	0.0	0.0
8	500.0	3.6956954	1.6044303	6.0097804	-1.1156526	144000	-5.5879354e-09	1.4901108	-0.008145886	-0.29218397	1.3564423	0.005392716	0.070437506	127.0	401.5438437461853	15.9477825	4.1940093	24.841179	6.2924666	0.0	0.0
9	500.0	4.2703514	1.6326708	6.3599567	-0.06237727	160000	1.1175871e-08	2.6697364	-0.00913704	-0.55624044	1.3564423	0.008236642	0.099125	127.0	437.2114477157593	19.972973	5.6307263	34.789143	8.968457	0.0	0.0
