Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0025344677	0.03070564	0.092834875	-0.07015367	16000	0.0	0.00075152516	-0.008237168	-0.00064042996	1.3564423	0.0061213896	0.070562504	127.0	34.95232629776001	0.05874315	0.037877105	0.18834391	0.013962316	0.0	0.0
1	500.0	0.013545746	0.008016188	0.054244384	-0.030926915	32000	0.0	9.985735e-05	-0.010486901	-4.843028e-05	1.3564423	0.006208196	0.087875	127.0	64.64509630203247	0.08641558	0.049935337	0.19722171	0.018341014	0.0	0.0
2	500.0	0.02210362	0.0091466	0.0521771	-0.008481041	48000	-3.7252903e-09	0.0005765585	-0.010673567	-0.00035337755	1.3564423	0.007542381	0.102	127.0	97.09579348564148	0.17798519	0.12877862	0.52848196	0.027355466	0.0	0.0
3	500.0	0.05643846	0.021674385	0.12671885	0.0013181958	64000	0.0	0.004782225	-0.008903409	-0.002627785	1.3564423	0.009181011	0.10275	127.0	128.8421847820282	0.4504607	0.31648582	1.245442	0.021184718	0.0	0.0
4	500.0	0.14160313	0.05272245	0.31769606	-0.033371802	80000	-2.2351742e-08	0.03093931	-0.008004149	-0.016860418	1.3564423	0.006892995	0.08575	127.0	162.05016660690308	1.0522008	0.65959406	3.5725245	0.13975768	0.0	0.0
5	500.0	0.2936972	0.14359984	0.82908356	-0.052844636	96000	-2.2351742e-08	0.0802464	-0.009481216	-0.051758945	1.3564423	0.008700347	0.10825001	127.0	191.96493124961853	2.035926	0.9260586	4.4672594	0.502756	0.0	0.0
6	500.0	0.6756551	0.2930674	1.2843236	-0.06673352	112000	2.2351742e-08	0.8506125	-0.0049112644	-0.44880015	1.3564423	0.0033313304	0.047374997	127.0	223.23322224617004	5.2299843	3.07599	12.775172	1.8052487	0.0	0.0
7	500.0	1.3233137	0.6757212	2.897818	-0.22438776	128000	-5.5879354e-09	0.74639076	-0.0076072947	-0.29999495	1.3564423	0.008842612	0.1055625	127.0	254.53130841255188	6.698074	3.2413664	13.871642	1.5171052	0.0	0.0
8	500.0	2.1511016	1.0480735	4.133302	-0.17421208	144000	1.6763806e-08	2.1720686	-0.0062466627	-1.0917858	1.3564423	0.005737781	0.058437496	127.0	284.98718452453613	11.961848	4.640531	19.280146	2.5567174	0.0	0.0
9	500.0	3.3069608	1.70056	5.9783382	-0.8637893	160000	-1.1175871e-08	1.6744254	-0.006685886	-0.22169733	1.3564423	0.0066466164	0.0594375	127.0	316.2205171585083	12.744228	5.3685226	26.006882	5.9566174	0.0	0.0
10	500.0	3.9153972	1.8342674	6.43608	-0.07909104	176000	-1.8626451e-08	2.238281	-0.007256307	-0.2838841	1.3564423	0.003894467	0.060374998	127.0	349.35182762145996	14.865585	6.2838645	32.599903	5.9267907	0.0	0.0
11	500.0	4.354418	1.7148433	6.467751	0.2614863	192000	3.7252903e-09	2.724091	-0.008651666	-0.2758487	1.3564423	0.0065770536	0.0869375	127.0	381.77977681159973	17.785381	7.0761137	40.358093	10.670963	0.0	0.0
12	500.0	4.7417235	1.544144	6.611227	0.4356051	208000	-2.6077032e-08	4.2939434	-0.007029644	-0.9056529	1.3564423	0.0065069506	0.0666875	127.0	415.5228042602539	22.773643	8.443967	40.792465	13.381168	0.0	0.0
13	500.0	5.5715704	1.6065532	7.732801	0.7008622	224000	-3.7252903e-09	4.7374134	-0.006641766	-0.96574956	1.3564423	0.007401431	0.069437504	127.0	454.8355257511139	22.357052	10.406341	48.24642	11.103659	0.0	0.0
14	500.0	5.9667635	1.5367337	8.166203	0.4948777	240000	-2.2351742e-08	3.0814588	-0.0068918867	-0.6410939	1.3564423	0.0053849965	0.056125	127.0	493.6609480381012	24.036367	8.133391	40.056072	13.937216	0.0	0.0
15	500.0	6.281258	1.8192307	9.510943	0.04355762	256000	-1.8626451e-08	3.7770066	-0.0071717994	-0.64655924	1.3564423	0.007215057	0.0598125	127.0	525.5844645500183	27.157707	9.328012	44.40006	13.972771	0.0	0.0
16	500.0	6.7311025	2.0203028	9.931619	-3.6074674	272000	-1.8626451e-08	4.1583776	-0.0072193975	-1.2097356	1.3564423	0.005355935	0.047312498	127.0	556.9142501354218	26.823227	8.721283	50.49795	12.380487	0.0	0.0
17	500.0	6.3264837	2.5796983	11.114808	-2.2294803	288000	9.313226e-09	2.018885	-0.008483637	-0.6498408	1.3564423	0.004717472	0.0524375	127.0	593.1711118221283	25.101622	8.860279	38.666145	4.096204	0.0	0.0
18	500.0	6.357652	2.8995016	11.994742	-0.4038371	304000	5.5879354e-09	2.2754002	-0.007070346	-0.6366527	1.3564423	0.004695271	0.057	127.0	626.2619450092316	25.974375	9.507698	48.09536	5.7531085	0.0	0.0
19	500.0	7.293979	2.691822	13.655603	-0.4611332	320000	3.7252903e-09	6.119544	-0.009480391	-1.6111091	1.3564423	0.0071946783	0.0845625	127.0	659.555600643158	30.6792	13.879221	66.91783	12.671894	0.0	0.0
20	500.0	7.4354815	3.1212487	15.241447	-5.684644	336000	9.313226e-10	8.178794	-0.010003351	-1.0402069	1.3564423	0.0069766315	0.07625	127.0	695.1101579666138	33.17502	15.678329	64.49053	12.534296	0.0	0.0
21	500.0	8.33685	3.724588	16.241896	0.020850286	352000	-2.2351742e-08	13.768853	-0.008202238	-2.727441	1.3564423	0.008489596	0.06825	127.0	729.3568012714386	38.53948	20.63188	80.60074	10.574996	0.0	0.0
22	500.0	9.473984	4.587137	17.790276	-6.984193	368000	-1.8626451e-09	15.967566	-0.008167663	-4.7071714	1.3564423	0.006821301	0.0564375	127.0	763.2695190906525	31.665413	16.206547	81.69191	10.051914	0.0	0.0
23	500.0	7.6880994	4.2619653	16.701899	-10.441483	384000	-1.4901161e-08	20.954422	-0.008095611	-3.3070736	1.3564423	0.0075252946	0.0584375	127.0	797.5620586872101	31.59026	24.580437	100.95889	10.029964	0.0	0.0
24	500.0	6.6045303	4.755165	17.611128	-2.4168024	400000	7.450581e-09	15.569929	-0.009372624	-2.1396303	1.3564423	0.008722701	0.0885	127.0	832.110577583313	27.297325	20.142296	86.42633	4.8530927	0.0	0.0
25	500.0	7.864729	4.054599	16.593903	-2.5391638	416000	-3.7252903e-09	12.295111	-0.009555396	-1.7334133	1.3564423	0.0075482726	0.0853125	127.0	867.9978568553925	31.027931	19.283493	99.7345	4.3819165	0.0	0.0
26	500.0	7.0611815	3.6881897	16.453075	-4.8900313	432000	1.6996637e-08	8.837938	-0.009384326	-1.6148171	1.3564423	0.00733726	0.07287499	127.0	903.4556558132172	27.456966	13.710333	83.9001	2.552022	0.0	0.0
27	500.0	7.18652	3.3997412	15.354288	-0.7036986	448000	0.0	14.258713	-0.009320315	-1.4224545	1.3564423	0.009452552	0.067625	127.0	936.2342557907104	32.36129	19.676558	109.933426	4.2842207	0.0	0.0
28	500.0	7.850696	4.275941	15.490538	-10.813845	464000	7.450581e-09	11.876685	-0.009770761	-2.513546	1.3564423	0.006678813	0.071187496	127.0	972.217036485672	32.59691	16.341635	102.73434	3.8618777	0.0	0.0
29	500.0	7.4978223	3.040423	14.948806	1.326513	480000	-3.7252903e-09	9.279063	-0.00884307	-1.4568005	1.3564423	0.007660742	0.0831875	127.0	1007.792249917984	33.852333	17.96768	94.95789	19.902157	0.0	0.0
30	500.0	7.8644695	3.8026958	16.180607	-0.46442854	496000	-3.7252903e-09	8.533028	-0.010219466	-1.3662298	1.3564423	0.0072767003	0.08	127.0	1041.4103260040283	32.690357	12.05876	88.83824	21.5023	0.0	0.0
31	500.0	8.250896	3.421874	15.023989	0.43549418	512000	5.5879354e-09	7.840968	-0.009617134	-1.1936593	1.3564423	0.00845176	0.081875	127.0	1075.6104414463043	34.268757	14.696227	89.802414	5.672425	0.0	0.0
32	500.0	8.643959	3.0938947	14.735294	-0.5679392	528000	2.9802322e-08	9.970619	-0.007862599	-0.7712225	1.3564423	0.007072826	0.0715	127.0	1109.129222393036	39.272614	16.967093	103.12118	21.302929	0.0	0.0
33	500.0	9.122547	2.743355	14.3407545	2.91893	544000	-5.5879354e-09	12.420647	-0.009136848	-2.765658	1.3564423	0.008567328	0.082875	127.0	1141.216730594635	40.76046	19.445086	102.28773	18.857603	0.0	0.0
34	500.0	9.540898	3.5931633	16.995148	1.537027	560000	-2.9802322e-08	13.262445	-0.007846581	-1.9446025	1.3564423	0.006429036	0.06675	127.0	1173.3352310657501	44.502617	20.61631	106.735954	23.607803	0.0	0.0
35	500.0	10.106086	3.6032517	18.369215	1.6626835	576000	2.2351742e-08	7.608807	-0.009707118	-1.2839127	1.3564423	0.00823202	0.0684375	127.0	1207.5311782360077	41.692036	14.81245	103.29266	16.432608	0.0	0.0
36	500.0	9.566338	4.382838	18.307375	-5.490367	592000	-3.3527613e-08	16.195213	-0.009721041	-2.4050515	1.3564423	0.007840538	0.0763125	127.0	1241.7010102272034	44.867123	22.233856	108.85272	5.944674	0.0	0.0
37	500.0	10.337782	4.2874975	18.726486	1.713249	608000	-1.4901161e-08	7.5931845	-0.010704714	-1.491158	1.3564423	0.0075967927	0.0858125	127.0	1277.645003080368	40.298702	17.020115	97.990326	8.539824	0.0	0.0
38	500.0	9.336012	3.8087652	18.334557	1.9040164	624000	1.4901161e-08	7.1518006	-0.009368377	-0.7158809	1.3564423	0.009463958	0.0755625	127.0	1312.3975653648376	39.655464	17.584373	103.872025	15.736877	0.0	0.0
39	500.0	10.501303	4.5666347	19.112795	-0.5478164	640000	7.450581e-09	12.353572	-0.009539472	-0.9904843	1.3564423	0.007169144	0.07925	127.0	1346.1271448135376	46.644943	20.516487	101.62663	21.802032	0.0	0.0
40	500.0	11.216104	4.4527264	19.708984	2.7469418	656000	7.450581e-09	23.057123	-0.008471165	-6.972646	1.3564423	0.008138005	0.070125	127.0	1378.834599494934	56.70572	28.356054	117.333916	28.384813	0.0	0.0
41	500.0	13.020724	5.5106425	22.002726	-13.975936	672000	1.21071935e-08	24.5458	-0.0109774005	-3.5530777	1.3564423	0.008653121	0.06875001	127.0	1412.8140814304352	49.734093	24.819162	114.042244	24.209534	0.0	0.0
42	500.0	10.895273	5.594663	22.158411	1.9441776	688000	7.450581e-09	25.121792	-0.009162068	-3.585467	1.3564423	0.00648379	0.0765	127.0	1445.6495027542114	46.903652	30.502533	124.40019	9.797806	0.0	0.0
43	500.0	11.959425	6.0503993	22.23128	-19.25917	704000	0.0	23.064194	-0.009994438	-3.1241894	1.3564423	0.0066995295	0.0761875	127.0	1479.8871591091156	45.961052	21.451044	113.896935	22.233791	0.0	0.0
44	500.0	12.168336	4.73153	20.958693	2.9358125	720000	7.450581e-09	26.00375	-0.0077207596	-4.129834	1.3564423	0.0053141797	0.058375	127.0	1512.631474018097	49.243465	24.75222	111.87815	16.230913	0.0	0.0
45	500.0	10.289541	4.1062417	20.275385	-3.425561	736000	0.0	16.691715	-0.0104230875	-6.916277	1.3564423	0.008814846	0.0819375	127.0	1546.1825060844421	36.255623	14.957513	100.767525	17.10779	0.0	0.0
46	500.0	10.346774	3.7948232	19.054893	2.5443883	752000	1.8626451e-08	19.86268	-0.00980971	-2.965382	1.3564423	0.00907715	0.0981875	127.0	1580.1296627521515	46.684475	22.926762	115.46412	20.838757	0.0	0.0
47	500.0	10.904012	4.557943	19.483614	-15.803915	768000	7.450581e-09	28.164783	-0.009310963	-4.042384	1.3564423	0.008038262	0.0833125	127.0	1612.0731105804443	51.454002	25.795315	113.10531	18.545958	0.0	0.0
48	500.0	12.417303	4.431614	19.405945	3.5731266	784000	4.4703484e-08	25.434666	-0.00798402	-3.3738344	1.3564423	0.00759992	0.081875	127.0	1645.2833659648895	55.265945	28.18582	115.941246	22.692867	0.0	0.0
49	500.0	14.4305315	4.874622	21.067194	-0.4264692	800000	0.0	27.452515	-0.008307545	-2.3679929	1.3564423	0.005330703	0.066625	127.0	1680.7854685783386	60.35756	24.70586	116.90537	35.61754	0.0	0.0
50	500.0	14.2809105	5.3079805	21.349699	-14.2283125	816000	-6.519258e-09	43.87288	-0.007856959	-8.828002	1.3564423	0.0075962637	0.069375	127.0	1715.7027547359467	66.363884	33.63581	118.1881	15.573846	0.0	0.0
51	500.0	14.958815	5.4223433	23.558582	-2.242371	832000	1.4901161e-08	32.1846	-0.010272512	-5.3305287	1.3564423	0.008022841	0.07875	127.0	1749.737009525299	57.19777	28.69192	117.38327	25.47212	0.0	0.0
52	500.0	14.187155	5.5040126	23.804682	-4.9399204	848000	1.4901161e-08	34.953453	-0.008935509	-7.356697	1.3564423	0.010127759	0.0866875	127.0	1783.9676520824432	67.41181	32.07487	114.70481	17.316381	0.0	0.0
53	500.0	16.455675	7.9966035	25.766602	-24.282103	864000	1.1175871e-08	57.501427	-0.009701725	-10.206263	1.3564423	0.0064583295	0.0685	127.0	1819.0993163585663	67.949646	31.205479	117.7285	29.184599	0.0	0.0
54	500.0	15.105331	5.2825074	24.845245	3.6709616	880000	-4.0978193e-08	27.472143	-0.00835574	-3.4811323	1.3564423	0.007177458	0.0599375	127.0	1854.0563983917236	67.70134	28.60898	125.99278	26.602766	0.0	0.0
55	500.0	16.68031	6.2837105	25.704002	3.6824262	896000	-5.5879354e-09	27.20205	-0.008857074	-7.8490496	1.3564423	0.0062572807	0.069875	127.0	1888.2294554710388	73.6805	31.049625	116.32922	30.12482	0.0	0.0
56	500.0	15.846034	7.6301055	27.722979	-7.4517775	912000	4.0978193e-08	26.147196	-0.008969419	-3.5663252	1.3564423	0.006184589	0.0696875	127.0	1922.2186150550842	68.10918	33.915707	121.81804	3.5451	0.0	0.0
57	500.0	17.659035	8.449903	28.505562	-1.7747512	928000	1.4901161e-08	22.493126	-0.0083799865	-5.551646	1.3564423	0.0055914237	0.060812503	127.0	1955.7868847846985	76.559586	33.357117	117.20193	3.1489983	0.0	0.0
58	500.0	17.931667	8.650197	29.729088	-8.792834	944000	3.7252903e-09	26.635956	-0.010036702	-10.006038	1.3564423	0.006746319	0.069625005	127.0	1989.6641714572906	68.508736	33.62042	128.94554	24.031458	0.0	0.0
59	500.0	18.659504	8.56486	30.669485	1.9572598	960000	4.656613e-09	22.614943	-0.009475173	-3.4056623	1.3564423	0.004556753	0.0729375	127.0	2024.9863381385803	72.40619	30.58345	122.07722	29.58416	0.0	0.0
60	500.0	16.888996	7.9955506	30.392904	-21.104933	976000	1.8626451e-08	37.07607	-0.009955943	-8.1334095	1.3564423	0.005779161	0.069875	127.0	2057.5967473983765	62.770363	30.84977	112.26011	23.2497	0.0	0.0
61	500.0	17.52926	8.183476	30.240423	-7.579647	992000	-3.1664968e-08	30.025003	-0.009310769	-8.239937	1.3564423	0.007883871	0.070187494	127.0	2091.0422661304474	81.09955	29.931131	125.317665	20.925817	0.0	0.0
