Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.002728034	0.03114677	0.10469001	-0.081256695	16000	-1.8626451e-09	0.00080913055	-0.008278709	-0.0006914075	1.3564423	0.006780217	0.078999996	127.0	37.53049445152283	0.058109753	0.03382807	0.18834391	0.015524145	0.0	0.0
1	500.0	0.01332687	0.007264916	0.051737875	-0.040633388	32000	-5.5879354e-09	8.711766e-05	-0.00936605	-4.7851136e-05	1.3564423	0.005065673	0.083937496	127.0	76.37900829315186	0.07078509	0.039240222	0.18497677	0.01693845	0.0	0.0
2	500.0	0.017951507	0.007508552	0.039803047	-0.01018849	48000	-3.7252903e-08	0.0007035171	-0.009274315	-0.00044528916	1.3564423	0.0071638017	0.099125	127.0	111.18781518936157	0.1641683	0.13698936	0.50177115	0.014162453	0.0	0.0
3	500.0	0.05061537	0.0209778	0.11559893	-0.0013253484	64000	0.0	0.005242322	-0.008614188	-0.002958285	1.3564423	0.010166749	0.1061875	127.0	147.5661952495575	0.40686184	0.35431424	1.470498	0.012311357	0.0	0.0
4	500.0	0.13741657	0.056160204	0.28590238	0.0069065373	80000	-2.9802322e-08	0.01287991	-0.010056904	-0.007829551	1.3564423	0.007876709	0.1063125	127.0	185.10681986808777	0.820215	0.4953226	2.0569687	0.17591582	0.0	0.0
5	500.0	0.2459158	0.118090786	0.65891165	-0.02568041	96000	-3.1664968e-08	0.038860925	-0.009499227	-0.02114799	1.3564423	0.008960128	0.11575	127.0	224.436678647995	1.5562571	0.80253893	5.1533246	0.6571014	0.0	0.0
6	500.0	0.4459982	0.1782831	0.85715824	-0.0036978554	112000	2.0489097e-08	0.027522482	-0.010763738	-0.012946244	1.3564423	0.0067086127	0.106562495	127.0	263.21055793762207	2.1293316	0.7209433	3.8393025	1.0870044	0.0	0.0
7	500.0	0.5611808	0.22098894	1.0607632	0.07757013	128000	7.450581e-09	0.027486932	-0.0111390995	-0.01043448	1.3564423	0.0075265	0.100812495	127.0	297.0228486061096	2.6437888	0.7765097	4.1274567	1.3377821	0.0	0.0
8	500.0	0.72427547	0.26863185	1.6148673	0.21393536	144000	3.7252903e-09	0.1746775	-0.0056536156	-0.072199255	1.3564423	0.0046710772	0.07275	127.0	333.4697759151459	3.3383205	2.173632	14.148195	1.0932688	0.0	0.0
9	500.0	0.9446918	0.5236136	2.8782406	-0.3843002	160000	1.1175871e-08	0.29947078	-0.007864008	-0.11330001	1.3564423	0.00842296	0.0769375	127.0	370.0757420063019	4.0756984	2.7823944	14.87172	1.1404623	0.0	0.0
