Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.039420877	0.023383645	0.12284479	-0.047240637	16000	3.7252903e-09	0.0009745667	-0.010080077	-0.00056379836	1.3564423	0.007319222	0.081999995	127.0	38.96866035461426	0.15706718	0.12194625	0.43496153	0.022065446	0.0	0.0
1	500.0	0.04643743	0.01148097	0.077834524	-0.004240131	32000	7.450581e-09	0.0025689553	-0.0083111795	-0.0013629114	1.3564423	0.0061278366	0.0785625	127.0	88.11208391189575	0.35796833	0.27997404	1.11404	0.044035718	0.0	0.0
2	500.0	0.0910426	0.022697195	0.1730063	0.038042918	48000	-8.381903e-08	0.01832597	-0.0073068077	-0.010664319	1.3564423	0.006350627	0.0800625	127.0	141.62121534347534	0.7721645	0.64365107	2.7353113	0.14388804	0.0	0.0
3	500.0	0.23646474	0.106956914	0.53662896	-0.060330503	64000	4.4703484e-08	0.13307443	-0.006541359	-0.061374888	1.3564423	0.008174498	0.094812505	127.0	211.83159637451172	1.8711146	1.7174585	8.250305	0.16350499	0.0	0.0
4	500.0	0.60117954	0.2977688	1.4440483	-0.029125573	80000	2.2351742e-08	0.4567593	-0.007200723	-0.22596239	1.3564423	0.00779997	0.093375	127.0	275.13318967819214	3.645554	2.8286743	14.497689	0.20139325	0.0	0.0
5	500.0	1.0051396	0.54093444	2.2784474	-0.13914454	96000	-1.8626451e-08	0.7176932	-0.00889833	-0.34445065	1.3564423	0.008093718	0.1105625	127.0	315.28847002983093	5.730879	3.3323605	13.3955	0.9222462	0.0	0.0
6	500.0	1.8700083	0.7929575	3.302821	-0.193469	112000	2.2351742e-08	3.5729876	-0.006158305	-2.015256	1.3564423	0.0054391488	0.059125	127.0	352.31063771247864	13.951476	5.8253446	27.601763	3.9074078	0.0	0.0
7	500.0	3.4051256	1.3101246	5.5067315	-0.1810729	128000	-7.450581e-09	2.9834356	-0.0059842635	-0.9949236	1.3564423	0.006654943	0.0724375	127.0	389.6648428440094	15.71108	6.6504602	28.796656	2.906887	0.0	0.0
8	500.0	4.3236475	1.8220783	6.847312	-0.70865667	144000	-2.9802322e-08	3.2614164	-0.0076249167	-0.6574094	1.3564423	0.0075522442	0.08125	127.0	428.1791481971741	20.392141	7.459298	38.121243	3.8857198	0.0	0.0
9	500.0	5.246766	2.0858047	7.887862	-0.277621	160000	2.9802322e-08	3.6029313	-0.008176044	-0.23389941	1.3564423	0.0075630345	0.0705625	127.0	468.43106627464294	20.019773	7.358699	35.90165	6.9793906	0.0	0.0
