Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.09314577	0.015874721	0.1414589	0.04587063	16000	-1.1175871e-08	0.010403568	-0.0057474393	-0.0035441443	1.3564423	0.007887682	0.0500625	127.0	57.88089442253113	0.68483526	0.47136757	2.0894186	0.14950848	0.0	0.0
1	500.0	0.13245471	0.036664255	0.21191241	-0.011216693	32000	3.7252903e-09	0.036952503	-0.0050103306	-0.01228361	1.3564423	0.006005422	0.0553125	127.0	120.68369460105896	1.2261723	0.8977949	3.3763375	0.27617982	0.0	0.0
2	500.0	0.21425293	0.07068391	0.3824311	-0.0732737	48000	-3.5390258e-08	0.02856766	-0.008439722	-0.012230258	1.3564423	0.0058169225	0.0808125	127.0	179.77986335754395	1.5745678	0.84461385	3.9234493	0.39807734	0.0	0.0
3	500.0	0.3328573	0.095050246	0.5963364	0.053100787	64000	5.9604645e-08	0.38005623	-0.0071590175	-0.16000617	1.3564423	0.0066173105	0.069875	127.0	235.02582001686096	3.47068	2.8493614	13.420393	0.36518332	0.0	0.0
4	500.0	0.84288627	0.18124944	1.3946867	0.3190159	80000	0.0	1.7109011	-0.007326208	-0.76045173	1.3564423	0.008567626	0.0770625	127.0	293.2673795223236	7.113554	5.616663	20.689356	0.5131668	0.0	0.0
5	500.0	1.6944695	0.572839	3.262849	-0.13569508	96000	-4.9825758e-08	3.4658475	-0.008085219	-1.8134391	1.3564423	0.0040601725	0.063687496	127.0	372.1775872707367	12.410152	7.519278	32.15274	2.2876005	0.0	0.0
6	500.0	3.289526	1.2634277	5.8533115	-0.6220505	112000	2.9802322e-08	14.170719	-0.006049972	-4.9525223	1.3564423	0.0041925707	0.060875	127.0	405.6207392215729	23.507378	14.626331	93.31583	3.4059505	0.0	0.0
7	500.0	5.2883554	2.0423527	8.470307	-1.3005344	128000	-3.7252903e-09	1.9935355	-0.011461762	-0.10286646	1.3564423	0.0074864863	0.092999995	127.0	451.8172574043274	20.51309	7.1171837	34.747078	6.407935	0.0	0.0
8	500.0	6.2816653	2.0491858	8.837873	-0.9239555	144000	0.0	3.4936996	-0.007808703	-0.52567554	1.3564423	0.0042354427	0.0640625	127.0	498.7648603916168	26.56612	6.327211	43.08205	13.171578	0.0	0.0
9	500.0	6.5874147	1.7064673	8.713131	0.2944801	160000	3.3527613e-08	14.1226	-0.008613655	-1.0596842	1.3564423	0.009807892	0.099375	127.0	540.0069184303284	30.766329	16.186548	84.79866	13.739059	0.0	0.0
