Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.0010386462	0.0307899	0.090007365	-0.08591458	16000	1.8626451e-09	0.0008672534	-0.008693656	-0.00073533546	1.3564423	0.006669933	0.0779375	127.0	39.069212198257446	0.05903538	0.03427553	0.19062307	0.015691785	0.0	0.0
1	500.0	0.013861203	0.0068417634	0.057328958	-0.0379039	32000	6.519258e-09	8.743167e-05	-0.009956593	-4.4688248e-05	1.3564423	0.0061078114	0.094500005	127.0	73.65834784507751	0.0739642	0.04096931	0.19589294	0.017339058	0.0	0.0
2	500.0	0.019074453	0.0067745443	0.038462326	-0.003856888	48000	-1.4901161e-08	0.00085773616	-0.009078812	-0.00053956767	1.3564423	0.007246257	0.09725	127.0	110.75262928009033	0.17499226	0.14643383	0.5727399	0.015314521	0.0	0.0
3	500.0	0.053674303	0.022552164	0.12543607	-0.012553778	64000	-3.7252903e-08	0.0048330957	-0.0091250455	-0.002632808	1.3564423	0.009762736	0.10975	127.0	146.73943996429443	0.4191937	0.3372726	1.3360362	0.0130043365	0.0	0.0
4	500.0	0.1387856	0.05548276	0.30179	0.003871318	80000	2.9802322e-08	0.012325218	-0.009690758	-0.0073805293	1.3564423	0.0074773086	0.096	127.0	187.87382793426514	0.8345133	0.47345084	1.8291562	0.1672951	0.0	0.0
5	500.0	0.23345071	0.106530234	0.5942373	-0.014495129	96000	1.3038516e-08	0.038243048	-0.008755971	-0.019576535	1.3564423	0.008696544	0.1083125	127.0	246.1418812274933	1.50138	0.7776395	4.5459723	0.61401546	0.0	0.0
6	500.0	0.42168525	0.16770244	0.85659355	0.008236524	112000	2.2351742e-08	0.03553236	-0.009863377	-0.017572582	1.3564423	0.0067514298	0.10268751	127.0	296.89246892929077	2.1054115	0.83457065	4.680036	1.0714896	0.0	0.0
7	500.0	0.5495055	0.22283402	1.0612673	0.06453308	128000	-2.6077032e-08	0.027398556	-0.012253092	-0.011644267	1.3564423	0.007400388	0.103	127.0	361.86547923088074	2.6579075	0.7590514	4.141014	1.3727754	0.0	0.0
8	500.0	0.7452876	0.29377234	1.6566267	0.183572	144000	3.7252903e-08	0.09531829	-0.0063951993	-0.039156247	1.3564423	0.005035207	0.074499995	127.0	413.5043976306915	3.228703	1.8238821	10.15419	0.9390151	0.0	0.0
9	500.0	0.82350814	0.42695567	2.2847483	-0.20979011	160000	-3.7252903e-09	0.18638855	-0.007137371	-0.072018474	1.3564423	0.00779944	0.062562495	127.0	482.9752173423767	3.700029	2.2790225	12.253405	1.1078639	0.0	0.0
10	500.0	1.2913891	0.7727432	3.7782106	-0.3541421	176000	7.450581e-09	0.9477604	-0.0061990293	-0.30341718	1.3564423	0.007126653	0.080249995	127.0	551.0510833263397	6.3252177	5.485962	21.990545	1.3090287	0.0	0.0
11	500.0	1.4593523	0.9956656	4.633298	-0.64144015	192000	-7.450581e-09	0.5498151	-0.007023347	-0.12295934	1.3564423	0.0064232773	0.062625	127.0	596.7866911888123	5.525302	4.897113	22.835361	2.0357168	0.0	0.0
12	500.0	2.4081526	1.7116411	5.847188	-0.85226953	208000	-7.450581e-09	0.99561614	-0.0065249563	-0.27203524	1.3564423	0.005739017	0.060374998	127.0	636.1044385433197	8.711285	6.719547	26.440983	2.0894349	0.0	0.0
13	500.0	3.1780233	1.6529089	6.2541785	-0.7718985	224000	9.313226e-09	1.0136836	-0.0064306534	-0.17154667	1.3564423	0.0070548654	0.0605	127.0	674.6093819141388	12.030504	7.3269496	24.083124	2.352197	0.0	0.0
14	500.0	3.0814044	1.8969616	6.662536	-1.4537941	240000	1.8626451e-08	0.91933244	-0.009339241	-0.21547022	1.3564423	0.008006034	0.0721875	127.0	727.3898210525513	11.075491	5.9684873	21.027885	1.497625	0.0	0.0
