Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.039828446	0.023523213	0.12330091	-0.048197284	16000	9.313226e-09	0.0009858568	-0.009672994	-0.0005787414	1.3564423	0.0066523566	0.0760625	127.0	32.12079381942749	0.15551582	0.120461345	0.4294801	0.021886697	0.0	0.0
1	500.0	0.045313977	0.011255698	0.07603462	-0.005361611	32000	4.284084e-08	0.00239525	-0.008512482	-0.0012644759	1.3564423	0.006290326	0.0798125	127.0	65.10871767997742	0.3487019	0.27081567	1.0741665	0.04292637	0.0	0.0
2	500.0	0.088139795	0.021916669	0.16650589	0.036872655	48000	7.4505806e-08	0.017360881	-0.007306589	-0.01016957	1.3564423	0.0063550193	0.0800625	127.0	101.66489863395691	0.7526572	0.6283318	2.6370776	0.1470347	0.0	0.0
3	500.0	0.23039456	0.10399434	0.5129057	-0.049904015	64000	-2.9802322e-08	0.12709472	-0.006576535	-0.059768293	1.3564423	0.0084302295	0.096687496	127.0	135.46280527114868	1.838479	1.678396	8.128024	0.15532866	0.0	0.0
4	500.0	0.5867737	0.2882545	1.3958987	-0.023537753	80000	-6.7055225e-08	0.42947215	-0.0072616176	-0.21234483	1.3564423	0.007817505	0.094875	127.0	170.44708561897278	3.5408764	2.7338736	13.933273	0.20027393	0.0	0.0
5	500.0	0.9802153	0.53022957	2.2447765	-0.099735156	96000	-9.313226e-09	0.67305756	-0.0091737695	-0.31901407	1.3564423	0.008322399	0.112625	127.0	203.43025970458984	5.5988717	3.2590587	13.3725	0.91929615	0.0	0.0
6	500.0	1.8490659	0.7743291	3.2814918	-0.22556826	112000	6.3329935e-08	3.3965034	-0.0061990265	-1.9341512	1.3564423	0.0055068084	0.0585	127.0	237.74021697044373	13.7885685	5.654594	26.824812	4.0798693	0.0	0.0
7	500.0	3.3657553	1.2695918	5.4018083	-0.16525915	128000	-1.8626451e-09	2.767246	-0.0058684517	-0.8963586	1.3564423	0.006788464	0.0729375	127.0	271.9100444316864	15.15503	6.5012236	26.589804	2.5716977	0.0	0.0
8	500.0	4.1840086	1.7697327	6.644414	-0.7049878	144000	-7.450581e-09	3.1036477	-0.0075019076	-0.6762632	1.3564423	0.0074184835	0.07862499	127.0	325.8533525466919	19.869095	7.220367	38.528717	3.755211	0.0	0.0
9	500.0	5.0865974	2.0361564	7.778225	-0.28731033	160000	0.0	3.6337519	-0.008348738	-0.3236208	1.3564423	0.0075997487	0.0706875	127.0	382.0331840515137	19.904575	7.475857	35.35746	6.681591	0.0	0.0
10	500.0	5.815185	2.1271527	8.721117	0.0519019	176000	-3.7252903e-09	4.0766306	-0.0074528996	-0.623571	1.3564423	0.0057984684	0.0581875	127.0	420.9966809749603	22.762453	7.146392	38.35994	12.876516	0.0	0.0
11	500.0	5.9418583	1.5560602	7.705326	0.9465356	192000	1.1175871e-08	6.1811714	-0.0059859534	-0.5535927	1.3564423	0.006706892	0.0579375	127.0	454.0501821041107	22.377802	9.854871	43.740593	10.478504	0.0	0.0
12	500.0	5.7122607	1.1239927	6.848382	1.6276697	208000	-1.8626451e-09	5.300375	-0.0057116337	-0.7364905	1.3564423	0.0054371376	0.05525	127.0	489.4288377761841	20.635166	8.470454	39.20894	6.5276265	0.0	0.0
13	500.0	5.0203943	0.72621	5.7041254	2.2258763	224000	2.6077032e-08	5.0646415	-0.005670105	-0.18218932	1.3564423	0.0064648483	0.0418125	127.0	524.174741268158	22.472057	8.880786	41.915348	12.542313	0.0	0.0
14	500.0	5.2105217	0.751698	5.8250546	1.6412249	240000	-1.4901161e-08	4.51027	-0.0058679576	-0.21592508	1.3564423	0.004845539	0.0460625	127.0	577.4240856170654	22.16838	8.491115	47.426456	11.055278	0.0	0.0
15	500.0	5.102562	0.6083904	5.6104965	1.8483887	256000	2.9802322e-08	5.051201	-0.005659367	-0.4789743	1.3564423	0.0060846275	0.043250002	127.0	634.4636971950531	24.8489	8.906502	44.057217	14.184508	0.0	0.0
16	500.0	5.5009503	0.66318464	6.0390778	1.6717408	272000	0.0	5.0426292	-0.0063877795	-0.5655296	1.3564423	0.0047120675	0.0541875	127.0	681.7284681797028	27.0736	9.6680975	46.70571	15.103886	0.0	0.0
17	500.0	5.9815316	0.8904855	6.8337097	1.2441485	288000	-3.7252903e-08	5.5353794	-0.0058078235	-0.8913014	1.3564423	0.0055692634	0.043375	127.0	731.8318729400635	30.790955	9.344608	47.119312	18.937866	0.0	0.0
18	500.0	6.6768827	1.0936387	7.8122654	1.3167918	304000	7.450581e-09	6.859688	-0.0070164986	-0.36854303	1.3564423	0.0076951385	0.05675	127.0	782.9617192745209	30.337624	12.312298	49.701195	13.751167	0.0	0.0
19	500.0	6.6138926	1.1283334	8.012326	1.6715848	320000	1.4901161e-08	4.118656	-0.0067059677	-0.486694	1.3564423	0.0058050402	0.047250003	127.0	837.2191553115845	27.768929	9.471578	48.717606	14.086924	0.0	0.0
20	500.0	6.1962414	1.0455029	7.6305795	2.2552876	336000	9.313226e-09	5.173035	-0.005446002	-0.7749841	1.3564423	0.0043181255	0.0399375	127.0	874.8522734642029	31.18359	11.352681	50.042408	13.875588	0.0	0.0
21	500.0	6.54795	1.2007388	8.287955	2.3646505	352000	-1.4901161e-08	4.1630144	-0.0067588724	-0.83653516	1.3564423	0.004999424	0.048375	127.0	912.2911584377289	32.16702	9.83605	54.878674	19.023893	0.0	0.0
22	500.0	7.2609754	1.3479162	8.942944	2.435025	368000	2.6077032e-08	3.1490686	-0.007639596	-0.976073	1.3564423	0.006053483	0.061499998	127.0	948.9551875591278	37.04474	7.260474	47.711945	21.865963	0.0	0.0
23	500.0	7.9319615	1.6645703	9.886904	2.7015982	384000	-2.9802322e-08	2.7688007	-0.009069098	-0.52841544	1.3564423	0.006187214	0.072	127.0	989.0578744411469	35.970024	8.330785	50.965233	21.779257	0.0	0.0
24	500.0	8.115625	1.6371862	10.228944	3.287646	400000	4.749745e-08	2.9824715	-0.00841002	-1.0016625	1.3564423	0.0042466754	0.07125	127.0	1055.3953800201416	37.297813	10.25288	50.9083	20.818813	0.0	0.0
25	500.0	8.778402	1.8824228	11.365169	3.3876333	416000	-1.6763806e-08	1.8777211	-0.009120765	-0.41186252	1.3564423	0.007331143	0.073375	127.0	1111.5749552249908	40.850273	8.617303	51.57062	19.104588	0.0	0.0
26	500.0	9.2908945	1.9845991	12.088411	3.6806998	432000	7.450581e-09	1.6185101	-0.009612387	-0.40492618	1.3564423	0.006481747	0.0800625	127.0	1166.6628286838531	39.72209	8.451483	51.145863	21.181404	0.0	0.0
27	500.0	9.644839	2.1059852	12.843854	3.502783	448000	-1.1175871e-08	2.674325	-0.009385055	-0.9390758	1.3564423	0.007466377	0.071125	127.0	1223.961172580719	39.31321	8.478007	51.33489	20.61051	0.0	0.0
28	500.0	9.981289	1.9267131	13.008458	3.5672765	464000	2.2351742e-08	1.6106508	-0.009872185	-0.43444625	1.3564423	0.008387263	0.0760625	127.0	1270.7416558265686	42.782875	5.2417827	51.630997	28.435019	0.0	0.0
29	500.0	10.044408	1.9654007	12.302088	3.7730987	480000	3.7252903e-09	1.1920967	-0.008672214	-0.26073506	1.3564423	0.0054982025	0.066375	127.0	1304.4185259342194	43.694042	6.2442484	55.59164	27.557438	0.0	0.0
30	500.0	9.945469	2.1531901	12.845973	0.3956073	496000	-3.7252903e-09	1.3645406	-0.008436328	-0.32629794	1.3564423	0.006308076	0.0656875	127.0	1341.624223947525	44.274773	6.513333	51.87101	24.705683	0.0	0.0
