Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.0014582786	0.03119071	0.10261477	-0.08259607	16000	0.0	0.00086209865	-0.008111721	-0.0007234609	1.3564423	0.0062849782	0.0733125	127.0	68.59551692008972	0.05846461	0.034036107	0.18939166	0.015602399	0.0	0.0
1	500.0	0.013930315	0.007061584	0.05180879	-0.03337147	32000	5.5879354e-09	8.78458e-05	-0.009244829	-4.6458423e-05	1.3564423	0.006473374	0.088687494	127.0	127.89580154418945	0.07393735	0.04138548	0.19412643	0.017258907	0.0	0.0
2	500.0	0.018848386	0.0074506863	0.03930957	-0.0076719765	48000	-4.0978193e-08	0.0009267455	-0.008802606	-0.00059718813	1.3564423	0.0069578495	0.0913125	127.0	195.59323358535767	0.17734817	0.15351008	0.54925275	0.013644489	0.0	0.0
3	500.0	0.054608308	0.023739008	0.12888035	-0.006196074	64000	5.2154064e-08	0.0052393307	-0.008909931	-0.002833293	1.3564423	0.009839812	0.106375	127.0	256.59606742858887	0.42558536	0.35824054	1.4716687	0.011634064	0.0	0.0
4	500.0	0.14161627	0.05588235	0.30209973	0.005495416	80000	7.450581e-09	0.013457584	-0.009677342	-0.008273944	1.3564423	0.0075760586	0.0999375	127.0	309.41507720947266	0.84823155	0.5070276	1.9220817	0.17199233	0.0	0.0
5	500.0	0.243288	0.115190275	0.64217174	-0.021371918	96000	-1.6763806e-08	0.036697816	-0.009639423	-0.01986805	1.3564423	0.008964621	0.1145	127.0	356.2904374599457	1.5385861	0.73810476	4.508327	0.65015095	0.0	0.0
6	500.0	0.43473834	0.1708711	0.8638866	0.021483473	112000	-3.7252903e-09	0.034040805	-0.009901363	-0.015556447	1.3564423	0.0070154206	0.104875	127.0	426.44492173194885	2.0991147	0.8315241	4.6015396	1.04131	0.0	0.0
7	500.0	0.5577251	0.22319956	1.0726864	0.045221247	128000	-2.7939677e-08	0.02686434	-0.01248267	-0.010599109	1.3564423	0.0076980907	0.1055	127.0	482.55520462989807	2.6627727	0.7409258	4.1395288	1.3621932	0.0	0.0
8	500.0	0.73294586	0.28008702	1.7111734	0.2059841	144000	7.450581e-09	0.097714856	-0.0071483776	-0.03180611	1.3564423	0.0045703026	0.0820625	127.0	550.2793815135956	3.124422	1.832701	11.379363	0.9433417	0.0	0.0
9	500.0	0.86386204	0.44738168	2.334764	-0.23418328	160000	-1.8626451e-09	0.2619561	-0.0063576093	-0.10875544	1.3564423	0.007290719	0.052875	127.0	587.4398190975189	3.6933918	2.6702971	14.124758	0.93560845	0.0	0.0
