Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.102557726	0.018338306	0.14614698	0.039629515	16000	9.313226e-08	0.005618085	-0.008919947	-0.005288454	1.3564423	0.0065072253	0.079687506	127.0	63.16870951652527	0.08819261	0.04427702	0.195552	0.026245654	0.0	0.0
1	500.0	0.04039405	0.014982547	0.08817987	0.0007144064	32000	-4.4703484e-08	0.0005601481	-0.0075828205	-0.00021110024	1.3564423	0.005421091	0.062375	127.0	122.25382709503174	0.19370374	0.10811991	0.5079746	0.036360737	0.0	0.0
2	500.0	0.048618354	0.008625512	0.08365376	0.021707345	48000	3.7252903e-08	0.0007750157	-0.0091045685	-0.00029875833	1.3564423	0.0067276442	0.088	127.0	164.6213276386261	0.2997533	0.12515384	0.5284338	0.08687392	0.0	0.0
3	500.0	0.07014647	0.01197882	0.110551074	0.018302508	64000	-4.4703484e-08	0.014634026	-0.0058107767	-0.006963241	1.3564423	0.00650748	0.061937504	127.0	198.95532298088074	0.6955186	0.49133143	2.4764035	0.10545463	0.0	0.0
4	500.0	0.17547272	0.049576916	0.31041396	0.021119652	80000	-7.450581e-09	0.12821275	-0.006396131	-0.06692039	1.3564423	0.006907143	0.07175	127.0	235.11324262619019	1.8260504	1.2459389	5.12287	0.17580572	0.0	0.0
5	500.0	0.49483043	0.19446316	0.9796732	-0.08245231	96000	2.2351742e-08	0.5674076	-0.0051011033	-0.31843033	1.3564423	0.0044344347	0.0523125	127.0	286.3138575553894	4.132866	2.4402244	11.31482	0.8360388	0.0	0.0
6	500.0	1.144635	0.5381898	2.2032628	-0.122898735	112000	1.8626451e-09	1.7207723	-0.004565437	-1.0670826	1.3564423	0.003368493	0.0368125	127.0	343.32829451560974	8.790811	3.6261132	16.281033	3.247677	0.0	0.0
7	500.0	2.0621977	1.0263926	3.8492706	-0.8217764	128000	-2.9802322e-08	1.8836458	-0.008208415	-0.759096	1.3564423	0.0075152535	0.088375	127.0	395.36044335365295	10.812134	5.0617156	20.09372	3.2010767	0.0	0.0
8	500.0	3.2436035	1.5155607	5.702297	-1.0063245	144000	1.21071935e-08	2.6512814	-0.0073542567	-1.0332868	1.3564423	0.0062412447	0.070125	127.0	429.0295796394348	16.681583	5.1907363	30.079462	6.0206	0.0	0.0
9	500.0	4.391746	1.8297786	6.583418	-0.32056886	160000	6.9849193e-09	2.4871664	-0.008675666	-0.53184783	1.3564423	0.006508991	0.0788125	127.0	478.2238631248474	20.150373	5.5952353	31.718401	8.40618	0.0	0.0
10	500.0	5.301232	1.8552215	7.4464903	-0.1413406	176000	-5.5879354e-09	3.2212698	-0.0072309533	-0.81447494	1.3564423	0.005577011	0.056	127.0	534.0959405899048	25.235428	6.007829	40.381954	14.390702	0.0	0.0
11	500.0	6.298712	1.850107	8.02556	0.07678191	192000	1.3038516e-08	3.4057229	-0.007308812	-0.29238236	1.3564423	0.005377714	0.0546875	127.0	583.9088981151581	25.669384	7.6126018	36.805115	9.447616	0.0	0.0
12	500.0	6.452125	1.9112729	8.307693	0.81169957	208000	-1.8626451e-08	3.3445232	-0.006907258	-0.30774903	1.3564423	0.0053192433	0.06125	127.0	660.1086938381195	28.187563	6.9430337	43.60002	15.159604	0.0	0.0
13	500.0	6.852935	1.7188953	8.415603	1.6754259	224000	3.7252903e-09	2.1373987	-0.007631706	-0.3054561	1.3564423	0.007140127	0.0575625	127.0	711.5778796672821	26.234169	5.10217	38.704693	16.704388	0.0	0.0
14	500.0	6.607751	1.5075884	8.196009	1.9152396	240000	2.9802322e-08	3.333109	-0.008136107	-0.6645874	1.3564423	0.00695528	0.0636875	127.0	753.4041855335236	31.780485	6.6465178	44.604885	17.368946	0.0	0.0
15	500.0	7.3105783	1.6614431	8.979094	1.9569963	256000	-7.450581e-09	2.8948247	-0.008542469	-0.15416148	1.3564423	0.007951314	0.06175	127.0	789.3948016166687	30.6693	6.7820444	45.097515	21.128252	0.0	0.0
16	500.0	7.451179	1.4477285	8.756377	2.768793	272000	1.8626451e-09	2.829226	-0.0065941107	-0.117067404	1.3564423	0.0067284917	0.052125	127.0	826.3374590873718	31.960028	6.3125153	43.111946	19.534763	0.0	0.0
17	500.0	7.488964	1.4228774	8.720854	2.4850714	288000	1.1175871e-08	4.964852	-0.0071900273	-1.3717031	1.3564423	0.005984641	0.059750002	127.0	863.0062494277954	37.317223	7.46836	60.258953	21.810472	0.0	0.0
18	500.0	8.574723	1.8434771	9.886276	1.811951	304000	-3.7252903e-08	2.8943462	-0.008135607	-0.7378088	1.3564423	0.007111283	0.0593125	127.0	902.1192605495453	32.820213	5.626683	47.57232	22.02052	0.0	0.0
19	500.0	7.8540196	1.427756	9.061582	2.5510063	320000	0.0	5.625995	-0.0073611108	-0.28774235	1.3564423	0.00670042	0.075	127.0	937.8416018486023	34.750046	10.735425	87.12241	24.187338	0.0	0.0
20	500.0	8.069696	1.5261043	9.209516	2.0205913	336000	1.4901161e-08	6.461959	-0.005835486	-0.25808918	1.3564423	0.004882361	0.0489375	127.0	977.5559294223785	33.637344	11.416248	91.52481	22.242067	0.0	0.0
21	500.0	7.8837156	1.3113676	8.847448	2.5804412	352000	-5.5879354e-09	4.194492	-0.007466106	-0.08571662	1.3564423	0.0066617844	0.061499998	127.0	1013.9854292869568	34.962204	7.829018	69.16682	24.5012	0.0	0.0
22	500.0	8.051547	1.3216615	9.005605	2.173327	368000	-1.21071935e-08	7.954328	-0.0072520208	-0.26779515	1.3564423	0.008976437	0.072375	127.0	1051.1782705783844	37.169655	11.753742	90.64803	26.142391	0.0	0.0
23	500.0	8.467097	1.5778921	9.603314	1.9473543	384000	7.450581e-09	2.0705526	-0.007589495	-0.17798994	1.3564423	0.004264908	0.0549375	127.0	1087.0942068099976	36.47458	5.542213	46.871513	21.356445	0.0	0.0
24	500.0	8.405117	1.6224129	9.690089	2.1627896	400000	-2.6077032e-08	1.1770439	-0.008861404	-0.09386677	1.3564423	0.006899798	0.0713125	127.0	1122.9355247020721	36.226883	4.4507685	44.222664	27.283432	0.0	0.0
25	500.0	8.458979	1.5094767	9.797069	2.5427086	416000	2.2351742e-08	1.4412452	-0.008389396	-0.32110685	1.3564423	0.0065696863	0.0676875	127.0	1159.5765490531921	38.77275	4.2417526	47.350002	29.242008	0.0	0.0
26	500.0	8.877882	1.7462437	10.265609	2.16026	432000	-2.6077032e-08	6.4123564	-0.007454361	-0.56803966	1.3564423	0.0072319806	0.0695	127.0	1195.1061327457428	40.150284	11.304783	80.831985	27.389954	0.0	0.0
27	500.0	9.265392	1.9451172	10.973236	2.3937817	448000	-1.4901161e-08	7.734177	-0.00634648	-0.39706638	1.3564423	0.008357115	0.07625	127.0	1233.498407125473	40.05573	13.078377	108.59184	30.369123	0.0	0.0
28	500.0	9.514213	2.0383797	11.411459	2.2543209	464000	3.7252903e-09	2.27357	-0.00880057	-0.07410565	1.3564423	0.008990562	0.0856875	127.0	1270.112024307251	40.278683	6.0330243	63.287106	29.626066	0.0	0.0
29	500.0	9.396781	2.0265422	11.4780245	2.6541717	480000	2.6077032e-08	6.294239	-0.0074577816	-0.87000793	1.3564423	0.00539916	0.060375	127.0	1309.2787680625916	42.83905	10.0751295	77.768425	30.155485	0.0	0.0
30	500.0	10.061251	2.3947093	13.098049	2.872462	496000	1.4901161e-08	9.681735	-0.008160917	-0.9681468	1.3564423	0.008711701	0.088874996	127.0	1348.1365673542023	44.560757	14.65177	90.62124	28.931677	0.0	0.0
31	500.0	10.601461	2.5376477	14.219375	3.2536283	512000	-1.1175871e-08	16.898651	-0.0086284	-2.6514208	1.3564423	0.007435868	0.0904375	127.0	1383.9082906246185	44.467705	20.338547	113.038864	27.840054	0.0	0.0
32	500.0	10.3323555	3.0087376	16.131369	3.1557	528000	-1.4901161e-08	25.288078	-0.008014228	-4.0693636	1.3564423	0.008370264	0.084437504	127.0	1420.9940996170044	48.718483	25.955542	113.47368	24.600441	0.0	0.0
33	500.0	12.085887	3.8074362	18.204306	2.972282	544000	-1.3038516e-08	27.285786	-0.0078214	-3.865514	1.3564423	0.0073225526	0.078687504	127.0	1457.1466701030731	52.962242	28.100956	124.41829	26.340425	0.0	0.0
