Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.041645836	0.022531165	0.09433069	-0.020149231	16000	-1.4901161e-08	0.00091276795	-0.009483121	-0.00071924133	1.3564423	0.007502174	0.087312505	127.0	46.441179513931274	0.1014468	0.06800282	0.28437072	0.020820793	0.0	0.0
1	500.0	0.034063026	0.008612333	0.05972614	0.00066209026	32000	-4.284084e-08	0.0008039854	-0.009144852	-0.0004081076	1.3564423	0.0064245053	0.0823125	127.0	80.08675074577332	0.2294887	0.15083034	0.60090923	0.03703919	0.0	0.0
2	500.0	0.06207886	0.014063979	0.11265035	0.026302222	48000	-1.8626451e-08	0.0053098816	-0.008288484	-0.003057576	1.3564423	0.0062826723	0.0833125	127.0	116.7769684791565	0.4921223	0.3250291	1.3645722	0.1335847	0.0	0.0
3	500.0	0.14069848	0.05408892	0.3044625	0.0028810967	64000	-3.7252903e-08	0.053250615	-0.006374236	-0.025648996	1.3564423	0.007694531	0.08575	127.0	166.90128993988037	1.2346488	0.9767445	4.50559	0.14934927	0.0	0.0
4	500.0	0.37074625	0.16701983	0.8319194	0.027202241	80000	1.4901161e-08	0.2134681	-0.0071624024	-0.11310467	1.3564423	0.0071032112	0.079625	127.0	219.53654313087463	2.5898733	1.7061808	8.200251	0.17602149	0.0	0.0
5	500.0	0.6843396	0.35139114	1.5310891	-0.06435105	96000	7.450581e-09	0.6819533	-0.0069408347	-0.35675076	1.3564423	0.006628529	0.0795	127.0	272.122435092926	4.843151	2.7360823	10.652403	0.9499312	0.0	0.0
6	500.0	1.4382297	0.649267	2.559226	-0.17874518	112000	-1.8626451e-08	3.6349614	-0.0049644182	-2.3016844	1.3564423	0.0040658074	0.040062502	127.0	309.8537929058075	12.387613	5.0612273	21.142185	4.007375	0.0	0.0
7	500.0	2.871167	1.2583932	4.933126	-0.20631476	128000	0.0	2.1417818	-0.0066452255	-0.831138	1.3564423	0.006956619	0.0805625	127.0	358.82996678352356	13.93388	5.203846	23.73836	4.010937	0.0	0.0
8	500.0	3.94005	1.740074	6.3729725	-0.5440693	144000	-1.8626451e-08	2.1753454	-0.008093618	-0.86131966	1.3564423	0.0073179463	0.077375	127.0	413.7549433708191	19.301445	5.2195477	30.201458	4.7253256	0.0	0.0
9	500.0	4.98251	2.0441146	7.447133	-0.39794105	160000	2.4214387e-08	2.5106978	-0.007751379	-0.17973939	1.3564423	0.006777929	0.06075	127.0	461.7601397037506	20.06289	5.8524423	32.904648	8.986816	0.0	0.0
10	500.0	5.5500193	2.090288	7.9978795	0.0037118942	176000	-3.7252903e-09	2.9555542	-0.007280915	-0.42494535	1.3564423	0.0048597967	0.0505625	127.0	525.6469850540161	23.902685	5.56591	34.686058	13.8493	0.0	0.0
11	500.0	6.1470795	1.753465	7.9424195	0.62868994	192000	5.5879354e-09	4.4772763	-0.006840486	-0.36622846	1.3564423	0.006874056	0.0584375	127.0	581.2429633140564	23.372963	7.7396464	42.627125	12.248891	0.0	0.0
12	500.0	5.9131875	1.3408389	7.1619616	1.3661485	208000	9.313226e-09	4.494577	-0.0076929196	-0.25394642	1.3564423	0.006401574	0.06525	127.0	628.806521654129	24.739561	7.7529826	47.09398	11.300702	0.0	0.0
13	500.0	5.9653206	1.1041363	6.770987	1.8595304	224000	-1.4901161e-08	4.5264235	-0.0069959974	-0.30411357	1.3564423	0.0063323667	0.0501875	127.0	667.006322145462	22.810467	8.217544	41.682587	11.293457	0.0	0.0
14	500.0	5.5252676	1.0273694	6.1843796	1.3234799	240000	1.4901161e-08	4.685053	-0.005508853	-0.3921583	1.3564423	0.0060065906	0.047312498	127.0	705.3367695808411	26.579798	7.477886	45.5676	14.848583	0.0	0.0
15	500.0	6.0206733	0.8675272	6.4763308	1.998114	256000	1.1175871e-08	3.6006603	-0.0065966295	-0.25197005	1.3564423	0.004971972	0.0451875	127.0	742.3070726394653	24.915876	6.355491	40.097996	16.106865	0.0	0.0
16	500.0	5.724876	0.7239562	6.0772386	1.969929	272000	2.2351742e-08	3.84042	-0.0059142467	-0.23009658	1.3564423	0.0052316505	0.0455625	127.0	781.1914532184601	26.796944	7.4833794	48.55736	14.78785	0.0	0.0
17	500.0	5.9908357	0.84550524	6.441536	1.5350795	288000	-1.4901161e-08	5.149518	-0.0070717796	-0.43817452	1.3564423	0.0052523543	0.045625	127.0	817.2336761951447	28.771912	7.7786417	55.11315	20.140697	0.0	0.0
18	500.0	6.3746657	0.90669745	7.036301	1.5991824	304000	-1.8626451e-08	2.6828406	-0.007517103	-0.4197344	1.3564423	0.007148133	0.0545	127.0	858.7075207233429	26.70396	6.5356793	40.421696	18.599384	0.0	0.0
19	500.0	6.000408	0.87637895	6.8776073	1.3773036	320000	-2.9802322e-08	2.32175	-0.0063954205	-0.22531235	1.3564423	0.0060320087	0.050750002	127.0	895.5381107330322	27.50804	5.093312	42.095478	18.26567	0.0	0.0
20	500.0	6.090048	0.8687198	7.0376062	2.16502	336000	7.450581e-09	1.8297856	-0.007044023	-0.20450106	1.3564423	0.003560332	0.0448125	127.0	935.94735455513	28.865286	5.662776	42.21857	15.39185	0.0	0.0
