Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.003714368	0.030530145	0.09691468	-0.05534272	16000	1.8626451e-09	0.0007496979	-0.0076249777	-0.000678492	1.3564423	0.0064459955	0.07525	127.0	62.27978181838989	0.036534287	0.021941127	0.0964014	0.011762157	0.0	0.0
1	500.0	0.011167918	0.006411633	0.040046725	-0.008404022	32000	-2.9802322e-08	5.5372504e-05	-0.00897946	-3.6517675e-05	1.3564423	0.0061898166	0.08275001	127.0	104.73824644088745	0.04479773	0.025120351	0.12122601	0.012406163	0.0	0.0
2	500.0	0.012105032	0.00435615	0.027323596	0.0019614976	48000	-2.6077032e-08	0.00016018585	-0.009253141	-9.209316e-05	1.3564423	0.008305851	0.1060625	127.0	183.01123690605164	0.083692834	0.06833719	0.3376353	0.016636057	0.0	0.0
3	500.0	0.027021388	0.013476115	0.06371557	-0.0024465509	64000	-1.4901161e-08	0.0019867464	-0.008012932	-0.0011997327	1.3564423	0.009020882	0.0945625	127.0	252.63205575942993	0.2441179	0.21603726	0.8854634	0.018506601	0.0	0.0
4	500.0	0.08763271	0.030686008	0.17469588	-0.0113541335	80000	-2.2351742e-08	0.007938092	-0.009059975	-0.0050608055	1.3564423	0.0072475057	0.086875	127.0	320.39569664001465	0.6188862	0.3485057	1.2661895	0.092924185	0.0	0.0
5	500.0	0.15519103	0.070503816	0.37322205	-0.12769017	96000	1.8626451e-08	0.021015346	-0.008086596	-0.010240152	1.3564423	0.0074322075	0.1001875	127.0	366.0177409648895	0.96425396	0.63023347	3.2586875	0.389694	0.0	0.0
6	500.0	0.32536012	0.13720317	0.68933153	-0.07866641	112000	7.450581e-09	0.117248625	-0.006230468	-0.06946534	1.3564423	0.0058949683	0.066687495	127.0	404.271790266037	2.3095183	1.2934062	7.63899	0.722074	0.0	0.0
7	500.0	0.6493976	0.31286183	1.5113369	-0.21322212	128000	-2.2351742e-08	0.029278547	-0.01184467	-0.0100313565	1.3564423	0.0070483927	0.100625	127.0	446.7056541442871	2.4198542	0.94570327	4.2395625	0.5638223	0.0	0.0
8	500.0	0.80558276	0.39745203	1.5554833	-0.21888927	144000	6.519258e-09	0.67414755	-0.0058116	-0.34065038	1.3564423	0.006266722	0.06025	127.0	486.6837031841278	3.9224179	3.6803248	12.38408	0.5862525	0.0	0.0
9	500.0	1.1375533	0.7714526	3.180964	-1.1557158	160000	-1.21071935e-08	0.6937692	-0.008333108	-0.24870066	1.3564423	0.008106351	0.0871875	127.0	522.9121739864349	4.8164215	4.2678995	19.177256	0.65439075	0.0	0.0
