Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.038726334	0.013339589	0.0751915	-0.0068551023	16000	2.9802322e-08	0.045473225	-0.0049198717	-0.020484377	1.3564423	0.0076082014	0.0478125	127.0	44.72009897232056	0.9863211	0.808444	3.027971	0.14319767	0.0	0.0
1	500.0	0.15911032	0.058992736	0.28729478	-0.0582106	32000	-5.7742e-08	0.088947535	-0.0061888993	-0.029551074	1.3564423	0.0056898296	0.058124997	127.0	85.42044043540955	1.735843	1.3538781	4.934339	0.1830338	0.0	0.0
2	500.0	0.32649127	0.1068234	0.57617086	-0.045522384	48000	-7.450581e-09	0.30665502	-0.006251472	-0.07886551	1.3564423	0.0060432926	0.068812504	127.0	117.98303556442261	2.9165342	2.5512319	11.67943	0.3753968	0.0	0.0
3	500.0	0.65363365	0.16454883	1.1105105	0.021341395	64000	-1.4901161e-08	1.6896036	-0.006780358	-0.7233129	1.3564423	0.0069626896	0.066625	127.0	156.13970828056335	6.927803	5.3958097	21.573679	0.5037455	0.0	0.0
4	500.0	1.5896311	0.33160797	2.484559	0.4535328	80000	2.2351742e-08	1.9009554	-0.0077554025	-0.79813147	1.3564423	0.007775316	0.0741875	127.0	191.26426529884338	9.636379	5.6480083	21.401083	0.84643704	0.0	0.0
5	500.0	2.3763826	0.71475726	3.9628932	0.32683912	96000	3.7252903e-09	6.418588	-0.00815401	-3.4319403	1.3564423	0.004505679	0.065	127.0	224.3797299861908	18.327312	7.7820497	35.24182	4.3314333	0.0	0.0
6	500.0	4.396114	1.2333504	6.353838	0.40721968	112000	1.1175871e-08	5.604182	-0.007668671	-1.7547102	1.3564423	0.0045595905	0.0636875	127.0	261.71625995635986	23.77861	8.749475	43.16604	7.664095	0.0	0.0
7	500.0	5.622083	1.7062272	7.9598336	0.07465416	128000	-5.5879354e-09	4.3607607	-0.009139553	-0.8364047	1.3564423	0.00874494	0.0895	127.0	294.3989362716675	26.401825	6.8610263	44.83183	11.727094	0.0	0.0
8	500.0	6.9317617	1.9072983	8.933205	-0.30749696	144000	1.1175871e-08	5.940487	-0.009153472	-0.5298981	1.3564423	0.004957227	0.0654375	127.0	329.3217873573303	27.448292	9.90663	59.80861	9.962769	0.0	0.0
9	500.0	6.645291	1.5032264	8.307191	1.1039377	160000	1.4901161e-08	5.2406445	-0.009559401	-0.8796243	1.3564423	0.0075062118	0.082499996	127.0	361.62760281562805	32.121006	8.0328245	49.507072	12.541261	0.0	0.0
10	500.0	7.618359	1.5998335	9.021185	1.4783669	176000	2.2351742e-08	15.736714	-0.007189775	-1.0865946	1.3564423	0.006308497	0.063	127.0	395.1439006328583	37.510403	17.243532	103.94121	12.885491	0.0	0.0
11	500.0	8.545618	1.7812612	9.939693	0.9451401	192000	-1.4901161e-08	9.37382	-0.00909394	-0.3031196	1.3564423	0.0070151137	0.0771875	127.0	430.99900937080383	36.71216	13.66279	99.98425	17.795603	0.0	0.0
12	500.0	8.470636	1.5006596	9.683158	0.10459815	208000	-2.2351742e-08	8.936956	-0.009273702	-0.28029254	1.3564423	0.00831586	0.0808125	127.0	466.1176977157593	39.314056	13.56192	91.24237	14.32996	0.0	0.0
13	500.0	8.896326	1.4386117	10.089308	0.5438841	224000	7.450581e-09	8.739853	-0.0092957495	-0.21847762	1.3564423	0.007998161	0.0691875	127.0	509.1148364543915	39.496998	12.731112	86.46337	20.89135	0.0	0.0
14	500.0	8.870965	1.5167162	10.072914	1.302371	240000	2.9802322e-08	7.8739133	-0.008205039	-0.6667209	1.3564423	0.0061080484	0.0565625	127.0	546.8097891807556	43.14927	10.932378	84.78836	25.991241	0.0	0.0
15	500.0	9.46449	1.0904977	10.168201	3.6536605	256000	-1.8626451e-08	7.646241	-0.010213451	-0.4747428	1.3564423	0.010398111	0.095125	127.0	582.6174705028534	41.566338	11.563475	80.9588	29.511766	0.0	0.0
16	500.0	9.225795	1.124574	9.851198	2.6724958	272000	2.9802322e-08	32.89053	-0.0077660843	-7.716626	1.3564423	0.006752574	0.0659375	127.0	624.9506964683533	56.042	22.779383	109.5336	20.282784	0.0	0.0
17	500.0	11.628465	1.4527113	12.245463	1.195072	288000	-1.4901161e-08	10.392392	-0.009009381	-0.29121876	1.3564423	0.007919978	0.0765	127.0	663.4426362514496	50.53015	14.043547	97.16302	33.189045	0.0	0.0
