Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.26688612	0.018851606	0.34101966	0.2129772	16000	-2.0116568e-07	0.04157041	-0.009692829	-0.039523635	1.3564423	0.0077588763	0.08993749	127.0	38.326629400253296	0.1313051	0.06658995	0.35533655	0.05847388	0.0	0.0
1	500.0	0.082134016	0.0387553	0.21277276	0.010323588	32000	1.3038516e-08	0.0017299072	-0.008234147	-0.0011287158	1.3564423	0.006920386	0.068	127.0	74.9584448337555	0.18094215	0.11940084	0.70518696	0.04298065	0.0	0.0
2	500.0	0.07921405	0.034503303	0.17151558	0.017103571	48000	0.0	0.0019949172	-0.008229026	-0.00069819717	1.3564423	0.0056203976	0.069125	127.0	108.18425035476685	0.34193116	0.18247956	0.9024756	0.108452044	0.0	0.0
3	500.0	0.08848398	0.020247685	0.15165454	0.04077824	64000	1.1175871e-08	0.0024175076	-0.007381159	-0.00072179746	1.3564423	0.0066024736	0.070062496	127.0	142.95354914665222	0.412017	0.24301645	1.0225726	0.07095614	0.0	0.0
4	500.0	0.10638469	0.024495685	0.21132892	0.055741437	80000	1.4901161e-08	0.014588215	-0.0065217353	-0.0056024096	1.3564423	0.0069711567	0.0619375	127.0	177.92735028266907	0.78940845	0.48071066	2.0728457	0.20983937	0.0	0.0
5	500.0	0.187486	0.032943524	0.27333766	0.09803836	96000	-7.450581e-09	0.0895039	-0.0050515626	-0.039890036	1.3564423	0.007168251	0.06075	127.0	213.40913152694702	1.418843	1.2554318	5.3688025	0.36315313	0.0	0.0
6	500.0	0.41312212	0.16102292	0.84430313	0.02390324	112000	1.8626451e-08	0.38778067	-0.005971704	-0.19445837	1.3564423	0.0056855152	0.0721875	127.0	248.02845525741577	3.4091687	2.2770321	10.386467	0.45150772	0.0	0.0
7	500.0	0.9865338	0.41546944	2.2533245	-0.0113275945	128000	7.450581e-09	0.85845625	-0.007243613	-0.37965125	1.3564423	0.006843432	0.079125	127.0	282.21239829063416	5.533867	3.5497568	14.056386	1.3522834	0.0	0.0
8	500.0	1.4913372	0.67878467	2.7029972	-0.10370957	144000	-2.6077032e-08	1.6150916	-0.008795604	-0.8204231	1.3564423	0.008593248	0.112375	127.0	331.46331810951233	8.854919	4.739041	20.107405	0.858417	0.0	0.0
9	500.0	2.9353316	1.368767	5.6848264	-0.74912846	160000	7.450581e-09	1.5531573	-0.012058357	-0.5030018	1.3564423	0.0097261425	0.116312504	127.0	372.78355598449707	14.134647	4.986105	23.885052	1.7838833	0.0	0.0
10	500.0	4.465199	1.9139863	6.9348316	-0.79272014	176000	1.8626451e-08	1.721158	-0.008883952	-0.21603283	1.3564423	0.005982765	0.072375	127.0	417.4317898750305	18.40488	4.3740406	27.05084	6.01376	0.0	0.0
11	500.0	5.020015	1.8257314	7.1683283	-0.7296895	192000	2.2351742e-08	2.7156653	-0.006060024	-0.52474964	1.3564423	0.0045896554	0.047375	127.0	461.3685896396637	18.671783	6.389538	32.4959	6.8892827	0.0	0.0
12	500.0	4.9808474	1.7424437	7.1038485	-0.014922989	208000	0.0	2.016545	-0.008363468	-0.45073226	1.3564423	0.0049244957	0.0708125	127.0	527.242627620697	22.343113	4.6650763	31.381763	12.318936	0.0	0.0
13	500.0	5.5876417	1.795499	7.3457203	0.038839195	224000	3.7252903e-08	1.4380449	-0.008541593	-0.10179872	1.3564423	0.006711211	0.061812498	127.0	564.1602430343628	22.519709	5.149137	33.809933	9.5138855	0.0	0.0
14	500.0	5.7023807	1.6799532	7.401711	0.6237721	240000	1.8626451e-08	1.7850047	-0.008480277	-0.1570189	1.3564423	0.005736752	0.0610625	127.0	601.0818457603455	24.747652	4.980721	34.817028	10.942353	0.0	0.0
15	500.0	6.0769114	1.5405359	7.6186795	1.1083974	256000	2.4214387e-08	1.8611851	-0.00855249	-0.22630371	1.3564423	0.0077145677	0.0720625	127.0	639.3587210178375	26.801155	4.4308076	35.324017	16.385303	0.0	0.0
16	500.0	6.4153047	1.3513073	7.530226	1.4440247	272000	-1.3038516e-08	1.7646211	-0.008450249	-0.13586958	1.3564423	0.0064122863	0.069875	127.0	683.021256685257	28.43229	5.14026	38.410946	17.791342	0.0	0.0
17	500.0	6.6845264	1.4744719	7.913345	1.3056968	288000	5.5879354e-09	1.7598023	-0.0075001894	-0.13399026	1.3564423	0.0058556134	0.055562504	127.0	720.6480367183685	28.454206	5.3802743	37.15917	14.840529	0.0	0.0
18	500.0	6.7584357	1.4294033	7.958522	1.2236354	304000	7.450581e-09	1.4944594	-0.008388769	-0.17178252	1.3564423	0.0046987664	0.0531875	127.0	757.4359843730927	28.640903	5.396202	39.843376	20.085262	0.0	0.0
19	500.0	6.5461316	1.3227116	8.0185175	1.6055855	320000	-7.450581e-09	1.3838742	-0.007554287	-0.19993024	1.3564423	0.0053039715	0.055625	127.0	802.2271068096161	29.80946	4.655515	39.29748	22.39784	0.0	0.0
20	500.0	6.907326	1.3059609	8.440496	1.6731963	336000	1.4901161e-08	1.3884046	-0.009165554	-0.114021525	1.3564423	0.007318605	0.061750002	127.0	839.1355147361755	29.815994	5.1194067	39.271362	21.373446	0.0	0.0
21	500.0	6.8483505	1.2637447	8.322894	1.8273913	352000	-1.8626451e-08	1.1560676	-0.007853948	-0.07470745	1.3564423	0.0068245754	0.057312503	127.0	875.7300412654877	30.38696	4.2456417	40.85966	23.777548	0.0	0.0
22	500.0	6.9644976	1.238366	8.374864	1.8502762	368000	1.8626451e-08	1.8038793	-0.0076782373	-0.44545949	1.3564423	0.0043343995	0.057	127.0	912.0445568561554	32.46426	5.8309665	45.424454	23.266424	0.0	0.0
23	500.0	7.422582	1.470239	8.987317	1.8780578	384000	-3.7252903e-09	1.0725671	-0.008477775	-0.23291644	1.3564423	0.0047644866	0.060312502	127.0	951.1224482059479	34.43125	4.3202376	41.749554	25.927193	0.0	0.0
24	500.0	7.637342	1.4705173	9.529429	2.1447554	400000	5.5879354e-09	0.894264	-0.008187121	-0.09365016	1.3564423	0.007653524	0.071	127.0	990.8716168403625	33.7486	4.4450083	44.23513	24.508125	0.0	0.0
25	500.0	7.808709	1.4429361	9.651104	1.9948386	416000	0.0	0.8846319	-0.008411522	-0.1274625	1.3564423	0.0066801216	0.065125	127.0	1028.7145392894745	33.816875	4.4296317	42.44503	25.028841	0.0	0.0
26	500.0	7.812074	1.4677655	9.716203	2.240943	432000	-9.313226e-09	0.8294461	-0.008848555	-0.057691745	1.3564423	0.0052720755	0.060875002	127.0	1065.2944467067719	34.587376	4.1729	42.3159	27.65233	0.0	0.0
27	500.0	7.8611183	1.5196837	9.802933	2.2900524	448000	-2.7008355e-08	1.1271541	-0.00786948	-0.33653182	1.3564423	0.005403315	0.060687497	127.0	1106.8729345798492	37.38748	4.8171744	45.10109	27.947266	0.0	0.0
28	500.0	8.408563	1.6207631	10.592631	2.7646034	464000	-1.3038516e-08	1.1019645	-0.008291123	-0.17056695	1.3564423	0.0056142826	0.058000002	127.0	1149.9734244346619	38.231052	4.9757857	45.043377	28.410639	0.0	0.0
29	500.0	8.598377	1.6512696	10.867803	2.5359576	480000	-3.7252903e-09	0.6973886	-0.008319825	-0.08650267	1.3564423	0.005206893	0.06631251	127.0	1188.2667038440704	37.81202	4.405758	44.106586	29.063547	0.0	0.0
30	500.0	8.901209	1.77447	11.04975	2.650678	496000	-9.313226e-09	0.8812774	-0.008181166	-0.13660577	1.3564423	0.0060587507	0.0588125	127.0	1223.9077997207642	40.180145	4.551793	46.558525	31.1268	0.0	0.0
31	500.0	9.108297	1.726866	11.222438	3.1484346	512000	1.1175871e-08	0.7750581	-0.007965028	-0.08830871	1.3564423	0.0067223585	0.057312503	127.0	1260.7023930549622	39.62068	4.772103	45.70625	30.49618	0.0	0.0
32	500.0	9.281483	1.862203	11.39143	3.0593615	528000	1.8626451e-08	0.8033147	-0.009037191	-0.11694153	1.3564423	0.0064705913	0.063	127.0	1299.9067296981812	40.471493	5.2929516	47.524708	27.031443	0.0	0.0
