Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.32331502	0.024432769	0.4130225	0.2684001	16000	4.5634806e-07	0.06559099	-0.008451244	-0.062208533	1.3564423	0.0074865064	0.084125	127.0	40.88451337814331	0.06976691	0.030701859	0.13263892	0.028136546	0.0	0.0
1	500.0	0.1028723	0.052585278	0.22914462	-0.01603014	32000	-1.4901161e-08	0.004346899	-0.006500991	-0.0038553008	1.3564423	0.0063418336	0.062374998	127.0	73.32420539855957	0.074746214	0.031831264	0.15487964	0.030516222	0.0	0.0
2	500.0	0.060071398	0.043381017	0.17078212	-0.02889096	48000	-7.450581e-09	0.001285196	-0.007748626	-0.0009799857	1.3564423	0.005775295	0.0674375	127.0	108.34437775611877	0.07704126	0.028143896	0.15800253	0.030294571	0.0	0.0
3	500.0	0.047364097	0.02618525	0.1225114	-0.018278735	64000	2.0489097e-08	0.00067285914	-0.008442998	-0.00050617766	1.3564423	0.0047480282	0.07375	127.0	143.1364963054657	0.07954228	0.03373357	0.1807591	0.033441182	0.0	0.0
4	500.0	0.036289632	0.016779454	0.095088035	-0.0020057373	80000	2.9802322e-08	0.0002825002	-0.009297203	-0.00019820855	1.3564423	0.007303583	0.07987501	127.0	181.57067322731018	0.09783567	0.03489023	0.19768624	0.046275623	0.0	0.0
5	500.0	0.028801143	0.011731681	0.07068972	0.001695592	96000	3.7252903e-09	0.00015572441	-0.011238443	-9.376988e-05	1.3564423	0.009381641	0.10525	127.0	215.90194821357727	0.088733464	0.03207417	0.20832148	0.038989726	0.0	0.0
6	500.0	0.031906735	0.010617494	0.07303418	0.00521522	112000	-4.0978193e-08	0.000710575	-0.009218121	-0.00035319699	1.3564423	0.007592217	0.0845	127.0	251.82690715789795	0.20728284	0.11746395	0.40002295	0.06421946	0.0	0.0
7	500.0	0.05335034	0.01686656	0.09624371	0.009506568	128000	1.4901161e-08	0.0069484184	-0.008040914	-0.0030155103	1.3564423	0.006397271	0.070125	127.0	287.47384452819824	0.46772155	0.32221758	1.409625	0.07785029	0.0	0.0
8	500.0	0.1146896	0.039590374	0.1985535	0.01769682	144000	4.4703484e-08	0.0232551	-0.0052681575	-0.011314135	1.3564423	0.006629541	0.068875	127.0	323.26589155197144	0.9185549	0.5707766	3.3287265	0.23324412	0.0	0.0
9	500.0	0.23574774	0.079455584	0.3980262	-0.005630236	160000	-2.9802322e-08	0.20586784	-0.004862969	-0.07626507	1.3564423	0.0073775584	0.066125	127.0	360.222975730896	1.8225429	1.8324304	9.611133	0.42593187	0.0	0.0
10	500.0	0.5415525	0.26479387	1.1143798	-0.028799117	176000	2.2351742e-08	0.83388805	-0.0056589637	-0.5059903	1.3564423	0.0057409983	0.060875	127.0	395.4405126571655	4.798487	2.5549774	10.793662	0.60790706	0.0	0.0
11	500.0	1.2429634	0.7079772	2.668301	-0.4198488	192000	-5.5879354e-09	0.8774964	-0.008164493	-0.30834574	1.3564423	0.007278023	0.092875004	127.0	432.1365306377411	6.2921076	3.6083193	15.144868	1.291179	0.0	0.0
12	500.0	2.0394266	1.1504177	4.0672092	-0.52444315	208000	-7.450581e-09	1.9041783	-0.007548198	-0.6156362	1.3564423	0.006220339	0.0798125	127.0	467.48752784729004	10.727445	4.2877207	20.263058	1.6923869	0.0	0.0
13	500.0	2.9812505	1.4783512	5.244965	-0.4070434	224000	0.0	1.3732766	-0.00713322	-0.39799196	1.3564423	0.006581076	0.055125	127.0	504.92493319511414	13.690633	4.0639343	21.364765	5.836769	0.0	0.0
14	500.0	3.772958	1.7505559	6.2697916	-0.3745665	240000	1.4901161e-08	1.9168504	-0.008195087	-0.3798967	1.3564423	0.0067035104	0.0735	127.0	539.4125730991364	16.72416	5.247332	28.99499	9.552323	0.0	0.0
15	500.0	4.6490655	1.9014704	6.838497	-0.26389405	256000	-9.313226e-09	2.2196703	-0.0070477575	-0.45956525	1.3564423	0.0054565957	0.0669375	127.0	575.6587526798248	21.122711	5.1399827	32.960014	12.333869	0.0	0.0
16	500.0	5.255046	2.0042422	7.4216204	0.072671436	272000	2.9802322e-08	1.6838757	-0.009031694	-0.17008287	1.3564423	0.009335315	0.0808125	127.0	613.8961539268494	21.804792	5.798015	30.36984	10.488992	0.0	0.0
