Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.32355967	0.023882845	0.4102527	0.27005938	16000	-1.8626451e-08	0.06632625	-0.008735295	-0.06290212	1.3564423	0.007845378	0.088125	127.0	34.46422076225281	0.062105406	0.033384174	0.13361275	0.019883163	0.0	0.0
1	500.0	0.10306935	0.05291977	0.22827837	-0.0070095807	32000	9.313226e-10	0.0044900067	-0.006660118	-0.003995052	1.3564423	0.006400627	0.062750004	127.0	64.41775131225586	0.068442926	0.030026583	0.15291023	0.013136992	0.0	0.0
2	500.0	0.05923789	0.04440911	0.17082353	-0.028043777	48000	2.3283064e-08	0.0013328609	-0.007607391	-0.0010137218	1.3564423	0.005663612	0.0628125	127.0	96.3743462562561	0.068854794	0.033474866	0.14435019	0.022550441	0.0	0.0
3	500.0	0.045824066	0.027282922	0.122195184	-0.023605173	64000	1.21071935e-08	0.00067767064	-0.008298483	-0.0005095877	1.3564423	0.004809874	0.073375	127.0	127.3294563293457	0.06671688	0.032508783	0.16841693	0.02431548	0.0	0.0
4	500.0	0.034380704	0.017011728	0.08911763	-0.009176275	80000	-1.4901161e-08	0.00027660566	-0.008932551	-0.00018512356	1.3564423	0.007565519	0.079	127.0	157.6545889377594	0.091702946	0.039078336	0.22624399	0.037245095	0.0	0.0
5	500.0	0.027596565	0.012066165	0.06709015	-0.0033562444	96000	-1.4901161e-08	0.00014905604	-0.011498362	-9.2786664e-05	1.3564423	0.00913424	0.1040625	127.0	187.7390649318695	0.08177295	0.03137691	0.19342679	0.030994482	0.0	0.0
6	500.0	0.030667668	0.010850182	0.065051466	0.0024002455	112000	7.450581e-09	0.00037028396	-0.009156762	-0.00015707	1.3564423	0.0064774286	0.0828125	127.0	219.03688859939575	0.16632795	0.09017985	0.41126975	0.032165673	0.0	0.0
7	500.0	0.04568595	0.0150161795	0.08724724	0.01075447	128000	-3.7252903e-09	0.0019080647	-0.00761958	-0.0008648227	1.3564423	0.0067749894	0.06856249	127.0	253.6044478416443	0.31940508	0.18815726	0.9220389	0.053576022	0.0	0.0
8	500.0	0.08081511	0.026149506	0.15145716	0.019006364	144000	-1.4901161e-08	0.0063553895	-0.0052724387	-0.0023993046	1.3564423	0.004998456	0.054375	127.0	285.3286099433899	0.54869044	0.32257152	1.5886158	0.1238975	0.0	0.0
9	500.0	0.14180067	0.04272166	0.25537875	0.024948213	160000	1.6763806e-08	0.013728946	-0.0061676423	-0.005087369	1.3564423	0.0067700376	0.06525	127.0	325.2798795700073	0.8410969	0.5145372	2.1787117	0.33419827	0.0	0.0
10	500.0	0.20502429	0.07119251	0.40866458	0.0555422	176000	-1.4901161e-08	0.26324815	-0.0046601007	-0.12624821	1.3564423	0.007145977	0.062	127.0	377.1172523498535	1.6871809	2.130744	9.549445	0.3684587	0.0	0.0
11	500.0	0.46699035	0.33359087	1.4577678	-0.24967724	192000	1.4901161e-08	0.20637038	-0.008408187	-0.0891195	1.3564423	0.007375912	0.10618749	127.0	416.51172137260437	2.1696024	2.3043718	12.2625475	0.29991078	0.0	0.0
12	500.0	0.9644919	0.62010676	2.773394	-0.41309917	208000	-7.450581e-09	0.42339385	-0.0077820104	-0.17050794	1.3564423	0.0079545025	0.087437496	127.0	448.2269678115845	4.1036453	3.2190783	12.365573	0.37395847	0.0	0.0
13	500.0	1.1704938	0.9279037	3.4586565	-0.8307707	224000	1.4901161e-08	1.1617858	-0.0079162195	-0.5335659	1.3564423	0.009434605	0.089625	127.0	481.6839578151703	6.372498	5.4857736	20.87777	0.32726488	0.0	0.0
14	500.0	2.553691	1.5822115	6.124757	-1.1049169	240000	8.381903e-09	2.028798	-0.009986565	-0.539654	1.3564423	0.009475499	0.09643751	127.0	514.1562712192535	10.92132	6.765692	22.328495	0.5509077	0.0	0.0
15	500.0	3.378784	2.2025743	7.370494	-1.2564987	256000	0.0	1.8165354	-0.007017499	-0.41583335	1.3564423	0.0032333718	0.051875003	127.0	548.0317294597626	13.666262	6.7757154	25.101707	0.7765903	0.0	0.0
16	500.0	2.9262836	2.3128414	7.129031	-1.7048678	272000	-5.5879354e-09	1.1382074	-0.0070278514	-0.1889806	1.3564423	0.0045037377	0.0555	127.0	579.3344810009003	10.52043	8.9275875	25.16581	0.5324325	0.0	0.0
17	500.0	3.5404687	2.5946388	7.557232	-1.0161936	288000	-1.1175871e-08	1.7678567	-0.007471052	-0.38277823	1.3564423	0.006506541	0.057625003	127.0	615.2606155872345	12.629453	7.694664	27.193657	0.50437236	0.0	0.0
18	500.0	4.1442857	2.1647804	6.7040462	-0.8241909	304000	2.2351742e-08	2.0731146	-0.006726238	-0.3485745	1.3564423	0.0053746076	0.0513125	127.0	648.7450475692749	15.692509	6.9894767	28.789879	0.60490817	0.0	0.0
19	500.0	4.352463	1.8359232	6.411396	-0.44064614	320000	1.4901161e-08	1.5277195	-0.0071729803	-0.24504244	1.3564423	0.0059089	0.052687503	127.0	683.2294294834137	16.611408	6.125437	27.368074	0.580717	0.0	0.0
20	500.0	4.456323	1.4878366	6.22707	0.014427833	336000	-1.8626451e-09	2.5601914	-0.00822241	-0.6985158	1.3564423	0.007359968	0.070250005	127.0	715.4388108253479	19.10875	5.4733653	34.86657	10.246416	0.0	0.0
21	500.0	4.518264	1.4392482	6.479808	0.51193535	352000	6.519258e-09	2.074158	-0.008750899	-0.45611417	1.3564423	0.0070272316	0.07225	127.0	752.9210429191589	18.873768	6.1141334	34.59111	0.6198381	0.0	0.0
22	500.0	4.2785616	1.5506794	6.7531137	0.56060827	368000	-9.313226e-09	2.8047497	-0.009253543	-0.5478814	1.3564423	0.0068382164	0.0826875	127.0	785.8193972110748	19.867702	9.1527405	46.96961	0.5493604	0.0	0.0
23	500.0	4.670393	1.6510403	7.7404857	1.0595213	384000	-7.450581e-09	2.1805127	-0.008697782	-0.6383567	1.3564423	0.0050933547	0.071875006	127.0	825.0923109054565	18.645527	6.959849	33.21782	1.2499793	0.0	0.0
24	500.0	4.244673	1.521337	7.1080594	0.5813094	400000	-7.450581e-09	2.2524576	-0.008724997	-0.95955014	1.3564423	0.0066264197	0.0729375	127.0	860.0205130577087	20.98189	8.046844	33.131832	0.59822994	0.0	0.0
25	500.0	5.3144784	1.799537	7.9302793	0.79838043	416000	1.4901161e-08	1.7164909	-0.010319374	-0.4748795	1.3564423	0.007665446	0.0784375	127.0	894.6426928043365	26.200796	5.685164	35.902042	9.165167	0.0	0.0
26	500.0	5.8836474	1.688273	8.284274	1.4151453	432000	-2.6077032e-08	1.6401927	-0.007856721	-0.35192126	1.3564423	0.0062698987	0.071375	127.0	931.2794516086578	26.988327	7.22227	39.238472	1.7493384	0.0	0.0
27	500.0	6.3494897	1.9769086	8.746462	1.3345213	448000	7.450581e-09	1.6289232	-0.008499956	-0.3920976	1.3564423	0.0067053176	0.06825	127.0	968.7283997535706	29.640606	6.5037293	38.139347	13.201482	0.0	0.0
28	500.0	7.0901675	1.8578901	9.476807	1.6093131	464000	0.0	1.1648221	-0.008679887	-0.25034595	1.3564423	0.00776666	0.0758125	127.0	1005.7490789890289	30.547977	5.6718097	43.11582	21.433207	0.0	0.0
29	500.0	7.1418877	1.8837368	9.575918	1.940834	480000	-2.0489097e-08	0.92751056	-0.008954634	-0.13585548	1.3564423	0.005865123	0.0708125	127.0	1040.465669631958	31.034264	6.1109858	41.67994	17.06723	0.0	0.0
30	500.0	7.486212	2.0994039	9.872759	1.501443	496000	-1.4901161e-08	1.2373188	-0.0078998245	-0.36160976	1.3564423	0.0039124475	0.0585625	127.0	1076.1608891487122	33.813904	5.616864	43.974197	21.87333	0.0	0.0
31	500.0	7.852512	2.1956937	10.39274	1.9833498	512000	-1.4901161e-08	1.7937125	-0.007298517	-0.60751987	1.3564423	0.0046830988	0.053125	127.0	1111.7554068565369	31.394615	9.048307	43.42006	7.147306	0.0	0.0
32	500.0	7.9436836	2.1652482	10.457428	1.4746137	528000	-4.0978193e-08	1.3342744	-0.008152014	-0.46950573	1.3564423	0.00594568	0.053749997	127.0	1146.022698879242	37.009727	6.379627	45.422745	19.872522	0.0	0.0
33	500.0	8.307469	2.7046263	11.30385	1.8086824	544000	-3.7252903e-09	1.3372169	-0.008502217	-0.33647272	1.3564423	0.007085062	0.05925	127.0	1181.3480060100555	34.55815	10.7093115	46.464436	1.7880534	0.0	0.0
34	500.0	7.9785233	2.4933648	11.250459	1.394902	560000	-1.4901161e-08	1.486057	-0.008828386	-0.67196524	1.3564423	0.008744348	0.06925	127.0	1215.6906473636627	35.539818	7.1533327	45.82125	5.6569867	0.0	0.0
35	500.0	9.0110855	2.3772	11.429368	1.8822105	576000	3.7252903e-09	0.9602072	-0.0073891017	-0.25326115	1.3564423	0.004904579	0.0505625	127.0	1250.7615435123444	38.769756	5.938335	47.012165	27.462166	0.0	0.0
36	500.0	9.093473	2.539318	11.794761	1.8596755	592000	1.1175871e-08	0.8051369	-0.009168498	-0.20334786	1.3564423	0.006563211	0.0715	127.0	1288.0261113643646	39.482296	4.756815	46.357353	26.849466	0.0	0.0
37	500.0	8.98217	2.452283	11.690232	2.2354417	608000	3.7252903e-09	0.837588	-0.008260182	-0.2031067	1.3564423	0.0062983613	0.0561875	127.0	1322.8019614219666	37.994526	7.2338815	46.7114	17.568062	0.0	0.0
38	500.0	9.677227	2.5580356	12.138117	2.1972768	624000	-1.4901161e-08	1.1801934	-0.0071633784	-0.29403135	1.3564423	0.0066618184	0.0611875	127.0	1356.7333812713623	41.628025	7.817343	47.894596	8.042289	0.0	0.0
