Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.26792186	0.018961092	0.34102756	0.21254393	16000	4.61936e-07	0.04259545	-0.0095301	-0.040549327	1.3564423	0.007650875	0.092062496	127.0	33.6085991859436	0.12453279	0.06054328	0.32540923	0.055766225	0.0	0.0
1	500.0	0.08066249	0.038474783	0.20878339	0.009466201	32000	-1.1175871e-08	0.0017226061	-0.0079486305	-0.0011419945	1.3564423	0.0067940457	0.066062495	127.0	64.99128031730652	0.17251372	0.11628335	0.690318	0.042130526	0.0	0.0
2	500.0	0.077046424	0.034236323	0.17052253	0.015733082	48000	-1.4901161e-08	0.0019273646	-0.008153791	-0.00068043114	1.3564423	0.005565596	0.06825	127.0	98.00375509262085	0.33103487	0.17634678	0.86384094	0.10791157	0.0	0.0
3	500.0	0.08599822	0.019535244	0.14474702	0.0389152	64000	7.450581e-09	0.0022048573	-0.0071626888	-0.0006366705	1.3564423	0.006531842	0.068124995	127.0	126.4864854812622	0.3941258	0.23085988	0.9694416	0.07178333	0.0	0.0
4	500.0	0.10104529	0.021409215	0.18609592	0.055698175	80000	7.450581e-09	0.012994953	-0.0062135546	-0.004900794	1.3564423	0.006729792	0.057812497	127.0	162.7279109954834	0.75345504	0.45333236	1.9703225	0.19779666	0.0	0.0
5	500.0	0.17311615	0.029579988	0.25141796	0.10012391	96000	1.4901161e-08	0.08355858	-0.0051581385	-0.038081028	1.3564423	0.007289876	0.061375	127.0	193.6246018409729	1.381491	1.2054106	5.185853	0.3625081	0.0	0.0
6	500.0	0.3924504	0.1436985	0.7586613	0.03395722	112000	-4.4703484e-08	0.34435916	-0.006115926	-0.16780916	1.3564423	0.0055902908	0.073249996	127.0	223.05285906791687	3.2142384	2.212232	10.197668	0.42213112	0.0	0.0
7	500.0	0.93234277	0.3685655	2.0048788	-0.017069401	128000	0.0	0.7730181	-0.00734522	-0.34336904	1.3564423	0.0064630373	0.073937505	127.0	253.95406079292297	5.3269653	3.3804781	13.956701	1.3253229	0.0	0.0
8	500.0	1.3945268	0.62135077	2.5747736	-0.08654368	144000	3.3527613e-08	1.4670764	-0.008916334	-0.7702943	1.3564423	0.008739581	0.113125	127.0	290.72503209114075	8.407007	4.5855274	17.472815	0.68853635	0.0	0.0
9	500.0	2.8710532	1.3620378	5.634204	-0.73987955	160000	0.0	1.6885884	-0.012155941	-0.62780356	1.3564423	0.009911491	0.1194375	127.0	326.45095133781433	14.501463	5.1950884	27.440065	1.7498741	0.0	0.0
10	500.0	4.5882354	1.9649726	7.053762	-0.73183453	176000	-9.778887e-09	1.7598464	-0.008060575	-0.19151823	1.3564423	0.004970757	0.06343751	127.0	359.77291679382324	17.779049	4.3586664	24.577583	4.3636093	0.0	0.0
11	500.0	4.893442	1.7245693	6.9308953	-0.35455957	192000	2.7939677e-08	3.1437044	-0.006029616	-0.74974084	1.3564423	0.004157876	0.0454375	127.0	392.5311632156372	16.85159	6.73324	29.263409	4.7342772	0.0	0.0
12	500.0	4.4860215	1.4985293	6.3497443	0.40674978	208000	-7.450581e-09	2.5932431	-0.008121991	-0.8703826	1.3564423	0.004698922	0.074499995	127.0	428.921968460083	22.090664	4.9149575	30.456644	7.306591	0.0	0.0
13	500.0	5.3718023	1.6438652	7.042197	0.16077018	224000	-7.450581e-09	1.6670852	-0.008320165	-0.14460318	1.3564423	0.0068365335	0.061937504	127.0	462.2683165073395	23.299702	4.775257	32.45888	13.185856	0.0	0.0
14	500.0	5.7696066	1.6018075	7.2424736	0.6635438	240000	3.3527613e-08	1.6662089	-0.009324551	-0.113690056	1.3564423	0.0067582754	0.0664375	127.0	493.21219635009766	23.553843	5.1124206	33.582127	12.361524	0.0	0.0
15	500.0	5.747838	1.410394	7.029661	0.89478445	256000	3.3527613e-08	2.2922683	-0.0092648845	-0.5220614	1.3564423	0.0067997337	0.0713125	127.0	528.406858921051	27.534714	4.2528024	36.85202	19.355616	0.0	0.0
16	500.0	6.3977933	1.3092716	7.452767	1.3875062	272000	9.313226e-09	1.5104151	-0.008691159	-0.05329578	1.3564423	0.006733436	0.067	127.0	560.3158285617828	27.695032	4.755259	37.481056	18.715841	0.0	0.0
17	500.0	6.505034	1.418209	7.77527	1.354159	288000	-3.7252903e-09	1.592392	-0.0077358424	-0.0940507	1.3564423	0.0059113624	0.05475	127.0	594.256471157074	28.780201	4.7578998	37.80227	19.04148	0.0	0.0
