Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.29499763	0.01668158	0.36323038	0.24263737	16000	-3.7252903e-08	0.051779456	-0.008975407	-0.049318843	1.3564423	0.007580907	0.08925	127.0	36.76798391342163	0.1269491	0.077230245	0.39308754	0.03644689	0.0	0.0
1	500.0	0.09078485	0.043945163	0.21701616	0.005833745	32000	-2.3283064e-08	0.002293188	-0.0067083533	-0.0015390934	1.3564423	0.006882495	0.057875	127.0	69.90803694725037	0.17734611	0.12557231	0.70820534	0.045977037	0.0	0.0
2	500.0	0.07586553	0.03539277	0.17195383	0.009003349	48000	-1.8626451e-09	0.0016940304	-0.0070684752	-0.0006533716	1.3564423	0.0053218836	0.0599375	127.0	102.91339063644409	0.25230193	0.15740171	0.7170344	0.06852709	0.0	0.0
3	500.0	0.073677465	0.020578073	0.12481129	0.031647928	64000	0.0	0.0012459011	-0.0066662556	-0.0004008077	1.3564423	0.005604567	0.064500004	127.0	136.70187139511108	0.29697722	0.16142406	0.77666104	0.11609715	0.0	0.0
4	500.0	0.07624724	0.012882559	0.12721245	0.04187287	80000	-2.2351742e-08	0.007825188	-0.005685925	-0.003391058	1.3564423	0.0068867505	0.056	127.0	169.58484745025635	0.608878	0.3655635	1.7321429	0.18200783	0.0	0.0
5	500.0	0.13123673	0.025949521	0.20032053	0.06487754	96000	-1.4901161e-08	0.02829821	-0.0057146535	-0.008528825	1.3564423	0.0071377587	0.0705	127.0	202.9133756160736	0.90557605	0.7450102	4.2478867	0.13898961	0.0	0.0
6	500.0	0.24340145	0.07120383	0.3754147	0.060323767	112000	-6.3329935e-08	0.27311915	-0.004872097	-0.14562246	1.3564423	0.004733445	0.049625	127.0	234.44939661026	2.6173358	1.7073679	6.3075485	0.21990803	0.0	0.0
7	500.0	0.6192632	0.26466906	1.1344013	-0.022154247	128000	7.450581e-09	1.4004674	-0.0065709352	-0.642241	1.3564423	0.0064418577	0.0648125	127.0	269.1662199497223	5.710661	3.8379197	13.715494	0.8126188	0.0	0.0
8	500.0	1.4386659	0.684083	2.7413309	0.020568244	144000	7.450581e-09	2.0728831	-0.007245454	-1.1973095	1.3564423	0.006566628	0.07125	127.0	299.81858348846436	9.74597	4.2552614	17.465073	2.421951	0.0	0.0
9	500.0	2.6641467	1.3041308	4.7207236	-0.46946952	160000	-3.7252903e-09	2.4071696	-0.008496599	-1.1382102	1.3564423	0.007995314	0.0896875	127.0	334.15088748931885	14.474855	4.968749	25.159796	5.70884	0.0	0.0
10	500.0	4.0093803	1.7723478	6.2005677	-0.4253478	176000	-1.1175871e-08	1.5219761	-0.008246291	-0.14697622	1.3564423	0.0059369127	0.0704375	127.0	366.9386146068573	16.06047	4.4821606	24.361399	3.758091	0.0	0.0
11	500.0	4.4677114	1.7903806	6.5591626	-0.06806946	192000	7.450581e-09	1.6592402	-0.008128222	-0.19393162	1.3564423	0.0067868466	0.072125	127.0	400.036123752594	18.571274	3.6523762	24.526222	12.011875	0.0	0.0
12	500.0	4.8548436	1.6978523	6.6156774	0.1109693	208000	-7.450581e-09	1.8520327	-0.009017926	-0.10979866	1.3564423	0.0072530257	0.0859375	127.0	432.7422225475311	19.378109	4.528984	28.586296	9.90396	0.0	0.0
13	500.0	4.9325333	1.4450338	6.3640857	0.59112245	224000	3.7252903e-09	1.591757	-0.009721525	-0.098028034	1.3564423	0.0074715386	0.07625	127.0	468.8804540634155	21.173912	4.7668443	28.861782	9.213862	0.0	0.0
14	500.0	5.2716794	1.36461	6.4648433	0.56800073	240000	-3.7252903e-09	2.2204661	-0.00855217	-0.08957949	1.3564423	0.0064958055	0.070999995	127.0	502.3119390010834	22.186308	5.6276517	33.11775	10.085446	0.0	0.0
