Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.32155532	0.023549195	0.40778822	0.26849177	16000	2.8312206e-07	0.06572795	-0.008613272	-0.062389277	1.3564423	0.0076826485	0.0849375	127.0	51.67872214317322	0.060870364	0.03261976	0.13128786	0.019557571	0.0	0.0
1	500.0	0.101508535	0.0525094	0.2263239	-0.009467287	32000	-2.7008355e-08	0.004330585	-0.0066145994	-0.0038414304	1.3564423	0.0063290475	0.06075	127.0	93.18748140335083	0.06809969	0.029515881	0.15406837	0.0131861875	0.0	0.0
2	500.0	0.05856648	0.0440712	0.17050128	-0.027390664	48000	3.632158e-08	0.001309854	-0.007684841	-0.0009920547	1.3564423	0.0057366015	0.0644375	127.0	126.03611063957214	0.06965557	0.03375311	0.14596215	0.022500552	0.0	0.0
3	500.0	0.045626327	0.02695309	0.120673396	-0.022256015	64000	3.5390258e-08	0.0006806849	-0.00779899	-0.0005141278	1.3564423	0.004429207	0.0710625	127.0	157.2970733642578	0.065816745	0.031847287	0.16701621	0.024265729	0.0	0.0
4	500.0	0.034177046	0.016997835	0.09053737	-0.007540874	80000	1.1175871e-08	0.0002637311	-0.009087417	-0.00017756033	1.3564423	0.00706743	0.0773125	127.0	195.39065217971802	0.08801259	0.037562635	0.21687776	0.03606864	0.0	0.0
5	500.0	0.027103031	0.012398048	0.068160295	-0.003649626	96000	-1.8626451e-09	0.00014095743	-0.011201562	-8.657145e-05	1.3564423	0.008912532	0.1019375	127.0	238.09971833229065	0.081119075	0.03096325	0.18089998	0.03236758	0.0	0.0
6	500.0	0.03024086	0.0107168555	0.06806745	0.0027062036	112000	-3.7252903e-09	0.00029133394	-0.009866628	-0.00011257713	1.3564423	0.0071727894	0.0881875	127.0	291.3440227508545	0.15641287	0.07760655	0.36300096	0.03417777	0.0	0.0
7	500.0	0.044286072	0.013693397	0.08098768	0.011265907	128000	-2.9802322e-08	0.0018503331	-0.0078057246	-0.0008500507	1.3564423	0.0068559675	0.067	127.0	330.9004497528076	0.3160103	0.17730074	0.8073415	0.053174242	0.0	0.0
8	500.0	0.076467104	0.02341048	0.14237778	0.016159173	144000	-2.9802322e-08	0.0050903223	-0.00555535	-0.0019087892	1.3564423	0.0048439987	0.055625003	127.0	374.84632563591003	0.50816625	0.28697067	1.4594659	0.12753679	0.0	0.0
9	500.0	0.12912308	0.03756369	0.22674102	0.033139545	160000	2.4214387e-08	0.010326589	-0.0062565785	-0.0035540112	1.3564423	0.0069038086	0.0679375	127.0	426.8211350440979	0.7650397	0.4497073	1.9857322	0.28138307	0.0	0.0
10	500.0	0.1831132	0.055168677	0.3435202	0.048763927	176000	0.0	0.09983063	-0.005390631	-0.051454283	1.3564423	0.006770879	0.065625	127.0	474.08631324768066	1.3333611	1.3519957	5.895987	0.35955983	0.0	0.0
11	500.0	0.35212347	0.22038053	1.0909123	-0.115224086	192000	1.4901161e-08	0.19641319	-0.0073504155	-0.09185441	1.3564423	0.007907258	0.108375	127.0	525.0787932872772	1.8460743	2.1371565	11.862789	0.32957807	0.0	0.0
12	500.0	0.80925983	0.5038094	2.5326345	-0.38376844	208000	1.8626451e-08	0.28362077	-0.008362986	-0.1125294	1.3564423	0.008065546	0.093625	127.0	580.8504478931427	3.281752	2.6512873	9.122954	0.41605064	0.0	0.0
