Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.28988445	0.016757583	0.3593686	0.23613667	16000	-1.7695129e-07	0.05080514	-0.008823866	-0.048405524	1.3564423	0.0072721615	0.085625	127.0	54.70192623138428	0.11215204	0.080763206	0.3930642	0.022634558	0.0	0.0
1	500.0	0.08905845	0.04440523	0.21367441	0.00068314373	32000	-3.5390258e-08	0.0024090358	-0.006679591	-0.0015919504	1.3564423	0.0066520763	0.0576875	127.0	103.14881610870361	0.16075638	0.14021781	0.7591714	0.028372074	0.0	0.0
2	500.0	0.07207497	0.03597827	0.16639313	0.0025832765	48000	1.3038516e-08	0.0016718523	-0.006842811	-0.00066556723	1.3564423	0.0052650836	0.0596875	127.0	161.84636211395264	0.2158517	0.16424501	0.7504116	0.042982962	0.0	0.0
3	500.0	0.06825874	0.023207618	0.12371317	0.018998407	64000	-3.7252903e-09	0.0012486534	-0.0065515833	-0.0004276844	1.3564423	0.005530809	0.0614375	127.0	222.36658930778503	0.25071603	0.17223321	0.7561298	0.075355165	0.0	0.0
4	500.0	0.0691566	0.015326253	0.13140836	0.027398176	80000	-3.7252903e-08	0.0080454415	-0.005569722	-0.0033165128	1.3564423	0.006887953	0.0578125	127.0	260.19125628471375	0.53903955	0.41196752	1.9805773	0.14583637	0.0	0.0
5	500.0	0.11751175	0.02835868	0.18731707	0.05122665	96000	1.8626451e-08	0.018913131	-0.0060148933	-0.004386721	1.3564423	0.0075231935	0.0836875	127.0	296.3879928588867	0.68596303	0.66177917	3.6622756	0.0816157	0.0	0.0
6	500.0	0.19319795	0.058309328	0.32419777	0.024651982	112000	1.4901161e-08	0.17785822	-0.004889466	-0.09015029	1.3564423	0.004340195	0.0551875	127.0	327.9375936985016	1.9606202	1.5497836	5.414885	0.12440775	0.0	0.0
7	500.0	0.487331	0.21576023	0.97942007	-0.06978205	128000	-4.4703484e-08	1.0959823	-0.0059928778	-0.48728967	1.3564423	0.0062854784	0.0655	127.0	368.43859791755676	4.574028	3.818214	12.632562	0.6114539	0.0	0.0
8	500.0	1.1886133	0.60069364	2.4231446	-0.14620984	144000	2.2351742e-08	1.7364773	-0.0063123074	-0.9678656	1.3564423	0.007437259	0.07675	127.0	405.08923745155334	8.179877	4.448945	15.788574	1.4564161	0.0	0.0
9	500.0	2.3337102	1.1604635	4.3212304	-0.64301354	160000	0.0	1.6412139	-0.007727522	-0.68130976	1.3564423	0.007871877	0.0886875	127.0	440.3055229187012	11.885692	5.0654597	25.033564	3.353926	0.0	0.0
10	500.0	3.453037	1.5941923	5.706005	-0.6375191	176000	1.1175871e-08	2.375463	-0.006479607	-0.2851291	1.3564423	0.00589318	0.0734375	127.0	476.2748785018921	13.557945	6.0817795	35.708992	2.0235622	0.0	0.0
11	500.0	3.8740196	1.675591	6.264408	-0.3827333	192000	9.313226e-09	1.3073597	-0.0067527294	-0.2524157	1.3564423	0.005427121	0.064875	127.0	512.0290431976318	16.347965	3.8861575	23.914337	8.116544	0.0	0.0
12	500.0	4.362025	1.6101527	6.271329	0.105903536	208000	4.656613e-09	4.2947187	-0.0061560357	-0.28497154	1.3564423	0.0056479443	0.068124995	127.0	545.290673494339	17.496513	8.95993	57.148666	6.505315	0.0	0.0
13	500.0	4.520045	1.3966383	6.0081153	0.11647268	224000	-2.9802322e-08	3.1457515	-0.0067580817	-0.33751002	1.3564423	0.005959808	0.062250003	127.0	591.322653055191	19.581562	7.477229	37.135963	3.7393155	0.0	0.0
14	500.0	4.8694553	1.4330109	6.3519316	0.024828628	240000	-5.5879354e-09	3.2948034	-0.0073666307	-0.22492519	1.3564423	0.005608253	0.060999997	127.0	657.3749160766602	20.940166	7.412163	44.142044	7.536427	0.0	0.0
15	500.0	5.23347	1.4105283	6.7311196	0.63257384	256000	7.450581e-09	2.6058793	-0.008078676	-0.5555343	1.3564423	0.006872426	0.06475	127.0	731.0791523456573	25.344738	5.94728	46.414265	13.009753	0.0	0.0
16	500.0	6.10727	1.4206141	7.4019246	0.61000293	272000	4.0978193e-08	5.440741	-0.006315767	-0.56070876	1.3564423	0.0061428645	0.057375	127.0	782.1659169197083	28.604532	9.714981	66.51583	19.564365	0.0	0.0
17	500.0	6.711036	1.7099508	8.157121	-0.106662676	288000	-1.4901161e-08	3.3372288	-0.0060647223	-0.17018223	1.3564423	0.0044774488	0.043250002	127.0	818.1397535800934	27.908123	7.142194	55.511856	12.229146	0.0	0.0
18	500.0	6.695507	1.8190705	8.716371	-0.1429294	304000	0.0	6.896485	-0.006657536	-0.731063	1.3564423	0.0060615526	0.06375	127.0	856.466686964035	29.62048	12.149324	89.53092	19.282999	0.0	0.0
19	500.0	7.2972927	2.0041556	10.100159	0.15927471	320000	-2.4214387e-08	4.4731293	-0.006412998	-0.42732593	1.3564423	0.0057093	0.0438125	127.0	896.6499681472778	30.170456	9.290467	64.01948	17.112858	0.0	0.0
