Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.31917527	0.023899218	0.40816456	0.26615673	16000	5.6810677e-08	0.065174766	-0.008441716	-0.06187717	1.3564423	0.0073509105	0.0839375	127.0	38.898223876953125	0.056041226	0.02443173	0.11428378	0.019836562	0.0	0.0
1	500.0	0.09731882	0.052429706	0.22115397	-0.023867283	32000	2.6077032e-08	0.004058916	-0.006729424	-0.0036006947	1.3564423	0.00621578	0.061375003	127.0	71.17806220054626	0.05868523	0.02343474	0.12526901	0.019907877	0.0	0.0
2	500.0	0.055790514	0.04338276	0.1686587	-0.0322463	48000	2.188608e-08	0.001164777	-0.007573076	-0.00088151573	1.3564423	0.005860513	0.0648125	127.0	104.31484413146973	0.06247875	0.02614892	0.12550578	0.020964205	0.0	0.0
3	500.0	0.04453988	0.027143205	0.11985951	-0.021429926	64000	-3.7252903e-08	0.00066382106	-0.007865395	-0.00051565527	1.3564423	0.004760295	0.066625	127.0	137.80821776390076	0.059086774	0.026996996	0.13079941	0.02358961	0.0	0.0
4	500.0	0.032264695	0.017313946	0.092836	-0.004919734	80000	7.450581e-09	0.0002449998	-0.009711608	-0.00017149972	1.3564423	0.007528043	0.0826875	127.0	169.28443002700806	0.08189728	0.027536623	0.1449981	0.039612576	0.0	0.0
5	500.0	0.026325222	0.012208938	0.07037111	-0.0023340918	96000	0.0	0.00014563995	-0.010758825	-9.586297e-05	1.3564423	0.008715871	0.1003125	127.0	204.1972987651825	0.072592884	0.024436198	0.15818736	0.03345176	0.0	0.0
6	500.0	0.028686173	0.01082832	0.06874048	0.0020915195	112000	-3.5390258e-08	0.00039925936	-0.009766263	-0.00017148268	1.3564423	0.007720954	0.0885	127.0	237.5151765346527	0.15698408	0.0966913	0.35536456	0.041304704	0.0	0.0
7	500.0	0.044976432	0.014145916	0.08322902	0.007429406	128000	-2.2351742e-08	0.0011997409	-0.008300094	-0.00042403227	1.3564423	0.0067077107	0.07206249	127.0	272.754590511322	0.2845415	0.15946165	0.60703886	0.05374438	0.0	0.0
8	500.0	0.072702765	0.019802736	0.13331598	0.028283328	144000	-1.4901161e-08	0.009722733	-0.006221029	-0.004226885	1.3564423	0.006416971	0.0696875	127.0	323.1720850467682	0.5997825	0.39161885	2.238671	0.17125823	0.0	0.0
9	500.0	0.15520649	0.046421446	0.27069736	0.042159524	160000	-5.2154064e-08	0.03274656	-0.004856501	-0.014444655	1.3564423	0.006179899	0.0548125	127.0	380.05155992507935	1.0340912	0.7857098	3.5101395	0.27865365	0.0	0.0
10	500.0	0.25734258	0.10875763	0.60320634	0.02668807	176000	7.450581e-09	0.24863291	-0.0048867306	-0.123525225	1.3564423	0.0064471485	0.0616875	127.0	445.1208279132843	1.8982738	2.0560997	9.940792	0.46160436	0.0	0.0
11	500.0	0.6751816	0.4276054	1.7382264	-0.44353053	192000	-1.4901161e-08	0.18976694	-0.00780641	-0.044785112	1.3564423	0.0060658623	0.093875006	127.0	486.8039484024048	2.07437	1.972758	9.553107	0.54024106	0.0	0.0
12	500.0	0.9517827	0.5355567	2.1911166	-0.40231743	208000	-1.4901161e-08	0.37129766	-0.004879484	-0.14667028	1.3564423	0.0035942774	0.059375003	127.0	521.6676495075226	3.7943475	2.9452796	12.416091	0.5320338	0.0	0.0
13	500.0	1.1993542	0.7538833	2.8745992	-0.7681672	224000	7.450581e-09	1.0144113	-0.007168269	-0.41183913	1.3564423	0.008242508	0.0809375	127.0	557.2442526817322	6.1423798	5.2098	17.254597	0.65774894	0.0	0.0
14	500.0	1.6692246	1.3303161	4.797571	-1.468744	240000	-1.4901161e-08	1.740022	-0.008473026	-0.7253666	1.3564423	0.008965142	0.084562495	127.0	593.6821603775024	9.116854	6.698833	23.292467	0.4369062	0.0	0.0
15	500.0	1.7322495	1.9022293	6.2320423	-1.5354121	256000	2.6077032e-08	4.9796915	-0.006631943	-1.1078141	1.3564423	0.005258523	0.071187496	127.0	630.4810161590576	9.077257	11.833859	59.260536	0.49704802	0.0	0.0
16	500.0	2.6695137	2.7875862	9.036257	-2.0590365	272000	7.450581e-09	1.2896354	-0.0085730385	-0.5454891	1.3564423	0.005453011	0.0598125	127.0	665.3807191848755	8.357201	8.610051	25.34222	0.3579196	0.0	0.0
17	500.0	1.9510025	2.2535982	7.7932453	-1.7797456	288000	-1.9557774e-08	1.4076762	-0.007245328	-0.54555154	1.3564423	0.006547924	0.0655	127.0	698.6144547462463	4.9616203	6.296362	24.543148	0.50714076	0.0	0.0
18	500.0	2.4370432	2.4056885	7.4403667	-1.3873097	304000	1.7695129e-08	0.93990195	-0.007197822	-0.24048626	1.3564423	0.0042752507	0.050625	127.0	734.2019853591919	7.4548354	6.486145	22.42983	0.5021892	0.0	0.0
19	500.0	2.5369244	2.2740288	7.200229	-0.879121	320000	-2.7939677e-09	1.1030372	-0.007311594	-0.27275074	1.3564423	0.006422583	0.0699375	127.0	768.5530159473419	8.681817	7.6956286	22.775515	0.62852913	0.0	0.0
20	500.0	2.8779886	2.1256244	6.6181297	-0.82794255	336000	-3.7252903e-09	1.3449761	-0.00859884	-0.34933138	1.3564423	0.0088147335	0.065312505	127.0	801.912023305893	9.636835	6.418685	19.512264	0.5604806	0.0	0.0
21	500.0	3.6824615	1.6719054	5.815402	-0.3220225	352000	-1.4901161e-08	1.4267929	-0.007880773	-0.2892033	1.3564423	0.006465744	0.0578125	127.0	838.6791572570801	14.459318	5.4223046	30.520966	0.48457012	0.0	0.0
22	500.0	3.7204263	1.3069235	5.320877	0.097614445	368000	0.0	1.9949079	-0.0055380035	-0.37054548	1.3564423	0.0057596453	0.0398125	127.0	873.9672708511353	13.287823	6.1406655	37.81983	1.5145708	0.0	0.0
23	500.0	3.4769757	1.1899805	4.9261913	0.04801642	384000	-2.2351742e-08	1.1094935	-0.006025875	-0.37033552	1.3564423	0.0059224935	0.04075	127.0	909.029706954956	13.340597	4.377848	29.84299	4.243878	0.0	0.0
24	500.0	3.3228242	1.039483	4.717792	0.08880781	400000	-1.1175871e-08	0.6405934	-0.0073407446	-0.10328182	1.3564423	0.00537439	0.0553125	127.0	944.9485077857971	14.031861	3.0446026	19.278685	6.7833357	0.0	0.0
25	500.0	3.359335	0.9385022	4.9138145	0.426014	416000	7.450581e-09	0.885305	-0.007610621	-0.16431929	1.3564423	0.0058523696	0.057937503	127.0	980.6130425930023	16.34225	3.596548	23.07435	6.265392	0.0	0.0
26	500.0	3.7142122	1.0034704	5.556557	0.8059375	432000	-1.4901161e-08	1.2665975	-0.008347113	-0.18865895	1.3564423	0.006712529	0.062937506	127.0	1015.5629904270172	16.596954	5.03489	33.53581	5.447833	0.0	0.0
