Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.29366454	0.016805844	0.36347368	0.24039403	16000	3.6507845e-07	0.05194011	-0.008770907	-0.049450796	1.3564423	0.007327966	0.085250005	127.0	36.22039175033569	0.1148279	0.08316818	0.40521538	0.02305836	0.0	0.0
1	500.0	0.08987158	0.0445172	0.21496469	0.0015173666	32000	3.3527613e-08	0.002442531	-0.0067695584	-0.0016069585	1.3564423	0.006801908	0.0586875	127.0	70.1898877620697	0.16266538	0.14254434	0.77239996	0.028402757	0.0	0.0
2	500.0	0.07314789	0.036489036	0.16780147	0.003210932	48000	-1.6763806e-08	0.0017476394	-0.006859335	-0.00067443884	1.3564423	0.0053645195	0.0604375	127.0	101.78893184661865	0.22372404	0.17106698	0.7625783	0.042886965	0.0	0.0
3	500.0	0.070093185	0.023178503	0.12437798	0.020409655	64000	-2.6077032e-08	0.0013446871	-0.0065237787	-0.00043401105	1.3564423	0.005489991	0.0624375	127.0	133.90168380737305	0.25992447	0.17897436	0.7901449	0.0810221	0.0	0.0
4	500.0	0.071525626	0.01553103	0.13477148	0.027743142	80000	3.7252903e-08	0.008766186	-0.0056937267	-0.0037008466	1.3564423	0.0070027313	0.055437498	127.0	166.0347981452942	0.57031524	0.42164275	1.9908979	0.15586966	0.0	0.0
5	500.0	0.12195087	0.027553774	0.18985409	0.05291304	96000	3.7252903e-09	0.01882109	-0.0059961476	-0.004341863	1.3564423	0.0075496975	0.0826875	127.0	199.5955193042755	0.6990325	0.659271	3.6532764	0.08580896	0.0	0.0
6	500.0	0.19555847	0.059521466	0.33377406	0.023784429	112000	2.9802322e-08	0.19266288	-0.0048849997	-0.09754789	1.3564423	0.004425278	0.0556875	127.0	231.60548162460327	2.020975	1.6107119	5.636409	0.12930948	0.0	0.0
7	500.0	0.4986902	0.2230473	1.0102367	-0.07472098	128000	-3.7252903e-08	1.1838202	-0.005835712	-0.52739596	1.3564423	0.00613817	0.0644375	127.0	264.3686068058014	4.734911	3.9644845	13.04984	0.6151712	0.0	0.0
8	500.0	1.2246585	0.61712426	2.4766006	-0.15315221	144000	-3.7252903e-08	1.8930148	-0.006249031	-1.0607352	1.3564423	0.0072564287	0.0753125	127.0	297.2955400943756	8.52486	4.5587387	16.701674	1.5493835	0.0	0.0
9	500.0	2.4154844	1.2014701	4.460684	-0.6885308	160000	0.0	1.6730639	-0.007857882	-0.6540733	1.3564423	0.00825127	0.0926875	127.0	330.94973945617676	12.146838	5.15742	25.20839	3.4376295	0.0	0.0
10	500.0	3.5590649	1.6132284	5.828458	-0.6302054	176000	-3.7252903e-09	1.8814428	-0.0067521045	-0.23419034	1.3564423	0.0057793013	0.0719375	127.0	362.8648040294647	13.172484	5.4019556	29.444347	1.9707463	0.0	0.0
11	500.0	3.7595537	1.5795207	5.942196	-0.3041072	192000	7.450581e-09	1.2195387	-0.0067655765	-0.25700462	1.3564423	0.0055143326	0.0665625	127.0	394.75100016593933	16.194408	3.5592382	24.01557	7.758139	0.0	0.0
12	500.0	4.285875	1.5384909	6.0818195	0.1648922	208000	-2.9802322e-08	2.7862215	-0.0067079226	-0.24805456	1.3564423	0.0057363254	0.066874996	127.0	429.5511918067932	16.814693	7.016646	46.812836	6.9558077	0.0	0.0
13	500.0	4.3274775	1.3086553	5.7412667	0.18507111	224000	5.2154064e-08	2.6849022	-0.00705923	-0.4186079	1.3564423	0.006303532	0.064	127.0	464.14748907089233	19.33363	7.1218143	33.910244	3.1996157	0.0	0.0
14	500.0	4.776615	1.3764292	6.255742	-0.064948	240000	-1.4901161e-08	2.0731683	-0.007713746	-0.26106608	1.3564423	0.006726307	0.058000002	127.0	501.76595091819763	20.943428	6.035249	29.101244	7.0655084	0.0	0.0
15	500.0	5.176194	1.29751	6.7140427	0.51826954	256000	3.7252903e-08	5.185212	-0.006670459	-0.9460437	1.3564423	0.005312112	0.0565	127.0	538.4026024341583	26.24438	8.046669	59.068043	12.847137	0.0	0.0
16	500.0	6.1943007	1.4672083	7.546246	0.7083789	272000	3.7252903e-09	1.9387126	-0.00865936	-0.084391095	1.3564423	0.0050159944	0.065312505	127.0	570.57830286026	25.577147	5.2392445	47.498283	19.453974	0.0	0.0
17	500.0	6.2232533	1.3910409	7.580657	0.8170721	288000	-1.4901161e-08	1.740789	-0.007881149	-0.17738321	1.3564423	0.0049398616	0.0556875	127.0	603.9117867946625	26.606201	5.175305	37.24584	12.784732	0.0	0.0
18	500.0	6.381131	1.6061211	7.9791694	0.331404	304000	1.1175871e-08	4.154137	-0.006999875	-0.44291875	1.3564423	0.0061774002	0.0575625	127.0	638.5004575252533	28.82201	8.293503	67.11884	20.247145	0.0	0.0
19	500.0	6.8631215	1.8412964	9.025811	0.46515802	320000	-6.519258e-09	2.75883	-0.0067958194	-0.45039618	1.3564423	0.0050605396	0.047875002	127.0	673.231730222702	30.449614	7.4100533	52.32639	18.890001	0.0	0.0
20	500.0	7.465908	1.9733306	9.724186	0.43222544	336000	5.5879354e-09	1.1725894	-0.009124352	-0.20675859	1.3564423	0.00727201	0.068375	127.0	710.118420124054	29.265366	4.236497	39.47779	19.258904	0.0	0.0
21	500.0	7.147381	1.9217442	9.132492	1.137771	352000	1.1175871e-08	2.283003	-0.007403099	-0.331208	1.3564423	0.0056176144	0.0635	127.0	747.8364713191986	31.397964	5.790701	55.445293	24.133148	0.0	0.0
22	500.0	7.5829334	2.0354664	9.939382	0.68569326	368000	1.3038516e-08	6.464308	-0.006964233	-0.5618774	1.3564423	0.008076897	0.0801875	127.0	787.0405402183533	33.19233	10.536612	67.673515	22.999405	0.0	0.0
23	500.0	8.012292	2.2723002	10.426701	0.5668055	384000	3.7252903e-09	2.0876641	-0.0088176485	-0.32033372	1.3564423	0.008156991	0.071125	127.0	821.4603087902069	31.144918	5.76927	55.91848	19.599466	0.0	0.0
24	500.0	7.780206	2.1288166	9.930637	1.2583528	400000	-6.519258e-09	2.1636386	-0.007930807	-0.15927732	1.3564423	0.006877009	0.064125	127.0	856.8656671047211	30.891155	5.4642487	43.962734	18.990587	0.0	0.0
25	500.0	7.6173816	1.9357349	9.4690075	1.522988	416000	-3.7252903e-09	1.1646262	-0.008429939	-0.20808208	1.3564423	0.0059261126	0.063125	127.0	891.2718951702118	29.943401	3.6751726	38.90127	20.758064	0.0	0.0
26	500.0	7.3727765	1.7968949	9.108662	1.9412022	432000	0.0	3.4350681	-0.007656687	-0.25662068	1.3564423	0.007296132	0.07275	127.0	935.3814001083374	32.246544	7.84978	65.685	23.454195	0.0	0.0
27	500.0	7.763156	1.9745513	9.667615	1.7515886	448000	-7.450581e-09	2.297306	-0.008488471	-0.3649863	1.3564423	0.007131179	0.0763125	127.0	984.2045359611511	32.77876	6.855524	52.4546	20.420055	0.0	0.0
28	500.0	7.775247	1.8246735	9.81004	1.8440816	464000	1.4901161e-08	7.589913	-0.0074730525	-0.56771463	1.3564423	0.0062996177	0.0663125	127.0	1031.8057816028595	35.672897	11.380093	80.74957	20.50678	0.0	0.0
29	500.0	8.495592	2.0823877	10.7068615	2.0281713	480000	1.4901161e-08	5.222516	-0.008246808	-0.72546774	1.3564423	0.0067661107	0.0745	127.0	1066.8634214401245	33.18808	10.440773	69.21027	19.391531	0.0	0.0
30	500.0	8.240058	2.0834718	11.1643	1.972272	496000	-1.4901161e-08	13.763099	-0.007555698	-1.6913455	1.3564423	0.007254228	0.0719375	127.0	1101.343677997589	40.000416	16.245909	89.04239	19.646772	0.0	0.0
31	500.0	9.335024	2.4141748	12.369363	2.5594673	512000	-7.450581e-09	16.0738	-0.007157496	-0.962536	1.3564423	0.0049693314	0.055999998	127.0	1137.5169656276703	40.3264	18.033035	96.760124	17.57303	0.0	0.0
32	500.0	9.578467	2.7274208	12.633558	2.117692	528000	-2.2351742e-08	5.956081	-0.0084010605	-1.344274	1.3564423	0.0072952444	0.064500004	127.0	1174.7459425926208	36.296852	11.341957	77.268166	17.027615	0.0	0.0
33	500.0	8.813508	2.4523573	12.464069	2.1063595	544000	1.1175871e-08	27.416523	-0.009104559	-3.9148278	1.3564423	0.007289136	0.0814375	127.0	1213.5839240550995	41.85176	23.473595	104.3952	10.911246	0.0	0.0
34	500.0	10.057336	2.8737314	14.090455	2.6784022	560000	-1.8626451e-09	10.418751	-0.009385526	-1.4852377	1.3564423	0.0064172833	0.066375	127.0	1249.6732170581818	38.38903	15.007631	90.30649	17.19881	0.0	0.0
35	500.0	9.541006	2.740949	14.038688	2.4295595	576000	1.1175871e-08	11.39971	-0.0071796356	-1.3469813	1.3564423	0.006215982	0.051875003	127.0	1285.4857420921326	38.028492	15.94559	90.13396	18.956837	0.0	0.0
36	500.0	9.490005	2.9683263	14.847688	2.5366502	592000	-7.450581e-09	13.351095	-0.0078944005	-2.3794174	1.3564423	0.0053709773	0.0598125	127.0	1319.8861696720123	43.089535	17.476368	91.21654	23.123901	0.0	0.0
37	500.0	9.504449	2.9306939	15.929101	1.6664922	608000	-2.6077032e-08	8.542507	-0.009417512	-1.6183563	1.3564423	0.008347586	0.072812505	127.0	1352.5528225898743	35.837345	13.657114	90.57438	19.91757	0.0	0.0
38	500.0	9.97274	3.2959013	16.684551	2.2157326	624000	0.0	7.6682754	-0.0089429505	-1.8785441	1.3564423	0.0074411402	0.070374995	127.0	1385.693784236908	36.11123	10.078683	82.07391	23.349283	0.0	0.0
39	500.0	9.0122595	2.7522576	14.700899	2.448951	640000	0.0	9.944766	-0.008631115	-0.6643277	1.3564423	0.0075838463	0.06175	127.0	1418.5213935375214	36.383137	14.3850155	85.0087	21.45498	0.0	0.0
40	500.0	9.1350975	2.807502	15.421299	2.3832533	656000	2.0489097e-08	14.777466	-0.0074451054	-2.1820598	1.3564423	0.0065764403	0.066937506	127.0	1455.3023884296417	38.423683	18.803991	103.82359	23.272396	0.0	0.0
41	500.0	9.808473	3.274609	16.267944	1.3113883	672000	0.0	10.5176735	-0.007922336	-1.0931987	1.3564423	0.0053687394	0.05725	127.0	1492.8675847053528	40.040203	15.481143	90.87908	26.528204	0.0	0.0
42	500.0	9.799686	3.0352323	15.872242	2.3848302	688000	-1.6763806e-08	13.713629	-0.00997721	-0.54916364	1.3564423	0.007221513	0.0849375	127.0	1528.1505427360535	40.121708	16.331629	93.241066	23.968538	0.0	0.0
43	500.0	9.801174	3.0360122	15.988827	1.9259057	704000	1.1175871e-08	13.940657	-0.009673679	-2.2932963	1.3564423	0.008304382	0.083187506	127.0	1561.9996123313904	37.059975	17.069807	91.721565	11.727763	0.0	0.0
44	500.0	9.14987	3.2057717	15.699661	-0.42744598	720000	1.3038516e-08	26.337193	-0.009696581	-4.5583143	1.3564423	0.009402063	0.09075	127.0	1596.5943350791931	43.41668	23.747812	96.70624	20.364546	0.0	0.0
45	500.0	9.482405	3.0909317	16.728153	1.5225698	736000	-1.4901161e-08	10.298024	-0.010034148	-1.8214781	1.3564423	0.007827127	0.073874995	127.0	1631.5622766017914	37.330856	14.630693	87.75584	19.501787	0.0	0.0
