Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.05847108	0.018884068	0.13896465	0.0034861825	16000	-2.6077032e-08	0.0015846507	-0.0073182834	-0.0009225238	1.3564423	0.0058000777	0.062125	127.0	44.43565797805786	0.16710569	0.13624379	0.67793113	0.02197595	0.0	0.0
1	500.0	0.041562155	0.015536096	0.11558168	-0.0016234666	32000	-1.4901161e-08	0.0013590725	-0.0072081564	-0.00048247972	1.3564423	0.0087069245	0.082062505	127.0	80.74386739730835	0.2385189	0.17361034	0.6896705	0.03104022	0.0	0.0
2	500.0	0.054374635	0.018387819	0.11361496	-0.0020537712	48000	-7.450581e-09	0.002085301	-0.009184856	-0.0007469272	1.3564423	0.009262772	0.107812494	127.0	116.57265615463257	0.33630037	0.25062987	1.1791337	0.045344222	0.0	0.0
3	500.0	0.083738185	0.029809883	0.15367445	-0.0016639307	64000	5.5879354e-09	0.002542967	-0.009503104	-0.0008231314	1.3564423	0.008789239	0.092625	127.0	153.81173062324524	0.51998854	0.25206518	1.1596354	0.10113429	0.0	0.0
4	500.0	0.15115985	0.038661428	0.2847966	0.03843805	80000	2.9802322e-08	0.015546128	-0.0082260715	-0.0060698483	1.3564423	0.0075665447	0.0785	127.0	193.03471088409424	0.9490993	0.5092105	2.3056502	0.23276588	0.0	0.0
5	500.0	0.21921405	0.061744146	0.4038515	0.05935955	96000	7.450581e-09	0.016181568	-0.008428978	-0.0044403747	1.3564423	0.0074798325	0.089125	127.0	235.2909119129181	1.1983099	0.67581254	4.219397	0.3641808	0.0	0.0
6	500.0	0.28707284	0.10746425	0.753561	0.07016036	112000	1.1175871e-08	0.13896672	-0.005895647	-0.072204	1.3564423	0.0077326363	0.1049375	127.0	276.53063130378723	1.8142196	1.9143373	9.8728895	0.30333063	0.0	0.0
7	500.0	0.7819645	0.5543697	2.2592702	-0.14518164	128000	-2.9802322e-08	1.3185729	-0.005969018	-0.5231453	1.3564423	0.006531239	0.0678125	127.0	315.224529504776	5.6345167	5.4421663	24.925129	0.46927217	0.0	0.0
8	500.0	1.7757324	1.1073223	4.2371182	-0.33955878	144000	-4.4703484e-08	3.118474	-0.0065165646	-1.5276138	1.3564423	0.007877173	0.0791875	127.0	357.82386445999146	11.337639	8.065373	27.670496	1.0559953	0.0	0.0
9	500.0	3.1196928	1.8193697	6.5940294	-0.6017669	160000	9.313226e-09	3.2018442	-0.009269008	-0.7785386	1.3564423	0.009669562	0.105937496	127.0	406.49662828445435	14.422724	9.601157	32.337505	0.9150914	0.0	0.0
10	500.0	5.050714	2.283941	8.098095	-1.034171	176000	-7.450581e-09	3.0024467	-0.008406215	-0.37700194	1.3564423	0.0057751117	0.068	127.0	447.1341896057129	21.258316	8.052638	33.031723	2.9516404	0.0	0.0
11	500.0	5.9316516	2.3500376	8.870101	-0.7866503	192000	7.450581e-09	9.21531	-0.005335912	-0.87719977	1.3564423	0.005935568	0.053187497	127.0	492.72273564338684	26.403748	12.843427	90.55987	7.967835	0.0	0.0
12	500.0	7.107968	2.4299734	9.836195	-0.5654755	208000	-7.450581e-09	4.5431304	-0.007412632	-0.4290674	1.3564423	0.005944345	0.05625	127.0	556.4009735584259	26.361841	7.790881	39.39912	10.77152	0.0	0.0
13	500.0	6.7988205	2.09097	9.049605	0.06550561	224000	0.0	3.7265632	-0.009224431	-0.21114028	1.3564423	0.0080275	0.0720625	127.0	615.3541214466095	27.184704	7.310388	43.097717	6.20455	0.0	0.0
14	500.0	7.010534	2.02351	9.087854	-0.3593221	240000	-7.450581e-09	4.386037	-0.009040766	-0.41587844	1.3564423	0.007223483	0.0671875	127.0	664.0944306850433	30.538044	8.15455	43.20276	11.954812	0.0	0.0
15	500.0	7.3362336	1.7190404	9.003007	1.0968167	256000	7.450581e-09	4.1482863	-0.0076897666	-0.9427812	1.3564423	0.0070673525	0.066375	127.0	704.619738817215	35.305138	6.904622	49.13413	25.166454	0.0	0.0
16	500.0	8.298781	1.892617	9.931567	0.6334151	272000	-1.4901161e-08	3.879461	-0.008292757	-0.19283995	1.3564423	0.004782272	0.056874998	127.0	744.9812693595886	35.273136	8.16397	51.580673	21.221733	0.0	0.0
17	500.0	8.338574	1.5926723	9.519099	1.4480886	288000	1.1175871e-08	3.7017975	-0.007307092	-0.09314241	1.3564423	0.0069578933	0.060125	127.0	785.1075644493103	34.71968	7.2290382	46.012135	19.190144	0.0	0.0
18	500.0	8.150892	1.4726102	9.221624	1.6520892	304000	-1.4901161e-08	3.243435	-0.008875041	-0.5588888	1.3564423	0.007870142	0.067	127.0	827.1427087783813	38.59931	6.4420404	50.972816	27.955423	0.0	0.0
19	500.0	8.648595	1.6501182	9.941132	1.7437655	320000	1.8626451e-09	3.9050822	-0.007366052	-0.39673972	1.3564423	0.004948379	0.0545	127.0	891.0338580608368	40.32605	7.329813	62.98841	29.829195	0.0	0.0
20	500.0	9.318063	1.496738	10.230328	2.4353848	336000	-2.3283064e-08	3.0825045	-0.008170129	-0.1020209	1.3564423	0.006575367	0.0670625	127.0	972.6674084663391	41.624275	7.6049023	59.464653	17.150717	0.0	0.0
21	500.0	9.362279	1.6833433	10.430649	1.4587874	352000	-1.3038516e-08	3.244032	-0.007828777	-0.11484918	1.3564423	0.0056822654	0.054937497	127.0	1045.0621898174286	41.56973	7.7154865	62.706448	28.524792	0.0	0.0
22	500.0	9.569779	1.7458804	10.73156	0.51206523	368000	-3.3527613e-08	12.430229	-0.007946811	-1.4856269	1.3564423	0.007223513	0.065375	127.0	1127.912636756897	46.76203	14.0933075	103.518776	30.155798	0.0	0.0
23	500.0	10.425438	1.924733	11.635941	1.6150705	384000	1.1175871e-08	3.9126692	-0.009513516	-0.80572	1.3564423	0.0080235265	0.075625	127.0	1184.4259023666382	42.448303	8.370808	68.93959	30.600843	0.0	0.0
24	500.0	9.715234	2.030342	11.520094	2.0551255	400000	1.4901161e-08	4.6859546	-0.0089419745	-1.8732202	1.3564423	0.007948126	0.0734375	127.0	1233.4495997428894	36.992268	11.292531	53.299355	1.4011637	0.0	0.0
25	500.0	9.4408045	1.6756529	10.839765	1.1049387	416000	-3.3527613e-08	12.240402	-0.008273365	-1.5465652	1.3564423	0.0059290957	0.075124994	127.0	1292.665227651596	47.50682	15.605912	118.69688	28.614767	0.0	0.0
26	500.0	10.538992	1.6967778	11.672939	0.797641	432000	4.4703484e-08	12.041506	-0.0063125156	-0.49562234	1.3564423	0.00774515	0.0630625	127.0	1363.468576669693	47.520683	18.074276	139.05281	27.959846	0.0	0.0
27	500.0	10.675496	1.8275498	12.08959	1.5817981	448000	0.0	5.242971	-0.008685853	-0.6220703	1.3564423	0.007553449	0.07	127.0	1411.4520335197449	44.75479	11.413155	86.952446	27.318157	0.0	0.0
28	500.0	10.025816	1.9601698	11.912509	1.5803314	464000	7.450581e-09	6.802448	-0.007820608	-0.57730293	1.3564423	0.0073207533	0.0693125	127.0	1458.6635718345642	44.25464	12.2372465	92.15642	26.54127	0.0	0.0
29	500.0	10.197405	1.7408056	11.526023	0.2589749	480000	6.9849193e-09	2.6524014	-0.00904242	-0.13598108	1.3564423	0.007838305	0.0759375	127.0	1502.400410413742	46.42184	7.774979	58.41067	31.797102	0.0	0.0
30	500.0	9.979462	1.8633372	11.594199	3.1954937	496000	1.1175871e-08	3.4936013	-0.007925278	-0.40647733	1.3564423	0.0071252524	0.076	127.0	1544.6690111160278	44.143387	11.259506	68.39387	2.9469688	0.0	0.0
31	500.0	9.954539	1.9794791	11.8304615	2.0469568	512000	1.4901161e-08	9.876944	-0.007938998	-1.5859389	1.3564423	0.009175817	0.086125	127.0	1588.248836517334	48.646065	12.685819	91.61288	28.919912	0.0	0.0
32	500.0	10.717911	1.8082218	12.336891	2.1795194	528000	-1.6763806e-08	3.5445623	-0.009381363	-0.35674596	1.3564423	0.0065508047	0.0779375	127.0	1631.3628952503204	46.265778	9.2788725	66.41892	26.262957	0.0	0.0
33	500.0	10.409703	2.8669212	12.424971	-5.6941376	544000	-3.7252903e-09	5.204851	-0.008284154	-0.39534906	1.3564423	0.0076275133	0.0658125	127.0	1674.5410604476929	45.09628	13.825244	88.854324	0.4631911	0.0	0.0
34	500.0	10.132846	2.4741204	12.110802	-0.050332326	560000	-1.4901161e-08	13.093617	-0.008079573	-1.783751	1.3564423	0.007937338	0.08575	127.0	1716.269268989563	46.522827	19.10851	115.82984	1.4626	0.0	0.0
35	500.0	9.609949	2.8664286	13.300575	-0.43687612	576000	7.450581e-09	3.4252486	-0.00974752	-1.0812482	1.3564423	0.0076883654	0.0806875	127.0	1760.8997333049774	40.18962	10.863912	60.60402	2.928197	0.0	0.0
36	500.0	10.235374	2.1887498	12.880516	0.20510182	592000	-1.4901161e-08	7.17427	-0.0077143307	-1.0372521	1.3564423	0.0067730416	0.064	127.0	1822.00989985466	48.91311	10.778679	78.37917	31.928377	0.0	0.0
37	500.0	10.474049	1.9095925	12.869727	1.6213126	608000	2.2351742e-08	6.9979734	-0.008938956	-1.5494794	1.3564423	0.008237369	0.0813125	127.0	1891.9926793575287	43.283703	13.891253	92.74151	4.1681275	0.0	0.0
38	500.0	10.72184	2.2300422	13.147665	1.5210886	624000	-7.450581e-09	9.09505	-0.0082762325	-1.2752503	1.3564423	0.0074674133	0.0715625	127.0	1947.4210114479065	49.647324	14.50028	103.99035	33.860943	0.0	0.0
39	500.0	11.045414	2.3309064	14.337144	2.6469452	640000	-7.450581e-09	24.50874	-0.007147259	-2.6393404	1.3564423	0.008311667	0.089875	127.0	1991.479901790619	52.6435	24.400728	145.60909	28.954582	0.0	0.0
40	500.0	11.302591	2.499594	14.534455	0.2253443	656000	-2.9802322e-08	6.0911965	-0.008007562	-1.0895182	1.3564423	0.006142034	0.069125	127.0	2034.2042894363403	45.960938	13.332383	104.335175	14.41945	0.0	0.0
41	500.0	11.350846	2.2474537	14.871687	0.24952328	672000	1.8626451e-08	4.7165956	-0.008504473	-0.6276472	1.3564423	0.0072513036	0.075375	127.0	2079.2595508098602	51.315517	8.646415	85.587845	40.589737	0.0	0.0
42	500.0	11.689674	2.0639386	14.490379	3.159877	688000	-1.4901161e-08	7.101596	-0.007366429	-0.49689952	1.3564423	0.005789852	0.0743125	127.0	2125.844905614853	51.04374	14.017085	95.80102	31.88114	0.0	0.0
43	500.0	11.108184	2.8947232	14.926889	-5.410361	704000	-1.1175871e-08	3.2313378	-0.008316614	-1.3727555	1.3564423	0.0060876356	0.0684375	127.0	2164.83003616333	44.921623	9.759355	58.61102	2.7580338	0.0	0.0
44	500.0	11.003732	2.0890014	13.77266	1.5405351	720000	-7.450581e-09	10.63341	-0.008692594	-1.6540805	1.3564423	0.008691326	0.072749995	127.0	2208.434921979904	53.995323	15.641362	102.887596	30.910831	0.0	0.0
45	500.0	12.069567	2.243315	15.157879	1.9262916	736000	1.1175871e-08	14.195733	-0.0074921246	-1.0300384	1.3564423	0.006403208	0.074625	127.0	2265.8383424282074	52.076424	18.8389	139.88663	37.460217	0.0	0.0
46	500.0	12.052119	2.096367	14.967426	2.698677	752000	2.2351742e-08	21.88587	-0.008152807	-2.3245897	1.3564423	0.0064298846	0.0758125	127.0	2339.3642234802246	59.259026	21.843145	136.82828	33.437492	0.0	0.0
47	500.0	13.048092	2.2950907	15.445972	3.797524	768000	2.9802322e-08	14.503705	-0.007255733	-1.994435	1.3564423	0.009209016	0.0701875	127.0	2403.6892347335815	51.6942	18.150808	136.5509	36.950096	0.0	0.0
