Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.32288605	0.023587234	0.41126812	0.2672771	16000	4.246831e-07	0.06690391	-0.008564647	-0.06351688	1.3564423	0.007616356	0.08575	127.0	48.110085248947144	0.05609116	0.026599392	0.12481619	0.020567916	0.0	0.0
1	500.0	0.100271225	0.05228884	0.22682779	-0.022374785	32000	-3.9115548e-08	0.004290834	-0.0061172815	-0.0038107322	1.3564423	0.00626704	0.060374998	127.0	83.50982618331909	0.061210327	0.03051214	0.15231335	0.019199263	0.0	0.0
2	500.0	0.05807873	0.044460822	0.17363892	-0.031411234	48000	-9.778887e-09	0.0013111038	-0.0078038075	-0.0010033045	1.3564423	0.005770528	0.068312496	127.0	114.10746216773987	0.061894514	0.027717946	0.14675975	0.025395043	0.0	0.0
3	500.0	0.0446308	0.027304927	0.1217123	-0.020690823	64000	5.7742e-08	0.00064583536	-0.008470039	-0.0004930207	1.3564423	0.0049222843	0.0756875	127.0	145.83517217636108	0.065076485	0.02753391	0.1245408	0.02230938	0.0	0.0
4	500.0	0.033604722	0.016589187	0.09209478	-0.002730526	80000	-1.1175871e-08	0.00025466297	-0.009125339	-0.00016927908	1.3564423	0.0075623454	0.081375	127.0	183.79924821853638	0.09026389	0.03877903	0.23072186	0.036445517	0.0	0.0
5	500.0	0.027149484	0.012277398	0.068476304	-0.0016341694	96000	-6.519258e-09	0.00015046625	-0.010694755	-9.9449426e-05	1.3564423	0.009008271	0.101375	127.0	218.90981435775757	0.0726206	0.027661407	0.1675149	0.03277875	0.0	0.0
6	500.0	0.028945167	0.011268166	0.07168092	0.0030191243	112000	-8.381903e-09	0.00036685652	-0.0103239175	-0.00014392646	1.3564423	0.007954061	0.0961875	127.0	258.6535840034485	0.1536198	0.090417236	0.36478594	0.04052292	0.0	0.0
7	500.0	0.04326792	0.0140824495	0.079627275	0.007932369	128000	-7.450581e-09	0.0032597526	-0.007660332	-0.0014148488	1.3564423	0.006257995	0.0679375	127.0	292.9422025680542	0.34605736	0.23135872	0.8921514	0.043115612	0.0	0.0
8	500.0	0.0823198	0.033797916	0.15525243	0.0126651265	144000	-2.9802322e-08	0.012069568	-0.0058394084	-0.0062783165	1.3564423	0.006267882	0.0679375	127.0	332.894002199173	0.6677107	0.44068772	2.1585102	0.11130993	0.0	0.0
9	500.0	0.17814259	0.06512221	0.30411026	0.0035491847	160000	2.9802322e-08	0.046024553	-0.005838012	-0.016575586	1.3564423	0.0075240587	0.0669375	127.0	368.43119502067566	1.177427	0.8661801	4.4028406	0.26411742	0.0	0.0
10	500.0	0.31839344	0.12151616	0.5845512	0.017052315	176000	-2.6077032e-08	0.41894105	-0.0049385135	-0.23026374	1.3564423	0.005626536	0.05675	127.0	404.45873761177063	3.105047	2.0064743	7.668765	0.40121737	0.0	0.0
11	500.0	0.7398301	0.40505725	1.7287502	-0.2917794	192000	2.7939677e-09	0.48654696	-0.006065398	-0.2088857	1.3564423	0.006985966	0.0744375	127.0	442.6534285545349	4.0359015	2.7884634	10.596261	0.6805468	0.0	0.0
12	500.0	1.3859903	0.82732	3.1538923	-0.5732214	208000	-7.450581e-09	1.0134565	-0.0070050433	-0.29049534	1.3564423	0.0069605503	0.0841875	127.0	498.0472643375397	7.1715574	3.3664565	14.667512	1.2136953	0.0	0.0
13	500.0	2.086072	1.0898145	3.8209467	-0.3556255	224000	2.9802322e-08	0.90137136	-0.006740725	-0.22067547	1.3564423	0.0070402385	0.06075	127.0	555.7371232509613	9.139824	3.6089952	16.557602	2.5953507	0.0	0.0
