Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.29151484	0.01675149	0.36091414	0.2375691	16000	9.313226e-09	0.05143678	-0.008803083	-0.04899662	1.3564423	0.007403482	0.08725	127.0	36.060935735702515	0.112103686	0.08072945	0.39267638	0.022702271	0.0	0.0
1	500.0	0.08943335	0.044489197	0.2143523	0.0010852441	32000	2.0489097e-08	0.0024224643	-0.0067601716	-0.0016129904	1.3564423	0.0067214053	0.0581875	127.0	68.7555603981018	0.16041857	0.1393554	0.75277895	0.02816192	0.0	0.0
2	500.0	0.07220814	0.0362388	0.16733357	0.0023335367	48000	-1.8626451e-08	0.0016684564	-0.0068856096	-0.0006786244	1.3564423	0.0052740616	0.060000002	127.0	106.0824363231659	0.2131884	0.16285622	0.7378762	0.04199431	0.0	0.0
3	500.0	0.067912556	0.023228515	0.12354732	0.018032625	64000	-3.3527613e-08	0.0012247511	-0.006581231	-0.0004332678	1.3564423	0.0055069667	0.0611875	127.0	141.3380527496338	0.24379921	0.16774128	0.7346136	0.07508655	0.0	0.0
4	500.0	0.06771188	0.0151883485	0.12898383	0.026275791	80000	1.4901161e-08	0.006952867	-0.0055531943	-0.002803598	1.3564423	0.006717232	0.05675	127.0	177.10404181480408	0.5089512	0.3874826	1.8791306	0.1424607	0.0	0.0
5	500.0	0.108955294	0.025692191	0.1752702	0.05314546	96000	-7.450581e-09	0.0150177	-0.0060805655	-0.0033936552	1.3564423	0.0073789395	0.0830625	127.0	214.91120052337646	0.62083775	0.59798425	3.3576574	0.07896631	0.0	0.0
6	500.0	0.17590205	0.054174755	0.29693243	0.026482143	112000	-1.1175871e-08	0.14498599	-0.0049224324	-0.0744199	1.3564423	0.0046265656	0.052187502	127.0	254.20304250717163	1.7858014	1.4167496	4.9275184	0.11639248	0.0	0.0
7	500.0	0.44575197	0.19583715	0.8854882	-0.06368395	128000	-2.2351742e-08	1.1895771	-0.0062704124	-0.4918813	1.3564423	0.0064157825	0.070875004	127.0	291.2199475765228	4.4180098	3.9218795	15.664593	0.590338	0.0	0.0
8	500.0	1.1563927	0.594825	2.4031937	-0.1350214	144000	2.6077032e-08	1.586405	-0.00626198	-0.86902076	1.3564423	0.007481699	0.078687504	127.0	327.69131660461426	7.814088	4.3131976	15.226853	1.4432483	0.0	0.0
9	500.0	2.2762146	1.1383165	4.162256	-0.5705169	160000	2.7939677e-08	1.5248057	-0.007806751	-0.6037311	1.3564423	0.008356446	0.0916875	127.0	364.01182651519775	11.527136	4.7627015	21.543211	3.4851823	0.0	0.0
10	500.0	3.3681977	1.5343633	5.5277014	-0.45215455	176000	1.4901161e-08	1.9729822	-0.006973693	-0.25249863	1.3564423	0.006393344	0.0784375	127.0	400.29404282569885	13.299933	5.568422	29.71201	2.12248	0.0	0.0
11	500.0	3.7727256	1.5619885	6.072829	-0.16530842	192000	2.9802322e-08	3.192307	-0.0056638406	-0.6113178	1.3564423	0.006363971	0.07	127.0	437.0958893299103	17.661068	6.7582974	47.51398	8.2278185	0.0	0.0
12	500.0	4.550887	1.6678479	6.5125036	-0.17330527	208000	-2.6077032e-08	4.298366	-0.0060438444	-0.32708696	1.3564423	0.0052957395	0.05725	127.0	478.81482124328613	17.575787	8.71294	52.38394	6.129568	0.0	0.0
13	500.0	4.5443416	1.385307	6.028526	0.08936573	224000	0.0	3.2848082	-0.0065115644	-0.3132561	1.3564423	0.005327571	0.053687498	127.0	514.2555928230286	19.131073	7.562481	38.300938	2.7181058	0.0	0.0
14	500.0	4.7668524	1.3989391	6.066147	-0.13439351	240000	-1.4901161e-08	9.722282	-0.0075082975	-0.9929031	1.3564423	0.006451564	0.0586875	127.0	548.0352153778076	22.721027	13.986184	90.48114	4.763642	0.0	0.0
15	500.0	5.4609704	1.5681468	7.226923	0.4299329	256000	0.0	4.1145883	-0.006461046	-0.22307098	1.3564423	0.0065757856	0.058562502	127.0	589.710284948349	24.195126	8.649368	59.525314	11.754511	0.0	0.0
16	500.0	5.937538	1.3896291	7.5986204	0.797811	272000	1.8626451e-08	3.3292885	-0.0073470687	-0.13945286	1.3564423	0.0049742134	0.059625	127.0	625.6263957023621	26.235374	7.3719816	49.60687	16.009157	0.0	0.0
17	500.0	6.2200556	1.4594715	7.524493	0.5275543	288000	-1.6763806e-08	3.066612	-0.006391857	-0.089730546	1.3564423	0.005384115	0.0523125	127.0	660.7750105857849	26.822498	7.062135	51.450054	13.444981	0.0	0.0
18	500.0	6.372412	1.5332686	7.7775297	0.5401823	304000	-1.4901161e-08	6.807503	-0.006498484	-0.59498894	1.3564423	0.004787362	0.044375002	127.0	696.9909207820892	29.113646	11.775577	88.47189	19.812845	0.0	0.0
19	500.0	6.867873	1.7927892	8.853676	0.1542248	320000	3.7252903e-09	11.229716	-0.006868002	-1.1629862	1.3564423	0.006120735	0.0468125	127.0	737.6154203414917	31.70797	15.150424	89.00961	19.851854	0.0	0.0
20	500.0	7.8151727	2.005773	10.656982	0.91546595	336000	-7.450581e-09	4.8565884	-0.009323271	-0.80548906	1.3564423	0.005692397	0.069875	127.0	791.6736443042755	30.600494	10.982954	83.285805	21.01507	0.0	0.0
