Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.1034795	0.012456598	0.1413522	0.0647739	16000	5.5879354e-09	0.018827412	-0.005472365	-0.006998943	1.3564423	0.006107714	0.038812503	127.0	42.27071404457092	0.7632936	0.7101778	3.0787842	0.09314797	0.0	0.0
1	500.0	0.1401523	0.042868618	0.25390783	-0.007124789	32000	4.0978193e-08	0.029766545	-0.0066320314	-0.010669552	1.3564423	0.008697472	0.0793125	127.0	75.74745512008667	1.0071586	1.0331953	4.2834578	0.15254241	0.0	0.0
2	500.0	0.24740978	0.092375256	0.53021383	-0.048536163	48000	-2.6077032e-08	0.11631103	-0.007828866	-0.046717573	1.3564423	0.006878212	0.079125	127.0	108.84523177146912	1.9105402	1.8221039	7.8447924	0.3562595	0.0	0.0
3	500.0	0.5468347	0.21751453	1.169292	-0.055609025	64000	-1.1175871e-08	0.2910256	-0.008136752	-0.11863433	1.3564423	0.00840228	0.09200001	127.0	143.15385580062866	3.6425319	2.661088	10.137296	0.6204557	0.0	0.0
4	500.0	1.2924737	0.4250621	2.3867688	0.20125607	80000	-1.1175871e-08	5.2402353	-0.006064376	-2.7063315	1.3564423	0.007710781	0.05675	127.0	176.3760621547699	13.199881	8.478934	31.10769	3.0160565	0.0	0.0
5	500.0	2.812628	0.72200483	4.423628	0.42458937	96000	2.4214387e-08	3.9054787	-0.0075631626	-1.1120443	1.3564423	0.006301755	0.057687502	127.0	210.52198481559753	15.33152	7.6761165	35.579872	3.111097	0.0	0.0
6	500.0	3.872977	1.2959939	6.2750616	0.03544943	112000	-1.8626451e-08	5.9494104	-0.0066985255	-3.1342764	1.3564423	0.0060734334	0.06275	127.0	246.84775924682617	23.690245	7.604357	41.199173	9.213471	0.0	0.0
7	500.0	5.76199	1.9132069	8.461023	-0.23903883	128000	9.313226e-09	4.1918545	-0.007829923	-0.20330063	1.3564423	0.007920624	0.0778125	127.0	281.6355028152466	24.44331	8.677298	40.584904	8.933593	0.0	0.0
8	500.0	6.373042	1.9206529	8.635562	-0.21258639	144000	0.0	4.1675906	-0.008012019	-0.46154052	1.3564423	0.006607336	0.0615625	127.0	321.07492685317993	27.5998	7.5842953	50.934536	16.959885	0.0	0.0
9	500.0	7.048243	1.4343312	8.583191	0.8233074	160000	-3.7252903e-09	9.254934	-0.0068175197	-0.75821894	1.3564423	0.0037785675	0.051437497	127.0	356.9395287036896	29.54401	11.192593	53.943314	10.677996	0.0	0.0
10	500.0	6.9429903	0.8516443	7.7495003	2.2507558	176000	1.3038516e-08	14.562544	-0.005970705	-0.21354313	1.3564423	0.0063208835	0.050812498	127.0	389.93911051750183	30.88605	15.1329975	93.59031	10.564891	0.0	0.0
11	500.0	7.0276527	0.8074754	7.6708784	1.7565548	192000	1.4901161e-08	7.782094	-0.006943823	-0.15889993	1.3564423	0.005758184	0.055124998	127.0	427.0812656879425	29.685024	10.749256	57.584343	13.438317	0.0	0.0
12	500.0	6.7875996	0.8292426	7.3471107	1.849142	208000	3.7252903e-09	7.4863806	-0.007535004	-0.29392558	1.3564423	0.005678257	0.0633125	127.0	462.37117099761963	32.885597	11.355982	69.535385	17.812159	0.0	0.0
13	500.0	7.3063846	0.83409137	7.7958107	1.7345675	224000	9.313226e-09	14.43251	-0.005051637	-0.13838723	1.3564423	0.005278517	0.0379375	127.0	498.3116796016693	34.059074	15.696493	87.25268	14.740806	0.0	0.0
14	500.0	7.546659	0.8979557	8.040557	2.1448653	240000	5.9604645e-08	7.0168824	-0.0067962687	-1.114438	1.3564423	0.005965681	0.0535	127.0	541.3830089569092	38.47686	9.903739	59.878307	18.957407	0.0	0.0
15	500.0	8.558309	1.2687248	9.200639	1.5009278	256000	3.7252903e-09	8.366866	-0.0077902386	-1.2458347	1.3564423	0.007128742	0.0661875	127.0	577.3000378608704	43.564476	10.321925	59.91333	20.671753	0.0	0.0
16	500.0	9.67442	1.4073174	10.361501	0.9730485	272000	-1.4901161e-08	11.273772	-0.0075981743	-1.245935	1.3564423	0.0054038465	0.0559375	127.0	627.8356378078461	37.627136	14.388175	64.50829	16.333448	0.0	0.0
17	500.0	8.667846	1.0606648	9.242579	2.3152628	288000	3.7252903e-09	8.467684	-0.007879844	-1.1611248	1.3564423	0.0073694605	0.0641875	127.0	670.9575548171997	44.169075	10.877715	61.970634	25.989473	0.0	0.0
18	500.0	9.62147	1.3453369	10.266328	1.4424645	304000	1.1175871e-08	6.6300287	-0.007842535	-0.5444025	1.3564423	0.006890617	0.05875	127.0	724.0215241909027	46.277008	9.994074	64.0512	22.978205	0.0	0.0
19	500.0	10.256344	1.4642798	10.997958	1.2807481	320000	-1.1175871e-08	14.304203	-0.007934066	-0.8734039	1.3564423	0.00779654	0.067375004	127.0	776.1842415332794	46.472183	16.42348	89.86271	18.321074	0.0	0.0
20	500.0	10.268692	1.5158442	11.213111	1.7860445	336000	0.0	6.667484	-0.008482523	-0.25271624	1.3564423	0.005801741	0.065375	127.0	816.7205066680908	45.00206	11.695638	63.054924	23.342222	0.0	0.0
21	500.0	9.888586	1.5476377	10.849248	0.8292428	352000	1.8626451e-08	9.649252	-0.008873988	-1.391726	1.3564423	0.007684	0.07425	127.0	852.9545006752014	50.109787	12.24765	70.33377	24.556993	0.0	0.0
22	500.0	11.08491	1.5315653	11.917874	1.7453505	368000	-1.1175871e-08	13.904285	-0.0071344427	-1.4593143	1.3564423	0.0034625083	0.0495625	127.0	889.0710065364838	46.867752	16.187365	73.631966	20.8809	0.0	0.0
23	500.0	10.301775	1.5680424	11.752812	1.5326957	384000	-1.8626451e-08	17.330936	-0.007693052	-1.6990638	1.3564423	0.0069255587	0.0666875	127.0	924.5749168395996	51.16256	17.64214	93.0574	20.83213	0.0	0.0
24	500.0	11.080143	1.358157	12.656134	3.6507378	400000	1.1175871e-08	13.819697	-0.007834079	-2.9909182	1.3564423	0.005736869	0.067625	127.0	960.3059480190277	46.088207	16.562706	99.32582	18.042952	0.0	0.0
25	500.0	9.963535	2.398892	12.925746	-1.3656641	416000	-1.7695129e-08	8.101515	-0.008509838	-1.4705839	1.3564423	0.008374523	0.0719375	127.0	993.6552233695984	46.84191	15.056349	75.22905	20.414093	0.0	0.0
26	500.0	10.668983	2.1244795	13.684661	4.100769	432000	1.1175871e-08	11.098082	-0.007945391	-1.8426945	1.3564423	0.007590699	0.0684375	127.0	1028.608636379242	48.85494	15.672902	87.199036	24.586775	0.0	0.0
27	500.0	11.119403	2.6034908	13.950719	0.22735271	448000	-3.7252903e-09	7.118389	-0.007807656	-0.9340894	1.3564423	0.006754768	0.062625	127.0	1063.5850050449371	52.430336	10.084509	67.86548	36.095947	0.0	0.0
28	500.0	11.689276	1.5457218	13.742071	4.1900735	464000	1.1175871e-08	6.893284	-0.007979297	-0.88649726	1.3564423	0.0069081215	0.064062506	127.0	1097.9706060886383	51.330788	11.285851	67.37393	27.117958	0.0	0.0
29	500.0	10.817039	2.3705473	14.08943	3.1538339	480000	3.7252903e-09	8.724596	-0.009964886	-0.8237294	1.3564423	0.008333837	0.085875	127.0	1137.6200613975525	49.885635	16.08272	92.57522	17.585468	0.0	0.0
30	500.0	12.066371	2.2803192	14.8077	3.4181404	496000	0.0	7.923461	-0.008771832	-0.95107317	1.3564423	0.0091562215	0.0843125	127.0	1177.0745241641998	53.917816	14.186521	87.13364	23.120897	0.0	0.0
31	500.0	11.5717325	2.3830397	14.811169	3.4595919	512000	7.450581e-09	7.203658	-0.00813743	-1.2653339	1.3564423	0.0074016135	0.0655625	127.0	1212.778294801712	51.04045	15.252802	74.28684	17.281977	0.0	0.0
