Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.008879501	0.029256254	0.09737025	-0.060996965	16000	-1.8626451e-09	0.0035352611	-0.007823933	-0.0018564959	1.3564423	0.008286716	0.08325	127.0	37.11820912361145	0.2781534	0.20590967	0.95402616	0.052715804	0.0	0.0
1	500.0	0.051673487	0.01942535	0.12678729	0.0022649616	32000	-1.8626451e-08	0.002674135	-0.0066782543	-0.00067239546	1.3564423	0.010214686	0.1065625	127.0	73.55691361427307	0.30852076	0.27288017	1.4720829	0.050620615	0.0	0.0
2	500.0	0.0818573	0.022071049	0.15341675	0.017624564	48000	-3.3527613e-08	0.013004805	-0.0066913487	-0.00651108	1.3564423	0.006936622	0.0775	127.0	111.06438136100769	0.8030343	0.4532059	1.8713474	0.17959484	0.0	0.0
3	500.0	0.14359345	0.06530384	0.32107225	-0.048648182	64000	0.0	0.014742239	-0.00807786	-0.0043556197	1.3564423	0.0075360145	0.09281249	127.0	144.7154402732849	0.97543293	0.6497258	3.3463025	0.1352728	0.0	0.0
4	500.0	0.23911163	0.07881951	0.5069228	-0.03977681	80000	-1.4901161e-08	0.06808083	-0.007832276	-0.039402112	1.3564423	0.008269722	0.086625	127.0	185.1931757926941	1.7887197	1.3934969	5.9561877	0.44983888	0.0	0.0
5	500.0	0.5054937	0.17400675	0.9173647	0.077229515	96000	-4.656613e-08	0.15766753	-0.009892914	-0.07499021	1.3564423	0.0078061274	0.102625	127.0	220.72667980194092	3.212853	2.3947442	9.252492	0.69622374	0.0	0.0
6	500.0	0.81213826	0.36693302	1.8357844	-0.34505862	112000	3.7252903e-09	0.50295985	-0.010956729	-0.2026284	1.3564423	0.009049454	0.117249995	127.0	257.8940649032593	5.418425	3.7283459	15.134318	0.5432919	0.0	0.0
7	500.0	1.5991458	0.6095699	3.1082852	-0.59172165	128000	4.4703484e-08	3.274508	-0.00992043	-1.70612	1.3564423	0.006163186	0.092374995	127.0	296.56451177597046	11.850285	7.993809	34.440773	2.1364262	0.0	0.0
8	500.0	3.1679325	1.2519529	5.9672494	-0.7944862	144000	-5.2154064e-08	3.8707407	-0.011266939	-2.165001	1.3564423	0.007479284	0.107875004	127.0	332.7801158428192	19.253742	8.261288	35.273674	4.53072	0.0	0.0
9	500.0	4.8646035	1.7090652	7.8423367	-1.7681619	160000	-2.6077032e-08	4.121085	-0.010081347	-1.2259747	1.3564423	0.0070378087	0.084875	127.0	371.3242738246918	23.281048	8.703721	43.90878	6.840286	0.0	0.0
10	500.0	6.0585566	2.289683	9.639261	-1.4632685	176000	-2.2351742e-08	3.7658067	-0.010156364	-0.9080382	1.3564423	0.007929925	0.080125004	127.0	412.55802869796753	25.603231	7.3070464	36.671112	8.399324	0.0	0.0
11	500.0	6.965466	1.9215748	9.540757	-0.93630445	192000	-5.5879354e-09	5.148838	-0.0075564906	-0.5497363	1.3564423	0.005402071	0.0519375	127.0	472.77339267730713	27.361523	8.156567	59.411095	11.134012	0.0	0.0
12	500.0	6.793802	1.6087292	8.498535	0.3494636	208000	-1.4901161e-08	3.0074005	-0.0087520825	-0.4970284	1.3564423	0.0069491956	0.0775625	127.0	532.1571731567383	29.264343	5.6281343	39.57648	19.882734	0.0	0.0
