Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07837814	0.012863948	0.12156047	0.041813172	16000	3.7252903e-09	0.0057078153	-0.0052948236	-0.0023148966	1.3564423	0.0059810653	0.043	127.0	39.9512882232666	0.58051085	0.34945965	1.5452548	0.13051584	0.0	0.0
1	500.0	0.09794147	0.027895005	0.16735554	-0.0068818256	32000	-4.0978193e-08	0.02545518	-0.0058067003	-0.010512377	1.3564423	0.007496126	0.067875	127.0	72.81442451477051	0.84053445	0.8995998	4.303281	0.07523679	0.0	0.0
2	500.0	0.23425817	0.060525183	0.38408375	0.04217588	48000	-7.450581e-09	0.06217754	-0.007210394	-0.030729616	1.3564423	0.006575457	0.0665625	127.0	108.4256808757782	1.941135	1.1222908	4.865353	0.29709142	0.0	0.0
3	500.0	0.41216254	0.13752589	0.87868327	0.064746425	64000	0.0	0.4130785	-0.0066227578	-0.19743615	1.3564423	0.007302286	0.0705625	127.0	140.87324261665344	3.6499605	2.983091	13.958662	0.58993137	0.0	0.0
4	500.0	1.1671475	0.34031454	2.020067	0.2770409	80000	3.7252903e-08	1.8083686	-0.0067596915	-0.7851922	1.3564423	0.00700764	0.0633125	127.0	174.09333682060242	7.7065964	5.4218497	22.72208	0.8110553	0.0	0.0
5	500.0	2.0086086	1.0066557	5.47873	-0.11518453	96000	-3.7252903e-09	2.6476908	-0.011122982	-0.909245	1.3564423	0.009161708	0.11668751	127.0	207.43081903457642	11.3036995	7.0868273	30.994877	0.9006567	0.0	0.0
6	500.0	3.4089234	1.297169	5.9416227	-0.062500834	112000	1.4901161e-08	4.783417	-0.006947691	-1.748307	1.3564423	0.006922272	0.072875	127.0	242.3504981994629	19.02918	8.140182	33.62733	3.1507375	0.0	0.0
7	500.0	4.9430532	1.6875107	7.5096884	-0.37160715	128000	1.6763806e-08	3.7932732	-0.008900262	-0.64255786	1.3564423	0.008107338	0.079687506	127.0	278.34034037590027	22.276546	7.153563	33.99438	4.9848127	0.0	0.0
8	500.0	5.7956214	1.8134198	8.117399	-0.099011764	144000	2.2351742e-08	3.8543043	-0.0065693986	-0.4901746	1.3564423	0.0057337745	0.052874997	127.0	329.1955177783966	24.518131	6.8844986	40.399345	9.401553	0.0	0.0
9	500.0	6.209917	1.418873	7.7098327	0.96606493	160000	0.0	5.4162297	-0.007444675	-0.53391707	1.3564423	0.0038881775	0.0565625	127.0	391.7343056201935	28.423466	9.580303	44.600582	8.807967	0.0	0.0
10	500.0	6.6298857	1.3350765	7.858468	1.056742	176000	-1.1175871e-08	4.1528983	-0.007927352	-0.28121686	1.3564423	0.007190208	0.0655625	127.0	451.3812401294708	30.762405	7.152552	49.324364	13.784824	0.0	0.0
11	500.0	7.2308254	1.2337031	8.238982	1.6402366	192000	-3.7252903e-09	3.3728805	-0.0083082095	-0.10620621	1.3564423	0.0056066075	0.0599375	127.0	496.79322028160095	32.492336	5.969324	43.29691	17.496365	0.0	0.0
12	500.0	7.3813643	1.0665474	8.148101	2.0772204	208000	0.0	5.613465	-0.006336103	-1.1285317	1.3564423	0.00681788	0.048875	127.0	537.7528455257416	38.229656	8.454636	52.96624	19.219252	0.0	0.0
13	500.0	8.468589	1.1392906	9.162502	1.7609717	224000	4.4703484e-08	3.5546627	-0.008657658	-0.12540534	1.3564423	0.0072978227	0.060375	127.0	583.7617554664612	35.9545	7.68059	53.384663	22.546642	0.0	0.0
14	500.0	8.178086	1.1551709	8.944035	2.115863	240000	-7.450581e-09	3.845072	-0.007858263	-1.0768049	1.3564423	0.0054535884	0.06025	127.0	631.664258480072	41.926807	5.985925	50.837357	30.174309	0.0	0.0
15	500.0	9.238363	1.1868923	9.927812	2.3793478	256000	-1.4901161e-08	2.2115526	-0.0076302704	-0.29810604	1.3564423	0.006201545	0.06375	127.0	670.6574892997742	44.17133	5.14448	55.4043	31.066341	0.0	0.0
16	500.0	9.772257	1.2553552	10.482788	1.9838538	272000	-7.450581e-09	2.0310478	-0.009760437	-0.17464045	1.3564423	0.008775759	0.07781251	127.0	704.4356417655945	44.9866	6.3307	58.111893	29.018381	0.0	0.0
17	500.0	9.944976	1.3103435	10.810606	2.1392608	288000	1.3038516e-08	7.3470516	-0.0072554806	-0.80164695	1.3564423	0.0050118174	0.062687494	127.0	738.523871421814	49.454117	10.289837	81.18591	36.029205	0.0	0.0
18	500.0	10.806231	1.433706	11.628711	2.0751216	304000	1.8626451e-09	1.6999238	-0.008248096	-0.24941255	1.3564423	0.0057822643	0.0674375	127.0	777.2291171550751	46.8509	5.5407643	58.794388	33.507183	0.0	0.0
19	500.0	10.550863	1.4409758	11.651416	2.6238637	320000	-1.1175871e-08	1.8256199	-0.009759644	-0.17079085	1.3564423	0.008300054	0.071625	127.0	810.5549275875092	48.922455	4.956826	57.48488	37.18934	0.0	0.0
20	500.0	10.905342	1.2578969	11.808445	3.8609934	336000	7.450581e-09	2.833698	-0.008843938	-0.638484	1.3564423	0.005451738	0.0616875	127.0	843.9386484622955	48.657127	7.073277	56.22862	28.494375	0.0	0.0
21	500.0	10.816692	1.2441651	11.774168	4.314252	352000	3.7252903e-09	1.4584693	-0.010332993	-0.3033951	1.3564423	0.008123474	0.078375	127.0	880.5496649742126	50.619587	5.483095	59.436428	33.96352	0.0	0.0
22	500.0	11.107511	1.8032223	12.227716	-0.34192333	368000	-1.8626451e-09	1.349547	-0.009166525	-0.27791756	1.3564423	0.0054009343	0.067875	127.0	918.2334394454956	52.342064	6.0310373	62.105606	27.724094	0.0	0.0
23	500.0	11.619033	1.3005954	12.589114	3.9457064	384000	1.1175871e-08	1.3115066	-0.008399272	-0.1787391	1.3564423	0.0070445696	0.0610625	127.0	960.7426340579987	53.420303	4.8317456	68.05715	44.30334	0.0	0.0
24	500.0	11.715217	1.3662298	12.701377	3.5862195	400000	0.0	3.9871655	-0.008651015	-0.2390748	1.3564423	0.006890201	0.079875	127.0	995.5370261669159	55.351704	8.340566	97.86112	45.367954	0.0	0.0
25	500.0	12.017116	1.4987063	13.099632	3.979641	416000	7.450581e-09	6.6328154	-0.0070429873	-0.4351126	1.3564423	0.008497372	0.081875004	127.0	1036.0716650485992	56.354397	13.134548	119.96148	28.236084	0.0	0.0
26	500.0	12.6152525	1.4515735	13.679067	4.236803	432000	-1.6763806e-08	1.5653787	-0.008101327	-0.042788096	1.3564423	0.0064012646	0.079875	127.0	1079.594866514206	57.209236	5.02192	73.32775	50.4276	0.0	0.0
27	500.0	12.19617	2.2115672	13.676412	2.1289573	448000	9.313226e-09	5.0803947	-0.009712843	-0.31605816	1.3564423	0.0075683445	0.097187504	127.0	1134.5894241333008	56.73049	11.038459	95.66265	34.894962	0.0	0.0
28	500.0	12.727699	1.5720003	14.321796	5.413887	464000	-7.450581e-09	3.2398593	-0.009174131	-0.29287186	1.3564423	0.007316297	0.0981875	127.0	1182.1301684379578	57.44387	7.172683	86.785	41.766434	0.0	0.0
29	500.0	12.66208	1.568814	14.028717	4.494863	480000	-1.4901161e-08	2.6970253	-0.009413406	-0.31136194	1.3564423	0.0075591747	0.084375	127.0	1216.227727651596	58.881348	7.41407	82.092865	43.351055	0.0	0.0
30	500.0	12.675712	1.7316812	14.421312	4.6083183	496000	-2.2351742e-08	6.2809873	-0.008560758	-1.1222422	1.3564423	0.009231927	0.1004375	127.0	1254.0017037391663	62.349854	11.224953	108.421715	48.36816	0.0	0.0
31	500.0	13.948925	1.986066	15.528416	5.0555115	512000	-1.1175871e-08	12.123943	-0.007168907	-1.6546845	1.3564423	0.007543983	0.062437497	127.0	1287.7294256687164	67.11245	16.177958	115.16479	33.173645	0.0	0.0
32	500.0	14.470966	2.218259	16.504637	3.7199538	528000	7.450581e-09	11.0389805	-0.00805376	-1.4730049	1.3564423	0.005673661	0.067562506	127.0	1321.0526990890503	66.75946	16.481733	120.56124	30.845453	0.0	0.0
33	500.0	14.414918	2.636922	17.571669	4.3343925	544000	0.0	18.66894	-0.008323064	-3.2560651	1.3564423	0.0072665405	0.07275	127.0	1356.9876618385315	72.4956	20.788168	129.67914	52.77976	0.0	0.0
34	500.0	15.651781	2.700955	18.750067	3.9563067	560000	0.0	9.013858	-0.008680529	-1.3161336	1.3564423	0.007858727	0.083937496	127.0	1392.5501091480255	65.93221	14.330688	120.084404	51.92167	0.0	0.0
35	500.0	15.123224	2.5704975	18.995955	5.327313	576000	-1.4901161e-08	10.977513	-0.009069823	-1.8927352	1.3564423	0.0074944627	0.0768125	127.0	1429.4507529735565	66.80554	16.910217	123.791336	44.923496	0.0	0.0
36	500.0	15.424467	3.0147493	19.831789	4.881599	592000	3.9115548e-08	15.5474205	-0.008192721	-2.2552145	1.3564423	0.007261727	0.0700625	127.0	1464.1431748867035	71.39505	19.867554	117.00407	33.262943	0.0	0.0
37	500.0	15.52144	3.007627	20.735369	6.0699415	608000	1.8626451e-09	11.235875	-0.008206546	-1.6065385	1.3564423	0.005118934	0.065312505	127.0	1499.4908299446106	69.55206	18.26129	112.91019	32.36651	0.0	0.0
38	500.0	15.649073	3.797601	21.976028	5.3907776	624000	1.1175871e-08	12.297987	-0.0073364824	-2.4485712	1.3564423	0.004577298	0.0613125	127.0	1534.52667927742	67.41394	17.37373	127.610794	49.82107	0.0	0.0
39	500.0	15.384146	2.879394	21.571152	7.981469	640000	-1.4901161e-08	7.717366	-0.008070406	-0.44984904	1.3564423	0.0077761947	0.0778125	127.0	1569.390076637268	67.536896	14.494485	113.23564	44.028114	0.0	0.0
40	500.0	15.787202	3.307283	22.072077	6.542681	656000	1.4901161e-08	26.255348	-0.007963171	-6.444994	1.3564423	0.004013883	0.0589375	127.0	1630.7397713661194	78.54485	23.566317	132.74142	51.257275	0.0	0.0
41	500.0	16.572847	4.370051	23.268238	-1.0203575	672000	3.7252903e-09	19.799902	-0.008079022	-4.1694713	1.3564423	0.007970642	0.062937506	127.0	1684.5610892772675	79.16087	24.854818	129.02351	49.680866	0.0	0.0
42	500.0	18.630339	3.964247	24.955076	6.0178022	688000	7.450581e-09	24.645248	-0.008501963	-5.01743	1.3564423	0.0071716625	0.0719375	127.0	1731.306291103363	86.655914	26.501114	136.59563	53.50976	0.0	0.0
43	500.0	19.455755	4.5899615	25.899992	4.484582	704000	2.2351742e-08	25.533426	-0.008398097	-4.065003	1.3564423	0.0069794673	0.060625	127.0	1766.1014833450317	85.03206	28.456087	137.72777	38.331932	0.0	0.0
44	500.0	20.04186	4.388918	27.625095	7.3641357	720000	4.4703484e-08	23.105045	-0.010663932	-4.318653	1.3564423	0.008673213	0.088687494	127.0	1800.4942862987518	89.700554	27.16526	141.67346	47.665367	0.0	0.0
45	500.0	20.453152	4.994228	28.695772	7.4982104	736000	7.450581e-09	24.74175	-0.009104349	-7.9516745	1.3564423	0.008691257	0.0776875	127.0	1837.0726923942566	85.87237	30.98579	133.20155	48.712994	0.0	0.0
