Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.13553515	0.016568296	0.18634473	0.07577483	16000	4.656613e-08	0.0062867547	-0.005646823	-0.0044135028	1.3564423	0.0058492674	0.0460625	127.0	48.3884859085083	0.3209343	0.2407911	0.98649466	0.069304414	0.0	0.0
1	500.0	0.07762729	0.013395019	0.11702499	0.04287246	32000	3.7252903e-09	0.002786406	-0.0062586414	-0.0008460381	1.3564423	0.0074842405	0.064625	127.0	83.62097525596619	0.39090085	0.2917178	1.2396294	0.10948593	0.0	0.0
2	500.0	0.08814325	0.021337297	0.15037704	0.030975979	48000	-2.6077032e-08	0.0026799804	-0.0101298215	-0.0010031534	1.3564423	0.0075384844	0.097937495	127.0	118.40425634384155	0.51774704	0.28475782	1.2079748	0.17195344	0.0	0.0
3	500.0	0.113281175	0.028186947	0.17444992	0.016918171	64000	-3.7252903e-09	0.003892927	-0.009847214	-0.0018128053	1.3564423	0.0066968994	0.087749995	127.0	156.2178874015808	0.725626	0.34017533	1.5536883	0.28393632	0.0	0.0
4	500.0	0.17523172	0.04499788	0.32449698	0.040765435	80000	0.0	0.04369525	-0.006179022	-0.025175806	1.3564423	0.008089983	0.076875	127.0	190.7819583415985	1.4570134	0.97200495	5.0038934	0.5704469	0.0	0.0
5	500.0	0.30241665	0.15180513	1.038332	-0.048429675	96000	-7.450581e-09	0.44395635	-0.0062195878	-0.20897254	1.3564423	0.010085936	0.1226875	127.0	227.94526886940002	2.0074258	2.9250038	15.122731	0.4596906	0.0	0.0
6	500.0	0.5577845	0.46990567	2.8322034	-0.08577891	112000	-7.450581e-09	0.37872976	-0.008302512	-0.17443334	1.3564423	0.0073192134	0.095	127.0	265.52482986450195	2.4025097	3.6568239	19.236937	0.37840012	0.0	0.0
7	500.0	1.2252342	1.2162491	5.1817107	-0.7554942	128000	-3.7252903e-09	1.3578014	-0.007881808	-0.506404	1.3564423	0.009605571	0.092187494	127.0	305.21161246299744	5.2068586	6.308228	25.694056	0.36909854	0.0	0.0
8	500.0	2.1456196	2.0034406	7.915486	-0.9766874	144000	1.4901161e-08	1.6154332	-0.009320511	-0.37571257	1.3564423	0.00828242	0.0881875	127.0	350.8780207633972	7.9568377	9.1577835	32.270134	0.3719087	0.0	0.0
9	500.0	3.4091036	2.6869462	8.301052	-1.394691	160000	-3.7252903e-09	2.6057425	-0.008187339	-0.5856301	1.3564423	0.006008955	0.0690625	127.0	390.7769865989685	11.976879	8.94476	30.315256	0.39940163	0.0	0.0
10	500.0	4.2738857	2.6309762	9.567581	-1.6590302	176000	-3.7252903e-09	8.102092	-0.0072991876	-1.5469999	1.3564423	0.008014221	0.077562496	127.0	432.3872814178467	18.623505	13.969423	78.14387	2.9663994	0.0	0.0
11	500.0	5.690614	3.069496	10.543821	-1.5950394	192000	-3.7252903e-09	4.263405	-0.007780158	-0.6685819	1.3564423	0.0050734365	0.0635625	127.0	470.64780926704407	20.358257	8.469851	48.894535	8.014086	0.0	0.0
12	500.0	5.756666	2.8021085	9.291986	-1.0977485	208000	-1.1175871e-08	4.80289	-0.008725215	-0.9162145	1.3564423	0.0069387304	0.06	127.0	508.77801847457886	18.701578	7.0151973	34.090824	2.3786793	0.0	0.0
13	500.0	5.386659	2.3641047	7.884941	-0.7561291	224000	3.3527613e-08	5.1680827	-0.007621276	-1.4780414	1.3564423	0.0059587928	0.0593125	127.0	549.8862843513489	16.076794	7.5133066	35.692425	0.69568974	0.0	0.0
14	500.0	4.700104	1.6925157	6.4208293	-0.7057772	240000	-2.2351742e-08	4.305166	-0.0064012934	-0.25809532	1.3564423	0.0037605693	0.046125002	127.0	591.7810182571411	19.320957	7.771349	46.77193	7.2746596	0.0	0.0
15	500.0	4.911371	1.4336524	6.0917454	-0.6142903	256000	7.450581e-09	5.113116	-0.0078008557	-0.5298681	1.3564423	0.006012724	0.059187498	127.0	630.6667983531952	19.84341	6.158861	36.87673	10.660639	0.0	0.0
16	500.0	4.7878213	1.1245273	5.645713	-0.30004942	272000	7.450581e-09	5.4622974	-0.0064405124	-0.7548311	1.3564423	0.004965085	0.04725	127.0	668.0578548908234	18.431978	7.9952993	49.400867	9.086179	0.0	0.0
17	500.0	4.473113	0.90005285	5.4641547	0.10018776	288000	-1.4901161e-08	9.6332445	-0.006898145	-2.718612	1.3564423	0.006708349	0.053625003	127.0	704.4507975578308	26.120903	12.2313595	46.75784	9.283654	0.0	0.0
18	500.0	5.545224	1.3206587	7.232733	0.4628433	304000	3.7252903e-09	4.6772184	-0.0067234174	-0.4479792	1.3564423	0.0048287534	0.049375	127.0	739.6717121601105	25.184399	8.249611	44.070644	11.345731	0.0	0.0
19	500.0	5.514714	1.5358102	7.612742	0.4435376	320000	-2.2351742e-08	7.2208247	-0.0063511925	-1.588198	1.3564423	0.005826424	0.048875	127.0	779.7014198303223	28.401224	10.995886	49.00982	10.0809555	0.0	0.0
20	500.0	6.2906275	1.8229196	8.658473	0.58205795	336000	-1.4901161e-08	6.1375937	-0.00901426	-0.9209284	1.3564423	0.0064418	0.067375004	127.0	818.2021164894104	27.7649	11.786943	52.620663	11.863819	0.0	0.0
21	500.0	6.339696	1.9226186	8.868797	0.8482817	352000	5.5879354e-09	5.247239	-0.0079536475	-0.6408185	1.3564423	0.0064213867	0.063125	127.0	857.4438817501068	30.643688	11.091163	52.788803	9.291048	0.0	0.0
