Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.08207705	0.012891417	0.15404068	0.013984535	16000	7.450581e-09	0.007905228	-0.0058886083	-0.0035876608	1.3564423	0.006016308	0.043375	127.0	40.122199058532715	0.7261944	0.34639752	1.6306707	0.22100678	0.0	0.0
1	500.0	0.123071134	0.026567074	0.20713665	0.02082672	32000	3.9115548e-08	0.028652914	-0.00593715	-0.010159908	1.3564423	0.007226511	0.0645625	127.0	75.71435475349426	1.0439627	0.88167495	4.0591846	0.15223135	0.0	0.0
2	500.0	0.24712034	0.04811072	0.39943448	0.086618125	48000	2.2351742e-08	0.08767682	-0.00749448	-0.04561211	1.3564423	0.006185539	0.060687497	127.0	109.33481955528259	2.2693067	1.158378	5.580509	0.47071177	0.0	0.0
3	500.0	0.4601342	0.114289954	0.83388054	0.13159999	64000	5.401671e-08	0.38001603	-0.0070488793	-0.16813236	1.3564423	0.007827936	0.07925	127.0	142.90104007720947	3.9259224	2.7336564	13.646081	0.98073363	0.0	0.0
4	500.0	1.1737142	0.27137196	1.8468707	0.49351102	80000	0.0	2.1345644	-0.0069128	-0.9734863	1.3564423	0.0073707122	0.0661875	127.0	176.6141574382782	8.87292	5.221037	19.530178	1.3853709	0.0	0.0
5	500.0	2.1008632	0.86014915	4.9329805	0.36768553	96000	-9.313226e-09	2.0855412	-0.011495447	-0.70136714	1.3564423	0.0093076	0.108375	127.0	209.78213167190552	11.905043	5.9794693	28.058552	1.6407787	0.0	0.0
6	500.0	3.379925	1.0137851	5.3209314	0.4738666	112000	-1.4901161e-08	3.0344894	-0.006769825	-1.0327841	1.3564423	0.0062402426	0.0684375	127.0	246.28619194030762	18.323742	6.22262	30.37968	6.056133	0.0	0.0
7	500.0	4.5693846	1.2545222	6.444544	0.74313813	128000	2.4214387e-08	2.5851138	-0.008861352	-0.3628844	1.3564423	0.0078347465	0.0765625	127.0	281.3215181827545	21.004566	6.2797327	34.97939	6.3581653	0.0	0.0
8	500.0	5.313655	1.3095534	7.012274	1.0996364	144000	-1.4901161e-08	2.9044638	-0.0074255522	-0.25781882	1.3564423	0.0063588675	0.0625	127.0	316.15386867523193	23.036219	6.3518047	38.403854	12.910874	0.0	0.0
9	500.0	5.617978	0.9781417	6.66195	1.601649	160000	7.450581e-09	3.6737576	-0.006673444	-0.1943069	1.3564423	0.004046284	0.0516875	127.0	350.2143745422363	25.072792	8.0212755	43.88881	10.994444	0.0	0.0
10	500.0	5.7560234	0.825697	6.4866343	1.7252908	176000	-3.7252903e-09	2.9272122	-0.007004301	-0.24884412	1.3564423	0.0069667343	0.0530625	127.0	387.55800318717957	27.437435	6.5245953	43.779953	17.049097	0.0	0.0
11	500.0	6.2899375	0.8716179	6.96223	1.8911864	192000	1.4901161e-08	3.244391	-0.0074667437	-0.082119316	1.3564423	0.0059084836	0.0735	127.0	422.4482834339142	28.193783	6.906396	42.212288	18.644192	0.0	0.0
12	500.0	6.3524895	0.73419774	6.824786	1.9589548	208000	-1.4901161e-08	4.8772726	-0.005888762	-0.6770868	1.3564423	0.005499361	0.049187504	127.0	458.73732709884644	32.6989	9.0280905	48.952885	19.134047	0.0	0.0
13	500.0	7.181049	0.7496009	7.594604	2.0898194	224000	2.7939677e-08	4.073924	-0.006857315	-0.07414314	1.3564423	0.0056731803	0.041625	127.0	496.19809556007385	32.396526	8.960616	47.21249	20.65418	0.0	0.0
14	500.0	7.2029967	0.8107621	7.7189875	2.3444378	240000	3.3527613e-08	4.3838444	-0.0077741994	-0.5754089	1.3564423	0.006360948	0.0564375	127.0	534.9518346786499	36.364273	8.357734	50.362465	24.805313	0.0	0.0
15	500.0	7.920641	0.8687351	8.428979	3.02157	256000	3.7252903e-09	3.7515457	-0.007744205	-0.2118033	1.3564423	0.006781624	0.0615	127.0	569.653071641922	36.84076	8.904186	52.975483	24.214788	0.0	0.0
16	500.0	8.109651	0.77507395	8.6431875	2.9432797	272000	-5.2154064e-08	4.0235305	-0.008758517	-0.49757028	1.3564423	0.007545528	0.061375	127.0	607.4772081375122	39.940086	8.559431	56.584972	26.956825	0.0	0.0
17	500.0	8.600469	0.93148726	9.364561	3.169078	288000	1.1175871e-08	3.8000984	-0.0073725022	-0.3751495	1.3564423	0.005510971	0.056625	127.0	643.0088069438934	39.655895	9.07715	55.07882	23.04983	0.0	0.0
18	500.0	8.6525955	0.9270313	9.749564	3.4704084	304000	-7.450581e-09	3.7231476	-0.0063753193	-0.6132456	1.3564423	0.0055821305	0.04375	127.0	678.3038983345032	42.575645	8.785147	53.986816	24.882368	0.0	0.0
19	500.0	9.1217165	1.0494757	10.395519	3.9682171	320000	-1.4901161e-08	3.9310327	-0.006831835	-0.90829575	1.3564423	0.0064076376	0.059249997	127.0	712.7759776115417	40.695652	10.275674	53.673027	26.686054	0.0	0.0
