Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07865967	0.012982458	0.15062933	0.01004852	16000	4.8428774e-08	0.008346556	-0.005815588	-0.0039065736	1.3564423	0.0061185416	0.042	127.0	37.174757957458496	0.7292915	0.35129404	1.613113	0.21403128	0.0	0.0
1	500.0	0.12212287	0.02597402	0.20223102	0.034727164	32000	1.8626451e-09	0.030531216	-0.0057604006	-0.01088736	1.3564423	0.0069189854	0.060875	127.0	74.2595808506012	1.069854	0.90015763	4.0427065	0.15059263	0.0	0.0
2	500.0	0.25010824	0.04581664	0.39319944	0.10122779	48000	1.4901161e-08	0.103390835	-0.0074232803	-0.05352181	1.3564423	0.0064358246	0.06075	127.0	107.3939528465271	2.390967	1.2196836	5.984552	0.46447155	0.0	0.0
3	500.0	0.4771276	0.11356682	0.7983218	0.16976497	64000	-5.5879354e-09	0.40121466	-0.006810246	-0.17710118	1.3564423	0.007222946	0.06918751	127.0	144.9469747543335	4.1079383	2.734289	13.449473	1.0413024	0.0	0.0
4	500.0	1.174446	0.26182464	1.8031124	0.4912464	80000	-3.7252903e-09	2.0302787	-0.0067902375	-0.9121276	1.3564423	0.006382711	0.061812498	127.0	180.8277735710144	8.750908	5.120207	20.724728	1.1667807	0.0	0.0
5	500.0	2.0822742	0.8200712	4.694629	0.33579397	96000	-2.7939677e-08	1.9157691	-0.01099599	-0.6278845	1.3564423	0.0091436505	0.103750005	127.0	217.45440697669983	11.614325	5.7731056	26.931135	1.7979952	0.0	0.0
6	500.0	3.2659738	0.981326	5.097136	0.48663697	112000	1.4901161e-08	2.942018	-0.0070324107	-0.95858693	1.3564423	0.006720366	0.0725625	127.0	252.7858431339264	17.661339	6.159026	30.014278	5.593663	0.0	0.0
7	500.0	4.3987794	1.1961068	6.188969	0.7545148	128000	5.5879354e-09	2.4255507	-0.009497967	-0.4065332	1.3564423	0.008330245	0.0820625	127.0	293.5994436740875	20.59679	5.8279552	34.958454	6.3070865	0.0	0.0
8	500.0	5.1736445	1.2654645	6.809771	1.0998558	144000	7.450581e-09	2.5259275	-0.0066959653	-0.22084157	1.3564423	0.006052155	0.057375003	127.0	328.5433030128479	22.18369	5.8142567	35.002342	12.41213	0.0	0.0
9	500.0	5.417496	0.93318737	6.4520974	1.7152021	160000	7.450581e-09	3.9238157	-0.0067774374	-0.25939167	1.3564423	0.004153507	0.055062503	127.0	364.7631165981293	24.89083	8.275389	43.937386	10.893335	0.0	0.0
