Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.13329752	0.016857013	0.18550341	0.067026414	16000	-3.7252903e-09	0.0048344005	-0.0061431755	-0.003138062	1.3564423	0.005997825	0.045375	127.0	46.181097984313965	0.39059597	0.22398202	0.9390963	0.10521154	0.0	0.0
1	500.0	0.086648405	0.011374967	0.14101169	0.031350695	32000	-1.8626451e-09	0.002289739	-0.007841411	-0.00079390773	1.3564423	0.007457318	0.0748125	127.0	82.91661548614502	0.45094842	0.2602045	1.290614	0.15751016	0.0	0.0
2	500.0	0.10798664	0.024094818	0.1707063	0.042357206	48000	3.7252903e-08	0.005068736	-0.011061066	-0.0025031718	1.3564423	0.0066932514	0.0938125	127.0	117.06561064720154	0.74758774	0.30814528	1.3738695	0.2706456	0.0	0.0
3	500.0	0.15103504	0.032648593	0.24413574	0.008122809	64000	2.4214387e-08	0.009315895	-0.010576971	-0.004978441	1.3564423	0.007733332	0.10425	127.0	151.1458775997162	1.0443906	0.42548525	2.4627862	0.49804255	0.0	0.0
4	500.0	0.2726063	0.046012208	0.44932383	0.12213279	80000	0.0	0.11839034	-0.006870937	-0.057227083	1.3564423	0.008564487	0.067625	127.0	188.3627324104309	2.4666657	1.118323	5.3084717	0.87381333	0.0	0.0
5	500.0	0.5414361	0.11522587	0.9320336	0.20238271	96000	-6.519258e-09	0.91911674	-0.0067247977	-0.48213264	1.3564423	0.007321043	0.065312505	127.0	224.9276843070984	5.070096	3.2954695	14.275904	1.1850322	0.0	0.0
6	500.0	1.2271699	0.5061681	2.4425514	0.0112323165	112000	-2.2351742e-08	2.7054906	-0.005926021	-1.464187	1.3564423	0.006560292	0.0641875	127.0	264.63632559776306	9.509324	5.539473	25.54001	2.0794566	0.0	0.0
7	500.0	2.5272977	1.209054	5.2893996	-0.48370704	128000	-5.5879354e-08	2.7616458	-0.008700503	-0.7644107	1.3564423	0.007870402	0.0849375	127.0	300.02478766441345	13.172159	6.580042	27.809704	2.558111	0.0	0.0
8	500.0	3.4097085	1.5258547	5.9670076	-0.53786117	144000	-1.8626451e-08	1.5018184	-0.007770836	-0.40382257	1.3564423	0.0072544194	0.06775001	127.0	338.57762360572815	15.14428	4.7011266	29.214548	6.007877	0.0	0.0
9	500.0	4.4710693	1.7759799	6.9815125	-0.04104586	160000	7.450581e-09	2.7748983	-0.0063827555	-0.31882933	1.3564423	0.005548222	0.056187503	127.0	376.70989084243774	19.09235	6.133052	34.436134	10.45958	0.0	0.0
