Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.13331813	0.016703773	0.1854343	0.06850279	16000	7.450581e-09	0.0053371917	-0.006032004	-0.0035115322	1.3564423	0.0061134826	0.0471875	127.0	39.576504707336426	0.37021738	0.2382254	1.072593	0.12662964	0.0	0.0
1	500.0	0.08282514	0.0132363755	0.134263	0.01301533	32000	-1.4901161e-08	0.0024691375	-0.00719216	-0.00089316006	1.3564423	0.007318105	0.0661875	127.0	77.39624857902527	0.44277626	0.2654037	1.2389843	0.1410296	0.0	0.0
2	500.0	0.10176656	0.021253193	0.17429566	0.04063626	48000	-1.8626451e-08	0.0029007234	-0.01097405	-0.0012612967	1.3564423	0.008246383	0.1068125	127.0	113.18646669387817	0.6285876	0.26893437	1.4032481	0.20446149	0.0	0.0
3	500.0	0.14057656	0.02773444	0.23148319	0.045028515	64000	-1.6763806e-08	0.0092214905	-0.009728959	-0.005136723	1.3564423	0.006866993	0.095062494	127.0	152.54192543029785	1.0126159	0.41878372	2.6388533	0.48299113	0.0	0.0
4	500.0	0.2349679	0.036245756	0.37278882	0.106452435	80000	1.4901161e-08	0.0074963816	-0.009794064	-0.001722822	1.3564423	0.008412468	0.0861875	127.0	188.82729387283325	1.2315154	0.47506654	2.5767994	0.3947891	0.0	0.0
5	500.0	0.28088176	0.06191885	0.5423361	0.1300208	96000	1.4901161e-08	0.7904968	-0.005170689	-0.38687065	1.3564423	0.007786016	0.082125	127.0	227.03851008415222	2.430654	3.8345304	20.725563	0.47157326	0.0	0.0
6	500.0	0.5444036	0.4170435	3.0014496	-0.37725943	112000	3.7252903e-09	0.2187421	-0.008792605	-0.11455247	1.3564423	0.006605452	0.092625	127.0	264.3611159324646	2.3921592	2.9174073	16.309605	0.6779459	0.0	0.0
7	500.0	0.8366501	0.7394835	5.037519	-0.17283303	128000	-1.6763806e-08	0.1281412	-0.013095584	-0.062203433	1.3564423	0.010024782	0.112625	127.0	302.08615374565125	2.3389192	1.7461201	11.315692	0.4529013	0.0	0.0
8	500.0	1.1960696	1.0398854	4.8126435	-0.2370019	144000	-1.4901161e-08	0.8540827	-0.0075273784	-0.2859887	1.3564423	0.008010858	0.0960625	127.0	340.9452316761017	5.0962887	6.0520635	30.644243	1.0171571	0.0	0.0
9	500.0	1.4205564	1.4169043	6.310433	-0.4619111	160000	-7.450581e-09	0.49078524	-0.008022111	-0.11278267	1.3564423	0.005903665	0.0841875	127.0	379.13918375968933	4.3044	4.011155	14.7649355	0.77915204	0.0	0.0
10	500.0	1.6186144	1.5607673	5.642147	-0.43301398	176000	3.7252903e-09	1.6562185	-0.00680524	-0.37075406	1.3564423	0.008110719	0.0768125	127.0	413.8703017234802	7.457807	8.589682	32.40607	0.73519665	0.0	0.0
11	500.0	3.1425312	2.1091185	6.8817477	-0.5270937	192000	2.2351742e-08	1.6835015	-0.006868713	-0.43931738	1.3564423	0.0052774595	0.0553125	127.0	454.8571262359619	9.851564	6.738893	34.02231	0.64258987	0.0	0.0
12	500.0	3.352032	1.7028369	6.1781154	-0.49596858	208000	1.8626451e-08	1.3313797	-0.006389292	-0.54436827	1.3564423	0.005545991	0.0505625	127.0	492.04943084716797	10.333027	4.5808234	17.890253	0.75466967	0.0	0.0
13	500.0	3.1662092	1.3537796	5.19156	-0.15638885	224000	1.8626451e-08	1.4343271	-0.007815025	-0.7527554	1.3564423	0.0069821132	0.057875	127.0	534.18372631073	9.086117	3.3490636	15.154303	0.9546716	0.0	0.0
14	500.0	2.6922846	0.84423935	4.1308	0.23265466	240000	-7.450581e-09	0.7899915	-0.006477072	-0.20875193	1.3564423	0.0059400303	0.050375	127.0	599.3308053016663	9.671583	2.85275	15.143173	0.9113595	0.0	0.0
15	500.0	2.5069082	0.5955008	3.8205788	0.4722901	256000	1.4901161e-08	1.22207	-0.0053800615	-0.22322759	1.3564423	0.0036982228	0.048125	127.0	657.5208837985992	11.257977	4.272095	23.907885	1.4202533	0.0	0.0
16	500.0	2.3949873	0.5427854	4.0423827	0.813958	272000	7.450581e-09	0.92510784	-0.00803211	-0.18511069	1.3564423	0.008618581	0.069625005	127.0	698.8406803607941	10.535823	4.323986	19.663614	0.931281	0.0	0.0
