Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.05346202	0.018609058	0.13327655	-0.0007080771	16000	-3.3527613e-08	0.0014325741	-0.007064087	-0.0007866557	1.3564423	0.0058414945	0.062125	127.0	57.69900894165039	0.16705987	0.13857928	0.6881408	0.021634068	0.0	0.0
1	500.0	0.04148619	0.0147267105	0.113266245	0.0016975217	32000	7.450581e-09	0.001617194	-0.00668741	-0.0005858409	1.3564423	0.008691856	0.0789375	127.0	111.7642867565155	0.2594974	0.19278587	0.791799	0.032449502	0.0	0.0
2	500.0	0.057740364	0.020814946	0.11960047	-0.013431467	48000	5.5879354e-09	0.002501781	-0.00897684	-0.00088225247	1.3564423	0.009216666	0.110874996	127.0	188.69024658203125	0.3623525	0.2728825	1.3584416	0.057805166	0.0	0.0
3	500.0	0.09210222	0.03289883	0.1759519	0.0043188334	64000	1.8626451e-08	0.002537514	-0.010254443	-0.00078293565	1.3564423	0.008973056	0.0975	127.0	242.22405409812927	0.55827284	0.24735762	1.1344861	0.15069973	0.0	0.0
4	500.0	0.15621376	0.038483046	0.28614667	0.0464958	80000	-2.9802322e-08	0.017274417	-0.007548689	-0.0070531284	1.3564423	0.007250391	0.073	127.0	316.7058570384979	0.9771652	0.53332764	2.469793	0.25345907	0.0	0.0
5	500.0	0.23098117	0.068186566	0.41960236	0.05335507	96000	3.7252903e-09	0.021033544	-0.008394499	-0.0075933617	1.3564423	0.0074446453	0.0906875	127.0	370.0371687412262	1.3001642	0.7543075	4.404059	0.3390332	0.0	0.0
6	500.0	0.31140313	0.12322159	0.83441556	0.06866042	112000	7.450581e-09	0.15662096	-0.0061322814	-0.07906014	1.3564423	0.007794288	0.113	127.0	414.31686758995056	1.9313397	2.0557227	10.08795	0.3325251	0.0	0.0
7	500.0	0.89602387	0.60309213	2.4360964	-0.13744938	128000	-1.1175871e-08	1.6802258	-0.0065456107	-0.68979543	1.3564423	0.0071862885	0.074125	127.0	467.96932768821716	6.5886135	5.789894	27.3168	0.42615527	0.0	0.0
8	500.0	1.9318181	1.2319113	4.1573043	-0.45024592	144000	6.3329935e-08	2.6827445	-0.007002741	-1.1248188	1.3564423	0.007517162	0.080937505	127.0	528.4450771808624	11.262848	7.817184	25.871016	1.0184001	0.0	0.0
9	500.0	3.1300154	1.7565856	6.213746	-0.52522546	160000	-3.7252903e-09	2.5930643	-0.009983033	-0.6622853	1.3564423	0.009285796	0.1090625	127.0	577.9367935657501	14.390268	8.713304	34.89477	0.88155335	0.0	0.0
10	500.0	4.8575835	2.272062	7.9203696	-0.9679349	176000	-3.3527613e-08	2.7519717	-0.008295026	-0.32406116	1.3564423	0.0055884942	0.0656875	127.0	619.4003572463989	19.936474	8.255888	34.100666	1.3317633	0.0	0.0
11	500.0	5.6341376	2.2913063	8.61294	-0.78759396	192000	4.656613e-09	2.6967978	-0.008821326	-0.5406129	1.3564423	0.005790775	0.061812498	127.0	657.9890644550323	24.335993	6.9910727	44.880383	6.1438065	0.0	0.0
12	500.0	6.755426	2.2501898	9.535048	-0.17864579	208000	7.450581e-09	3.255326	-0.008128864	-0.2868154	1.3564423	0.0068820985	0.067687504	127.0	700.5359554290771	27.131905	7.7420406	39.77324	9.757786	0.0	0.0
13	500.0	6.8904715	2.2318246	9.533259	-0.22928971	224000	-7.450581e-09	3.473766	-0.009255631	-0.34108454	1.3564423	0.007087488	0.07675	127.0	741.4764523506165	26.736292	8.349541	40.621956	3.1000502	0.0	0.0
14	500.0	7.1424527	2.208593	9.438383	-2.1756387	240000	1.4901161e-08	4.122262	-0.0093448935	-0.5318072	1.3564423	0.0071928585	0.0760625	127.0	780.787801027298	31.361977	6.942247	42.721092	11.396674	0.0	0.0
15	500.0	7.618266	1.7963455	9.055734	-0.062571086	256000	-3.7252903e-09	4.4954443	-0.007497415	-0.5874261	1.3564423	0.007149093	0.065874994	127.0	824.9595849514008	33.956833	7.1096706	46.11354	14.735425	0.0	0.0
16	500.0	7.935127	1.8219813	9.736068	-0.31261992	272000	-2.2351742e-08	4.736283	-0.008150194	-0.7417928	1.3564423	0.004759046	0.060000002	127.0	867.0384693145752	32.48394	8.308267	58.078915	19.650265	0.0	0.0
17	500.0	7.8690133	1.4839829	9.547915	1.2935532	288000	6.519258e-09	4.347456	-0.008317517	-0.22968318	1.3564423	0.0067346087	0.0610625	127.0	907.820639371872	33.85971	8.289075	47.64975	15.483783	0.0	0.0
18	500.0	7.895301	1.4194176	9.218087	1.7627516	304000	-2.2351742e-08	3.1817307	-0.008655395	-0.6580916	1.3564423	0.007842369	0.063187495	127.0	951.7765147686005	37.664764	6.152156	50.154633	26.324932	0.0	0.0
19	500.0	8.328097	1.6486672	10.095413	1.3533155	320000	1.8626451e-09	3.616553	-0.0070386785	-0.6165159	1.3564423	0.0048931036	0.044687502	127.0	1011.1954605579376	37.264843	7.604224	50.871376	16.404125	0.0	0.0
20	500.0	8.7384405	1.6067502	10.187376	1.734918	336000	7.450581e-09	5.2993355	-0.009349024	-0.1975286	1.3564423	0.0054670824	0.07275	127.0	1074.697813987732	39.894497	10.015862	67.6296	21.47189	0.0	0.0
21	500.0	9.05305	1.6609048	10.400361	1.7500798	352000	-7.450581e-09	3.1024842	-0.008020055	-0.26492962	1.3564423	0.005559895	0.057812504	127.0	1128.9247691631317	41.12021	7.4442754	51.119076	24.571167	0.0	0.0
22	500.0	9.354352	1.6492414	10.517848	0.9289709	368000	0.0	3.0794363	-0.009671895	-0.20094454	1.3564423	0.0067922804	0.066	127.0	1168.3781023025513	40.690147	7.138727	55.036373	22.735235	0.0	0.0
23	500.0	9.2345	1.590874	10.619725	1.8155035	384000	-7.450581e-09	2.3409247	-0.008030608	-0.35208338	1.3564423	0.0057764747	0.0586875	127.0	1208.1569230556488	43.282078	6.0469694	54.301216	29.817217	0.0	0.0
24	500.0	9.494642	1.8405762	11.131602	2.4905007	400000	-9.313226e-09	4.441382	-0.008763588	-0.77381897	1.3564423	0.008144182	0.0648125	127.0	1251.3396072387695	39.762203	8.00104	50.93163	20.212893	0.0	0.0
25	500.0	9.319377	1.4660169	10.305485	2.2862363	416000	-1.8626451e-08	4.252299	-0.009022432	-0.123993866	1.3564423	0.0052392287	0.0713125	127.0	1300.2326686382294	42.05567	8.783647	60.120003	26.397064	0.0	0.0
26	500.0	9.407795	1.3753852	10.288719	2.642422	432000	-1.8626451e-08	2.9131942	-0.008370405	-0.5772457	1.3564423	0.006443861	0.066062495	127.0	1351.4142503738403	43.527687	8.372191	56.931973	26.978416	0.0	0.0
27	500.0	9.752523	1.7699891	11.336164	2.6293907	448000	7.450581e-09	4.7341185	-0.008731084	-0.69792	1.3564423	0.007236917	0.0726875	127.0	1394.3649942874908	46.761963	9.151612	75.51698	26.821127	0.0	0.0
28	500.0	10.4562235	1.9490747	12.183554	1.8220705	464000	-9.313226e-10	3.4435873	-0.008743009	-0.50735414	1.3564423	0.0063575516	0.066750005	127.0	1445.0678119659424	44.683136	7.189611	58.289886	29.482353	0.0	0.0
29	500.0	10.087426	1.6565028	11.340469	3.1398485	480000	1.4901161e-08	2.832355	-0.0098131625	-0.7841488	1.3564423	0.008400967	0.066062495	127.0	1505.4507479667664	42.4358	7.7209907	54.045193	21.950855	0.0	0.0
30	500.0	9.867182	1.6629004	11.09198	2.1010063	496000	-3.7252903e-08	3.467541	-0.010339664	-0.48126653	1.3564423	0.008122357	0.0773125	127.0	1561.9091136455536	46.38938	9.1474495	63.69776	21.390537	0.0	0.0
31	500.0	10.366132	1.9634427	11.854495	0.8656185	512000	-2.2351742e-08	2.0421863	-0.01002234	-0.13635728	1.3564423	0.007619572	0.0830625	127.0	1623.184282541275	44.753906	6.483818	54.36272	27.639832	0.0	0.0
32	500.0	9.814142	1.9486024	11.53124	1.9124602	528000	-1.3969839e-08	3.1441367	-0.0078420155	-0.76091206	1.3564423	0.00705487	0.068937495	127.0	1677.9026410579681	45.919666	10.267391	66.29526	2.4348755	0.0	0.0
33	500.0	10.439131	2.2573667	12.049842	-0.43686578	544000	1.4901161e-08	2.1263022	-0.009376431	-0.35929716	1.3564423	0.0069438918	0.0816875	127.0	1732.5692958831787	45.28199	10.406562	57.63112	2.2083795	0.0	0.0
34	500.0	10.630526	2.1421587	12.23202	0.47914475	560000	-7.450581e-09	3.6301708	-0.009486086	-0.9598867	1.3564423	0.00959346	0.070437506	127.0	1795.6930441856384	43.192295	10.861589	59.526638	1.0187428	0.0	0.0
35	500.0	9.7521305	2.3749325	11.476465	-1.3407137	576000	1.6763806e-08	2.7212315	-0.010070833	-0.27955776	1.3564423	0.007448016	0.0824375	127.0	1848.2246716022491	42.720093	10.725506	55.68281	1.5136634	0.0	0.0
36	500.0	9.904832	2.135437	11.320752	-3.060481	592000	1.1175871e-08	5.7495832	-0.008263646	-0.28729224	1.3564423	0.007786181	0.079437494	127.0	1902.0416102409363	45.246605	12.862779	83.71861	0.9454941	0.0	0.0
37	500.0	10.213908	1.8536335	11.357883	-2.2421577	608000	-1.1175871e-08	4.0270014	-0.0105596585	-0.45915884	1.3564423	0.0076048374	0.0788125	127.0	1940.2720046043396	43.049416	10.638217	57.37685	2.81297	0.0	0.0
