Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.07477762	0.0121835265	0.11695242	0.03865689	16000	-1.6763806e-08	0.0029361686	-0.006445337	-0.0014967858	1.3564423	0.00601488	0.047624998	127.0	36.486414670944214	0.50806785	0.21342085	1.1394792	0.20166022	0.0	0.0
1	500.0	0.09014791	0.024666047	0.14560357	-0.004402045	32000	0.0	0.0060505974	-0.008481136	-0.0022511403	1.3564423	0.008045696	0.08925	127.0	67.1580159664154	0.6397978	0.43220806	1.9448223	0.12337709	0.0	0.0
2	500.0	0.17700666	0.034924705	0.2917243	0.06370878	48000	-5.2154064e-08	0.033990152	-0.0090319775	-0.01948181	1.3564423	0.006713329	0.08075	127.0	97.07095646858215	1.5117987	0.7299867	3.530294	0.39706883	0.0	0.0
3	500.0	0.33235133	0.08534422	0.6603348	0.09557681	64000	-3.1664968e-08	0.24880311	-0.0074137924	-0.12697133	1.3564423	0.00790029	0.088062495	127.0	127.1207709312439	2.9295692	2.2381806	11.591443	0.82125676	0.0	0.0
4	500.0	1.0095127	0.2941054	2.006556	0.35079467	80000	3.7252903e-09	1.3676941	-0.008341335	-0.60873663	1.3564423	0.007204315	0.075812496	127.0	175.54426860809326	7.5992937	3.9828315	15.2793455	2.0456405	0.0	0.0
5	500.0	1.8891436	0.7153797	4.424314	0.30439764	96000	0.0	1.8231924	-0.010736086	-0.64025086	1.3564423	0.009433066	0.1076875	127.0	223.6104440689087	10.409441	5.511463	22.914879	1.2904931	0.0	0.0
6	500.0	2.9273612	0.9125952	4.8551903	0.47550195	112000	7.4505806e-08	3.5526958	-0.007945999	-1.5961813	1.3564423	0.005267221	0.067875	127.0	260.630339384079	17.195238	6.6376667	31.196264	3.9507544	0.0	0.0
7	500.0	4.309276	1.368584	6.4916325	0.5639651	128000	-3.7252903e-09	1.9691321	-0.009843212	-0.43190306	1.3564423	0.008496746	0.087375	127.0	293.0534257888794	19.560837	5.4219475	29.223812	4.3521233	0.0	0.0
8	500.0	5.0148635	1.3868414	6.9985695	0.8748717	144000	2.2351742e-08	2.7127943	-0.008522209	-0.62072396	1.3564423	0.007421033	0.076	127.0	324.7202458381653	23.987095	5.752383	35.752552	11.129258	0.0	0.0
9	500.0	5.8667355	1.1743858	7.2004905	1.3115646	160000	-7.450581e-09	1.7549493	-0.009066492	-0.12400176	1.3564423	0.0053112973	0.0710625	127.0	356.63242959976196	24.710697	5.4189525	34.093002	13.357262	0.0	0.0
