Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	0.1028841	0.012244331	0.14220783	0.06532348	16000	-9.313226e-09	0.0063944357	-0.0062075276	-0.002911336	1.3564423	0.006093912	0.0428125	127.0	54.47508144378662	0.5754988	0.38618088	1.6620505	0.15461254	0.0	0.0
1	500.0	0.11670413	0.03211484	0.19308591	-0.013752747	32000	5.401671e-08	0.008037925	-0.009613488	-0.0029686266	1.3564423	0.009468196	0.1053125	127.0	112.0109486579895	0.7706508	0.52859503	2.5336816	0.25019017	0.0	0.0
2	500.0	0.21733199	0.06437329	0.41872638	-0.0057002697	48000	3.7252903e-08	0.064687975	-0.008718451	-0.027884185	1.3564423	0.00667287	0.0863125	127.0	154.37343049049377	1.6886988	1.2238212	5.544466	0.37536615	0.0	0.0
3	500.0	0.45961398	0.14706129	0.9356609	0.08393501	64000	-7.264316e-08	0.2511522	-0.008556126	-0.117716976	1.3564423	0.007993751	0.088625	127.0	188.37422060966492	3.4613357	2.0824494	7.322789	0.6961384	0.0	0.0
4	500.0	1.1619207	0.30732152	2.0332646	0.39567384	80000	-1.8626451e-08	3.614149	-0.0067450125	-2.0035946	1.3564423	0.00680573	0.056	127.0	228.57286977767944	12.002809	5.496815	22.85051	3.7950962	0.0	0.0
5	500.0	2.5610092	0.6611122	4.209663	0.83372056	96000	-1.1175871e-08	2.7760549	-0.008953637	-0.95839024	1.3564423	0.0064056255	0.0700625	127.0	265.1358802318573	13.920958	5.6590157	27.602913	4.0829287	0.0	0.0
6	500.0	3.5580175	1.0560242	5.5823674	0.62145513	112000	-2.6077032e-08	3.1324205	-0.008538209	-1.5200789	1.3564423	0.0056811897	0.069749996	127.0	303.5386550426483	20.275148	4.6662273	28.076809	9.656354	0.0	0.0
7	500.0	4.8639755	1.2945479	6.77851	0.95481384	128000	0.0	1.6602565	-0.008912956	-0.19500433	1.3564423	0.008446144	0.0814375	127.0	339.1133780479431	21.59246	4.865771	33.585503	11.202452	0.0	0.0
8	500.0	5.4597545	1.3852226	7.2674856	1.0789145	144000	-2.2351742e-08	1.7153463	-0.008445024	-0.22751719	1.3564423	0.008692613	0.077562496	127.0	377.3625681400299	23.474535	4.57737	31.264055	15.676909	0.0	0.0
9	500.0	5.766559	0.97096765	7.0623255	1.9529687	160000	-1.8626451e-08	2.7059588	-0.007815865	-0.297284	1.3564423	0.0048480015	0.0639375	127.0	411.8688449859619	25.690083	5.6048236	34.054974	14.8227415	0.0	0.0
